video_id,comment_id,reply_id,reply_content,author,published_at,like_count
9jpHnoKlJYQ,UgwBephr4ArJfX2WDcx4AaABAg,UgwBephr4ArJfX2WDcx4AaABAg.ARFnENN51R7ARFuGFb-Bpp,Areola the bloke who cost a fortune and is on 7 milllion pounds a week and west ham let him down? hes terrible,@tyrone8964,2025-12-28T00:43:44Z,0
9jpHnoKlJYQ,UgwBephr4ArJfX2WDcx4AaABAg,UgwBephr4ArJfX2WDcx4AaABAg.ARFnENN51R7ARGs8pPIs8L,@tyrone8964 he’s not on 7 million pounds a week…I don’t know what his wages are but it’s certainly not that,@ricoclawed7937,2025-12-28T09:44:28Z,0
9jpHnoKlJYQ,UgwBephr4ArJfX2WDcx4AaABAg,UgwBephr4ArJfX2WDcx4AaABAg.ARFnENN51R7ARI0Sc0zcKC,"That back line has always been a problem. Mavropanos is a liability but still on the team. This match, Jimenez goes unmarked and *voila* a loss.",@Tyler-k4i4g,2025-12-28T20:25:04Z,0
9jpHnoKlJYQ,UgwBephr4ArJfX2WDcx4AaABAg,UgwBephr4ArJfX2WDcx4AaABAg.ARFnENN51R7ARI0syidqVI,"@Tyler-k4i4g max killman is way worse then mavropanos, i can tell you don't know anything based on this comment, now fitting!",@tyrone8964,2025-12-28T20:28:48Z,0
9jpHnoKlJYQ,UgzEGRrqaJVhLwT0qxt4AaABAg,UgzEGRrqaJVhLwT0qxt4AaABAg.ARFZ9J2VF0tARFyqoZdnJC,This is what happens when they actually pass the ball to Raul Jimenez,@djoscartj,2025-12-28T01:23:48Z,4
9jpHnoKlJYQ,Ugyc25tM1knIlOQgk8Z4AaABAg,Ugyc25tM1knIlOQgk8Z4AaABAg.ARFZ8jOEXS8ARFZnWjOKkn,Subbed off for Tom Cairney 3 minutes earlier,@schaefman,2025-12-27T21:36:10Z,0
9jpHnoKlJYQ,Ugyc25tM1knIlOQgk8Z4AaABAg,Ugyc25tM1knIlOQgk8Z4AaABAg.ARFZ8jOEXS8ARFyynaTQJc,"Somewhere NOT passing the ball to Raul Jimenez, as usual...it's like he doesn't like him",@djoscartj,2025-12-28T01:24:54Z,0
9jpHnoKlJYQ,UgyermQlM-UUEvqS33J4AaABAg,UgyermQlM-UUEvqS33J4AaABAg.ARFXLmhQ0AFARG0VNMGhNc,I. C . E. 🇺🇲,@fgn0000,2025-12-28T01:46:57Z,1
9jpHnoKlJYQ,UgzJ3ZJC4CJqmhsYPxR4AaABAg,UgzJ3ZJC4CJqmhsYPxR4AaABAg.ARFVQfE4cW_ARFZD9A9BcK,Yeah real class. Lol.   How many goals he has this season? Scored 2 goals in like 6 games. Smh,@ericzamora3449,2025-12-27T21:31:04Z,1
9jpHnoKlJYQ,UgzJ3ZJC4CJqmhsYPxR4AaABAg,UgzJ3ZJC4CJqmhsYPxR4AaABAg.ARFVQfE4cW_ARFhDgtywYq,@ericzamora3449 yeah real class like last seasons 14 goals keep up the cope lmao,@rb0821,2025-12-27T22:49:47Z,1
