video_id,comment_id,reply_id,reply_content,author,published_at,like_count
AkIVo_22tHo,Ugz1gHgS0UnqY1odBTV4AaABAg,Ugz1gHgS0UnqY1odBTV4AaABAg.ARI-J-OM6S8ARI0yzuTOMa,Yes. I say the same.And you won for Diogo Jota - thanks!😢❤,@SandraVamosova,2025-12-28T20:29:37Z,1
AkIVo_22tHo,Ugxe0IC6Ilk7DoCXGBl4AaABAg,Ugxe0IC6Ilk7DoCXGBl4AaABAg.ARHgNPIC-buARI1EcghYiw,Yes and so what? Win is win...and we have 3 points too!😜😜😜,@SandraVamosova,2025-12-28T20:31:53Z,0
AkIVo_22tHo,UgxjTOpeXhNLVQMVrBl4AaABAg,UgxjTOpeXhNLVQMVrBl4AaABAg.ARHBaU9KFn2ARHGhuZdggX,Yea of course he is  this is the official Liverpool youtube channel.....,@justuskaufmann2246,2025-12-28T13:27:51Z,0
AkIVo_22tHo,UgyWEWDQrsgLlRYrbNZ4AaABAg,UgyWEWDQrsgLlRYrbNZ4AaABAg.ARH40IydKVcARHfPH5_zm-,🙏🙏🙏🙏🙏,@peterlonyait4101,2025-12-28T17:12:22Z,1
AkIVo_22tHo,UgyWEWDQrsgLlRYrbNZ4AaABAg,UgyWEWDQrsgLlRYrbNZ4AaABAg.ARH40IydKVcARHhaUmKSZC,Deluded,@expatsplumbing,2025-12-28T17:31:31Z,1
AkIVo_22tHo,UgwLy4t7r6B3apTLXIl4AaABAg,UgwLy4t7r6B3apTLXIl4AaABAg.ARGub_C4-RjARI1lc_UqAg,"I say, that our defence is terrible!",@SandraVamosova,2025-12-28T20:36:32Z,0
AkIVo_22tHo,UgxWPWacMUHDwzF-Kit4AaABAg,UgxWPWacMUHDwzF-Kit4AaABAg.ARGu5kzQznDARI1xHDOUV_,"Is it possible? So beautiful comment from Chelsea s fan? I can t believe to it! Thanks for your beautiful wishing to Wirtz! I appreciate it,you are great fan!👏👏👏👍⚽⚽⚽🔴",@SandraVamosova,2025-12-28T20:38:07Z,0
AkIVo_22tHo,Ugy3AkpyVhrPnFfciSx4AaABAg,Ugy3AkpyVhrPnFfciSx4AaABAg.ARGoUDJm5YmARGqcRUqcTT,Wolvee havent won since April...2-1 against them isnt that big an achievement. A month ago an ugly win was a christmas present.,@kal77uk,2025-12-28T09:31:11Z,0
AkIVo_22tHo,Ugy3AkpyVhrPnFfciSx4AaABAg,Ugy3AkpyVhrPnFfciSx4AaABAg.ARGoUDJm5YmARGrN2Ambra,"@kal77uk win is win bro, against the strongest team or the weakest, 3 points are 3 points",@themoonshiner97,2025-12-28T09:37:41Z,1
AkIVo_22tHo,Ugy3AkpyVhrPnFfciSx4AaABAg,Ugy3AkpyVhrPnFfciSx4AaABAg.ARGoUDJm5YmARI27BwCXlq,Exactly...I must agree 💯,@SandraVamosova,2025-12-28T20:39:37Z,0
AkIVo_22tHo,Ugy3AkpyVhrPnFfciSx4AaABAg,Ugy3AkpyVhrPnFfciSx4AaABAg.ARGoUDJm5YmARI2G830xqI,"​@themoonshiner97Exactly, my friend...win is win!😊",@SandraVamosova,2025-12-28T20:40:50Z,0
AkIVo_22tHo,UgwAilwI3QY8p9D-kNt4AaABAg,UgwAilwI3QY8p9D-kNt4AaABAg.ARGo-z6g8YpARGza3DLVcn,Looks like Salah got this though. He’s clearly trying to do less by himself… No need to exclude him then if it improves,@janekmundt579,2025-12-28T10:49:30Z,0
AkIVo_22tHo,Ugx4cIpAnL1RHy-Na_R4AaABAg,Ugx4cIpAnL1RHy-Na_R4AaABAg.ARGmNsrFh3_ARGoswKzSMr,"In fairness, Wolves nearly beat Arsenal at the Emirates - just a little unfortunate that their players were too eager to get the ball in the back of the net, before checking whether it was the right net.",@fuzzylogic3017,2025-12-28T09:15:57Z,0
AkIVo_22tHo,Ugx4cIpAnL1RHy-Na_R4AaABAg,Ugx4cIpAnL1RHy-Na_R4AaABAg.ARGmNsrFh3_ARI2oysuvp4,Win is win,@SandraVamosova,2025-12-28T20:45:44Z,0
AkIVo_22tHo,Ugz8dWG03QfclweD-VJ4AaABAg,Ugz8dWG03QfclweD-VJ4AaABAg.ARGk9gfw3C2ARI2swBYEIW,"Yeees! Congratulation, Florian Wirtz!😊",@SandraVamosova,2025-12-28T20:46:16Z,0
AkIVo_22tHo,Ugyt5v2WpGcnTCs8Ocl4AaABAg,Ugyt5v2WpGcnTCs8Ocl4AaABAg.ARGj3oD-Jf7ARGp9uOTM_p,"Actually, it's the absence of Isak that ensures Ekitike starts which is helping us.

If we win the League again this season, it will be because of van der Ven's tackle!",@fuzzylogic3017,2025-12-28T09:18:24Z,0
AkIVo_22tHo,UgxmG_BOG38oZgZ9WCl4AaABAg,UgxmG_BOG38oZgZ9WCl4AaABAg.ARGcEtC84IHARGpM-2iIQY,"Despite everything, I hope Wolves stay up.",@fuzzylogic3017,2025-12-28T09:20:04Z,0
AkIVo_22tHo,UgzNBOf2S4b545GnIn14AaABAg,UgzNBOf2S4b545GnIn14AaABAg.ARGM7PqT-MxARGzgCasDqj,He also looks different. You can see on his face he put on weight,@janekmundt579,2025-12-28T10:50:20Z,0
AkIVo_22tHo,Ugx3uoaRW39PhpcIWEl4AaABAg,Ugx3uoaRW39PhpcIWEl4AaABAg.ARGD3YfEuDRARGUfW_UvwX,Thanks for AFCON Cup.,@cheuman1,2025-12-28T06:10:37Z,0
AkIVo_22tHo,Ugxorn3G2oxgNWOOXHp4AaABAg,Ugxorn3G2oxgNWOOXHp4AaABAg.ARG6GFpc-p-ARH00NKpC60,Depends mostly on Van Dijk and Konaté. Both with mistakes this game… Liv needs them if the small outside defenders are necessary like today,@janekmundt579,2025-12-28T11:01:58Z,0
AkIVo_22tHo,UgzkIjz3OHvnlxKhRkp4AaABAg,UgzkIjz3OHvnlxKhRkp4AaABAg.ARG5xHZ91N5ARGgBt3VS45,We won because Chisea start and Gakpo is benched,@hoyintam8986,2025-12-28T08:00:02Z,1
