video_id,comment_id,reply_id,reply_content,author,published_at,like_count
BcUsvMTuyH8,UgwlvR-syPcxAK6xn4N4AaABAg,UgwlvR-syPcxAK6xn4N4AaABAg.APuZct_fBVrAPxsuNBII7O,🤣 👏,@DarrenMac-yk2gd,2025-11-25T18:54:54Z,1
BcUsvMTuyH8,UgwlvR-syPcxAK6xn4N4AaABAg,UgwlvR-syPcxAK6xn4N4AaABAg.APuZct_fBVrAQICEmePNHU,You better mate honestly 😭,@kristofnagy7813,2025-12-04T01:36:38Z,0
BcUsvMTuyH8,UgxXXE9FUJxWT9-T_Ih4AaABAg,UgxXXE9FUJxWT9-T_Ih4AaABAg.APu9Xm50_ywAPw_qx50P2z,Coz he does not have tactics.. just pure gambling,@rizalrazzaq3707,2025-11-25T06:49:10Z,0
BcUsvMTuyH8,UgybtWbwmvWmoNr5Sy94AaABAg,UgybtWbwmvWmoNr5Sy94AaABAg.APseBYs4ZuRAPshl9KC4kx,Their humility is stunning.,@vangroover666,2025-11-23T18:41:19Z,0
BcUsvMTuyH8,UgxAEBQj5IMFDvMBiTt4AaABAg,UgxAEBQj5IMFDvMBiTt4AaABAg.APsbJ4FhkZcAPsi02Luv6y,He handled it.,@vangroover666,2025-11-23T18:43:29Z,0
BcUsvMTuyH8,UgyW-pWoHLM_3IIiNp14AaABAg,UgyW-pWoHLM_3IIiNp14AaABAg.APsM6gpcYHmAPv57qInpBd,Wirtz is realy good tho,@EmilWadle,2025-11-24T16:52:45Z,3
BcUsvMTuyH8,Ugzw3V3s19hg25S1aFV4AaABAg,Ugzw3V3s19hg25S1aFV4AaABAg.APsKYz-FA6qAPsKcb3mhUR,He is being too selfish,@efootballsweat,2025-11-23T15:10:26Z,1
BcUsvMTuyH8,UgxVyfeZvnmCcO1nMmx4AaABAg,UgxVyfeZvnmCcO1nMmx4AaABAg.APsKWa7Up53APsKldivj5k,Klopp should return,@efootballsweat,2025-11-23T15:11:40Z,0
BcUsvMTuyH8,Ugw8ADmXGvo1KGU3zbd4AaABAg,Ugw8ADmXGvo1KGU3zbd4AaABAg.APsENG2BXaAAPtByBIB94G,Yet Slot has been so adamant to keep them in the start,@lfcms1892,2025-11-23T23:13:59Z,0
BcUsvMTuyH8,Ugw8ADmXGvo1KGU3zbd4AaABAg,Ugw8ADmXGvo1KGU3zbd4AaABAg.APsENG2BXaAAPu1UdG3kQ_,"szobl !!!! are you blind he's the main reason we loose everytime ,, thinks he is a shooter ,, also cant defend ,, bad paases , blocks passes to salah... you want more ...",@MrMohannadkutaish,2025-11-24T07:01:40Z,0
BcUsvMTuyH8,Ugz28p20S14kAwq0yR94AaABAg,Ugz28p20S14kAwq0yR94AaABAg.APsDQ7mSzGvAPwZ7jfMBA0,"That´s what I thought. (But he wasn´t benched. He is injured.)
I really believe Wirtz could help Lfc here - if only Slot used him properly. (And Mo would cooperate.)",@LazyJack2003,2025-11-25T06:34:07Z,0
BcUsvMTuyH8,UgzkZR46GsCDjGvX76N4AaABAg,UgzkZR46GsCDjGvX76N4AaABAg.APs7wvn0SIDAPsPdX9RQm2,Coming from a relegation battling team that's hilarious 😂,@aldrinroy6255,2025-11-23T15:54:15Z,1
BcUsvMTuyH8,Ugww-1PSMmR_1whjd1F4AaABAg,Ugww-1PSMmR_1whjd1F4AaABAg.APs-KKJ6bT5APugZ62f02X,Bro is a Nottingham fan,@Aryapl4ys,2025-11-24T13:09:17Z,0
BcUsvMTuyH8,UgzIP9M-6G7k1MYsEi14AaABAg,UgzIP9M-6G7k1MYsEi14AaABAg.APrwcW9sj-JAPs2FT9oasI,Instability is not the right word to use evie,@ahadahmed6392,2025-11-23T12:29:51Z,3
BcUsvMTuyH8,UgzIP9M-6G7k1MYsEi14AaABAg,UgzIP9M-6G7k1MYsEi14AaABAg.APrwcW9sj-JAPs2kvfZdjO,Long may it continue!,@unknownbymany12,2025-11-23T12:34:17Z,7
BcUsvMTuyH8,UgzIP9M-6G7k1MYsEi14AaABAg,UgzIP9M-6G7k1MYsEi14AaABAg.APrwcW9sj-JAPs3QXaIuBR,És helyettük ilyen rosszakat igazolni vagyonokért. Ez a Slot dilettáns.😡,@gaborerdei1631,2025-11-23T12:40:06Z,4
BcUsvMTuyH8,UgzIP9M-6G7k1MYsEi14AaABAg,UgzIP9M-6G7k1MYsEi14AaABAg.APrwcW9sj-JAPs5EynsohZ,Now you understand what Chelsea went through rebuilding,@TrevohGains,2025-11-23T12:56:00Z,16
BcUsvMTuyH8,UgzIP9M-6G7k1MYsEi14AaABAg,UgzIP9M-6G7k1MYsEi14AaABAg.APrwcW9sj-JAPs7Czary8O,But did you understand they lost 3-0 at home to Forest ( again ) ? 😂,@happydace6991,2025-11-23T13:13:12Z,0
BcUsvMTuyH8,UgzlhPVIdxdJjLM8xbt4AaABAg,UgzlhPVIdxdJjLM8xbt4AaABAg.AProNkoye0cAPsrfKQQdoR,"Well now you say it, when nunez was still around, you and your fellas kept saying SELL HIM",@thefourthchairman4151,2025-11-23T20:07:54Z,2
BcUsvMTuyH8,UgzlhPVIdxdJjLM8xbt4AaABAg,UgzlhPVIdxdJjLM8xbt4AaABAg.AProNkoye0cAPt7D2zKFt6,@thefourthchairman4151 your fellas 😂,@TheHunter2,2025-11-23T22:32:27Z,0
BcUsvMTuyH8,UgxII4aZMO-uNXfXgid4AaABAg,UgxII4aZMO-uNXfXgid4AaABAg.APrlSF-ULG3APtaOb2wGHp,Liverpoodians are  funny🤣,@TravisBickle58,2025-11-24T02:56:10Z,0
BcUsvMTuyH8,UgxII4aZMO-uNXfXgid4AaABAg,UgxII4aZMO-uNXfXgid4AaABAg.APrlSF-ULG3APvf-rTsX3T,"No, my brother, no, it's his last game. We've been through this before, and you think they're going to fire him after he wins the Premier League? You'll see, we'll bounce back. Of course, that doesn't happen overnight. If you're a true fan of the team, you're with him no matter how badly things are going.",@YeibersonPacheco-xl4nd,2025-11-24T22:14:58Z,0
BcUsvMTuyH8,UgxB23ecT9oL-ZNjC7h4AaABAg,UgxB23ecT9oL-ZNjC7h4AaABAg.APrigeDq9KhAPriictk8FX,I know,@Magiceye1900,2025-11-23T09:30:28Z,0
BcUsvMTuyH8,UgzlrOVSzJO4eQ1L4ep4AaABAg,UgzlrOVSzJO4eQ1L4ep4AaABAg.APriaYx5RCFAPriopVgq6K,In my opinion I think wirtz would play better if he got the ball more,@Magiceye1900,2025-11-23T09:31:19Z,0
