video_id,comment_id,comment_content,author,published_at,like_count,reply_count
EJpXL6Mmngc,UgwLoIxQPseNt3Y87ZZ4AaABAg,MU probably should've had a penalty but they got it compensated tonight by Newcastle being denied one or maybe even two. Luck comes with strength.,@spikeyapples,2025-12-27T06:12:01Z,0,0
EJpXL6Mmngc,UgxGtytkx3M-ro7O7014AaABAg,"Clueless Amorim! We almost lost this game by his poor decions.
It's clear that we have no finishers so we score with attacking midfielders or players like Mount! Why he changed him and Casemiro when they control the game. If the team is doing good, keep it till 60 or 70 minutes..it's just 1 goal up, no need to defend 45 minutes
Weirdo!",@sisayg5357,2025-12-26T22:46:33Z,1,0
EJpXL6Mmngc,UgyXn5XIrhraDCbfaMB4AaABAg,Dalot why he raining his hand that is his fault he don't even trying to block the cross,@samuelg.g3129,2025-12-26T18:14:47Z,0,0
EJpXL6Mmngc,UgyDHAA4gkQn_M2ViL14AaABAg,Bottling,@Belovedfire,2025-12-25T21:16:16Z,1,0
EJpXL6Mmngc,UgyNqzTjwstEp_MtMAN4AaABAg,Yoro Useless!,@Julzrulz-n5b,2025-12-25T21:09:57Z,0,0
EJpXL6Mmngc,UgzrneWPyOeXQzIlR5B4AaABAg,"""under no circumstances do you let him come inside""",@Mexi4761,2025-12-25T01:51:35Z,0,0
EJpXL6Mmngc,UgwEKRbhc4yKUgWiAyN4AaABAg,"Cunha might be the most selfish player I have ever seen, who does buddy think he is?",@Sued3y,2025-12-24T04:01:55Z,0,0
EJpXL6Mmngc,UgwjOgduk05xmaSNgdt4AaABAg,That is what happens when you invite the right coach and let him do his job. Bravo AV!,@oleglaptenko514,2025-12-23T22:11:57Z,1,0
EJpXL6Mmngc,UgxuUW9MfNpp_1RV8yt4AaABAg,9:02 what’s he saying?,@Gratefully-,2025-12-23T15:22:55Z,0,0
EJpXL6Mmngc,Ugw0Zl5k52NGsMSbQgF4AaABAg,8:01 what kind of defending is that?,@GuySenseiparody,2025-12-23T14:41:14Z,0,0
EJpXL6Mmngc,UgxYtUMKeQhGQoe8qCJ4AaABAg,Villa player kicks a ball that hits a teammate and him in the hand. But no handball because you’re too close? Why does it matter if it’s your own teammate and then it hits both of you?!,@hoops135792468,2025-12-23T14:06:05Z,0,0
EJpXL6Mmngc,UgxyAB_phMFreN40q0F4AaABAg,Dang that's so cool i like your video,@MarcFlores-i9o,2025-12-23T09:18:05Z,0,0
EJpXL6Mmngc,UgwQN0Ip77EEjZSmV0J4AaABAg,9:42 is INCREDIBLE camera work,@lolz476,2025-12-23T08:03:41Z,0,0
EJpXL6Mmngc,UgyecPXUaJLWXvPFwPp4AaABAg,Man united get used to being a mid table team for the next 10 years maybe more,@nicoles100,2025-12-23T05:43:04Z,0,0
EJpXL6Mmngc,UgxmUPwRr8wVHHu5i2R4AaABAg,Rogers - Dele Alle if he has listened Mourinho 😂,@TserenKuyukinov,2025-12-23T03:37:26Z,0,0
EJpXL6Mmngc,Ugyvqb7Xcune1nAaSmd4AaABAg,"Rio this feels like you piling into Ugarte because everyone else is. 

Yoro wasn’t good enough on the first goal and fell asleep on the second. Could Ugarte have got out quicker? Probably but this is blame shifting. The young lad need to take it on the chin and come back stronger. He has all the ability in the world but seems to coast at times.",@DannyB_7,2025-12-23T02:36:27Z,0,0
EJpXL6Mmngc,Ugy9-n_X0BNYU2lL6NV4AaABAg,Same defender same angle.,@maximusminimus8050,2025-12-23T01:42:10Z,0,0
EJpXL6Mmngc,Ugz13Uym1q5nKeI8wfF4AaABAg,"8:29 commentator completely wrong here. It aint the gks fault its yoro’s again. Your job as a defender is defense. Make to where theres no shots on goal. But yoro waits until the shot to do something. Check both goals and you’ll see what I mean. He waits applys no pressure basically and when the player about to shoot, thats when he make a “attempt” c’mon yoro. Do better.",@Thatboyoliver2,2025-12-22T22:14:59Z,0,0
EJpXL6Mmngc,Ugy3DNDxjyVGZb8svfl4AaABAg,5:42 honestly Yoro’s fault that first goal. Just there not but not trying to. Applying no type of pressure on him until the shot. Like c’mon man.,@Thatboyoliver2,2025-12-22T22:09:56Z,0,0
EJpXL6Mmngc,UgwhHMyZ8sXbZGIwj8V4AaABAg,cunha needs to pass more and stop taking those ling stephen curry shot man,@garyr3d,2025-12-22T21:40:58Z,0,0
EJpXL6Mmngc,UgyEkxaikbqtLPzZXax4AaABAg,my guy has bob marley dreads by now..never getting a haircut.,@OmarLopezz408,2025-12-22T21:16:18Z,0,0
EJpXL6Mmngc,UgzKokKj_SgOlbXxZMl4AaABAg,rogers is crazy😭😭,@NickPeyrebrune,2025-12-22T19:02:44Z,0,0
EJpXL6Mmngc,Ugx1b3IJy8X20yPwRgd4AaABAg,man utd mediocrity starting to show,@tonopah710,2025-12-22T19:00:31Z,0,0
EJpXL6Mmngc,UgwhnG8-6Vg9kK4dGil4AaABAg,"That Yoro kid is not good enough to be a United right back he got absolutely dominated, both goals were his fault",@axioms22,2025-12-22T18:59:45Z,0,0
EJpXL6Mmngc,UgyS9dV9aoK3J5y9uvp4AaABAg,"Cuhna Need to learn how to play with his teammates. Every time he gets it's an automatic shot. like bro, pass the fucking ball",@Kaizen4545,2025-12-22T18:52:13Z,0,0
EJpXL6Mmngc,UgxfilEXp_zqfkNj5_N4AaABAg,A V seems like they have never experienced winning before.,@wingchun3904,2025-12-22T18:36:58Z,0,0
EJpXL6Mmngc,UgywCMs2W1KSlkOVMtN4AaABAg,Man United goalkeeper 😅 where did you find him?,@z11sadvakassov,2025-12-22T17:20:04Z,0,0
EJpXL6Mmngc,UgxaZ9J2jkeRGhzyHAR4AaABAg,The like button turns into a soccer ball when pressed,@TheOfficialTJVR,2025-12-22T17:07:05Z,0,0
EJpXL6Mmngc,Ugzt7KgnTH8eQQQAWHx4AaABAg,"I will keep saying this - under a decent manager, goofs like Heaven and Yoro wouldn't even make it to the bench. United selection is a joke. Sesko? lol",@ia5263,2025-12-22T17:02:31Z,0,0
EJpXL6Mmngc,UgxBWnhSEI8hwMRydf14AaABAg,Yoro 😂😂,@Godblees-usa,2025-12-22T14:57:40Z,0,0
EJpXL6Mmngc,UgzvUwp0d_VeislySaR4AaABAg,Ruben and Manchester United😂 the holidays came early,@AlbertoRodriguez-kf8du,2025-12-22T14:52:48Z,0,0
EJpXL6Mmngc,Ugwqz_DJ2ZxZmJ1mKx94AaABAg,English commentators always think the goalie should save everything. It's like they never played the game.,@smurfyday,2025-12-22T14:49:21Z,0,0
EJpXL6Mmngc,UgxSFMvEkxSdiwnmvgh4AaABAg,I hope United keeps faith with Amorim! 🤣🤣 Finance bros running the club is a scene to be seen.,@smurfyday,2025-12-22T14:41:47Z,0,0
EJpXL6Mmngc,UgyLmp9cuLSo0djN6zV4AaABAg,"Bruno injury is very great for united,tired of him time for change",@LandoWilliams-u5s,2025-12-22T14:20:11Z,0,0
EJpXL6Mmngc,Ugy_wn3vxeSe9YafLL14AaABAg,United’s defense out there practicing social distancing.,@yaweli2968,2025-12-22T14:06:06Z,0,0
