video_id,comment_id,comment_content,author,published_at,like_count,reply_count
HVmbMWUhEaw,Ugyg4KhjCRfN5j1YRd94AaABAg,20,@StephenOflaithbertaigh,2025-12-26T23:52:30Z,0,0
HVmbMWUhEaw,Ugww3WTof6711dTYFCR4AaABAg,Jota  futebol,@PedroVasconcelos-q2i,2025-12-26T15:37:02Z,0,0
HVmbMWUhEaw,UgxnIx67eE3EL5_oAwl4AaABAg,❤❤,@ArmansinThierry,2025-12-25T00:44:50Z,0,0
HVmbMWUhEaw,UgzqHPVLoA3_JaJHJ6p4AaABAg,"As a Portuguese united fan, I have goosebumps, at the end of the day it's just a sport that we should all unite to celebrate",@NelioAndrade-g7y,2025-12-24T21:39:52Z,5,0
HVmbMWUhEaw,UgxJWT3pBZYWQFbEJL94AaABAg,Sentire questo stadio e questi tifosi cantare in questo modo e questa canzone in questo modo è sempre una cosa che tocca e riempie il cuore. Questa canzone parla proprio dell'andare sempre avanti nonostante le difficoltà e del trovare la forza di rialzarsi e di come in questo ci si possa ritrovare a non essere soli come si potrebbe pensare o credere. E purtroppo quello che è successo a questi due fratelli dispiace tanto ed è uno di quei momenti in cui si deve trovare la forza di andare avanti senza però dimenticare.,@mahh9151,2025-12-24T13:58:33Z,0,0
HVmbMWUhEaw,UgwpoxeCt-tmJPmNMER4AaABAg,DIOGO 🕊️🌹🤍😭,@elpablo566,2025-12-24T08:55:51Z,0,0
HVmbMWUhEaw,UgxtU6ECfR9oSpPHvsF4AaABAg,"In football we are rivals not enemies as a chelsea fan who is friends with both United City Spurs and Liverpool fans, we all came together to remember these 2 legends",@Bensgamingjourney,2025-12-23T10:29:42Z,0,0
HVmbMWUhEaw,Ugzu1A9w_xcszASQ0it4AaABAg,"All the Asian getting tickets. Anfield is dead. Dead last year too, worst thing is getting camera to a Asian",@steany241,2025-12-23T05:09:47Z,0,0
HVmbMWUhEaw,UgzLsm2BuStIzubLjFt4AaABAg,Le meilleur public 😢,@francoisroanne9389,2025-12-22T22:27:39Z,0,0
HVmbMWUhEaw,UgyGfWJ4pv7O1EXkO2h4AaABAg,Top 10 respect moments 😢,@JacobWaite-q5x,2025-12-22T15:31:55Z,0,0
HVmbMWUhEaw,Ugy-_ysCUeVYnCloSbB4AaABAg,Just imagine that you have to play after feeling so many emotions 😟,@knarrie1966,2025-12-22T13:11:29Z,0,0
