video_id,comment_id,comment_content,author,published_at,like_count,reply_count
IIJb-qYUlQg,UgywzaK7WK8LhKr8vBR4AaABAg,What a team goal that Leeds equalizer,@kc414,2025-12-28T22:19:26Z,0,0
IIJb-qYUlQg,Ugzm2mJ6bB777FVoLv94AaABAg,"Hope Calvert Lewin continues his scoring streak, his finishing has been top, and the midfield needs to create more chance for him. Liverpool and Man U are going to be tough but still expect six points.",@Arthur_1998,2025-12-28T21:56:15Z,0,1
IIJb-qYUlQg,Ugx6QX9qx8Q_Iq3bLYB4AaABAg,Nothing makes me feel more proud in football than watching a player giving the glory to God 💪🏻. Respect to that 👍🏻,@josuedaniel5848,2025-12-28T21:22:56Z,1,0
IIJb-qYUlQg,UgzX8_s5X2mB6Mi_Z2p4AaABAg,Leeds better team than the standings suggest IMO.,@saltamonte777,2025-12-28T21:11:48Z,1,0
IIJb-qYUlQg,Ugz7x8RcXiRSd6beGgB4AaABAg,"As a neutral, I have to say that the Xhaka-Adringa combo is very exciting!",@EmmaYaBasta,2025-12-28T20:51:53Z,0,0
IIJb-qYUlQg,Ugw6iiqQItuTlcV8x_14AaABAg,DCL!,@Majin_Buu14,2025-12-28T20:26:31Z,0,0
IIJb-qYUlQg,UgwPSnOw4H11gLDSoL54AaABAg,That Leeds' goal.. wow!,@threedprint5562,2025-12-28T20:24:00Z,2,0
IIJb-qYUlQg,UgxMFpwIP1VlHtMHqWx4AaABAg,Americans heating up!!!,@curtissmall8004,2025-12-28T19:47:15Z,0,0
IIJb-qYUlQg,UgzN0NLmRkQUIVSYvuF4AaABAg,Was a brilliant game today! Hope these two teams will stay up! I know Sunderland will for sure!,@mackmcgowan316,2025-12-28T19:39:53Z,2,0
IIJb-qYUlQg,Ugy4XVQIVcZfcxoGeXl4AaABAg,Two great promoted teams,@trulywesley727,2025-12-28T19:38:25Z,0,0
IIJb-qYUlQg,UgxCDcc9gBYNFV5XssB4AaABAg,Leeds are going to murk Liverpool on the return if they carry this performance,@R073X,2025-12-28T19:19:40Z,0,0
IIJb-qYUlQg,UgwyAYBX9YE2i5W6Kp94AaABAg,maybe I don’t watch enough games but it seems like there’s less and less headers especially important ones being scored consistently.,@ricobullyPIT,2025-12-28T19:10:19Z,1,1
IIJb-qYUlQg,UgwNGqTZ49hopy0zUOB4AaABAg,Leeds should’ve won this game,@georgeokoro1149,2025-12-28T18:49:22Z,0,0
IIJb-qYUlQg,UgyDVuL8at81eZ2sZBp4AaABAg,BRENDEN!!,@Rvbeus,2025-12-28T18:39:52Z,3,0
IIJb-qYUlQg,UgzNt4kXDh4focqNAkx4AaABAg,"Given this and spurs-palace result, you could say that Manchester United won three matches in a row, including two on the same day 😂",@spikeyapples,2025-12-28T18:23:14Z,0,0
IIJb-qYUlQg,UgxY3xfVFW6YWAxw68J4AaABAg,crazy thumbnail,@PuReSkAt3R,2025-12-28T18:06:15Z,0,0
IIJb-qYUlQg,Ugwk55TmQ0r901buTgJ4AaABAg,"Not exactly sure what happened to Aaronson at his breakfast this morning, but whatever it was it made him come out and play today like I haven't seen him play in a string of matches. He looked hungry for the ball..active and interested in being involved in the play...aggressive! Chapeau to the manager for believing in him enough to let him (encourage even?) play forward and attack because frankly Brendon's season, to me, has been note worthy for being mostly ineffectual and uninvolved. Basically, not a threat. Today was different though...he was awesome. Making good runs & looking to attack like I haven't seen him do before. This is the Aaronson we need for the W.C. so best of luck for the rest of your season Brendon...we're rooting for you!",@whatsitwhosit,2025-12-28T18:01:17Z,8,0
IIJb-qYUlQg,Ugz_Hy7SZ2OOu5sU5SZ4AaABAg,only city can afford those penalty decisions 🤭🤭,@chrisdonahue,2025-12-28T17:47:43Z,0,0
IIJb-qYUlQg,Ugzg_WyfxTbqxjGhzDp4AaABAg,"That goalie never touched the ball, he took out the Sund striker. That second take down was also a penalty kick. WTF",@richardmeo2503,2025-12-28T17:41:38Z,0,0
IIJb-qYUlQg,UgwmHh00gmQk6t7zOu54AaABAg,Dominic Calvert Lewis is going to the World Cup 🗣️,@ErnestoContreras-x4l,2025-12-28T17:38:29Z,1,0
IIJb-qYUlQg,UgwOhTdIAymnUXXYcVV4AaABAg,People who think Aaronson is some sort of phenomenal player just started watching Leeds play the last 2 games.,@Kicks2Intelligence,2025-12-28T17:37:53Z,12,5
IIJb-qYUlQg,Ugxzqd-DH2X2yo1S4t94AaABAg,Aaronson put up three gilt edge chances for Leeds unfortunately take advantage of two of them.,@dm9078,2025-12-28T17:34:28Z,3,0
IIJb-qYUlQg,UgzBqH8kQLI0H4j--1F4AaABAg,Aronson was a warrior this match.,@scottdanforth4050,2025-12-28T17:31:51Z,23,0
IIJb-qYUlQg,Ugz178--8kOAf-18wxd4AaABAg,"Showdown between the promoted teams was pretty cool. 

Leeds and Sunderland both showed out today",@Muu0934,2025-12-28T17:30:51Z,31,0
IIJb-qYUlQg,Ugwwi6609UHsqnfsGaN4AaABAg,Thank you Ref for not calling weak stuff,@IvanLopez-fx3hx,2025-12-28T17:29:51Z,37,0
IIJb-qYUlQg,UgwxxKtmh1ttfkl8ISh4AaABAg,Xhaka is responsible for this team being where it's at if he's not scoring or assisting Sunderland does nothing lol I'm shocked no bigger teams tried signing him,@Th3dreadpiraterob,2025-12-28T17:18:49Z,15,0
IIJb-qYUlQg,UgxUs7dPusLnGpenjiV4AaABAg,"I said it once and I'll say it again, starting Aaronson just changes the team's flow. Right foot or left foot, the dude is everywhere on the pitch and creating chances almost every time he touches the ball.",@KFenn19-h2j,2025-12-28T17:13:58Z,51,0
IIJb-qYUlQg,Ugy_th7Qsa-X5TDekbh4AaABAg,"You boys make excellent game highlights, keep up the good job.",@scm5166,2025-12-28T17:09:48Z,3,0
IIJb-qYUlQg,UgxHtvg1tx2jnhZg3WF4AaABAg,"Aaronson is in great form!🎉 Aussie here, respect",@mickdundee3012,2025-12-28T17:08:57Z,79,2
IIJb-qYUlQg,UgxoqUGV0xiL1ApwdsN4AaABAg,I'm going to have to buy a shirt with his name now. Bye bye viduka shirt,@mickdundee3012,2025-12-28T17:08:10Z,1,0
IIJb-qYUlQg,UgwQ8Hcey6n3ngJ4KjR4AaABAg,"If they continue to perform like this, Leeds can definitely survive",@TaylorCooke-w7z,2025-12-28T17:08:00Z,1,0
IIJb-qYUlQg,UgxFQL_6vL-T-YTpIn14AaABAg,"Good physical, competitive match. Fair result",@jamc467,2025-12-28T16:59:08Z,4,0
IIJb-qYUlQg,UgwFquGwkBr6beLMEWJ4AaABAg,"Leeds can definitely stay up, if they continue to perform like this",@MercwtmMCFC,2025-12-28T16:57:42Z,28,1
IIJb-qYUlQg,UgwF_2fRVcQOVFy8FPV4AaABAg,What a hard fought game. What you want to see in a match,@bryceellis112,2025-12-28T16:56:55Z,5,1
IIJb-qYUlQg,UgzT7leWF5PL9ItB2Gl4AaABAg,never been this early to highlights 😭😂,@braydensloan304,2025-12-28T16:50:59Z,6,0
IIJb-qYUlQg,UgyukHH8X7fSFkSgvvd4AaABAg,Two promoted teams giving us one of the more entertaining games in the Prem this season,@Vociferous,2025-12-28T16:49:20Z,147,0
IIJb-qYUlQg,UgyNourSBCv6jt2oAXt4AaABAg,Leeds can survive if they continue this performance,@Sweetkwami357,2025-12-28T16:47:54Z,87,0
IIJb-qYUlQg,UgwaBmBMSJW8Q11zGbx4AaABAg,"Xhaka still got it 🎉🎉
What a pass to Adingra for the goal",@Sweetkwami357,2025-12-28T16:47:22Z,11,0
IIJb-qYUlQg,Ugwvv4cU9LRDbNXKFYB4AaABAg,Leeds will done,@DsmokE.90,2025-12-28T16:47:08Z,1,0
