video_id,comment_id,reply_id,reply_content,author,published_at,like_count
LLkWtYeGVgA,UgwibUYY8YWd-BHVB814AaABAg,UgwibUYY8YWd-BHVB814AaABAg.AJweha6X8cnAJyfjga8qYI,Works out like every year 😂,@Sanji66,2025-06-29T23:10:43Z,0
LLkWtYeGVgA,UgwT3pRRmYuZon3hmYN4AaABAg,UgwT3pRRmYuZon3hmYN4AaABAg.AJ-3KVh421JAJ2Ra4sdK-d,@nezoria4624 Hein voilà 🤣,@arnodil5325,2025-06-06T23:03:09Z,0
LLkWtYeGVgA,UgwjugZ9iVlSF4SzSMF4AaABAg,UgwjugZ9iVlSF4SzSMF4AaABAg.AIqXhuY45j0AK1nv46cBWf,The team that beat Liverpool was always going to win,@Disconnected.Roamer,2025-07-01T13:39:08Z,0
LLkWtYeGVgA,UgxRXOLFWnzNBYgD8V54AaABAg,UgxRXOLFWnzNBYgD8V54AaABAg.AIndpVwFg-RAIngUbd0vv5,@R-Catania I guess so,@ArtzyDrawings,2025-05-31T20:14:13Z,0
LLkWtYeGVgA,UgxRXOLFWnzNBYgD8V54AaABAg,UgxRXOLFWnzNBYgD8V54AaABAg.AIndpVwFg-RAIngkpMSlLE,@ArtzyDrawingsIm proud of psg,@R-Catania,2025-05-31T20:16:34Z,0
LLkWtYeGVgA,UgxyIVNZVTBXLBrof3p4AaABAg,UgxyIVNZVTBXLBrof3p4AaABAg.AHs9dtqbMn_AHsE_gSNvoo,@joegillian2712 down bad,@__sw__1,2025-05-08T18:06:27Z,0
LLkWtYeGVgA,UgxabQqdzq1CvAd1rsR4AaABAg,UgxabQqdzq1CvAd1rsR4AaABAg.AHqrbagO-brAHqyfzaYYha,"That's like calling ppl crazy for betting Celtics, okc, cavs, and Timberwolves to win 1st home game",@davidcartagena1272,2025-05-08T06:19:32Z,0
LLkWtYeGVgA,UgzznvhzvpDyo2CYY7h4AaABAg,UgzznvhzvpDyo2CYY7h4AaABAg.AHnXMyRa5y6AHpNaNjuVvv,😂😂😂 I’m here for it,@simba8665,2025-05-07T15:27:28Z,1
LLkWtYeGVgA,UgzznvhzvpDyo2CYY7h4AaABAg,UgzznvhzvpDyo2CYY7h4AaABAg.AHnXMyRa5y6AHrMqilSEQx,☕🐸,@acharich,2025-05-08T09:59:27Z,1
LLkWtYeGVgA,UgzznvhzvpDyo2CYY7h4AaABAg,UgzznvhzvpDyo2CYY7h4AaABAg.AHnXMyRa5y6AIr1tVY2gkf,Yeah like milk 😂,@josiptadic8554,2025-06-02T03:27:43Z,0
LLkWtYeGVgA,UgzznvhzvpDyo2CYY7h4AaABAg,UgzznvhzvpDyo2CYY7h4AaABAg.AHnXMyRa5y6AP8THvSH_Xy,"Your comment made me worry, because I realized that I don't even know who won the Champions league this year. I guess it wasn't Real Madrid",@Formula7Driver,2025-11-05T10:21:49Z,0
LLkWtYeGVgA,UgxscgTbs5jbl03gRYt4AaABAg,UgxscgTbs5jbl03gRYt4AaABAg.AHmhN7ZUj33AHnHlTj0ytR,You saying she hot?,@ronaldovcqedits,2025-05-06T19:58:04Z,0
LLkWtYeGVgA,UgxscgTbs5jbl03gRYt4AaABAg,UgxscgTbs5jbl03gRYt4AaABAg.AHmhN7ZUj33AHnXtU_NeAW,@ronaldovcqeditsyes 😂,@HayManned,2025-05-06T22:18:59Z,0
LLkWtYeGVgA,UgxscgTbs5jbl03gRYt4AaABAg,UgxscgTbs5jbl03gRYt4AaABAg.AHmhN7ZUj33AHnYK1a_WQi,@HayManned  oh cuz I thought you was saying she was bad at predicting,@ronaldovcqedits,2025-05-06T22:22:44Z,0
LLkWtYeGVgA,Ugz_W-t-ihQZq8X0WPB4AaABAg,Ugz_W-t-ihQZq8X0WPB4AaABAg.AHhhCDmJDF8AHmhOSF6w9h,It's 2025 not 2021,@HayManned,2025-05-06T14:31:29Z,0
LLkWtYeGVgA,UgxSl-QMtU_T8GsU4MJ4AaABAg,UgxSl-QMtU_T8GsU4MJ4AaABAg.AHbjrt83d0WAHblgx1MoS7,@emwi8743 Barca v/s PSG Final confirm,@ayush_0428,2025-05-02T08:37:27Z,0
LLkWtYeGVgA,UgxSl-QMtU_T8GsU4MJ4AaABAg,UgxSl-QMtU_T8GsU4MJ4AaABAg.AHbjrt83d0WAHcANEP_lqC,@ayush_0428 don't underestimate Inter but if it.goes.the normal.way this.could be the final. Arsenal won't come back..Inter'd need another terrific night,@emwi8743,2025-05-02T12:21:49Z,1
LLkWtYeGVgA,UgwsE2jDcxEcWOQ-yVR4AaABAg,UgwsE2jDcxEcWOQ-yVR4AaABAg.AHXLCiW06w0AHrapODqn6e,“THAN”!!!!!!!!,@hugq14,2025-05-08T12:10:20Z,0
LLkWtYeGVgA,UgwsE2jDcxEcWOQ-yVR4AaABAg,UgwsE2jDcxEcWOQ-yVR4AaABAg.AHXLCiW06w0AIuaZwpLFt3,So you’re saying your prediction is better?,@IsakTheIce,2025-06-03T12:37:12Z,0
LLkWtYeGVgA,UgzBH83ElJg_S72dhxl4AaABAg,UgzBH83ElJg_S72dhxl4AaABAg.AHG7W5e7L45AHHNie0oCaR,Which hair,@koala322,2025-04-24T01:15:11Z,0
LLkWtYeGVgA,UgzBH83ElJg_S72dhxl4AaABAg,UgzBH83ElJg_S72dhxl4AaABAg.AHG7W5e7L45AHHmHZ_pH9x,@koala322  huh. The hair on her head bro?,@nullprophet10,2025-04-24T04:58:32Z,0
LLkWtYeGVgA,UgzNVXadF_O_D-_JqNR4AaABAg,UgzNVXadF_O_D-_JqNR4AaABAg.AH3rustnUqAAH45FP6tgbH,netflix fc,@izmont6021,2025-04-18T21:23:38Z,0
LLkWtYeGVgA,UgweFPcdQZK0_baLVf54AaABAg,UgweFPcdQZK0_baLVf54AaABAg.AH27op5hoXzAH3VedVGheq,madrid fan and u said vardrid🤨,@blackeagle5392,2025-04-18T15:55:10Z,0
LLkWtYeGVgA,UgweFPcdQZK0_baLVf54AaABAg,UgweFPcdQZK0_baLVf54AaABAg.AH27op5hoXzAH3Y-BVd4B-,@blackeagle5392  I admit that,@medojordan2089,2025-04-18T16:15:35Z,0
LLkWtYeGVgA,Ugy-E_KATA6jWU6aaJV4AaABAg,Ugy-E_KATA6jWU6aaJV4AaABAg.AH19IyOCzIDAH6O4GbbORx,Arsenal cooking,@aboody9191,2025-04-19T18:46:37Z,5
LLkWtYeGVgA,Ugy-E_KATA6jWU6aaJV4AaABAg,Ugy-E_KATA6jWU6aaJV4AaABAg.AH19IyOCzIDAHDHLcrbfJO,@aboody9191  PSG/Inter or Barca about to turn the cooker off mate 🙃,@NevilleGlitter,2025-04-22T11:02:31Z,0
