video_id,comment_id,comment_content,author,published_at,like_count,reply_count
NuFSUV9Qj_A,Ugz7Ej_aesPV9YqL4m94AaABAg,Hincapié is a proper player,@darilchang8915,2025-12-28T22:00:07Z,0,0
NuFSUV9Qj_A,UgziHqETYdQAOFPLGIp4AaABAg,Let’s go USA! Cruising!,@lumenmobileautodetailing4384,2025-12-28T20:03:30Z,0,0
NuFSUV9Qj_A,UgwhxwKs2hIPDhb3wsB4AaABAg,Raya’s save reminds me of Sommer’s save against Barcelona 😢😭,@rogerojo2550,2025-12-28T18:23:54Z,0,0
NuFSUV9Qj_A,UgyINyQADgryErmjN4V4AaABAg,Saka needs to stop shooting. He’s been pathetically inaccurate.,@bbbcb123,2025-12-28T15:49:59Z,0,0
NuFSUV9Qj_A,Ugxy1Ja-ph8_VjhYW1Z4AaABAg,Saka looking super predictable,@willgoldart4042,2025-12-28T14:14:53Z,0,0
NuFSUV9Qj_A,UgwS7oYykDvzkvODuyx4AaABAg,They are not feeding Gyokeres the ball. Thats why he is not scoring.,@VendettaGaming-r1p,2025-12-28T13:46:19Z,0,0
NuFSUV9Qj_A,Ugx9J7g1RJFp72XAlvB4AaABAg,4:08 Sakas first touch 💀💀🥶,@stacye8408,2025-12-28T13:14:36Z,0,0
NuFSUV9Qj_A,Ugz3UA5IdEYOP8stlcZ4AaABAg,"There are plenty of chances that Saka could have passed to G14, why so selfish ?",@xiaoli4056,2025-12-28T12:10:19Z,0,0
NuFSUV9Qj_A,UgzV6T6S-rcrfeIdsQh4AaABAg,"Arsenal must win the EPL and/or the Champions League. It is only after this happens that Raya’s save will be called world class and that Arsenal stars such as Rice, Raya, Saliba, Saka, Gabriel , Odegaard ( can we name more players?) will be called World Class. It is not too long ago that when Arsenal won several FA Cups that people considered the FA cup a second rate trophy. However, once Liverpool and City stated winning the FA cup, then everyone started to consider it a treasured trophy. The hate for Arsenal is nauseating.",@ifeposofola3043,2025-12-28T10:35:52Z,0,0
NuFSUV9Qj_A,UgyRcf8Xsd4GjnvJ8554AaABAg,Premier league refereeing is atrocious. Cant take this league seriously,@atomicgeneral,2025-12-28T10:09:39Z,0,0
NuFSUV9Qj_A,UgxooAP8QyceJQqpVb14AaABAg,45:14 : red card. brighton should be at 10 men. premier league refereeing is unprofessional,@atomicgeneral,2025-12-28T10:05:09Z,0,0
NuFSUV9Qj_A,Ugxmaw4c0iKCResDQWx4AaABAg,I think Saka and odagard have problem with gyokers they not passing him the ball wtf he is our striker and they need to assist him and arteta should do something about this,@BOQORKA-t6x,2025-12-28T10:04:34Z,0,0
NuFSUV9Qj_A,Ugz-z7bIcBSegwFdkut4AaABAg,Lovely to see odegaard back in the swing of things.,@vso7817,2025-12-28T09:09:36Z,0,0
NuFSUV9Qj_A,Ugza0nZFWTBNC67vQYV4AaABAg,Gyokeres made the same run into the box as Martinelli many times and Saka doesn’t cross,@Xiax-martian,2025-12-28T08:31:45Z,0,0
NuFSUV9Qj_A,UgwcDoUg-eMHdWG1Vnx4AaABAg,Arsenal will lose PL if Arteta keeps playing his faves and not the best lineups,@Xiax-martian,2025-12-28T08:24:25Z,0,0
NuFSUV9Qj_A,Ugwko7yOoT5L9yIreGh4AaABAg,Can't tell whether Saka is greedy or Gyokeres positioining is not good,@Tyranaway98,2025-12-28T07:42:22Z,0,0
NuFSUV9Qj_A,UgxlZG4jMGsQKmy69GJ4AaABAg,Arsenal too much miss chances will eventually kill us!!!,@AustinGreen-i9n,2025-12-28T06:58:49Z,0,0
NuFSUV9Qj_A,Ugzc2RDuW_mgShYnoDZ4AaABAg,Villa is comin tusday!,@temiadeyeye9011,2025-12-28T06:57:09Z,0,0
NuFSUV9Qj_A,UgwHzuFODSmfn4nMhWd4AaABAg,"Please, Mikel, play Merino at ST....Gyökeres is not it.",@hockeyguy26,2025-12-28T06:19:11Z,0,0
NuFSUV9Qj_A,UgxNMOD1Yn8-kQygAaV4AaABAg,"Minteh's finally gets a shot on target and still nothing for it. Raya is legit. Our 4 best attacking players(Mitoma, Minteh, Baleba, Welbeck) not starting was suicide, 0.00xG in the first half. Not the way to beat league leaders- jeez. If Arsenal can put away more chances and score 3 or 4 a game with the same strong defense, they will win the title. but these 1 goal games will include a few draws and City will punish you. Looking forward to playing at the Amex with both sides healthier.",@EnglishwithNate,2025-12-28T06:03:46Z,0,0
NuFSUV9Qj_A,Ugy130eztKlktG9yUlJ4AaABAg,Saka is selfish,@mduddin9523,2025-12-28T06:03:07Z,0,0
NuFSUV9Qj_A,UgxhRTQHUUUnuoJ0ghB4AaABAg,I see Goykoresh improving please pass the ball to him.,@gojjamtimes4014,2025-12-28T05:59:50Z,0,0
