video_id,comment_id,reply_id,reply_content,author,published_at,like_count
QNhdXnI8hJQ,Ugwph6W_mkm796902Rh4AaABAg,Ugwph6W_mkm796902Rh4AaABAg.AR-PP84WGifAR-xpJ2NL_7,all pro sports are,@o2sginc424,2025-12-21T20:07:01Z,0
QNhdXnI8hJQ,UgwXPUhPh7o-Vih5hHp4AaABAg,UgwXPUhPh7o-Vih5hHp4AaABAg.AQoTEFPq_tcAQp44hSV8Fl,As long as they are playing the game it isnt punishable,@arandomguy3222,2025-12-17T05:19:32Z,0
QNhdXnI8hJQ,Ugzukoycn7xr40bUhcN4AaABAg,Ugzukoycn7xr40bUhcN4AaABAg.AQgJPYi4oZAAQgJXJr6e2I,"Sí eso lo hace vini ,😂😂lo matan",@victorcardenas1392,2025-12-13T19:41:21Z,0
QNhdXnI8hJQ,UgyknTbpNZMzv7mBFiF4AaABAg,UgyknTbpNZMzv7mBFiF4AaABAg.AQK-b7AVfTqAQWW3J_6LEG,"👎 weil: die aussagebrichtig ist, ich aber dieses Verhalten unter der Gürtellinie ist!...
Dafür aber: ❤...trotz allem...",@erz.Samael,2025-12-09T14:59:12Z,3
QNhdXnI8hJQ,UgyknTbpNZMzv7mBFiF4AaABAg,UgyknTbpNZMzv7mBFiF4AaABAg.AQK-b7AVfTqAQe01o7HnF8,Not forget to Rudiger.,@benyistereo3727,2025-12-12T22:12:32Z,2
QNhdXnI8hJQ,UgyknTbpNZMzv7mBFiF4AaABAg,UgyknTbpNZMzv7mBFiF4AaABAg.AQK-b7AVfTqAQgC_XgVVyx,Es un fraude,@Ghftedrtb,2025-12-13T18:40:37Z,0
QNhdXnI8hJQ,UgyknTbpNZMzv7mBFiF4AaABAg,UgyknTbpNZMzv7mBFiF4AaABAg.AQK-b7AVfTqAQlG5jzakX9,Enjoying just like little kids 😅😅 like it,@HarningtoneBaraza,2025-12-15T17:47:34Z,2
QNhdXnI8hJQ,UgyknTbpNZMzv7mBFiF4AaABAg,UgyknTbpNZMzv7mBFiF4AaABAg.AQK-b7AVfTqAQmG1JR_Z2L,Jesús los ama:) Jesus loves you all:),@Seventeen187,2025-12-16T03:06:12Z,2
QNhdXnI8hJQ,UgxrxoouPA4BWo-ls-p4AaABAg,UgxrxoouPA4BWo-ls-p4AaABAg.AQBBiV8s6-LAQy2C0BehJL,And they'd still win the game + Pepe gets suspended for 3 games minimum. Being that thick headed is never good.,@Azhaan-f7,2025-12-20T16:56:13Z,0
QNhdXnI8hJQ,UgyMxwDLLg1eJtXN1kt4AaABAg,UgyMxwDLLg1eJtXN1kt4AaABAg.APsOIk7B1BuAPu_EUzvbDb,"Ich hätte ihn ordentlich in die Knochen getreten, dass er vom Platz getragen worden wäre.",@oschielinski168,2025-11-24T12:05:18Z,0
