video_id,comment_id,reply_id,reply_content,author,published_at,like_count
QUOX4uWZIMY,UgxoySCHW9TrolQlOEd4AaABAg,UgxoySCHW9TrolQlOEd4AaABAg.AQ7zp6d2k-kAQ8bWghDE90,Agree - that was screening the goalie. Gvardiol huge 👏🏼,@denisceballos9745,2025-11-30T08:13:52Z,0
QUOX4uWZIMY,UgzhEyuHZUCU-GNl8Ut4AaABAg,UgzhEyuHZUCU-GNl8Ut4AaABAg.AQ7XahOjQkFAQ7w03rQ7gC,Completely agree.,@Isaac_L..,2025-11-30T01:53:40Z,0
QUOX4uWZIMY,UgzTdpXEUuXURrQcPqt4AaABAg,UgzTdpXEUuXURrQcPqt4AaABAg.AQ7VUvWxNEFAQ7kWi1XRlC,The Accuser! Be gone!,@Peraltyssyma,2025-11-30T00:13:16Z,0
QUOX4uWZIMY,UgzTdpXEUuXURrQcPqt4AaABAg,UgzTdpXEUuXURrQcPqt4AaABAg.AQ7VUvWxNEFAQ7kXYgxJpj,In Jesus Name!,@Peraltyssyma,2025-11-30T00:13:23Z,0
QUOX4uWZIMY,UgxFx43fkpWHVPcQLnl4AaABAg,UgxFx43fkpWHVPcQLnl4AaABAg.AQ7TjGbocPmAQ7Ub83hM7_,No .The FA hates City and added time is precisely timed.,@GriefTourist,2025-11-29T21:45:28Z,0
QUOX4uWZIMY,Ugxv6oE1NrfIE728qZJ4AaABAg,Ugxv6oE1NrfIE728qZJ4AaABAg.AQ7TZIdYHauAQ7Uzf9tHzU,"absolutely, and we see more and more of these gk obstructions, don’t get it, since when is this ok?",@GM-kz4qw,2025-11-29T21:48:49Z,10
QUOX4uWZIMY,Ugxv6oE1NrfIE728qZJ4AaABAg,Ugxv6oE1NrfIE728qZJ4AaABAg.AQ7TZIdYHauAQ7ZnJV53bz,"Agreed, it is abused every single week. Honestly makes corners unexciting. You used to need a solid header to score, now you just need to whip the ball inside the 6 and mess with the goalkeeper and score off a rebound",@Pantera24CS,2025-11-29T22:30:49Z,3
QUOX4uWZIMY,Ugxv6oE1NrfIE728qZJ4AaABAg,Ugxv6oE1NrfIE728qZJ4AaABAg.AQ7TZIdYHauAQ7_LNqASSW,Arsenal have done this for every single corner and it’s okay for them 😂,@TheJonbonesjones,2025-11-29T22:35:36Z,9
QUOX4uWZIMY,Ugxv6oE1NrfIE728qZJ4AaABAg,Ugxv6oE1NrfIE728qZJ4AaABAg.AQ7TZIdYHauAQ7adH-egfV,Arsenal does it worst for every corner. Which probably makes up 50-75% of all their goals scored.,@flipsazo,2025-11-29T22:46:55Z,8
QUOX4uWZIMY,Ugxv6oE1NrfIE728qZJ4AaABAg,Ugxv6oE1NrfIE728qZJ4AaABAg.AQ7TZIdYHauAQ7e2ywCA64,"@flipsazowell that is just cap,  you can go and watch our games mate",@IQ.trivia225,2025-11-29T23:16:47Z,0
