video_id,comment_id,comment_content,author,published_at,like_count,reply_count
QroJC82FVyc,UgxV3cMlCFF39vkEfRd4AaABAg,"Different players, different manager, same Man U losing mentality.",@skyhigh6089,2025-12-22T18:25:21Z,0,0
QroJC82FVyc,UgwydNNz0dS6QZFvlsJ4AaABAg,"Being a united man might suck now but it sucked for a lot of teams in the past to, but also the league is different now. All about money no love I bet if everyone in comments had a chance to play we would leave blood on the pitch",@colbybehrns2043,2025-12-22T01:07:29Z,0,0
QroJC82FVyc,UgxpItRa_VULCGWp5z14AaABAg,And I would like to apologize to Ruben Amorim for thinking I could do his job to end this year and to go into the new year! Happy Holidays!🥳,@aaronnyakaanablair,2025-12-21T10:57:09Z,0,0
QroJC82FVyc,UgxLaNGDhNDXJ16rf8Z4AaABAg,I'm a Liverpool fan who can put aside rivalries and just say isn't it nice to enjoy watching a football match.,@sarnobat2000,2025-12-20T07:35:34Z,1,0
QroJC82FVyc,UgyHfqaccWnmEShPIoB4AaABAg,Bruno had to show how its done🔥🔥,@aryanshrestha7750,2025-12-19T21:03:33Z,0,0
QroJC82FVyc,UgyPH5zAUGNV0bE20xN4AaABAg,"my favorite under-appreciated yet crucial players are Tavernier (Bournemouth), Wilson (Fulham). AND HE SCORES A FK 😈😈😈",@PataMuncher,2025-12-19T16:11:57Z,0,0
QroJC82FVyc,Ugxiwmxq7yd8Dss02g94AaABAg,That isn't a handball...,@nolangames13,2025-12-19T14:48:28Z,0,0
QroJC82FVyc,UgzDBUkMST2Hha1ljnZ4AaABAg,auedi ya uedi,@jitendrakumar2917,2025-12-19T08:45:12Z,0,0
QroJC82FVyc,UgzXnqANfFxEpE8DFBN4AaABAg,"Back on FC26, fav team is United had to come and see why i keep losing. Our GK is crap 😂😂",@BandoMile,2025-12-19T02:05:14Z,0,0
QroJC82FVyc,UgzmyHgMyttTQDclBhh4AaABAg,Man U attack looked phenomenal at times. Some flashes of brilliance.,@misterhaze,2025-12-19T00:03:39Z,1,0
QroJC82FVyc,UgxPv5bn_hCttJ7hWON4AaABAg,Am i watched FC 26 ?! 🙄,@aparat0com7suhi1,2025-12-18T17:44:31Z,0,0
QroJC82FVyc,UgysmCWe294iXrjp7_J4AaABAg,Sell every useless player and buy a good center back please,@Lucas-lv4iz,2025-12-18T10:00:12Z,0,0
QroJC82FVyc,UgzTDbak9naDSEpbir54AaABAg,Diakité's dummy on the Tavanier free kick was genius. I'm guessing a few other teams will give that one a go!,@ericdugdale1243,2025-12-18T02:49:36Z,0,0
QroJC82FVyc,UgxQDE6ci-BWXG8OsgV4AaABAg,🤨,@mizeria80,2025-12-18T01:40:27Z,0,0
QroJC82FVyc,UgwMsMM8v8NdyipuDep4AaABAg,United bailed out by the refs once again,@PeterNSpaulding,2025-12-18T01:29:31Z,0,0
QroJC82FVyc,Ugwv4IkeEOGiPOUTUyd4AaABAg,"Is it just me, or does this match seem like it could have been 8-8?",@jonboxleitner7354,2025-12-18T00:41:43Z,0,0
QroJC82FVyc,UgynWv6cwmPkpWto1NF4AaABAg,Semenyo should’ve gone for glory at the end,@LandonVicente-m1d,2025-12-18T00:13:40Z,0,0
QroJC82FVyc,Ugwz6x_sJBdNM44lTsJ4AaABAg,"Andre Onana's replacement has never kept a clean sheet hahahaha and keeps absorbing the goals with no merci. Hope the goalkeeper is not still the issue hahahahaha, where is the fan club?",@Blessedp-n6v,2025-12-18T00:05:21Z,0,0
QroJC82FVyc,UgxYZJwhtXMsGwqCVAN4AaABAg,"As a neutral, I almost feel like Man United should have spent their money on other players than Cunha, Mbeumo, and Sesko. Just seem to be square pegs being forced into round holes. Just feels off. Good players, but it feels like the wrong club. I dunno.",@jordanheale7479,2025-12-17T23:36:04Z,0,0
QroJC82FVyc,Ugwx1-q3tldE0vs-GXZ4AaABAg,Bournemouth got robbed!  That handball call was rubbish.,@simontemplar3359,2025-12-17T22:52:04Z,0,0
QroJC82FVyc,Ugwh-kOmLaxwcvGKrMt4AaABAg,"Man city fans
 👇",@NicksShortFilms986,2025-12-17T21:20:55Z,0,0
QroJC82FVyc,UgzWP4czqzsIzTc_S7R4AaABAg,MOTM: Refs and Commentators,@lilpika1318,2025-12-17T19:32:27Z,0,0
QroJC82FVyc,UgyX1x9_UIubC9ski5N4AaABAg,4   3 to bournemouth. VARrchester again.,@notekase4691,2025-12-17T19:28:47Z,0,0
QroJC82FVyc,UgyZvs0MaZq4qqkTV_54AaABAg,What a fucking game 🔥 love premier league,@joseluismunoz7741,2025-12-17T17:47:05Z,0,0
QroJC82FVyc,UgyPIndV0ifoiJEIZRB4AaABAg,"I had to watch the highlights of this match because of the carriage dispute between NBC UNIVERSAL and Fubo. Because they don't have enough money, you know.",@toddmartindale8703,2025-12-17T12:04:01Z,0,0
QroJC82FVyc,UgwL9ET05TR-Simmjkp4AaABAg,We’re really missing De Ligt and Maguire rn,@DktbniAmien,2025-12-17T10:25:01Z,0,0
QroJC82FVyc,Ugwtt6kO7RGKR5bA9p54AaABAg,GGMU,@idariush16,2025-12-17T09:57:25Z,0,0
QroJC82FVyc,Ugw7FlzLa_R5uthwCG54AaABAg,Manchester United got so lucky my the boys don’t know how to curve and man they gotta do volley practices can’t even hit target on strong foot 🤣🤣😭😭,@Honestzenpro,2025-12-17T09:51:55Z,0,0
QroJC82FVyc,UgyWLsY1YdIk4WslnYN4AaABAg,11:59 Aura! Crowd calling his name before the freekick. Postage stamp! 😮‍💨,@08LilDra,2025-12-17T08:03:05Z,0,0
QroJC82FVyc,UgwPvdsEhqQhX9eE4y14AaABAg,United CBs are not seasoned we need another Captain type of leader to sort things out when we have to defend the result,@RedDevilLPacker99,2025-12-17T07:30:30Z,0,0
QroJC82FVyc,UgwR8EY1nryu_fUZCNN4AaABAg,As a neutral that was incredible,@roembaur,2025-12-17T07:17:25Z,0,0
QroJC82FVyc,UgxT1oejC5TlPRy6bQ94AaABAg,Never a handball,@FSushi24,2025-12-17T06:41:53Z,0,0
QroJC82FVyc,Ugw2RBAgFQxJMgJ5PHB4AaABAg,"SACK CASEMIRO
SACK BRUNO FERNANDEZ",@FraudData,2025-12-17T06:12:29Z,0,0
QroJC82FVyc,UgwlYImRv8EYYb0IyFZ4AaABAg,One best game in the whole season,@abehusain1607,2025-12-17T04:47:35Z,0,0
QroJC82FVyc,UgxbQz1aYHyfqeQ__oB4AaABAg,"Un exemple de match de "" premier league  "" . Beaucoup d'engagement et  d'intensité entre les 2 rivales .",@emmanueljeancharles1844,2025-12-17T04:23:03Z,0,0
QroJC82FVyc,UgzAqlOIzLs1C3M26bx4AaABAg,Watching that POS Dalot on the floor for the second goal. 😂😂😂,@michaelburgess6122,2025-12-17T03:24:20Z,0,0
QroJC82FVyc,Ugx7Gy_2-nvLYdGSOq54AaABAg,Keeper saw Bruno look top left and Bruno knew it 😂,@JRipsTCG,2025-12-17T03:20:00Z,0,0
QroJC82FVyc,UgxxX3fe7bppCTJe-xh4AaABAg,😂,@dianamunozdezapata795,2025-12-17T03:17:57Z,0,0
QroJC82FVyc,UgzQGYeP75zzzH4A8QB4AaABAg,actually fun to watch mu again,@xxmahir3000xx,2025-12-17T03:09:10Z,1,0
QroJC82FVyc,Ugz4hPVzcuZFw2F_68t4AaABAg,Casemiro 😂😂😂 dirty player always 😂😂😂,@kalichem4348,2025-12-17T02:38:42Z,0,0
QroJC82FVyc,UgzGJXWTY99Tf9yXMf14AaABAg,half of this video is bruno fernandes appealing for calls,@wibble03,2025-12-17T02:06:03Z,0,0
QroJC82FVyc,UgwN1e3soaFL0RG0pbh4AaABAg,Bruno’s incessant bitching is insufferable.,@mustardking20,2025-12-17T02:01:41Z,0,0
QroJC82FVyc,UgxfUlQHNmXlPZTuOAV4AaABAg,a classic,@-jamie-9896,2025-12-17T01:23:32Z,0,0
QroJC82FVyc,UgwMt8y8N8JZI7XMXSB4AaABAg,Brilliant match . Salute to both teams and especially the Man United goalie,@JuniorRodigan,2025-12-17T01:22:31Z,0,0
QroJC82FVyc,Ugw-fXTjpa67HoUVQJJ4AaABAg,12:03 what a shot man...I don't even like him 😂,@vdannyv,2025-12-17T01:05:22Z,0,0
QroJC82FVyc,Ugwzmv_kxrhnKvlbscl4AaABAg,Casimiro deserved red card?!!!,@kadad5220,2025-12-17T00:42:19Z,0,0
QroJC82FVyc,UgxU4K1-tq8svSvPOTh4AaABAg,Untied gifted another goal lol,@Boxxymeerkat,2025-12-17T00:24:22Z,0,0
QroJC82FVyc,UgwMuOQotfZayFfW6PN4AaABAg,MU didnt deserve even the point they were given,@mporter2059,2025-12-17T00:21:25Z,0,0
