video_id,comment_id,comment_content,author,published_at,like_count,reply_count
VGGa-scpPrk,UgzBcpv9un38XlA_nCV4AaABAg,Liverpool got cooked,@ziaansari2630,2025-12-24T09:57:06Z,0,0
VGGa-scpPrk,UgzXs5YpkjzEHFzGVy54AaABAg,"ESTEWOW👽, the magnificent genius",@Wolverine-s2i,2025-11-20T08:41:39Z,2,0
VGGa-scpPrk,UgyVlDzgyAAiZv2ym3F4AaABAg,❤,@MideSammy,2025-11-17T18:07:01Z,1,0
VGGa-scpPrk,Ugy2BXCQtWC3ZRv_Va54AaABAg,❤,@MideSammy,2025-11-17T18:02:36Z,1,0
VGGa-scpPrk,Ugw4QozlaTaBMZBcpbV4AaABAg,to bad he is going to real madrid next year . fell sorry for the blues fans,@kikosantos-us1dr,2025-11-16T13:12:10Z,1,0
VGGa-scpPrk,UgxnjrRlvqauDhGcDyF4AaABAg,Enzo and maresca are good? Chale the boys are good?,@JosephMensah-p9l1j,2025-11-14T05:37:58Z,1,0
VGGa-scpPrk,UgzEu81y7IAqaONaVMZ4AaABAg,"Me - Doctor what do I take for my cold
Doctor - watch this match 3 times daily . One in the morning, afternoon and night. 😮😂",@Martswitch,2025-11-02T07:35:24Z,2,0
VGGa-scpPrk,Ugx4dsUNiEJMN8gYuRl4AaABAg,I’m here for the 2million times to watch this highlight before I start my day😅,@Martswitch,2025-10-25T10:40:12Z,3,0
VGGa-scpPrk,Ugw3biGXMQTc2V3E7qh4AaABAg,Estevao!!,@devid7300,2025-10-17T06:47:38Z,1,0
VGGa-scpPrk,UgzTm65Cgujyt3JsWuF4AaABAg,Chelsea fc forever 💙,@NgabonzizaStove,2025-10-16T15:37:23Z,1,0
