video_id,comment_id,comment_content,author,published_at,like_count,reply_count
VNgX75IXRIg,UgyHkRiOsKRCBS5g6u54AaABAg,Nah barca first and Bayern 8 no im a Madrid fan and Bayern deserves more and barca 1 no it could be Bayern at 1 or arsenal,@Juski24-bit,2025-12-26T08:44:01Z,0,0
VNgX75IXRIg,Ugw_dMcv9IZDiM7VlOp4AaABAg,No Bayern is second Arsenal first,@GliROGMapping,2025-12-25T11:11:41Z,0,0
VNgX75IXRIg,UgxzB_r6HUthSj05D6p4AaABAg,Wow such an Barca Glazer.,@LeonGaming8_RBLXshorts,2025-12-25T10:29:04Z,0,0
VNgX75IXRIg,UgxEo_VPOh-BRv1GlCF4AaABAg,8th bayern is crazy..,@rui-l2l,2025-12-25T08:16:02Z,0,0
VNgX75IXRIg,Ugwff71l5-m6OeHm0vZ4AaABAg,New galacticos 🥀🥀,@tendayitaurai6593,2025-12-25T04:55:58Z,0,0
VNgX75IXRIg,UgzhBtnHzshsJu5PPg14AaABAg,10th chelsea!? They just won the cwc,@Minute_Dark,2025-12-24T05:26:45Z,0,0
VNgX75IXRIg,Ugz_eXsoMKn-CuifDy14AaABAg,I agree Visca Barça 💙❤️,@Dani_Editz777,2025-12-23T10:14:29Z,1,0
VNgX75IXRIg,UgxEw4RXwy1q9XAuVC94AaABAg,Barcelona,@Spajdi120,2025-12-23T10:11:25Z,0,0
VNgX75IXRIg,Ugx--PNHosV2zGa5PXN4AaABAg,Are you guys drunk???,@Blader-w6j2c,2025-12-23T08:56:56Z,0,0
VNgX75IXRIg,UgwsIB_0Ro2SqSWu7rx4AaABAg,"5 is Chelsea
4 is Inter 
3 is barca 
2 is real madrite 
1 is bayen psg end arsenal",@OmerKurtishi,2025-12-23T07:00:56Z,0,0
VNgX75IXRIg,Ugxgmf6Xm0RhMY5KcbV4AaABAg,That me rate top 5 2026 ho is gonna win the ucl,@OmerKurtishi,2025-12-23T06:58:26Z,0,0
VNgX75IXRIg,Ugz7i32fDlhjMvIzpFB4AaABAg,I'm a barca fan,@OmerKurtishi,2025-12-23T06:57:50Z,0,0
VNgX75IXRIg,UgwUi46w0AqxgnjbS-J4AaABAg,Bro barcelona will not win,@OmerKurtishi,2025-12-23T06:57:34Z,0,0
VNgX75IXRIg,UgyJNbaxNmDyZScwKGF4AaABAg,Arsenal 1,@vOOOney,2025-12-22T22:09:49Z,0,0
VNgX75IXRIg,UgyWE_p0NAZZJ3seeT94AaABAg,Bro this is football,@Bsking-k4v,2025-12-22T11:30:30Z,0,0
VNgX75IXRIg,UgzXDjxCws5izivYr4h4AaABAg,Visca Barca Y Visca Catalunya❤💙,@BeastxNp7,2025-12-21T16:42:47Z,0,0
VNgX75IXRIg,UgwkGwBY8VuXY1ZqMRV4AaABAg,We all know the league is for arsenal or Bayern,@ChiomaRuth-kl2ed,2025-12-21T16:00:08Z,0,0
VNgX75IXRIg,Ugwudkwl2mP3jQ7vPYp4AaABAg,Barsa❤,@RisolaTyrayeva,2025-12-21T06:37:10Z,0,0
VNgX75IXRIg,Ugx5ieLnDkUOLWIsTUV4AaABAg,1 th : BAYERN! ❤❤,@Randomgyerek-98k30,2025-12-20T19:13:40Z,0,0
VNgX75IXRIg,Ugzz57BlEGCRZaHjHil4AaABAg,Happy birthday mbappe! ❤❤,@Randomgyerek-98k30,2025-12-20T19:12:56Z,0,0
VNgX75IXRIg,UgwGuqZ9IVRHrbUybu54AaABAg,"As a Madrid fan,  RMA doesn’t deserve the 2nd spot and Barca also doesn’t deserve the 1st spot",@TheW-Man,2025-12-20T15:35:43Z,0,0
VNgX75IXRIg,UgzAQwRMoYNWqOpJXFR4AaABAg,Barca have not won in 10years,@Gaot9,2025-12-20T07:29:53Z,0,0
VNgX75IXRIg,UgxB9S8UayTPiAjW3fx4AaABAg,"1arsnal
2bayern
3psg
4real madrid 
5chelsea
6barcelona
7man city
8inter milan 
9liverpool
10atletico madrid",@UmarUmar-i1t6k,2025-12-19T19:51:58Z,0,0
VNgX75IXRIg,Ugyt8Uqwpelc2oQXE1J4AaABAg,Bro completely forgot psg,@AlisunZanjiran,2025-12-19T08:08:23Z,0,0
VNgX75IXRIg,Ugwf3g8Ps9pSrrmDjxB4AaABAg,arsenal 7,@MwakaHumphreyJrKaumba,2025-12-19T07:53:06Z,0,0
VNgX75IXRIg,Ugz1d40z4rGULI3qBb54AaABAg,It's a very high percentage for Chelsea unless they playing against not that good teams,@LiLBlackRice,2025-12-18T09:10:25Z,0,0
VNgX75IXRIg,UgxOQ3u62Rg9eX2hcZ54AaABAg,"2025/2026:Unknown...
2024/2025:PSG
2023/2024:Real Madrid
2022/2023: Manchester City
2021/2022:Real Madrid
2020/2021:Chelsea",@BangkokCity-t4u,2025-12-18T08:18:50Z,0,0
VNgX75IXRIg,UgyT4Mgh3kCd1jnx55B4AaABAg,For me Bayern or Arsenal will win,@AlexMeow87,2025-12-16T10:06:10Z,1,0
VNgX75IXRIg,Ugx8LlmfHW8Eu_ya6rp4AaABAg,All Fake Arsenal 1 Bayern 2!,@Momomis-z2h,2025-12-15T14:44:56Z,1,0
VNgX75IXRIg,UgwlQ1OTB7EIbwHeSlR4AaABAg,Arsenal,@MR.FOOTBALL-14,2025-12-14T19:27:46Z,0,0
VNgX75IXRIg,Ugwb_gH6tJsAGdehoAF4AaABAg,Newcastle 😢,@masterabdel,2025-12-14T11:23:16Z,0,0
