video_id,comment_id,reply_id,reply_content,author,published_at,like_count
X1M9NUrZjeo,UgxrCElpF17ATQY_fOZ4AaABAg,UgxrCElpF17ATQY_fOZ4AaABAg.ARGuGLL3pYeARHBcMlG-91,😂😂😂 you..!!!,@pangeran_alfan16,2025-12-28T12:43:24Z,0
X1M9NUrZjeo,UgwJfc7enGsvrZ9mAtd4AaABAg,UgwJfc7enGsvrZ9mAtd4AaABAg.AREp_inWLETARFVLgSGxTy,Shut up 😡,@SandraVamosova,2025-12-27T20:57:16Z,0
X1M9NUrZjeo,UgzbAquToMCtVGn7h-R4AaABAg,UgzbAquToMCtVGn7h-R4AaABAg.AREUibZjZRYAREVMW_b1W-,Still a win,@cricket3006,2025-12-27T11:38:09Z,0
X1M9NUrZjeo,UgzbAquToMCtVGn7h-R4AaABAg,UgzbAquToMCtVGn7h-R4AaABAg.AREUibZjZRYAREXH6DzNHM,@cricket3006yeah but if you like mediocre players then u will be fine do u think for a second this side can play against top teams & win then sorry mate u & fans like u are delusional living on hope sorry mate god bless & have a great 2026🙏💪🏿,@ChicoFrancis-be5fh,2025-12-27T11:54:53Z,1
X1M9NUrZjeo,UgzbAquToMCtVGn7h-R4AaABAg,UgzbAquToMCtVGn7h-R4AaABAg.AREUibZjZRYAREsSbYyojo,​@ChicoFrancis-be5fhstill 3 points but you have to care about your team rather than my team it's my duty to criticize and praise about him instead look at your team placing on 11 position and talking about others,@cricket3006,2025-12-27T15:08:42Z,0
X1M9NUrZjeo,UgwcsJRlDIEWUIIgSZZ4AaABAg,UgwcsJRlDIEWUIIgSZZ4AaABAg.AREFDDLElNNAREOdONQ4vD,"You know nothing about teams in the league, imagine you labelling united a weak home team on boxing day, if not for the missed chances united would have scored 3 goals against  a club who think they're  part of the big clubs, in my area, in my continent there's no single person that is a fan of newcastle that's how small we see them as a club😂😂😂",@ogee2863,2025-12-27T10:39:25Z,1
X1M9NUrZjeo,UgwcsJRlDIEWUIIgSZZ4AaABAg,UgwcsJRlDIEWUIIgSZZ4AaABAg.AREFDDLElNNAREePwI-2kC,"@o@ogee2863 You’ve hit the nail on the head, and it only confirms what I’ve been saying. If Newcastle are supposed to be a “small club”, then it’s frankly embarrassing for a Man Utd fan to watch their team at Old Trafford on Boxing Day dig in for an entire second half and live off counter-attacks.

Newcastle weren’t even pressing hard - Man Utd just dropped deep and stopped playing. If clubs like PSG, Barca, City, Real or Bayern did that at home, they’d be booed off. It says everything about where Man Utd are in the pecking order these days: miles off the top. And yes, it’s embarrassing.

I’ll bet you won’t see another Newcastle away game this season where they have 75% possession for a full half and completely run the show. I’d even argue Everton, despite losing 4–1, looked better than the Man Utd side we saw yesterday. This was a game Newcastle had to win - chances don’t come much bigger than this.",@MadRunner-n9d,2025-12-27T13:06:00Z,0
X1M9NUrZjeo,UgwcsJRlDIEWUIIgSZZ4AaABAg,UgwcsJRlDIEWUIIgSZZ4AaABAg.AREFDDLElNNARHUKBwN7Ao,"​@MadRunner-n9d keep deceiving your self, united lost three important players to afcon and still had some of their starting defenders and captain on injury, they new their situation and how to cope with it some time we have to rearrange our philosophy to navigate, same newcaster that got points against city and chelsea, united showed they're more mature by allowing castle to do the play while they do the scoring thats while they're bigger club, you don't fight your opponent with blows if your hands are down, you just have to wait patiently and make that big leg kick, strategy is not weakness but smartness",@ogee2863,2025-12-28T15:26:49Z,0
X1M9NUrZjeo,UgwcsJRlDIEWUIIgSZZ4AaABAg,UgwcsJRlDIEWUIIgSZZ4AaABAg.AREFDDLElNNARHqfwDiN_V,"@ogee2863 Man Utd have become a thoroughly mediocre side. We saw it ourselves last season when Newcastle humiliated them on two occasions. And the fear of a repeat was plain to see in their extremely destructive approach to the second half on Friday. It’s hard to take you seriously when you’ve clearly only watched the highlights and haven’t experienced them sitting passively and waiting deep in their own half for an entire half. That some Man Utd fans accept this because a few players were missing (due to injuries and AFCON - yet still fewer in total than Newcastle have on their injury list) only shows how far the club has sunk over recent seasons.

It must really hurt you painfully to watch Newcastle, with many injuries, grind through the first half of the season playing roughly every 3-4 days because of the League Cup and Champions League matches - matches Man Utd can only look at and dream about - while at the same time having completely fresh legs for every weekend game. That’s the only reason Man Utd are currently just about hanging on in the top half and a solid four points away from dropping out of the top 10.

If you ask the average Newcastle fan, I’m pretty sure Man Utd aren’t a club they have particularly impressive thoughts about. The focus is aimed forward toward much bigger clubs that Newcastle want to compare themselves with in the future.",@MadRunner-n9d,2025-12-28T18:50:54Z,0
X1M9NUrZjeo,UgzGaH-_oijHG15I2ix4AaABAg,UgzGaH-_oijHG15I2ix4AaABAg.ARE5kidd319AREFsVEgQwf,"Wouldn't brag to much  , we dominated the game , just couldn't finish . Your team are crap.",@bobatwell7505,2025-12-27T09:22:50Z,0
