video_id,comment_id,comment_content,author,published_at,like_count,reply_count
au2MTlth520,UgyRpfZqOFlXUXcrvaF4AaABAg,Perfecto es Dios más nadie ni más nada 🙏🙏🙏❤❤❤,@SebastiaDelgado-f2m,2025-12-26T01:29:31Z,0,0
au2MTlth520,UgwcNnODqo2Kw9ZVVf14AaABAg,Como,@RigboyOficial27,2025-11-13T16:58:24Z,0,0
au2MTlth520,UgxjdKA2MsRilxntpBR4AaABAg,"Liverpool 1 - 2 Manchester United / MINUTOS DEL GOL 
⏱ 1° Tiempo
0:01 • 1° Gol / 0 - 1 / Manchester United / 2' / Bryan Mbeumo 
⏱ 2° Tiempo 
7:51 • 2° Gol / 1 - 1 / Liverpool / 78' / Cody Gakpo
8:53 • 3° Gol / 1 - 2 / Manchester United / 84' / Harry Maguire",@ianjesus8518,2025-11-13T15:51:04Z,0,0
au2MTlth520,UgzkAxuulN_3b9DiaBF4AaABAg,El jajaschester Utd le gana al Ñivepal 😂,@danielacardoza3598,2025-11-02T15:59:28Z,0,0
au2MTlth520,Ugx3i4Jrge_GobGnwEF4AaABAg,"Burlas, risas, memes..... Y ahora a CALLAR 💀
-Harry Maguire ☠️",@GP147productions,2025-11-02T13:52:19Z,0,0
au2MTlth520,UgzUYgyZ4GvJNyD2cxF4AaABAg,Que leyenda que es Maguire 🔥🔥🔥,@10Sesk,2025-11-02T12:56:07Z,0,0
au2MTlth520,UgywD54RfcW8_f8MRN94AaABAg,BUEE DAVO SI SABE DE FÚTBOL,@JuniorDanielLlontop,2025-10-25T13:24:41Z,0,0
au2MTlth520,Ugxd_PyWyQ21SaEY0hp4AaABAg,Harry Sets salvando al united,@bastysempay,2025-10-25T03:38:36Z,0,0
au2MTlth520,UgwKCyvNcptD9tCIzSJ4AaABAg,Ésto si es fútbol ❤🎉,@DaniloMercado-w5g,2025-10-24T23:49:00Z,0,0
au2MTlth520,UgxkXWnOn-H2KaiTDHx4AaABAg,la mejor liga del mundo 😻❤,@DaniloMercado-w5g,2025-10-24T23:48:45Z,0,0
au2MTlth520,UgzuaZkFDZxdNd-xzq94AaABAg,Los que hablan mal del united no saben lo inmenso que es hermano Amo el fútbol y este equipo es uno de los mas grande de la historia saludos desde el salvador me cresi viendo estos partidos con mi abuelo 😢 allá como del 2002 asta 2015  asta que el senos fue y yo también agarre pa otros destinos,@JoséOrellana-k7f,2025-10-24T00:12:09Z,2,0
au2MTlth520,UgzdzQI2grJ1IXBPiIB4AaABAg,Parecen los juegos de la liga española.. esto si es legal dos grandes y 0 polémica nada de robos de lado de nadie.. el domingo seguramente abran polémica y a favor de quien sabe ya sabemos jaja😂,@LeoGonzalez-w6c,2025-10-23T15:39:09Z,0,0
au2MTlth520,UgxQU9r-pxUJScI_Dlp4AaABAg,la vida le da señales a gakpo,@fernandodamian505,2025-10-22T20:48:17Z,1,0
au2MTlth520,Ugy_TzFr8bCiZg96ycx4AaABAg,5:14 Como??,@Jesus1907,2025-10-22T15:38:57Z,3,0
au2MTlth520,Ugz_ddb5ikOtoEY4zwF4AaABAg,"si el Manchester no metía el segundo el partido terminaba en empate 
  - Davo Xeneize",@Alito_1010j,2025-10-22T13:30:18Z,1,0
au2MTlth520,UgxkCT5SCE-etDOphP14AaABAg,te amo MU,@jordicarhuas9338,2025-10-22T13:29:13Z,0,0
au2MTlth520,Ugx25bHuDeNe69CVj1Z4AaABAg,"Lo que perdió Liverpool con las bajas de Diogo Jota (QEPD), Arnold y, sobre todo, Lucho Diaz es totalmente evidente. De ser uno de los mejores equipos del mundo a estar hoy debajo del Arsenal en la Premier (entre otros equipos). Una pena porque el Liverpool de Klopp y del torneo pasado daba gusto verlo",@diegocoropd,2025-10-22T13:04:21Z,1,0
au2MTlth520,Ugx5J2dqsrdjG7EHSJx4AaABAg,No pueden sin lucho,@tyrywdd,2025-10-22T07:26:37Z,1,0
au2MTlth520,UgydZkVvjzr71TDGBE94AaABAg,se traba todo el comentarista esta re duro,@I.Eze.La.20.I,2025-10-22T03:34:07Z,0,0
au2MTlth520,UgxI6TWShHart1c2rp14AaABAg,"El Autogol de Slot, vender a Lucho Diaz",@alejandroprietogomez7256,2025-10-22T03:22:28Z,3,0
au2MTlth520,UgwujCJV2u3rypBjTd54AaABAg,el retorno del rey,@alanbrito5239,2025-10-21T23:42:54Z,0,0
au2MTlth520,Ugy6rK4ND1EV7z1mzaV4AaABAg,"McGuire scored to win 😂😂 oh Liverpool, that's low",@disslb,2025-10-21T22:27:20Z,0,0
au2MTlth520,UgwecRuDE_mTpXgRImJ4AaABAg,Ya este man se habrá cortado el cabello?,@KelvinClein_Culer,2025-10-21T21:09:35Z,1,0
au2MTlth520,Ugy9S338q1yIGwDorRl4AaABAg,Slot calvo hpta 🤣🤣,@ndaniels10,2025-10-21T19:10:10Z,1,1
au2MTlth520,Ugz3pSzfYizY-MBxhRp4AaABAg,GRANDE Maguire,@selfiesubsanime,2025-10-21T19:04:31Z,0,0
au2MTlth520,Ugyo1GRdguj_xbYZZ6F4AaABAg,"Es increíble como pierden contra un equipo de cuarta división y luego le ganan al Liverpool, cine",@camilorivera6532,2025-10-21T16:19:09Z,0,0
au2MTlth520,UgzPqzEfwyP_dnktd3x4AaABAg,Liverpool y Juventus están bien mal,@yandel01l,2025-10-21T15:56:51Z,0,0
au2MTlth520,UgyHVo4ACCZh7TsXbqN4AaABAg,Con Luis díaz hasta Darwin se volvía bueno 😂,@sandrasabogal4052,2025-10-21T15:23:08Z,1,0
au2MTlth520,UgzQ_cjzf-ellQUWY4h4AaABAg,"""cuando la pelota de Maguire entró al arco, ya sabia que era gol""
- Sr fiesta Xeneise",@GASTONEDULCOBRWA,2025-10-21T13:53:46Z,3,0
au2MTlth520,UgxzhxV1BtGBL2nG9p54AaABAg,Davo: hoy se come puerro para celebrar,@GASTONEDULCOBRWA,2025-10-21T13:51:22Z,2,0
au2MTlth520,UgzOasD7jOCwuqshyld4AaABAg,Ahora a ver alegre a Davo,@AdrianTarazonaJimenez-t8r,2025-10-21T12:56:09Z,0,0
au2MTlth520,UgyZgFo5yHhYzNSMJ1V4AaABAg,GANO EL EQUIPO GRANDE 👹⚽🔥,@nohadest1690,2025-10-21T12:28:55Z,2,0
au2MTlth520,Ugwp16RvLOM300-2xgl4AaABAg,No entiendo tioncqda que entra chiesa el Liverpool hace gol y enserio no juega de titular? Vaya hostoa,@nadwarricardocalvoramos9106,2025-10-21T11:23:48Z,0,0
au2MTlth520,Ugxqxkj5C77YluOdjnN4AaABAg,Harry Maguire 2025 💀,@TB_TheEsteban,2025-10-21T10:51:11Z,0,0
au2MTlth520,UgxjGhgk4H5088v-PTd4AaABAg,-PERDIO EL LIVERPOOL DE MCALLISTER-,@Double0Gz,2025-10-21T09:46:24Z,2,0
au2MTlth520,UgzN6FcyWtUCfi5BVxp4AaABAg,MAMARDASHVILLI NO ES CULPABLE DE TENER UN DT TAN MEDIOCRE,@juniorcastillorosillo7013,2025-10-21T07:27:37Z,0,0
au2MTlth520,Ugzq07lQVBTUTej4mPJ4AaABAg,Es llegar el nuevo portero Lammes y cambio el United,@Bardamen,2025-10-21T06:39:51Z,0,0
au2MTlth520,Ugy-UieI34lAtxpB-9J4AaABAg,GOOOOOL DEL GOAT,@inderyesindiazcervera5399,2025-10-21T05:47:44Z,0,0
au2MTlth520,UgyOUMkHu67EWyXFPjt4AaABAg,"Now, they cannot blame Darwin Nuñes.
Many players missed goals.
Darwin, have 2 goals, 1 assists, and create a penalty for his new club.",@Its-a-Sign,2025-10-21T05:01:31Z,0,0
au2MTlth520,UgwTv6Muo7p3IgsTahd4AaABAg,😂😂😂😂 jajajaj el que ríe de último ríe mejor,@brandolable,2025-10-21T04:50:46Z,0,0
au2MTlth520,Ugy4q76xeFwM-NNXqkd4AaABAg,De a poco están volviendo las cosas a su lugar. Trust the process 😌🤷🏻‍♂️❤️.,@Ronald.995,2025-10-21T04:17:49Z,0,0
au2MTlth520,UgxU2-pV3QHH9AZ2IGJ4AaABAg,No es lo mismo calidad que cantidad,@agustincorrea325,2025-10-21T04:02:44Z,0,0
au2MTlth520,UgzsNHY9OgywphXgCJt4AaABAg,"me recuerda a Cech, ya saben quien",@Axel002,2025-10-21T03:30:52Z,0,0
