video_id,comment_id,reply_id,reply_content,author,published_at,like_count
au2MTlth520,Ugy9S338q1yIGwDorRl4AaABAg,Ugy9S338q1yIGwDorRl4AaABAg.AOYmpaATnknAOeRy2jCO3-,no sienta a gakpo por nada del mundo ☠️,@Qwerty-yg5gj,2025-10-24T09:13:46Z,0
au2MTlth520,UgxbKb_Svp_Tn0_Rg7h4AaABAg,UgxbKb_Svp_Tn0_Rg7h4AaABAg.AOWviY3VSpsAOWzwou-Ezs,"😂😂😂 con díaz no ganaron nada!!
El Bayern con díaz seguirá ganando igual que todos los años o dirán que es por su llegada?😂😂😂😂😂",@Rogsdeco,2025-10-21T02:26:16Z,0
au2MTlth520,UgwYbMxpu--hy1kMryx4AaABAg,UgwYbMxpu--hy1kMryx4AaABAg.AOVcjUNJMiBAOVljGZrQKx,El shity? 😂,@Konfleik,2025-10-20T15:02:51Z,1
au2MTlth520,UgxOTqgpkZDqNOsbX854AaABAg,UgxOTqgpkZDqNOsbX854AaABAg.AOVEsQzpiztAOVOkk6GYRT,amorim masterclass,@user-x8v2w,2025-10-20T11:33:20Z,0
au2MTlth520,UgwzrfFt6APeDIL-syN4AaABAg,UgwzrfFt6APeDIL-syN4AaABAg.AOUluEzsEJRAOUmudVNjkR,Perdían igual con luis diaz jsjs,@christophervalenzuela6340,2025-10-20T05:53:54Z,0
au2MTlth520,UgzJjv-Pc3hBLXj5zaJ4AaABAg,UgzJjv-Pc3hBLXj5zaJ4AaABAg.AOU_rrv3WzuAOVpcl7Rjo6,Lo dice el mismísimo puerro Xeneize,@ingridgutierrezmateus603,2025-10-20T15:36:55Z,0
au2MTlth520,UgzOhD8xpVLQPBEQKWZ4AaABAg,UgzOhD8xpVLQPBEQKWZ4AaABAg.AOUPjJbr3NxAOW_V9rstGK,X2,@CarlosCornejo-s6l,2025-10-20T22:35:10Z,0
au2MTlth520,UgzOhD8xpVLQPBEQKWZ4AaABAg,UgzOhD8xpVLQPBEQKWZ4AaABAg.AOUPjJbr3NxAOWiLqU2sxJ,Eso sonó muy gay,@ledergalindopalencia1328,2025-10-20T23:52:32Z,0
au2MTlth520,UgweQvCPIZKJalHalRF4AaABAg,UgweQvCPIZKJalHalRF4AaABAg.AOUJbEd8jq8AOWe-JWfOfR,te bailo una argentina que no tenía ni medio plantel titular 🗣️,@martinaleman4813,2025-10-20T23:14:30Z,0
au2MTlth520,UgxHygD6XagImTw43yV4AaABAg,UgxHygD6XagImTw43yV4AaABAg.AOU8qC4WCVSAOU8x5HHSSi,500*,@tinchoxxzz,2025-10-19T23:55:58Z,0
au2MTlth520,UgzUCiZBpJDzITBHHeN4AaABAg,UgzUCiZBpJDzITBHHeN4AaABAg.AOU5LIWQZ8pAOU5vJ2qmy_,Liverpool es el más grande de Inglaterra,@cd9245,2025-10-19T23:29:30Z,0
au2MTlth520,UgzXSAJkiuQDF3hpTJ54AaABAg,UgzXSAJkiuQDF3hpTJ54AaABAg.AOTvET15t7vAOVk2RGuhEW,Ya verás como contra el everton pincha,@stalinpinenla9616,2025-10-20T14:48:07Z,3
au2MTlth520,UgzXSAJkiuQDF3hpTJ54AaABAg,UgzXSAJkiuQDF3hpTJ54AaABAg.AOTvET15t7vAOVn6NWvCeS,Tanto aprender para perder con el Grimsby.,@victorio2005,2025-10-20T15:14:52Z,4
au2MTlth520,UgzXSAJkiuQDF3hpTJ54AaABAg,UgzXSAJkiuQDF3hpTJ54AaABAg.AOTvET15t7vAOYkbsV1RMB,"Gakpo falló, se le olvidó estudiar xd",@LN-LyricsNando,2025-10-21T18:50:49Z,3
au2MTlth520,UgwkQjh6Ap59Xl6YPCB4AaABAg,UgwkQjh6Ap59Xl6YPCB4AaABAg.AOTuz9rvnMFAOVlzmqEPbZ,Epa el Jueves vamos contra Palmeiras.,@robertmiles1233,2025-10-20T15:05:06Z,1
au2MTlth520,UgwkQjh6Ap59Xl6YPCB4AaABAg,UgwkQjh6Ap59Xl6YPCB4AaABAg.AOTuz9rvnMFAOWQoEkwsM_,​@robertmiles1233si la hacemos contra palmeiras,@zlobojr360,2025-10-20T21:10:31Z,2
au2MTlth520,UgwkQjh6Ap59Xl6YPCB4AaABAg,UgwkQjh6Ap59Xl6YPCB4AaABAg.AOTuz9rvnMFAOgMQ-iOG0f,​@zlobojr360 abusaron de Palmeiras,@therudeboy2467,2025-10-25T03:03:46Z,0
au2MTlth520,UgzbPmfbDtx3WAqO0Mp4AaABAg,UgzbPmfbDtx3WAqO0Mp4AaABAg.AOTtT6CdFTKAOU21vgdPRE,Y con la perdida de Diogo jota,@luisconsuegra6952,2025-10-19T22:55:36Z,9
au2MTlth520,UgzbPmfbDtx3WAqO0Mp4AaABAg,UgzbPmfbDtx3WAqO0Mp4AaABAg.AOTtT6CdFTKAOUAqE4d1f2,"Si ese no hacía ni un gol al arcoíris, era malísimo",@Halliuz,2025-10-20T00:12:30Z,6
au2MTlth520,UgzbPmfbDtx3WAqO0Mp4AaABAg,UgzbPmfbDtx3WAqO0Mp4AaABAg.AOTtT6CdFTKAOUQ07ZS5X1,​@HalliuzY lucho díaz?,@conchourteaga5237,2025-10-20T02:25:04Z,1
