video_id,comment_id,reply_id,reply_content,author,published_at,like_count
eFtSxgZbwu4,UgwyDauKBVQrLGKpSjZ4AaABAg,UgwyDauKBVQrLGKpSjZ4AaABAg.AKO26a_IcXIAMH8A3DIQhK,Definitely he is. In fact he is the second among goal scorers in premier league last season.,@AlbyAbe,2025-08-26T05:36:13Z,0
eFtSxgZbwu4,UgyfwN_M-cUf47SRnu54AaABAg,UgyfwN_M-cUf47SRnu54AaABAg.AIiDQzDnpLZAIlx_Hf41rb,last season,@nealsecrist6448,2025-05-31T04:05:04Z,1
eFtSxgZbwu4,UgwO66xv2YBiYIwAKCd4AaABAg,UgwO66xv2YBiYIwAKCd4AaABAg.AIe-zJKVjk0AIzhoejRTdT,Did you not watch wat marmoush did ? 😂,@kbernieshoW,2025-06-05T12:16:43Z,0
eFtSxgZbwu4,UgxsYRZsaU2cDz6o1Ol4AaABAg,UgxsYRZsaU2cDz6o1Ol4AaABAg.AIcbGnPYzOZAIdTRWgY0uc,"Shouldn't be top for me. Hate to say it, but Enciso is tops for me. Mitoma close second, and I hate Brighton.",@SLAPZ91,2025-05-27T20:59:04Z,1
eFtSxgZbwu4,UgwF_h4CAdov_OF0dx14AaABAg,UgwF_h4CAdov_OF0dx14AaABAg.AIcZzWBVSEUAIt68fUnTa6,Agreed was the best goal in my opinion just because of that first touch!,@pedels01,2025-06-02T22:43:22Z,4
eFtSxgZbwu4,UgwF_h4CAdov_OF0dx14AaABAg,UgwF_h4CAdov_OF0dx14AaABAg.AIcZzWBVSEUAJ6MmEXmotx,Deserves goal of the season.  3 perfect touches with intention on every one.  Ridiculous display of skill.,@MrVvulf,2025-06-08T11:38:04Z,2
eFtSxgZbwu4,UgzsSWE8fxUHC42NrER4AaABAg,UgzsSWE8fxUHC42NrER4AaABAg.AIbgBSecRJTAIcVOoZKivT,"Quit glazing. Zelarayan, asprilli, Josef Martinez, pellegrini, Jose Martinez, Dejaegere, traucco, Ruiz, almada…all had goal significantly better than these. And those are just the ones I can think of off the top of my head",@islahartel9304,2025-05-27T11:56:56Z,0
eFtSxgZbwu4,UgxIQePsoeMqx_Po7hd4AaABAg,UgxIQePsoeMqx_Po7hd4AaABAg.AIbJMrMeQ0jAIgOOgBN8mU,Chelsea goal with the Palmer no scope pass to Neto for the assist to Jackson robbed.,@gpaultre,2025-05-29T00:12:42Z,13
eFtSxgZbwu4,UgxIQePsoeMqx_Po7hd4AaABAg,UgxIQePsoeMqx_Po7hd4AaABAg.AIbJMrMeQ0jAIgbFSL_xPW,@gpaultreone of the real goals of the season,@MasterBetty69,2025-05-29T02:13:47Z,2
eFtSxgZbwu4,Ugw-ydZmUq_fBsnIRsB4AaABAg,Ugw-ydZmUq_fBsnIRsB4AaABAg.AIb9l19wBbbAIbQh-KfJMx,Agreed but every thing else he did was mid,@Buniek797,2025-05-27T01:56:37Z,0
eFtSxgZbwu4,Ugz68jnRCFvfIm3fBwd4AaABAg,Ugz68jnRCFvfIm3fBwd4AaABAg.AIap6iHonS_AIbAcbOhgJJ,Doucoure ruining Nottingham's season would be a candidate as well,@dxpiper3864,2025-05-26T23:36:12Z,0
eFtSxgZbwu4,Ugz68jnRCFvfIm3fBwd4AaABAg,Ugz68jnRCFvfIm3fBwd4AaABAg.AIap6iHonS_AId-Pdv3mJG,Tarky's last second goal in the derby should be there too.,@MatthewWheeler13,2025-05-27T16:36:40Z,0
eFtSxgZbwu4,UgyCNVweSD4mSxipoLR4AaABAg,UgyCNVweSD4mSxipoLR4AaABAg.AIacRIRS2C-AIbJmP3ytLz,Bingo!,@richardreich8044,2025-05-27T00:56:11Z,0
eFtSxgZbwu4,Ugz4wh1H8FqhPNneTeV4AaABAg,Ugz4wh1H8FqhPNneTeV4AaABAg.AIaRiRUBMfFAIaYUQUcNi1,That was last season,@zzo6chrome,2025-05-26T17:45:25Z,0
eFtSxgZbwu4,UgygFIsw8_ZWhmRbTfh4AaABAg,UgygFIsw8_ZWhmRbTfh4AaABAg.AI_BUR7wcxQAIdTuZk9C0y,"I think they didn't put Tonali because lots of people think it was accidental. Not saying it was, but that would be my take on it not being in.",@SLAPZ91,2025-05-27T21:03:10Z,0
eFtSxgZbwu4,UgxRVR4QEwrgv6KSNpV4AaABAg,UgxRVR4QEwrgv6KSNpV4AaABAg.AI_5roXiwOKAIaozAbUUqv,"Curry with the long-range, fadeaway three-pointer vibes",@cedarvalleyct,2025-05-26T20:18:19Z,3
eFtSxgZbwu4,UgxRVR4QEwrgv6KSNpV4AaABAg,UgxRVR4QEwrgv6KSNpV4AaABAg.AI_5roXiwOKAIioFkVgL75,Something Chelsea have needed. Hope he succeeds here,@TheNigerianHooper,2025-05-29T22:45:54Z,1
eFtSxgZbwu4,UgxRVR4QEwrgv6KSNpV4AaABAg,UgxRVR4QEwrgv6KSNpV4AaABAg.AI_5roXiwOKAJXfyND9-MS,"@TheNigerianHooper And, the rest of us hope he doesn't.  ;)",@eamuscatuli2,2025-06-19T02:13:59Z,0
eFtSxgZbwu4,UgxaB8I3lzCSinZnNgN4AaABAg,UgxaB8I3lzCSinZnNgN4AaABAg.AI_4oibdrDlAIb5tQw2aky,"Yeah, that one was actually impressive as it curved like crazy

Also no Mitoma is a joke",@Its_SaberHG,2025-05-26T22:54:49Z,0
eFtSxgZbwu4,UgzxoJOoGlbKjUFTijl4AaABAg,UgzxoJOoGlbKjUFTijl4AaABAg.AI_4YlFdeejAI_WH3JnbBe,No 😂,@elrichi8166,2025-05-26T08:06:53Z,1
eFtSxgZbwu4,UgyU_uDeEAztvo51iEd4AaABAg,UgyU_uDeEAztvo51iEd4AaABAg.AI_0F98HLqhAIe0RJzWJ3O,"yeah that was a good one, actually very good.. i think the editors should have just stated best long range goals of the season.",@doe22us,2025-05-28T02:04:52Z,0
eFtSxgZbwu4,UgzdAje9955q4XCxp8h4AaABAg,UgzdAje9955q4XCxp8h4AaABAg.AI_00D_z3h4AIbQRNhYl-e,"All he did was a great touch and beat only 1 defender, nothing really top level",@Buniek797,2025-05-27T01:54:21Z,1
eFtSxgZbwu4,UgzdAje9955q4XCxp8h4AaABAg,UgzdAje9955q4XCxp8h4AaABAg.AI_00D_z3h4AIba40cpmqo,"@Buniek797 He beat 2 defenders with pace and somehow managed to control with balance, and put it into the corner. I think it was the best.",@ukrcr7,2025-05-27T03:27:16Z,3
eFtSxgZbwu4,UgzdAje9955q4XCxp8h4AaABAg,UgzdAje9955q4XCxp8h4AaABAg.AI_00D_z3h4AIbaZlla3I4,"@ukrcr7It was a single defender, and the keeper also got a hand to the shot",@Buniek797,2025-05-27T03:31:36Z,0
eFtSxgZbwu4,UgzdAje9955q4XCxp8h4AaABAg,UgzdAje9955q4XCxp8h4AaABAg.AI_00D_z3h4AIcIelni88N,@Buniek797 Beating a defender in football doesn't only mean dribbling. The most dangerous weapon is movement,@Gonapa58,2025-05-27T10:05:39Z,0
eFtSxgZbwu4,UgzdAje9955q4XCxp8h4AaABAg,UgzdAje9955q4XCxp8h4AaABAg.AI_00D_z3h4AIcTa2WMXNw,⁠​⁠@Gonapa58don’t bother. This dude has been all over the comments trying to convince everyone his goal was mid. He’s convinced absolutely no one so,@islahartel9304,2025-05-27T11:41:07Z,2
eFtSxgZbwu4,UgzS2bcWqt3_k2lrSw94AaABAg,UgzS2bcWqt3_k2lrSw94AaABAg.AI_-vt_A3_sAJCJjAMf9bI,Tonali's goal was a failed cross.,@winstonthomas16,2025-06-10T19:06:53Z,0
eFtSxgZbwu4,UgzS2bcWqt3_k2lrSw94AaABAg,UgzS2bcWqt3_k2lrSw94AaABAg.AI_-vt_A3_sAJCkRBsZ01m,@winstonthomas16 still outrageous,@rochelledujan8709,2025-06-10T23:08:58Z,2
eFtSxgZbwu4,UgzS2bcWqt3_k2lrSw94AaABAg,UgzS2bcWqt3_k2lrSw94AaABAg.AI_-vt_A3_sAJXg4O1vgbk,"@winstonthomas16 You say that with so much certainty.  You talked to him, right?",@eamuscatuli2,2025-06-19T02:14:57Z,0
eFtSxgZbwu4,UgzS2bcWqt3_k2lrSw94AaABAg,UgzS2bcWqt3_k2lrSw94AaABAg.AI_-vt_A3_sAJXiY8EbmqI,@rochelledujan8709 An unintentional shot isn't outrageous. It's luck.,@winstonthomas16,2025-06-19T02:36:29Z,0
eFtSxgZbwu4,UgzS2bcWqt3_k2lrSw94AaABAg,UgzS2bcWqt3_k2lrSw94AaABAg.AI_-vt_A3_sAJXi_zr0CBe,@eamuscatuli2 You'd be crazy to say that was intentional.,@winstonthomas16,2025-06-19T02:36:52Z,0
eFtSxgZbwu4,UgwpdpsXz8QM2zSPl2Z4AaABAg,UgwpdpsXz8QM2zSPl2Z4AaABAg.AIZxXZKI6VWAIdTahbkYC4,The amount of goals for and against is mad,@SLAPZ91,2025-05-27T21:00:27Z,0
eFtSxgZbwu4,Ugxie8lXSYzwzUoqD6p4AaABAg,Ugxie8lXSYzwzUoqD6p4AaABAg.AIZvqtpG2_PAIzhw7iFqRl,That goal scared me first time I saw it ..went in fight or flight mode,@kbernieshoW,2025-06-05T12:17:44Z,0
eFtSxgZbwu4,UgwVGhtATsDEEr6cxzR4AaABAg,UgwVGhtATsDEEr6cxzR4AaABAg.AIZsrwvFunBAI_sZAOGo6F,On loan,@Swoops510,2025-05-26T11:30:20Z,0
eFtSxgZbwu4,UgxHEOu1NtHXXtLfvv54AaABAg,UgxHEOu1NtHXXtLfvv54AaABAg.AIZmdwUxPR2AIakvK1sU1M,"A bargain for Ipswich, but someone is going to pick him up and he'll be in this video next year.",@wishythefishy,2025-05-26T19:42:50Z,16
eFtSxgZbwu4,UgxHEOu1NtHXXtLfvv54AaABAg,UgxHEOu1NtHXXtLfvv54AaABAg.AIZmdwUxPR2AIakzEsXGwv,Equally hilarious is John Duran leaving less than a month into the season and still getting #2 goal of the season,@alfoote4340,2025-05-26T19:43:22Z,21
eFtSxgZbwu4,UgxHEOu1NtHXXtLfvv54AaABAg,UgxHEOu1NtHXXtLfvv54AaABAg.AIZmdwUxPR2AIalhspm_Uw,"​@wishythefishy he wasnt a bargain buy, Brighton loaned him out to Ipswich for the season (so yes he'll score a top 3 goal in a Brighton kit again)",@alfoote4340,2025-05-26T19:49:44Z,9
eFtSxgZbwu4,UgxHEOu1NtHXXtLfvv54AaABAg,UgxHEOu1NtHXXtLfvv54AaABAg.AIZmdwUxPR2AIbB9HXszAt,"He's a Brighton loan,, so they could keep him... but i think he will be sold.",@MacBuckets,2025-05-26T23:40:48Z,1
eFtSxgZbwu4,UgxHEOu1NtHXXtLfvv54AaABAg,UgxHEOu1NtHXXtLfvv54AaABAg.AIZmdwUxPR2AIcGxP61F8P,"@alfoote4340less than a month into the season? He left in January, and played 20 league games for Villa this season",@DCxHRV,2025-05-27T09:50:43Z,5
