video_id,comment_id,reply_id,reply_content,author,published_at,like_count
hrO37SOX05k,Ugw2HTM53MFejabx6Lh4AaABAg,Ugw2HTM53MFejabx6Lh4AaABAg.APGrmcxj4SrAQOn3RJ9mF4,Hello how are you doing?,@sambreg,2025-12-06T15:02:35Z,0
hrO37SOX05k,UgzdU2TCZmUjF0JAxp14AaABAg,UgzdU2TCZmUjF0JAxp14AaABAg.APGrjkKSPYVAQOmtTjxsQj,Hello 👋,@sambreg,2025-12-06T15:01:05Z,0
hrO37SOX05k,UgzdJmG8o8oHSqu5yNh4AaABAg,UgzdJmG8o8oHSqu5yNh4AaABAg.APB4kFD4L2UAQfYWyEphRx,thank you someone agrees,@JacobFrazer-q7o,2025-12-13T12:33:08Z,0
hrO37SOX05k,UgwKY8qWmaEsHiU4bwp4AaABAg,UgwKY8qWmaEsHiU4bwp4AaABAg.AOJHiByHms5AOJHjrxrGOC,Goal my bad,@jobroughton5652,2025-10-15T18:41:09Z,0
hrO37SOX05k,Ugzza2He1FH6j68iASB4AaABAg,Ugzza2He1FH6j68iASB4AaABAg.AOIZ8Is0jsoAP0xQ3Djsi3,Yen yen yen yen yen,@AMPHarmless,2025-11-02T12:19:53Z,0
hrO37SOX05k,UgzzpgtjF78T-Zbo_0p4AaABAg,UgzzpgtjF78T-Zbo_0p4AaABAg.AOHE0otoCoOAOIrLZ6lBuk,Caicedo,@BaaarV,2025-10-15T14:41:46Z,4
hrO37SOX05k,UgzzpgtjF78T-Zbo_0p4AaABAg,UgzzpgtjF78T-Zbo_0p4AaABAg.AOHE0otoCoOAOJbEe87tSB,What about Caicedo?,@AsherOlsen-p9o,2025-10-15T21:40:16Z,1
hrO37SOX05k,UgzzpgtjF78T-Zbo_0p4AaABAg,UgzzpgtjF78T-Zbo_0p4AaABAg.AOHE0otoCoOAOJfGtbyHPN,@AsherOlsen-p9oare you slow?,@BaaarV,2025-10-15T22:15:31Z,1
hrO37SOX05k,UgzzpgtjF78T-Zbo_0p4AaABAg,UgzzpgtjF78T-Zbo_0p4AaABAg.AOHE0otoCoOAOZJ0JbUUrt,Which one,@TevisRose-d2g,2025-10-22T00:00:07Z,0
hrO37SOX05k,UgzzpgtjF78T-Zbo_0p4AaABAg,UgzzpgtjF78T-Zbo_0p4AaABAg.AOHE0otoCoOAOaHyx8oAeG,Frr,@DanBud77,2025-10-22T18:29:33Z,0
