video_id,comment_id,comment_content,author,published_at,like_count,reply_count
riUVmxHewGE,UgzOxuezdJsQxDMt-Ll4AaABAg,"Now would be the worst time to fire the manager, imo. There’s a developing style of play and a chemistry between the players. That’s down to Amorim’s planning, recruitment and team selection. If he planned this much from last year, then it’s a vision in process. It should be allowed to develop.",@johnkelly3549,2025-12-28T22:34:10Z,0,0
riUVmxHewGE,UgxaJjyiubQRg5WOEkl4AaABAg,Lol the commentators at the end of the match looks like Manchester united won a trophy,@MoeSlayer93,2025-12-28T22:06:23Z,0,0
riUVmxHewGE,UgydacZBJVSy4RIpqtB4AaABAg,See they comunicate each other on dorgus celebration to change strategy,@alv23-h3y,2025-12-28T21:47:20Z,0,0
riUVmxHewGE,UgwI_s3Is-Pw1p1i7lt4AaABAg,Almost the same as amad's goal,@nwanerifrancisca7460,2025-12-28T21:17:45Z,0,0
riUVmxHewGE,UgxA-W6YHSdMkyV8Ged4AaABAg,Dorgu 🤯,@brewermusic3318,2025-12-28T20:45:04Z,0,0
riUVmxHewGE,UgyLOyJEfN-QDlqQUAt4AaABAg,The team needs Cunha to try more inventive passes and not always look to shoot.,@dingz691,2025-12-28T20:32:43Z,0,0
riUVmxHewGE,UgzfFgw3Qbs__cs1w154AaABAg,Zirkzee needs to be changed.,@lowcostgamer9681,2025-12-28T20:02:04Z,0,0
riUVmxHewGE,UgzMOlKFAngSFO7Klst4AaABAg,We deserve winning GGMU,@Kijavaa_jr,2025-12-28T19:51:50Z,0,0
riUVmxHewGE,UgzeQK9f_l6VKIDU3Up4AaABAg,Kemenangan ini berawal dari lemparan Dalot ❤🎉🔥,@pomas_official,2025-12-28T19:26:48Z,1,0
riUVmxHewGE,Ugw76_ALZWlk7-uuyYx4AaABAg,"PLEASE HEAR ME!!! Because of BF#8 Non of forward could open their potential because forward needs for passing him for open territory and this is 1st goal of playmaker. 
MY VERDICT: MU HAVE TO SELL BF#8 to buy someone as Daniel Olmo or Yuori Tielemans",@Khoma.Djidai,2025-12-28T19:00:57Z,0,0
riUVmxHewGE,UgzDmT8i8Yi4QRUsFpx4AaABAg,"PLEASE HEAR ME!!! More over, when Licha stands on BF position all team starts to run forward because Licha moved ball on front line and all begun running forward. After that substitution team started playing without clear forward Šeško!!!",@Khoma.Djidai,2025-12-28T18:52:49Z,0,0
riUVmxHewGE,Ugw3rsibZ4xUVoTjtJJ4AaABAg,Cunha paaass,@hewardthegreat,2025-12-28T18:47:27Z,0,0
riUVmxHewGE,Ugw20D0WhZLX3V9dZP94AaABAg,"PLEASE HEAR ME!!! This team playing much better without BF#8. Whole middle is blocking cause of BF. Because he pulling all process on himself, while his 1st professional goal is to make area for forwards. Because of him whole team playing without forwards and cause BF#8 actions forwards had to get to midline to support BF area when playing on forwards place!!!",@Khoma.Djidai,2025-12-28T18:46:19Z,0,0
riUVmxHewGE,UgyDdeRlwIwbtPgGQUd4AaABAg,Patrick dorgu score that beautiful volley was Gods Plan 🙌,@benitoMorrie-s1d,2025-12-28T18:11:10Z,1,0
riUVmxHewGE,UgzG3Yw6NdoNEqFor754AaABAg,M.u tanpa bruno main nya sangat agresive dan cepat,@Dickmusik,2025-12-28T17:34:22Z,0,0
riUVmxHewGE,Ugy_0_XzfBx7rl8MoqZ4AaABAg,🔥🔥🔥⚡Strikeee shottttt DORGU😙😙😙❤❤❤😎😎🔥🔥🔥,@spildikkefiqray,2025-12-28T17:30:15Z,0,0
riUVmxHewGE,UgxckvHpXdUi2m6x2oR4AaABAg,"komentatornya seru bgt sih, bikin semangat nonton 😁",@yahyasudarmanto4863,2025-12-28T17:27:08Z,0,0
riUVmxHewGE,UgzIcHZxZYyFe0xz8cR4AaABAg,"Sesko you coming just fine , next time slot it in the net not the crossbar 😂",@rulanelenzo9000,2025-12-28T17:17:44Z,0,0
riUVmxHewGE,UgwA-QlhiZSZrNTzItp4AaABAg,"To be sincere , we attack better with a back 3 , but defend better with a 4 defenders",@SimonArin,2025-12-28T16:40:53Z,1,0
riUVmxHewGE,Ugwc7dxmYSyyr5CjtON4AaABAg,😮‍💨😮‍💨❤❤❤🔥🔥🔥,@MamadouWague-rq6si,2025-12-28T16:39:16Z,0,0
riUVmxHewGE,UgwxSB3w0cwzHZUHAtZ4AaABAg,Cunha.. is very greedy..,@dr3l0qu3,2025-12-28T16:30:33Z,0,0
riUVmxHewGE,UgzPnKTlMbA8vfECZzd4AaABAg,"GLORY GLORY MANCHESTER UNITED ❤
🇩🇰13🙌🤝🫶",@OgSK16200,2025-12-28T16:18:06Z,1,0
riUVmxHewGE,UgwaoAbcaLOJ339aMi54AaABAg,we have some improvement MANUTD,@leonMALEKO-g1k,2025-12-28T16:13:44Z,0,0
riUVmxHewGE,UgxYGRijYimwQJYuQap4AaABAg,Dalot actually thinks hes the captain 😂worst player in the squad,@garyhill294,2025-12-28T16:03:25Z,0,0
riUVmxHewGE,Ugzsf78gv0DBxuX6VTF4AaABAg,ruben amorin buy marc ters tegen please,@Fatanfathanreynandasyahrian,2025-12-28T15:46:01Z,0,0
riUVmxHewGE,Ugy-3XB2lDljtaFE-Tp4AaABAg,Mutapeleka sesko na Cunha wapi mm kama fan wa Manchester United let's find out si butcher Ako hapo na sesko atterorize,@carlosmusau5996,2025-12-28T15:33:52Z,0,0
riUVmxHewGE,Ugy6-YZcHPsyDW3Sp5J4AaABAg,Great game Man United ❤🎉,@angelatanurdzic7508,2025-12-28T15:28:24Z,0,0
