video_id,comment_id,comment_content,author,published_at,like_count,reply_count
sunUwncV3bw,Ugzwd9ye4UQpESIhYJN4AaABAg,"Emeri was hired by Villa about the same time as EH at Newcastle, look at them now and look us. That's the difference between top class manager and mediocre one. There is no more space for excuses.",@Zeffbg,2025-12-28T20:21:27Z,0,0
sunUwncV3bw,UgzCTzovq4Ul5y2OQIh4AaABAg,"thank you for the assist , Nick",@zulfian2112,2025-12-28T16:02:08Z,0,0
sunUwncV3bw,UgzwN6CgS5ZPFOobNw14AaABAg,Zzzzzzzzzzz,@micky1858,2025-12-28T15:06:25Z,0,0
sunUwncV3bw,UgynQNzaLv6sOSWlab94AaABAg,Been a really poor season for newcastle I think players we brought in have been average. Apart from thiaw who is very good waltermade done well but not what we need doesn't hold ball well enough not a proper number 9 wissa overspent by millions on him elanga not good should have got semenyo ramsdale average. Joelinton not how he was last season maybe to many injuries and players getting older likes if trips burn and schar with botman no where near his best and the likes of Bruno and tonali misfiring. We lack a playmaker who can make summit out of nothing a proper number 9 we are miles of it but have the players there to build a great team,@marks7096,2025-12-28T11:37:07Z,0,0
sunUwncV3bw,UgzBb-CTYdPVSDXbx2h4AaABAg,Lewis hall is a monster,@sensei_...,2025-12-28T10:46:15Z,0,0
sunUwncV3bw,UgyPiNl6YqObPtdI6FZ4AaABAg,Hahahahaha..what a banter club,@silizoink7558,2025-12-28T10:23:58Z,0,0
sunUwncV3bw,UgzxhFRnG0MsW4FWcpx4AaABAg,We park the train😂,@amanmalik-fv4op,2025-12-28T09:58:26Z,0,0
sunUwncV3bw,UgwimEX4OarxqGPA_yR4AaABAg,"5 years after the takeover & were still bottom half, is ONE Mickey Mouse Cup in 5 years enough? Time to sack Eddie, to those who view him like a god clearly you have a small  club mentality",@MrHitzfeld,2025-12-28T09:43:59Z,0,0
sunUwncV3bw,Ugzv5FZPAqBe9krWsXR4AaABAg,I laughed ao hard 😂😂,@Gooddayistoday,2025-12-28T08:55:11Z,0,0
sunUwncV3bw,UgyrWB2YWafXzD2ygVJ4AaABAg,English refs are shit.,@taehwankim8215,2025-12-28T08:54:47Z,0,0
sunUwncV3bw,UgzYXoXG2wFvKQuCyqV4AaABAg,HERE  WE GOO👏👏👏,@IndraYoga-l2b,2025-12-28T08:28:17Z,0,0
sunUwncV3bw,UgwoNEaGoofxfLerm2h4AaABAg,"Well I’ll be honest .. Will Osula !!    Would have put at least one of those 46 crosses in the goal.. he’s fast and he’s determined .. from what I’ve seen so far .. We need to keep Will Osula .. and bring him on instead of Wissa … Osula .. is like lightning and with Eddies guidance he’ll get there in the end .. sometimes the answer is before your very eyes !! Keep
Will
Osula

And bring him on ..

He’ll get on the end of some of those crosses and he’ll create .. 

It’s a no brainier at the moment .. under the circumstances !",@JohnWils-f9h,2025-12-28T04:39:24Z,0,0
sunUwncV3bw,Ugyq4yJGGLfqn5lio2N4AaABAg,"Hi, I was also expecting a confident victory for Newcastle, because Manchester United didn't have their main players, and I expected a game similar to the one against Everton, maybe not a 1-4 loss, but a 1-3 loss. I don't understand why Newcastle should have taken 3 points from Manchester United, as they were on the bus for most of the match, and Newcastle had plenty of chances. Additionally, the referee didn't give a clear penalty when Manchester United's defender played a handball, which could have been a dog. But I think the next game with Burnley will be a victory for Newcastle, and the home match with Crystal Palace should at least not be lost, and in fact should take 6 points. Newcastle is missing Dan Burn, a key defender. It's an interesting story, and I thought Newcastle would take it, but they played like they did with Sunderland, and Eddie Howe let them down.",@leonstreams,2025-12-28T04:27:56Z,0,0
sunUwncV3bw,UgwTcv2T1gqwIhrnONZ4AaABAg,"A player who can score should be given at least (3) games to start. If he is sure to score a goal, then he should be given (2) games off.",@KyawThuyaa-lr3nb,2025-12-28T03:53:14Z,0,0
sunUwncV3bw,UgyiPn-aRyQDlK_29nB4AaABAg,ข่อยเด็กผีเด๋อ,@Phutthakhun-ww6ud,2025-12-28T03:11:11Z,1,0
sunUwncV3bw,Ugznmil71BiJNBLFli54AaABAg,I'm particularly happy for Lewis Hall,@ThirdOcholi,2025-12-28T01:43:31Z,0,0
sunUwncV3bw,UgxyTeHZalozBiN9nSZ4AaABAg,We need quality players! We need central back! We need midfielder! We also need good top striker. Man you need to spend more money! We need to build up like man city!,@SaintPeter-k3e,2025-12-28T00:48:25Z,0,0
sunUwncV3bw,Ugwk7Ody0Temp4VhlcF4AaABAg,my 2025 was respectfully made much better by senne lemmmmess,@aformentionedsph0909,2025-12-28T00:20:37Z,0,0
sunUwncV3bw,UgxahbYbqPOIQgl-KuF4AaABAg,How did dalot become a professional,@AbdulmalikKana,2025-12-27T23:17:26Z,0,0
sunUwncV3bw,UgwXdbcjSjthoW47H394AaABAg,"Gila sih sir Alex Ferguson masih maen transferan aja ke wasit kaya dulu padahal udah pensiun,Kali ini wasit var yg ditransfer😅",@kacanGGorengVIP,2025-12-27T23:11:04Z,0,0
sunUwncV3bw,UgyMIGTcqhuhoI9Ryo94AaABAg,"At least Woltemade is absolute assist,last weekend goalpoacher for club😅",@kacanGGorengVIP,2025-12-27T23:07:31Z,0,0
sunUwncV3bw,Ugya5uLgH9XYWBqymCZ4AaABAg,"IS NEWCASTLE UTDs PLAN TO WIN THE CUPS THIS SEASON, TO WIN HOME GAMES IN THE MAIN, TO FINISH MID TABLE AND TO WIN THE LEAGUE NEXT SEASON 2026/27? I GET THE FEELING IT IS.",@Steve-d4c,2025-12-27T22:44:44Z,0,0
sunUwncV3bw,UgzwGQ5-rJlrl2f1TtZ4AaABAg,"How soon you forget, not long ago we were a laughing stock, we've been to the CL twice won a cup, yes patience is growing thin but we are only halfway thru the season.",@jimfell7147,2025-12-27T21:42:53Z,0,0
sunUwncV3bw,UgwPJZqUBbBLcQJnBv54AaABAg,Manchester United fan here❤,@dili1951,2025-12-27T21:06:46Z,1,0
sunUwncV3bw,UgwweRlO-GZ6_C4VK0l4AaABAg,"I wish  Man United Can Sign Lewis Hall 
That's Lad is Super Good",@AmezzBangs,2025-12-27T20:44:27Z,0,1
sunUwncV3bw,UgwHvtdBPkdiNQAfjQd4AaABAg,I have total faith in Eddie.Just take a visit to the trophy room & what we have achieved in the last  4  years.,@jasmineblack9778,2025-12-27T20:17:11Z,1,1
sunUwncV3bw,UgyVmixUWrmOcFKGW4J4AaABAg,Lost to our reserves😭🙏🏻,@Abubakar-pz8lv,2025-12-27T20:08:11Z,0,0
