video_id,comment_id,reply_id,reply_content,author,published_at,like_count
vvEBsZ-WQkQ,Ugyd1dUeWGKXtVybQCR4AaABAg,Ugyd1dUeWGKXtVybQCR4AaABAg.ARH-kjjypHpARHOOsdfYHv,unluck or bribing? 🤔,@biokosmos,2025-12-28T14:35:01Z,0
vvEBsZ-WQkQ,UgzassME9yx7bYqONkF4AaABAg,UgzassME9yx7bYqONkF4AaABAg.ARGk_4_xxfFARHOLaX5T7Q,for this you play bad today,@biokosmos,2025-12-28T14:34:35Z,0
vvEBsZ-WQkQ,UgwEZK6qzKW2owTAUMV4AaABAg,UgwEZK6qzKW2owTAUMV4AaABAg.ARG__qeANB_ARGdzfkDAq9,Don't be daft,@Oltheboll,2025-12-28T07:40:45Z,0
vvEBsZ-WQkQ,UgxKnXuoLKXTf-wFF7R4AaABAg,UgxKnXuoLKXTf-wFF7R4AaABAg.ARGV-pEdEQ6ARHOHWZvcoV,forest had no chance because the refs are bribed by the emiratin dictator,@biokosmos,2025-12-28T14:34:01Z,0
vvEBsZ-WQkQ,UgxWTPbRveWWPZXp81F4AaABAg,UgxWTPbRveWWPZXp81F4AaABAg.ARG3fIiNR3PARG4Nit7DQs,It seems like they decided that playing it in first time wasn't a good idea? Every ball in from a corner or free kick went wide and the was often lost before we could create a chance.,@K1ngofFOX,2025-12-28T02:20:52Z,0
vvEBsZ-WQkQ,UgxWTPbRveWWPZXp81F4AaABAg,UgxWTPbRveWWPZXp81F4AaABAg.ARG3fIiNR3PARG4l6jp4-C,"Gutted as we played so well. In the long run it should pay dividends having a team that can go toe to toe with an on form Man City like that, but sadly no points this time.",@Drummarion,2025-12-28T02:24:12Z,0
vvEBsZ-WQkQ,UgxWTPbRveWWPZXp81F4AaABAg,UgxWTPbRveWWPZXp81F4AaABAg.ARG3fIiNR3PARG5s5uxpey,we sold elanga who was the only player in the squad who could consistently deliver a corner.,@seanhack628,2025-12-28T02:33:53Z,0
vvEBsZ-WQkQ,UgxWTPbRveWWPZXp81F4AaABAg,UgxWTPbRveWWPZXp81F4AaABAg.ARG3fIiNR3PARG9l9mWDWO,"@seanhack628 Well we didnt really have much of a choice tbh, but yeah we should have looked to bring somone in that could contribute towards that :/",@Swiftjawzz,2025-12-28T03:07:53Z,0
vvEBsZ-WQkQ,UgxWTPbRveWWPZXp81F4AaABAg,UgxWTPbRveWWPZXp81F4AaABAg.ARG3fIiNR3PARGfoN05Xvf,"Unlucky game, i agree we should have won it, we def need a set piece expert the next transfer window, not sure who we would afford atm though.",@deepkabarela6358,2025-12-28T07:56:41Z,0
vvEBsZ-WQkQ,UgxZ9QG_sP1n4mcGa9p4AaABAg,UgxZ9QG_sP1n4mcGa9p4AaABAg.ARG0d5ABbryARGCFoGJcMm,You lot high booted foden in the box and somehow wasn't a foul get real,@eljefe9140,2025-12-28T03:29:41Z,7
vvEBsZ-WQkQ,UgxZ9QG_sP1n4mcGa9p4AaABAg,UgxZ9QG_sP1n4mcGa9p4AaABAg.ARG0d5ABbryARGJk4Slbjb,"In fact, the referee seemed to favor Nottingham over Man City because of every little foul.",@garongsubarjo3441,2025-12-28T04:35:07Z,8
vvEBsZ-WQkQ,UgxZ9QG_sP1n4mcGa9p4AaABAg,UgxZ9QG_sP1n4mcGa9p4AaABAg.ARG0d5ABbryARH0XMQnM8t,Yep,@abl1699,2025-12-28T11:06:28Z,0
vvEBsZ-WQkQ,UgxZ9QG_sP1n4mcGa9p4AaABAg,UgxZ9QG_sP1n4mcGa9p4AaABAg.ARG0d5ABbryARHHjNk4sUh,"I'm amazed that gvardiol didn't get a yellow, every time it went up to jesus he fouled him and mostly got away with it",@EvanJones-k1q,2025-12-28T13:36:48Z,0
vvEBsZ-WQkQ,UgxZ9QG_sP1n4mcGa9p4AaABAg,UgxZ9QG_sP1n4mcGa9p4AaABAg.ARG0d5ABbryARHHy3kbhTE,First Yellow on dias is not Yellow cmon Played well just unlucky,@GoodGuy-zg3hq,2025-12-28T13:38:48Z,0
vvEBsZ-WQkQ,UgxuS-zNpxvEyIVkqOh4AaABAg,UgxuS-zNpxvEyIVkqOh4AaABAg.ARFzibaykKiARG80-MQLIt,those 2 missing did not cost us the game today.,@seanhack628,2025-12-28T02:52:35Z,0
vvEBsZ-WQkQ,UgywqqC8gOFLKKcQTdd4AaABAg,UgywqqC8gOFLKKcQTdd4AaABAg.ARFucOiPHxyARGWvuRjDi6,"😮
14?",@ElijahIwebie-k3y,2025-12-28T06:30:21Z,0
vvEBsZ-WQkQ,UgywqqC8gOFLKKcQTdd4AaABAg,UgywqqC8gOFLKKcQTdd4AaABAg.ARFucOiPHxyARGq39DFW7w,@ElijahIwebie-k3y 11 and 3 referees (arab servants,@millerchassis6119,2025-12-28T09:26:13Z,2
vvEBsZ-WQkQ,UgywqqC8gOFLKKcQTdd4AaABAg,UgywqqC8gOFLKKcQTdd4AaABAg.ARFucOiPHxyARH5vp2rgJd,Igor Jesus should have got 2 red cards . 2 yellows for all the diving he did and 1 for the challenge on Foden,@vaibhavpachori017,2025-12-28T11:53:38Z,2
vvEBsZ-WQkQ,UgywqqC8gOFLKKcQTdd4AaABAg,UgywqqC8gOFLKKcQTdd4AaABAg.ARFucOiPHxyARHOBzGrYyl,"without the ref, linesman and var oil city would win 1 match in a year",@biokosmos,2025-12-28T14:33:16Z,0
vvEBsZ-WQkQ,UgywqqC8gOFLKKcQTdd4AaABAg,UgywqqC8gOFLKKcQTdd4AaABAg.ARFucOiPHxyARHi2ZUyU1X,​@biokosmoswtf,@duduksebentar1979,2025-12-28T17:35:29Z,0
vvEBsZ-WQkQ,UgxX9SUzgYEsE6Q81hZ4AaABAg,UgxX9SUzgYEsE6Q81hZ4AaABAg.ARFn_YRTp8eARFw2-of4nS,"""Robbed"" when every dive from Jesus was given as a free kick. No cards for high booting foden's knee
Victims fc",@pranjalsharma8844,2025-12-28T00:59:15Z,8
vvEBsZ-WQkQ,UgxX9SUzgYEsE6Q81hZ4AaABAg,UgxX9SUzgYEsE6Q81hZ4AaABAg.ARFn_YRTp8eARFx0Zv2IrZ,"@pranjalsharma8844 Man City use the same tactics in every game to break up attacks around the halfway line, their midfielder grabs onto the opposition player to halt the oppositions forward momentum, and they always get away with it. It’s not just something that happened in the Forest game. So your tit for tat comment about Jesus is not just wrong it’s also irrelevant.",@mgsee,2025-12-28T01:07:48Z,2
vvEBsZ-WQkQ,UgxX9SUzgYEsE6Q81hZ4AaABAg,UgxX9SUzgYEsE6Q81hZ4AaABAg.ARFn_YRTp8eARGCMctoV8_,"​@mgsee its called a tactical foul, they got yellow carded idk what more you want",@eljefe9140,2025-12-28T03:30:37Z,2
vvEBsZ-WQkQ,UgxX9SUzgYEsE6Q81hZ4AaABAg,UgxX9SUzgYEsE6Q81hZ4AaABAg.ARFn_YRTp8eARGFRjPo3rO,"@eljefe9140 what I would like to see City players getting carded every time a player does it. It’s clearly a Pep tactic because they do it every game until a player eventually gets a yellow card, then that player stops doing it. Card them from the start so the player stops doing it early in the game or gets  2 yellows and sent off. Simple.",@mgsee,2025-12-28T03:57:32Z,1
vvEBsZ-WQkQ,UgxX9SUzgYEsE6Q81hZ4AaABAg,UgxX9SUzgYEsE6Q81hZ4AaABAg.ARFn_YRTp8eARGQYfXDzAC,​@mgsee every team does that & get away with it....go watch other games...& Stop hating or cry harder,@indianrailfan1538,2025-12-28T05:34:36Z,4
vvEBsZ-WQkQ,UgyTGX2RWbT4AYbVsAh4AaABAg,UgyTGX2RWbT4AYbVsAh4AaABAg.ARFmMHhCiXhARFq2pDDAp-,Amen,@M330s,2025-12-28T00:06:56Z,0
vvEBsZ-WQkQ,UgyTGX2RWbT4AYbVsAh4AaABAg,UgyTGX2RWbT4AYbVsAh4AaABAg.ARFmMHhCiXhARFqXnCfV_k,He didn’t die today but he was fouled a lot,@Expatred66,2025-12-28T00:11:10Z,3
vvEBsZ-WQkQ,UgyTGX2RWbT4AYbVsAh4AaABAg,UgyTGX2RWbT4AYbVsAh4AaABAg.ARFmMHhCiXhARHB4eOn6Yu,​@Expatred66😂😂😂😂😂,@Qatarfoundation-LLM,2025-12-28T12:38:40Z,0
vvEBsZ-WQkQ,Ugy_u7YqbPM8xWg6ehl4AaABAg,Ugy_u7YqbPM8xWg6ehl4AaABAg.ARFcNxtsQyGARFnUIBNRfh,Is there no unique chant left in the Prem? Everything is just COYsomething😂😂.,@Ash-rx5wl,2025-12-27T23:44:28Z,2
vvEBsZ-WQkQ,Ugy_u7YqbPM8xWg6ehl4AaABAg,Ugy_u7YqbPM8xWg6ehl4AaABAg.ARFcNxtsQyGARG1WWyDfnP,​@Ash-rx5wlGGMU,@cuapman7519,2025-12-28T01:55:51Z,0
vvEBsZ-WQkQ,Ugxps7AdpLwOlVsTNQB4AaABAg,Ugxps7AdpLwOlVsTNQB4AaABAg.ARFbj4zhbr-ARFcRg-DoJK,What!??,@gazza2933,2025-12-27T22:08:00Z,0
vvEBsZ-WQkQ,Ugxps7AdpLwOlVsTNQB4AaABAg,Ugxps7AdpLwOlVsTNQB4AaABAg.ARFbj4zhbr-ARFcpZUH0d6,EPL is 🔥🔥 bro they should come when well informed about it,@AmatiSalim,2025-12-27T22:11:24Z,0
vvEBsZ-WQkQ,Ugxps7AdpLwOlVsTNQB4AaABAg,Ugxps7AdpLwOlVsTNQB4AaABAg.ARFbj4zhbr-ARFeAaFLPxE,They not promoted yet,@davidmarchant9386,2025-12-27T22:23:08Z,0
vvEBsZ-WQkQ,Ugxps7AdpLwOlVsTNQB4AaABAg,Ugxps7AdpLwOlVsTNQB4AaABAg.ARFbj4zhbr-ARGV9LCPnoQ,"Easily, they have a decent team",@Freedomofspeech-zw4jx,2025-12-28T06:14:50Z,0
