video_id,video_title,channel_id,channel_title,video_published_at,view_count,video_like_count,video_comment_count,comment_id,comment_parent_id,comment_author_display,comment_author_channel_id,comment_text,comment_lang,comment_published_utc,comment_published_local,comment_like_count,comment_reply_count
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,Ugwk4QryxZN3WVIgvet4AaABAg,NA,@badasscomedy5126,UCT5Eqa6kl8-L42oOFRIoBKA,"Fun action scene, but Dante’s charm is killed by that homage to CastleVania: Nocturne. Adi, if you want us to like your anime, maybe don’t remind us of your anime",en,2025-12-14T02:05:27Z,2025-12-13 21:05:27,0,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,Ugz90S0k5cuhH5FISS54AaABAg,NA,@MrCaptainFordo77,UCkDXxMQHlYeQGWEWWz2WmNA,Bro really shot the guns on beat,NA,2025-12-08T13:41:00Z,2025-12-08 08:41:00,0,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,UgxUyN-qWgQc_GurbUR4AaABAg,NA,@Sinisterinvincible2026,UCFihRMUnywy5z76AZmRwrUg,i bet dante got a Super Sexy Style!! after killing those demons,en,2025-11-23T03:22:57Z,2025-11-22 22:22:57,0,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,UgyoGouJSRtkl9tTaUd4AaABAg,NA,@PentingnyaKeamanan,UCipqnbqKoUPy3JYqPJGLS4Q,Who is the blue demon ?,en,2025-11-13T22:12:31Z,2025-11-13 17:12:31,0,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,UgzAFQSa_RJr9orEq214AaABAg,NA,@josephsierra6498,UCP0H-CsXTQMImFVLLQ2AANg,0:30 Jackpot!,NA,2025-11-09T21:33:58Z,2025-11-09 16:33:58,0,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,UgwhX7eTZa-IN0GKCQd4AaABAg,NA,@MrE-89,UCrncTl_r3K3PaC-uPy4gOeQ,"Wow, just, awful",en,2025-09-30T04:20:51Z,2025-09-30 00:20:51,1,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,Ugx-PlMcw30P2HL7w3V4AaABAg,NA,@FadeIn2Obscurity,UCF6fyKcIqdQYArkjNrS_FMg,Anyone who says this is out of character doesn’t know what they’re talking about,en,2025-09-13T09:17:54Z,2025-09-13 05:17:54,3,1
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,UgxCK1K4fYloHwND-DZ4AaABAg,NA,@rubentipan3486,UCer3JftyBiJONN-rkQdvhfg,Español,az,2025-09-08T00:11:13Z,2025-09-07 20:11:13,0,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,UgzuT2GN1Qtr-D954D54AaABAg,NA,@MUHMDO,UC74u1VRSKOaoStPqWQc095A,🔥💀0:29,ja,2025-08-28T15:26:33Z,2025-08-28 11:26:33,0,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,UgwQGOSWJ_Jed4p0D3d4AaABAg,NA,@katiebonser9712,UCqzdALah7lp7xMyBE6GGEsw,Imagine Dante being sucked into the world of Supernatural and teaming up with the Winchester brothers,en,2025-08-28T09:29:10Z,2025-08-28 05:29:10,1,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,UgzEtOMa_FKDC052lCV4AaABAg,NA,@BafAnimationn,UCLgQX5VwbdslnRjboshKqVQ,"Why is Dante spamming ebony and ivory, c'mon man your style points are going to drop",en,2025-08-19T12:10:45Z,2025-08-19 08:10:45,3,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,Ugx6Tur0T2dC95YXjD54AaABAg,NA,@dajer6208,UCJQA0NoxWpZeKPBPoKF9Vgg,Name song 0:35 a 0:45???,gl,2025-08-19T05:37:29Z,2025-08-19 01:37:29,1,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,UgzCmHBZ0moxCTV1mlp4AaABAg,NA,@Massivecore994,UCDcKTEgAzlHsky5n0fOdx3g,0:09,ja,2025-07-29T02:56:15Z,2025-07-28 22:56:15,1,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,UgzHpd1diGeAfNk5WhN4AaABAg,NA,@Spookygirlzzy,UC0_h6esX5dAuPlkMOhxrsyw,Damm he fine as wine😍😏,fy,2025-07-28T01:16:15Z,2025-07-27 21:16:15,1,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,UgzxG8fZdChub2N1ywt4AaABAg,NA,@charliegoodman3931,UCZksTJ6sF87qNiovYIn8ujw,This was terrible and should be deleted from the Internet,en,2025-07-20T15:23:23Z,2025-07-20 11:23:23,1,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,Ugyv2AYdtih69q_9B1N4AaABAg,NA,@NoelTaffe33,UCggaYmB3TQ4noyn7DMrAL_w,Skeletor did not hold up since the 80s,en,2025-07-05T04:18:59Z,2025-07-05 00:18:59,0,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,Ugw6zPXmhtyvYXi1kIt4AaABAg,NA,@FilipRanogajec,UCo57dbC6XEzdInfhjeQfXFQ,Who is Skeletor? 😂,NA,2025-06-24T05:28:12Z,2025-06-24 01:28:12,1,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,Ugyk6z5ygLPLd08Cm9x4AaABAg,NA,@CallmeRob614,UCV6fQRIksUfo4T5HHqHdr0w,Comments didn’t disappoint😂,en,2025-06-13T05:17:38Z,2025-06-13 01:17:38,0,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,UgxpD76Zl0w_FCvmezB4AaABAg,NA,@izakarollinydasilva1597,UCusONvSVLWYTReerSUrpaMQ,Eu adoro ele,pt,2025-05-24T18:58:06Z,2025-05-24 14:58:06,0,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,UgxilrMMDNRa-bAGFcZ4AaABAg,NA,@XysterGGG,UC4Vy6RmmKkTcUNgNwXFfhuw,Song name at end?,en,2025-05-24T10:52:17Z,2025-05-24 06:52:17,0,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,UgydhxtlX6haOVM_XTl4AaABAg,NA,@Massivecore994,UCDcKTEgAzlHsky5n0fOdx3g,0:04,ja,2025-04-29T23:16:59Z,2025-04-29 19:16:59,1,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,UgxUXHd0ewWbjAV48fN4AaABAg,NA,@dengirt,UC-T2GUXFZh6CENQiu1HLrKw,0:38 song/music name?,NA,2025-04-29T01:32:31Z,2025-04-28 21:32:31,2,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,UgwQUQWKJCEu-0Kshmt4AaABAg,NA,@MerryBerry0515,UCCiHSJR1WalDrq9VROuXs0Q,Johnny Yong Bosch is one of my favorite voice actors! It’s so funny and awesome hearing him voice Dante!🎉🎉❤❤,en,2025-04-28T19:56:26Z,2025-04-28 15:56:26,1,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,UgwGPEIxe6cWcz80UKd4AaABAg,NA,@Massivecore994,UCDcKTEgAzlHsky5n0fOdx3g,0:10,ja,2025-04-26T06:20:47Z,2025-04-26 02:20:47,1,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,UgwUNjMH9nE71vWSgP14AaABAg,NA,@guacman88,UCnpavA5lSY3w-cht1YTfRVw,What's is the song is this scene. Been looking for it forever and Google won't tell me when I ask,en,2025-04-21T22:52:55Z,2025-04-21 18:52:55,0,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,UgykgsYxzeZRY-Jk84B4AaABAg,NA,@Massivecore994,UCDcKTEgAzlHsky5n0fOdx3g,0:08,ja,2025-04-21T08:53:42Z,2025-04-21 04:53:42,1,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,UgxxYDO5Z4bEq5DyMY54AaABAg,NA,@Areumeor,UC43SOCOSzoef8gRJDqS16Rg,0:42 does anyone know the name of the song here?,en,2025-04-19T15:47:49Z,2025-04-19 11:47:49,1,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,UgzASaD-hj5z7vM5s8x4AaABAg,NA,@Hub209,UCiU_fmbTuRC919446QsP7sA,"Man, Nero missed his uncle Dante way too much that makes him starts cosplaying",en,2025-04-18T20:22:08Z,2025-04-18 16:22:08,0,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,Ugx62BFXOrTumOgcOcZ4AaABAg,NA,@danavic9007,UC5DjrAEubZIvvC4uZj9FgSg,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,ja,2025-04-17T14:33:23Z,2025-04-17 10:33:23,1,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,UgymdPZK7jvsI06d32B4AaABAg,NA,@jthunte1070,UCg7qW4bQ0GrSL_wWDgpG_yA,0:43 song?,en,2025-04-16T21:39:55Z,2025-04-16 17:39:55,2,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,UgwS58HQYVRfakoT5zh4AaABAg,NA,@volkanbahtiyar1,UCHhbOjM9kG8m36rGMynIKGw,This series is disgusting. The plot is terrible. It has nothing to do with the game. The bastard Shanktar has ruined DMC. What a refugee devil. The second season should definitely be cancelled.,en,2025-04-16T16:51:18Z,2025-04-16 12:51:18,3,6
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,UgwoEDz0RjDjVevvLh14AaABAg,NA,@alyzalynnea2204,UCcWj8BfAFyI94DqdEKNiIFg,If anyone knows the song playing in the background please help 😭 i have been trying to figure it out for weekss😭,en,2025-04-16T01:18:47Z,2025-04-15 21:18:47,0,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,UgxLWfAdXCU62wXqVh54AaABAg,NA,@Yodog213,UC1CTQtEUfzA7Y1rVL9BN29g,If he doesn’t have ebony and ivory why doesn’t he reload,en,2025-04-15T12:59:52Z,2025-04-15 08:59:52,0,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,UgwuVVF8-xRSjKBau554AaABAg,NA,@Dingalow,UCRaPL8ZIHQbXiIYX2Dgur-w,Wow this looks bad,en,2025-04-13T12:43:28Z,2025-04-13 08:43:28,0,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,UgxukbcsByVMOmWY1W54AaABAg,NA,@kierancampbell-mawhinney5057,UCmBtFXTKdm9tpKTpgcRtlEQ,1:01 How dare he mentions Skeletor?,en,2025-04-12T21:59:26Z,2025-04-12 17:59:26,0,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,UgyoIuqd0QzDhsKS9E14AaABAg,NA,@avinashanil4973,UCYru19Eb3ykuPIm2x6vN-XA,What is the song in the background 😲,en,2025-04-12T05:49:46Z,2025-04-12 01:49:46,0,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,UgxAeTm1oUP8bzOA-DV4AaABAg,NA,@kellsan01,UCoRpOENrWPkk5LDKkZLTYIw,Does the game or Manga have Demon refugees? 😂😂😂,en,2025-04-11T20:42:53Z,2025-04-11 16:42:53,0,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,Ugyas0j677_vmNPWMcN4AaABAg,NA,@mykrobate,UC_MA59fhje0-2EwOZfIo2LA,those aint the guns he normaly uses what the hell,en,2025-04-11T15:36:12Z,2025-04-11 11:36:12,0,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,UgzETFQbHxRXO0LNvzx4AaABAg,NA,@thesilverwolfofnyc5077,UCcqub9b9KS-0DY5539mrEyw,What's the name of the song that plays at the end same one that played in Dantes apartment when he was spinning the sword around.,en,2025-04-07T19:37:30Z,2025-04-07 15:37:30,0,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,UgxulGZu_gm_HdTj-c94AaABAg,NA,@saberbladefang250,UC71oeAjljUU-kxBQNG7ya1Q,"Okay seriously why did they used the same voice actor johnny who voice acts anime bleach inchigo. and the same guy that ruined deranka from Gundam seed remastered HD Blu-ray the flop failure sequels, even the Gundam seed Freedom movie was a flopped failure. Seriously why didn't the director of Castlevania get someone else to voice act Dante.",en,2025-04-07T18:58:35Z,2025-04-07 14:58:35,0,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,Ugxgl_WNmqsbb-fK5Ix4AaABAg,NA,@TheActualJetFuel,UCOBPAqfLlNUsJIlolAH3j6g,You had such a promise...,en,2025-04-07T09:46:22Z,2025-04-07 05:46:22,2,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,Ugxfjj-VAdHJ-NMl34R4AaABAg,NA,@Sod2407,UC9YfEu5-M39jGQjad_EH5lw,unlimited ammo in those guns i swear,NA,2025-04-07T03:53:20Z,2025-04-06 23:53:20,0,1
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,Ugwg-HGYyMOfonXFU654AaABAg,NA,@Lionnado,UClhaygfXiJfPN4Qq08rkfOw,"They shoved DEI so hard, it wrecked everything.
Thought it was Dante’s story—turns out it’s some random, annoying girl no one remembers. Zero respect for the source material. Dante was the only good thing. The rest? Forced agendas, weak writing, and Episode 6 should’ve never existed. Honestly, I ended up rooting for the demons. That would've been a better ending.",en,2025-04-07T02:29:00Z,2025-04-06 22:29:00,1,1
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,UgzSpmXo0bnBlxOI4aJ4AaABAg,NA,@Gutomaggii,UCQn4mP8unBj9Wyk45c3JtEg,"0:39 , song ??? plss
i listen all the OST and i didnt found it",en,2025-04-06T08:48:55Z,2025-04-06 04:48:55,4,1
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,Ugx55Uet4W-CTQ4IVxN4AaABAg,NA,@YoutubeAccount-y1k,UCPivDWk7m3FDM7uDXEdEOhA,where's the f-in blood?,en,2025-04-06T00:07:30Z,2025-04-05 20:07:30,1,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,Ugz8DWaX47YoowL4OvV4AaABAg,NA,@kukupachu7694,UCWOuH8z04eVDZglIe777CSQ,The show was mid honestly.,en,2025-04-05T19:12:16Z,2025-04-05 15:12:16,4,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,UgxAHtJL-KsAOaUZU9p4AaABAg,NA,@Low_Quality_Bait,UCxX8SDmOAlQFvuGP7o9xQgA,"""YoU SouLD FeEl BaD FoR DemOns""

Absolute Garbage",en,2025-04-05T14:59:34Z,2025-04-05 10:59:34,4,1
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,UgyJha2NGElXFW4tdQR4AaABAg,NA,@thekind5859,UCMaIdmqE0DmTC0YZZh7Dwog,Where is ebony and ivory?,NA,2025-04-05T13:16:57Z,2025-04-05 09:16:57,1,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,UgyyrhKz3Nvbk_ANo4J4AaABAg,NA,@ChunkNoCaptainChunk921,UCTTxtLGsjfIv3lEEYZDUbtQ,ABSOLUTE TRASH,NA,2025-04-05T04:51:33Z,2025-04-05 00:51:33,2,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,UgzVGytJ0X5ZMlKuRpN4AaABAg,NA,@giorgi_09yt68,UC79Mx7bht3nZ3sNBUx6q-iQ,0:42 what music is that?,en,2025-04-04T19:58:31Z,2025-04-04 15:58:31,8,1
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,UgyCqAd-7koDS1_uYdt4AaABAg,NA,@dbdbdeep0715,UCw0BKZ3T30W1wyUBET1Z2AQ,레이디 원래이리 개씹발암캐엿나 진짜 보다가 짜증나서 끌뻔,ko,2025-04-04T15:33:30Z,2025-04-04 11:33:30,0,0
13hN2dvP5Js,Devil May Cry | Alley Fight | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T20:00:00Z,750934,33961,2967,UgxDQUkTTMBYJuo_5uZ4AaABAg,NA,@Massivecore994,UCDcKTEgAzlHsky5n0fOdx3g,0:04,ja,2025-04-04T10:53:51Z,2025-04-04 06:53:51,1,0
