video_id,video_title,channel_id,channel_title,video_published_at,view_count,video_like_count,video_comment_count,comment_id,comment_parent_id,comment_author_display,comment_author_channel_id,comment_text,comment_lang,comment_published_utc,comment_published_local,comment_like_count,comment_reply_count
1QbfJzTPY4w,The Woman in Cabin 10 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-26T12:00:02Z,6086459,40726,2317,UgyWem6NVYF69G11o4F4AaABAg,NA,@gameralove6418,UCiO03pSV0tl2ftrKECMx07w,"I like this movie, and it's quite fun, although it's quite cartoonish, but it's a silly movie you can enjoy with your friend.",en,2025-12-16T12:06:52Z,2025-12-16 07:06:52,0,0
1QbfJzTPY4w,The Woman in Cabin 10 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-26T12:00:02Z,6086459,40726,2317,UgzBCUhn3fwhRB0Syg54AaABAg,NA,@jimcourt9164,UCu6Bfz12XspkAKyC9GYM-Xw,"BLM cast . Turned off after 30
Mins",NA,2025-12-14T19:39:14Z,2025-12-14 14:39:14,1,0
1QbfJzTPY4w,The Woman in Cabin 10 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-26T12:00:02Z,6086459,40726,2317,UgyEDHbBsF1VURAi84x4AaABAg,NA,@mjparadero7046,UCe0Mz6dnk_OhCmaHgBCFVsQ,This was a good movie,en,2025-12-08T06:10:39Z,2025-12-08 01:10:39,0,0
1QbfJzTPY4w,The Woman in Cabin 10 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-26T12:00:02Z,6086459,40726,2317,UgzZ1lbjxqT1A5SWOKB4AaABAg,NA,@JustEllie009,UCHN6N5-r7xJazR9_RA55VmQ,"I read this book over the weekend, it was pretty cool! 👍",en,2025-12-07T15:52:42Z,2025-12-07 10:52:42,0,0
1QbfJzTPY4w,The Woman in Cabin 10 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-26T12:00:02Z,6086459,40726,2317,UgxQxdky6UHNq3JaB-x4AaABAg,NA,@iEmbarcadero,UCMN1rYDPJFzGRd3zvSQZpzw,Netflix loves those movies where they're on one location the entire film.,en,2025-12-07T06:11:27Z,2025-12-07 01:11:27,1,0
1QbfJzTPY4w,The Woman in Cabin 10 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-26T12:00:02Z,6086459,40726,2317,Ugxmlzg6JZYkqOXiTCt4AaABAg,NA,@gravityworks777,UC-jTDPEy02dqIBT6MTS03JQ,Is anyone else screaming at the screen at how stupid they wrote Kira Knightly‘a character??? Isn’t she a journalist? Doesn’t she know by now ridiculously rich ppl are capable of doing ridiculously heinous things and if you get in their way you will be next? Uhhhh wake up dumb girl it is just too maddening to watch the rest of it…. I really don’t think ppl are that stupid are they?? I mean she just got one girl killed for talking to her 🙄,en,2025-12-06T14:59:40Z,2025-12-06 09:59:40,2,1
1QbfJzTPY4w,The Woman in Cabin 10 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-26T12:00:02Z,6086459,40726,2317,UgwLrCel-KUModoG1MJ4AaABAg,NA,@LEllis-o6h,UC5bSn_AATDi4MLzUkdm9dwA,"I love I grew up in the 70s and 80s. I just love watching these left-wing liberals every time there’s a boss, a judge, a doctor, a police chief you got a Negro in those positions. Wow wake up you you left Wayne Jay’s. We don’t buy your shit. You know why we live in the real world if that were the case you FD up J’s we will be more FDup than we are now than we are now!  Well, I guess that’s the case if they got hired under affirmative action or what DEI same thing bunch of nuts! You should just go make shows in Africa it’ll be more realistic with your casting… 😮 well I guess this is London so why didn’t they just make it a Muslim and put the headdress on her with only her her to take her shoes off eyes showing go great with their mayor…😮 wow I made it through 7:13 seconds you got black the newspaper boss then you get the head Steward on the yacht tell her to take her she’s off like then you you get the black ex boyfriend… wow miss appropriation of their race on TV is ridiculous. White people should just move to Africa. Maybe we would get more people on TV well we I don’t know we can’t do that we would starve… or get killed like the white farmers…. Wake up Jay’s you’re on the wrong side…",en,2025-12-05T02:15:11Z,2025-12-04 21:15:11,0,0
1QbfJzTPY4w,The Woman in Cabin 10 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-26T12:00:02Z,6086459,40726,2317,UgwIWwKuUeQpIEr66IV4AaABAg,NA,@storey8965,UCZ60GoNPdPZ3F0QwJLpXnsA,someone portraying (that ghastly) Epstein or similar at .31 seconds..,en,2025-12-01T13:54:12Z,2025-12-01 08:54:12,0,0
1QbfJzTPY4w,The Woman in Cabin 10 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-26T12:00:02Z,6086459,40726,2317,UgxQVoWykmNXNU2eXMJ4AaABAg,NA,@philmichael2035,UCcl1sBdfvAMw65Y8EsIIC7A,Thanks Guy Pierce for saving me time watching this. If he's in it I can guarantee it's trash 🚮,en,2025-11-30T18:18:22Z,2025-11-30 13:18:22,0,0
1QbfJzTPY4w,The Woman in Cabin 10 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-26T12:00:02Z,6086459,40726,2317,UgxvAZ9hIDoFAsF1Qzd4AaABAg,NA,@Si-outlook,UCnzSg7k5GYkRxB71D35gkhA,Si…..🔥🦾💨®️2025,gd,2025-11-30T18:18:10Z,2025-11-30 13:18:10,1,0
1QbfJzTPY4w,The Woman in Cabin 10 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-26T12:00:02Z,6086459,40726,2317,UgzqmH9tQ5Z1qmSBZV14AaABAg,NA,@MarkosZampelis,UC9bYStq9U_34IPlcdNtoeog,"I've had the book sitting somewhere ,never had the time to read it.Maybe I should before I see this movie",en,2025-11-28T22:40:05Z,2025-11-28 17:40:05,0,0
1QbfJzTPY4w,The Woman in Cabin 10 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-26T12:00:02Z,6086459,40726,2317,UgxjVWJRZTHGob-I7At4AaABAg,NA,@Hajar-zs8wb,UCubBnlayN_jA-776qz2kQiQ,My favourite type of movie is when the woman wins,en,2025-11-28T01:20:52Z,2025-11-27 20:20:52,2,0
1QbfJzTPY4w,The Woman in Cabin 10 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-26T12:00:02Z,6086459,40726,2317,Ugwa3_OFuKhLgjfb3Qp4AaABAg,NA,@Hajar-zs8wb,UCubBnlayN_jA-776qz2kQiQ,Moral of the story.. be brave never let anyone silence you,en,2025-11-28T01:19:56Z,2025-11-27 20:19:56,3,0
1QbfJzTPY4w,The Woman in Cabin 10 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-26T12:00:02Z,6086459,40726,2317,UgzatNr_OlA1VeHKT6Z4AaABAg,NA,@Pr3zzyLUV-3isme,UCOuclLQ5G1_GIba47vFnhLQ,Keira Knightly Is The Truth! 🤍,en,2025-11-24T14:32:57Z,2025-11-24 09:32:57,0,0
1QbfJzTPY4w,The Woman in Cabin 10 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-26T12:00:02Z,6086459,40726,2317,UgygL5RfRqqTLaWffEh4AaABAg,NA,@earlkyat8092,UCDhAgaSIpVZfkRe_AUkFCGw,This movie was awesome I was sipping on this courvoisier and eating Chinese food watching this movie I'm ready for this 😁,en,2025-11-24T03:57:22Z,2025-11-23 22:57:22,1,0
1QbfJzTPY4w,The Woman in Cabin 10 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-26T12:00:02Z,6086459,40726,2317,UgwweVKDKvWf0ELbIwF4AaABAg,NA,@florenciamalvido1363,UCWS41UUCyvsaeN_6gIx2-MA,Keira Knightley... please go back to amazing films,NA,2025-11-23T15:40:03Z,2025-11-23 10:40:03,1,0
1QbfJzTPY4w,The Woman in Cabin 10 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-26T12:00:02Z,6086459,40726,2317,UgyAPDTZu4XSROn_bYN4AaABAg,NA,@wakeup958,UCVALfEI0mFljvyHaxTCEMkw,Awesome movie,en,2025-11-22T18:23:02Z,2025-11-22 13:23:02,1,0
1QbfJzTPY4w,The Woman in Cabin 10 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-26T12:00:02Z,6086459,40726,2317,UgzxvQczVdhI-qwhjh94AaABAg,NA,@sandramadu4977,UCjNd6IIZmk3YX5dLH2H-nBQ,I suggest reading the book.,en,2025-11-20T03:20:41Z,2025-11-19 22:20:41,2,0
1QbfJzTPY4w,The Woman in Cabin 10 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-26T12:00:02Z,6086459,40726,2317,Ugzs672KpBJhQ8PMK7x4AaABAg,NA,@ana_geo2319,UCiy-c2XpGt-jclp5dnW0KBA,"Awesome cast, loved it.",en,2025-11-19T17:31:48Z,2025-11-19 12:31:48,1,0
1QbfJzTPY4w,The Woman in Cabin 10 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-26T12:00:02Z,6086459,40726,2317,UgzHeIzPN1xN1bhSx514AaABAg,NA,@ayeTURBO24,UC3KKdamMPLw9MU99cBcDJ0A,Are they making fun of the lady and the reptile in the plane,en,2025-11-19T10:46:02Z,2025-11-19 05:46:02,1,0
1QbfJzTPY4w,The Woman in Cabin 10 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-26T12:00:02Z,6086459,40726,2317,UgzpaaTfDTItqQQjjIN4AaABAg,NA,@Pinkpunk980,UCZ2L1NEIaIV4AQ_dk4Z4b0w,I prefer movies over novels... Just watched it for me it was 8/10 not too many twists and story was well executed. ❤,en,2025-11-18T10:04:11Z,2025-11-18 05:04:11,1,0
1QbfJzTPY4w,The Woman in Cabin 10 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-26T12:00:02Z,6086459,40726,2317,UgziyMnqu-7Qb1R39k94AaABAg,NA,@sheryllesampiloss,UC3sgVRcyXBSRPHcpZwr-JEw,I thought its Natalie Portman util i read the name.,NA,2025-11-16T09:40:52Z,2025-11-16 04:40:52,1,0
1QbfJzTPY4w,The Woman in Cabin 10 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-26T12:00:02Z,6086459,40726,2317,UgyxsMLzaGltttn04od4AaABAg,NA,@Mariahmusicful,UCI8DUcYjxUOKhfkDHftI3kw,I just watched it. I really liked it. Definitely recommend!,en,2025-11-15T20:17:11Z,2025-11-15 15:17:11,0,0
1QbfJzTPY4w,The Woman in Cabin 10 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-26T12:00:02Z,6086459,40726,2317,UgxsaEA8GoibeXQZzVF4AaABAg,NA,@fayyazahmad5431,UC5HW_YAX0_fg738JphdIyXA,She is telling truth. During movie I also saw😂,en,2025-11-15T18:43:42Z,2025-11-15 13:43:42,0,0
1QbfJzTPY4w,The Woman in Cabin 10 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-26T12:00:02Z,6086459,40726,2317,Ugyuk7YP3YhFrsmRev54AaABAg,NA,@artsyhyd,UCG5GFtUHHlcFy8cNlt0b9XQ,"Laura character is so annoying! She can’t be a journalist or detective in real life! She can’t read the room, she tells everyone everything, in real life she’s dead before she can tell the world the story!",en,2025-11-14T07:38:41Z,2025-11-14 02:38:41,3,0
1QbfJzTPY4w,The Woman in Cabin 10 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-26T12:00:02Z,6086459,40726,2317,UgyKMQMtWXChUqFphUp4AaABAg,NA,@Hetzalallemaalwel,UC9EZjUzXcfSoPqS-dnqzKcg,"It has occured to me that Netflix is producing more and movies with a single famous actor/actress, in a story that is so bad.
Allthough the book can be great, the movie is basically not worth watching, due to the film script. The movie even features a Johnny Depp ‘lookalike’ with the exact same hand tattoo as Depp himself. Every scene in this movie is so predictable…",en,2025-11-13T14:22:22Z,2025-11-13 09:22:22,0,0
1QbfJzTPY4w,The Woman in Cabin 10 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-26T12:00:02Z,6086459,40726,2317,Ugw5I2mzo0Z63OKdHHh4AaABAg,NA,@malomarshers,UCgZ_DSI5bkmkZIWwKUvtfWw,I haven't even seen The Woman in Cabin 1 through 9 yet.,en,2025-11-12T16:51:06Z,2025-11-12 11:51:06,11,1
1QbfJzTPY4w,The Woman in Cabin 10 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-26T12:00:02Z,6086459,40726,2317,UgzKxI0NFtdXQdr94Yx4AaABAg,NA,@mrleelee6478,UCkk19Q7Y7AdcPx54yHgBSKQ,"This is the shittest film in the world.  So cliche, ridiculous and pointless i dont even know where to start.  It defies belief that this was ever made",en,2025-11-12T09:45:54Z,2025-11-12 04:45:54,0,0
1QbfJzTPY4w,The Woman in Cabin 10 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-26T12:00:02Z,6086459,40726,2317,UgzmCnopK0y5Yg1KuUF4AaABAg,NA,@richardkelly7354,UC3Jm5txC52J7AGMYOaREx4A,why would she even care that much?,en,2025-11-11T17:40:45Z,2025-11-11 12:40:45,0,0
1QbfJzTPY4w,The Woman in Cabin 10 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-26T12:00:02Z,6086459,40726,2317,UgyVzYqWnnHdcSXKpLJ4AaABAg,NA,@Petey194,UCvF5GKOqaeMDCn3Mb0TWUPQ,That soundtrack was terrible.,en,2025-11-11T13:33:10Z,2025-11-11 08:33:10,0,0
1QbfJzTPY4w,The Woman in Cabin 10 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-26T12:00:02Z,6086459,40726,2317,Ugy8Uo35x7oFfzuDX3x4AaABAg,NA,@JordanTheMann,UCGVhCN30cHbbWpN0YuRMIbQ,Pirates of Somalia: Epsteins Cruise,el-Latn,2025-11-11T02:07:40Z,2025-11-10 21:07:40,1,0
