video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
2mjN2f5tu2s,BOOTS | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-22T16:30:00Z,UgzReU5Jpak4icK4L2x4AaABAg.AQm8HdzfF7JAQmNS1YBvgn,UgzReU5Jpak4icK4L2x4AaABAg,@mlkidd9,UCOVlEBEW93bAweeVQ-6pbFA,Wake up on this nuts,en,2025-12-16T04:11:01Z,2025-12-15 23:11:01,0
2mjN2f5tu2s,BOOTS | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-22T16:30:00Z,UgwhGayRGiX1UCXnfE94AaABAg.APpFDQql-UuAQhFKGACGrS,UgwhGayRGiX1UCXnfE94AaABAg,@bahhumbug9824,UCLu58TKXMBVlzSJeuwnYblg,"""Stop believing you're average, Cope."" That's the line that got me.",en,2025-12-14T04:23:51Z,2025-12-13 23:23:51,0
2mjN2f5tu2s,BOOTS | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-22T16:30:00Z,UgyN_p0LTPFJZ3V6fDZ4AaABAg.APWVG83BDBYAQhDQY1z_9c,UgyN_p0LTPFJZ3V6fDZ4AaABAg,@bahhumbug9824,UCLu58TKXMBVlzSJeuwnYblg,If the husband looks ANYTHING like Sgt Sullivan consider yourself lucky. :),en,2025-12-14T04:07:14Z,2025-12-13 23:07:14,0
2mjN2f5tu2s,BOOTS | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-22T16:30:00Z,UgywAcVm7VOqheBqKxF4AaABAg.APUzKKGl-I5AQhFFxV9wGo,UgywAcVm7VOqheBqKxF4AaABAg,@bahhumbug9824,UCLu58TKXMBVlzSJeuwnYblg,"I'd be okay if it ended right here. Going to the Persian Gulf would basically turn this into the movie ""Jarhead."" The REAL theme of the show is about a boy becoming a man and it did that quite well.",en,2025-12-14T04:23:16Z,2025-12-13 23:23:16,0
2mjN2f5tu2s,BOOTS | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-22T16:30:00Z,UgwRLF-Ze74g_4-y4PF4AaABAg.APMoTJcHGamAPqpeL0eJZb,UgwRLF-Ze74g_4-y4PF4AaABAg,@Guesswhay,UCuhIyEV7pfxTWEHjMgFj44Q,Saying slurs is so 1950s,NA,2025-11-23T01:11:49Z,2025-11-22 20:11:49,0
2mjN2f5tu2s,BOOTS | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-22T16:30:00Z,UgwvgAD_-YY5rKOrl9B4AaABAg.APLwdyL1F7bAPyByTdFs5o,UgwvgAD_-YY5rKOrl9B4AaABAg,@sufyanlowel4631,UCb0Qs1YTxYBBV5tabN7Tf7Q,Oh dear. Here's the news for you - the actor is married. To a man.😂,en,2025-11-25T21:50:13Z,2025-11-25 16:50:13,0
2mjN2f5tu2s,BOOTS | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-22T16:30:00Z,UgwvgAD_-YY5rKOrl9B4AaABAg.APLwdyL1F7bAQYXcG0GraY,UgwvgAD_-YY5rKOrl9B4AaABAg,@creative.hummingbird.original,UCCTr38QwidFyGBq_50iywkw,@sufyanlowel4631 And what's the problem? Can't I say that the actor looks good? His facial structure reminded me of someone I knew.,en,2025-12-10T09:51:20Z,2025-12-10 04:51:20,0
2mjN2f5tu2s,BOOTS | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-22T16:30:00Z,UgzIgamx8EzVueGcu7t4AaABAg.AP8DJClp2JdAQhEmpRidCb,UgzIgamx8EzVueGcu7t4AaABAg,@bahhumbug9824,UCLu58TKXMBVlzSJeuwnYblg,"Bruh, they really put you in a freakin' GAS CHAMBER???",en,2025-12-14T04:19:09Z,2025-12-13 23:19:09,1
2mjN2f5tu2s,BOOTS | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-22T16:30:00Z,UgzIgamx8EzVueGcu7t4AaABAg.AP8DJClp2JdAQhV5haQYFu,UgzIgamx8EzVueGcu7t4AaABAg,@deeser286,UCtkXo4-Zf9IckgtSK7fA4Ow,"​​​@bahhumbug9824 Of course, everybody has to becomes acquainted with CS gas during second phase, I feel like I can still taste it. Some of the DIs could go in without a mask on, I think they were half brain-dead 😂",en,2025-12-14T06:41:40Z,2025-12-14 01:41:40,0
2mjN2f5tu2s,BOOTS | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-22T16:30:00Z,UgyOO1rDlLB2IkHOpxV4AaABAg.AP49SI_izfuAPyC9CxIa_w,UgyOO1rDlLB2IkHOpxV4AaABAg,@sufyanlowel4631,UCb0Qs1YTxYBBV5tabN7Tf7Q,This show is based on the real events. You need help,en,2025-11-25T21:51:49Z,2025-11-25 16:51:49,0
