video_id,video_url,comment_id,comment_author_display,comment_author_channel_id,comment_content,comment_lang,comment_time_utc,comment_time_local,comment_like_count,comment_reply_count,reply_id,reply_author_display,reply_author_channel_id,reply_content,reply_lang,reply_time_utc,reply_time_local,reply_like_count,view_count,like_count,comment_count,crawl_time
4DknR_UNXbQ,https://www.youtube.com/watch?v=4DknR_UNXbQ,Ugy6AnW7FLzizbJV-eh4AaABAg,@rishiroy963,UCEwQtpqV2XdbbkFQSMZB5AA,Its really hurt when you know stranger things s5 have low runtime thats already ruin your excitement...,en,2025-10-29T01:01:24Z,2025-10-28 21:01:24,0,1,Ugy6AnW7FLzizbJV-eh4AaABAg.AOqRa9ytooMAOx5AFl5CvF,@AvetAvetisyan-o8m,UCLfZfSJUTCmifkHWv8YbIwQ,Why is it low? 1 hour isn't enough for you?,en,2025-10-31T15:00:10Z,2025-10-31 11:00:10,0,4041365,65884,3156,"Tue, 16 Dec 2025 03:06:49 GMT"
4DknR_UNXbQ,https://www.youtube.com/watch?v=4DknR_UNXbQ,Ugx9-t7QDucBakeDAjl4AaABAg,@TristinAlston,UCOWuZKze-BRVMsyWmQI5DUA,Imma rewatch all the seasons with my mom and when this come out straight into it,en,2025-10-16T08:39:26Z,2025-10-16 04:39:26,0,1,Ugx9-t7QDucBakeDAjl4AaABAg.AOKmfZ7awXtAOnCZPzzH1S,@mr.whatsit001,UCuqgc4a-L7muoSkUvgSNbpg,SAME,NA,2025-10-27T18:52:21Z,2025-10-27 14:52:21,0,4041365,65884,3156,"Tue, 16 Dec 2025 03:06:49 GMT"
4DknR_UNXbQ,https://www.youtube.com/watch?v=4DknR_UNXbQ,UgzaQH8AUYIPVErgMb94AaABAg,@GretaOD,UCm9A1UrKBb_Yg2Ur0g5cMvg,BYLER,NA,2025-10-15T07:33:51Z,2025-10-15 03:33:51,1,1,UgzaQH8AUYIPVErgMb94AaABAg.AOI5NO7qH_KAOnC_I5wRMc,@mr.whatsit001,UCuqgc4a-L7muoSkUvgSNbpg,Not happening,nl,2025-10-27T18:52:29Z,2025-10-27 14:52:29,0,4041365,65884,3156,"Tue, 16 Dec 2025 03:06:49 GMT"
4DknR_UNXbQ,https://www.youtube.com/watch?v=4DknR_UNXbQ,UgzeFC2dA2OGgQocYcl4AaABAg,@villager7171,UC6YsaODfl6l_yRf-IWAJimA,I never watch this show,en,2025-10-01T15:14:15Z,2025-10-01 11:14:15,0,1,UgzeFC2dA2OGgQocYcl4AaABAg.ANjrw7mPVvVANm81VbFv2R,@ExodusOrange,UC30zejLNJ4nBCTTVSZBzlUA,Thanks for telling us you’re stupid….,en,2025-10-02T12:22:09Z,2025-10-02 08:22:09,1,4041365,65884,3156,"Tue, 16 Dec 2025 03:06:49 GMT"
4DknR_UNXbQ,https://www.youtube.com/watch?v=4DknR_UNXbQ,UgzFd2Z-yi13nsN_Fut4AaABAg,@Hunter-x047,UCBjPncFIE1TVzD6WcvZFpdg,Release date?,NA,2025-10-01T06:27:50Z,2025-10-01 02:27:50,0,1,UgzFd2Z-yi13nsN_Fut4AaABAg.ANivgdY6NmIANjmy1Wrz27,@mr.whatsit001,UCuqgc4a-L7muoSkUvgSNbpg,26 November 😃,sl,2025-10-01T14:30:49Z,2025-10-01 10:30:49,0,4041365,65884,3156,"Tue, 16 Dec 2025 03:06:49 GMT"
4DknR_UNXbQ,https://www.youtube.com/watch?v=4DknR_UNXbQ,UgylL_kUlXGNFTDVRox4AaABAg,@haileyhardin1997,UCXMO7TCtqOL7S1KtgB16aQQ,I am so excited for stranger things season 5. Stranger Things is one of my top favorite Netflix’s original series,en,2025-09-29T12:39:47Z,2025-09-29 08:39:47,0,1,UgylL_kUlXGNFTDVRox4AaABAg.ANeRf2nxEdUANf-ujotJzF,@azanqamar2820,UCiaDtDLmtHSzYrVQJbdWjxA,who love vecna🎉,NA,2025-09-29T17:56:30Z,2025-09-29 13:56:30,0,4041365,65884,3156,"Tue, 16 Dec 2025 03:06:49 GMT"
4DknR_UNXbQ,https://www.youtube.com/watch?v=4DknR_UNXbQ,UgxE5HkTiFpjB9_TFoF4AaABAg,@shauryabhardwaj2710,UCGHqipIaob0WTpcXuvW6vWg,When Is it going to release ??,en,2025-09-29T08:25:35Z,2025-09-29 04:25:35,0,2,UgxE5HkTiFpjB9_TFoF4AaABAg.ANdz_Cw1y50ANe1CLbb7Vj,@Kidsentertainment-w9u,UC3NSztWnrUJnzcxMdMZQgBQ,26 November,sl,2025-09-29T08:48:32Z,2025-09-29 04:48:32,0,4041365,65884,3156,"Tue, 16 Dec 2025 03:06:49 GMT"
4DknR_UNXbQ,https://www.youtube.com/watch?v=4DknR_UNXbQ,UgxE5HkTiFpjB9_TFoF4AaABAg,@shauryabhardwaj2710,UCGHqipIaob0WTpcXuvW6vWg,When Is it going to release ??,en,2025-09-29T08:25:35Z,2025-09-29 04:25:35,0,2,UgxE5HkTiFpjB9_TFoF4AaABAg.ANdz_Cw1y50ANgXGzN73zZ,@Ellie10009,UChd-pQD1Fr3UQ9iOK94W_PQ,"If you don't live in the West of America due to the 5pm PT release on the 26th November, 27th November is the release date.",en,2025-09-30T08:07:16Z,2025-09-30 04:07:16,0,4041365,65884,3156,"Tue, 16 Dec 2025 03:06:49 GMT"
4DknR_UNXbQ,https://www.youtube.com/watch?v=4DknR_UNXbQ,Ugyqll0wLKlhRd6WNZF4AaABAg,@TelepartyPlays,UCef16Y0oP8HoKtkgxUM5bOQ,Haven’t watched since season 2. Should have stopped at season 1 which was a masterpiece. The rest has just been goop.,en,2025-09-28T13:36:14Z,2025-09-28 09:36:14,1,1,Ugyqll0wLKlhRd6WNZF4AaABAg.ANbyKcp6LCEANcBgZVF89g,@RealStephenPLAYZ,UCwiHvpwbZ-_bpmNmE39-eUQ,😅I respect your opinion,en,2025-09-28T15:41:42Z,2025-09-28 11:41:42,1,4041365,65884,3156,"Tue, 16 Dec 2025 03:06:49 GMT"
4DknR_UNXbQ,https://www.youtube.com/watch?v=4DknR_UNXbQ,Ugxw_2doGsSHbSiXg2V4AaABAg,@iqrasafdar7129,UCMU4JGBbXrALC8rpujbRb2w,We want billy back pls😢,en,2025-09-28T11:27:01Z,2025-09-28 07:27:01,2,1,Ugxw_2doGsSHbSiXg2V4AaABAg.ANbjYAbBwc9ANcBlVXRL0s,@RealStephenPLAYZ,UCwiHvpwbZ-_bpmNmE39-eUQ,RIP billy 😢,kk,2025-09-28T15:42:22Z,2025-09-28 11:42:22,0,4041365,65884,3156,"Tue, 16 Dec 2025 03:06:49 GMT"
