video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
50DYgzRBhFA,The Thursday Murder Club | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-07T13:15:00Z,UgzkmjxBqSXGEwwpjIh4AaABAg.AMkCTyUyagaAMpYpNsHS_N,UgzkmjxBqSXGEwwpjIh4AaABAg,@enlightenedhummingbird4764,UCG3fWcB04N4APH8i227ofgw,Did the Polish guy get to see his mother again?,en,2025-09-08T23:42:36Z,2025-09-08 19:42:36,0
50DYgzRBhFA,The Thursday Murder Club | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-07T13:15:00Z,UgyYzMPUarg6mh1u_b94AaABAg.AMeJ2r5nBMcAMpZ0-1poE8,UgyYzMPUarg6mh1u_b94AaABAg,@enlightenedhummingbird4764,UCG3fWcB04N4APH8i227ofgw,"I hate to say, the same thought crossed my mind. I'm very concerned, Did the Polish guy get to see his mother again?",en,2025-09-08T23:44:12Z,2025-09-08 19:44:12,0
50DYgzRBhFA,The Thursday Murder Club | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-07T13:15:00Z,UgyYzMPUarg6mh1u_b94AaABAg.AMeJ2r5nBMcAMrO9ywXLqA,UgyYzMPUarg6mh1u_b94AaABAg,@kiki__21,UC-geMeWZIcH4dn4El3CnpRQ,I have no idea why they made the changes they did to the original story,en,2025-09-09T16:47:55Z,2025-09-09 12:47:55,1
50DYgzRBhFA,The Thursday Murder Club | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-07T13:15:00Z,UgxfI8B4oVwJN52_kP94AaABAg.AMdbhEwmff1AMpZ3_UTXb0,UgxfI8B4oVwJN52_kP94AaABAg,@enlightenedhummingbird4764,UCG3fWcB04N4APH8i227ofgw,But did the Polish guy get to see his mother again?,en,2025-09-08T23:44:41Z,2025-09-08 19:44:41,0
50DYgzRBhFA,The Thursday Murder Club | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-07T13:15:00Z,Ugy-z7TieYu30e91Q5p4AaABAg.AMcro3M9AjyAMpZ7ZU6j-1,Ugy-z7TieYu30e91Q5p4AaABAg,@enlightenedhummingbird4764,UCG3fWcB04N4APH8i227ofgw,"I enjoyed the movie, but did the Polish guy get to see his mother again?",en,2025-09-08T23:45:14Z,2025-09-08 19:45:14,0
50DYgzRBhFA,The Thursday Murder Club | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-07T13:15:00Z,UgyLlIGHg02HHMFN-JV4AaABAg.AMc_CJPtTRXAMpZG8ZNYyQ,UgyLlIGHg02HHMFN-JV4AaABAg,@enlightenedhummingbird4764,UCG3fWcB04N4APH8i227ofgw,Did the Polish guy get to see his mother again?,en,2025-09-08T23:46:24Z,2025-09-08 19:46:24,0
50DYgzRBhFA,The Thursday Murder Club | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-07T13:15:00Z,UgyLlIGHg02HHMFN-JV4AaABAg.AMc_CJPtTRXAMqLr-TE7pR,UgyLlIGHg02HHMFN-JV4AaABAg,@Yaz_ku_on,UC53Knoh43X-wG_Cn4DOBBnw,​@enlightenedhummingbird4764 Nope he was jailed 😅 almost nearby the climax,en,2025-09-09T07:08:28Z,2025-09-09 03:08:28,0
50DYgzRBhFA,The Thursday Murder Club | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-07T13:15:00Z,UgyLlIGHg02HHMFN-JV4AaABAg.AMc_CJPtTRXAMrxZFtIH4N,UgyLlIGHg02HHMFN-JV4AaABAg,@enlightenedhummingbird4764,UCG3fWcB04N4APH8i227ofgw,"​@Yaz_ku_onAnd yet, the truly bad ""flower guy"" got a deal. Disgusting.",en,2025-09-09T22:05:56Z,2025-09-09 18:05:56,0
50DYgzRBhFA,The Thursday Murder Club | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-07T13:15:00Z,UgyUFl_IghmgQgwd6GF4AaABAg.AMYbVuophVuAMpZOIuX-q7,UgyUFl_IghmgQgwd6GF4AaABAg,@enlightenedhummingbird4764,UCG3fWcB04N4APH8i227ofgw,But did the Polish guy get to see his mother again?,en,2025-09-08T23:47:31Z,2025-09-08 19:47:31,1
50DYgzRBhFA,The Thursday Murder Club | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-07T13:15:00Z,UgyUFl_IghmgQgwd6GF4AaABAg.AMYbVuophVuAMrPJ2p5Lae,UgyUFl_IghmgQgwd6GF4AaABAg,@crampoos,UCEscnKJxaepZH5a03dVNVYw,@enlightenedhummingbird4764 Doubt that. He ended in jail. But....maybe the sequel would reveal that. If there would be one.,en,2025-09-09T16:57:54Z,2025-09-09 12:57:54,0
50DYgzRBhFA,The Thursday Murder Club | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-07T13:15:00Z,Ugyep2UMNDpS0fH6U514AaABAg.AMQuxXOu0U5AMVQpAy9f4G,Ugyep2UMNDpS0fH6U514AaABAg,@maplejakee,UCDZTG7cjCf92-YTHNeQ4-ig,@lindsaypitt8356 nobody is reading all that,no,2025-08-31T18:48:38Z,2025-08-31 14:48:38,0
50DYgzRBhFA,The Thursday Murder Club | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-07T13:15:00Z,Ugyep2UMNDpS0fH6U514AaABAg.AMQuxXOu0U5AMcoBqpweXq,Ugyep2UMNDpS0fH6U514AaABAg,@CJAshes,UCgFQtvGk8p1SgWL0mv3dqQQ,@maplejakeeI read it,NA,2025-09-04T00:55:30Z,2025-09-03 20:55:30,0
