video_id,video_title,channel_id,channel_title,video_published_at,view_count,video_like_count,video_comment_count,comment_id,comment_parent_id,comment_author_display,comment_author_channel_id,comment_text,comment_lang,comment_published_utc,comment_published_local,comment_like_count,comment_reply_count
5ZvbQ48GAyk,My Life With the Walter Boys: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-05T15:00:00Z,2091261,33825,2360,Ugz8OoiX-wQXGkjFwEp4AaABAg,NA,@LynahAko,UCNIvKCRgq-NSyb1VAwl68Ug,So exhausting watching Jackie. Alex deserves better,en,2025-12-11T09:10:39Z,2025-12-11 04:10:39,0,0
5ZvbQ48GAyk,My Life With the Walter Boys: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-05T15:00:00Z,2091261,33825,2360,UgyE5opn-NxVl59-hs94AaABAg,NA,@ecthasreefa6219,UC4LTlLLj8lhR0OTVqgCvSJA,Pls replace jackie .because she is very boring and not excited to watch.also the series became very boring of that,en,2025-11-27T12:29:29Z,2025-11-27 07:29:29,1,0
5ZvbQ48GAyk,My Life With the Walter Boys: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-05T15:00:00Z,2091261,33825,2360,Ugx8_nSHSJ2vu4cYsAx4AaABAg,NA,@TOXICDREAMS67,UCA8kN6OdYjfaYyKiHW5-bPQ,Alex needs  a real woman,NA,2025-11-25T22:52:59Z,2025-11-25 17:52:59,0,0
5ZvbQ48GAyk,My Life With the Walter Boys: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-05T15:00:00Z,2091261,33825,2360,UgxrTwUf-GTVZrHCjBZ4AaABAg,NA,@JesseHusbands49,UCcEJwaBXe4Vx13JMCo8UKKA,When will there be a season 3 and 4 of this series,en,2025-11-23T05:24:02Z,2025-11-23 00:24:02,0,0
5ZvbQ48GAyk,My Life With the Walter Boys: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-05T15:00:00Z,2091261,33825,2360,UgwBGV835lD1I7Ub7RF4AaABAg,NA,@kerrysarwan3350,UCBFS-3gI8KOFzQixVQgbZgw,It’s crazy how the show found a way to make this young lady look like the girl next door in the best way possible lol. In the hood this girl becomes known as a ho !,en,2025-11-21T20:07:11Z,2025-11-21 15:07:11,0,0
5ZvbQ48GAyk,My Life With the Walter Boys: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-05T15:00:00Z,2091261,33825,2360,UgwVmiMml4mukRJzn-h4AaABAg,NA,@love2dance270,UCfpqGZ8xLIjuyZTv6GC6YKA,The next seasons trailer should be to intertwined by jade le Mac,en,2025-11-08T20:38:45Z,2025-11-08 15:38:45,0,0
5ZvbQ48GAyk,My Life With the Walter Boys: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-05T15:00:00Z,2091261,33825,2360,UgySN4WFS0P9YKN8A7Z4AaABAg,NA,@Kestovar,UC_m6jL9JQB6pqlDiUgepMcA,"Why does the series give me the vibe that seemingly the whole town has already had something with each other? This back and forth between the characters is really exhausting. Alex is angry with Jacky because she is also into Cole, but Alex constantly stares at Kylie. 
Come on... Who is writing that.

Season 2 is so similar to season 1 when it comes to the core of the story...and I already can smell season 3. They could make another 53 seasons by just following that back and forth 😂",en,2025-10-23T22:27:00Z,2025-10-23 18:27:00,1,0
5ZvbQ48GAyk,My Life With the Walter Boys: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-05T15:00:00Z,2091261,33825,2360,UgxPOwr5_ZC_eXUbi1h4AaABAg,NA,@JacobZeblon-yi3mb,UCJ-EG_eiv2AYBtU_-a4X4fA,"I hope this isn't another ""the summer I turned pretty"" 
I hope it's realistic at least",en,2025-10-17T17:24:49Z,2025-10-17 13:24:49,0,0
5ZvbQ48GAyk,My Life With the Walter Boys: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-05T15:00:00Z,2091261,33825,2360,UgxgCFGW_uF79kiyVRp4AaABAg,NA,@Re-xh4ox,UCZegZtFXjLlCmM7nJTjCPHg,I can’t wait for Season 3😭,en,2025-10-16T12:24:06Z,2025-10-16 08:24:06,0,0
5ZvbQ48GAyk,My Life With the Walter Boys: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-05T15:00:00Z,2091261,33825,2360,UgyzdRq7JwJW2d8DR554AaABAg,NA,@MituSabrina-uq4js,UCnUm-K24MthDBiZK3lrOcag,Can't she choose 1 boy ...... waste of my time .....she wants both,en,2025-10-15T19:13:28Z,2025-10-15 15:13:28,0,0
