video_id,video_url,comment_id,comment_author_display,comment_author_channel_id,comment_content,comment_lang,comment_time_utc,comment_time_local,comment_like_count,comment_reply_count,reply_id,reply_author_display,reply_author_channel_id,reply_content,reply_lang,reply_time_utc,reply_time_local,reply_like_count,view_count,like_count,comment_count,crawl_time
72hK6FUmm8o,https://www.youtube.com/watch?v=72hK6FUmm8o,Ugz17GvfDjqkmTxvNr14AaABAg,@Sebisajiminstan,UChwHM5QeIo3J4UQVmz4uTEw,"Dude. Amazing series. I could quite literally watch 20 seasons of Carl and Akram just going around, catching bad guys in ways that may or may not be completely legal. Brilliant",en,2025-08-26T22:03:30Z,2025-08-26 18:03:30,5,1,Ugz17GvfDjqkmTxvNr14AaABAg.AMIu938i7XBANkSMhGia1p,@UrbanAngel1111,UCCsRd799uw-yUHtU24kzM5g,😂😂😂 Perfectly said!,NA,2025-10-01T20:41:19Z,2025-10-01 16:41:19,0,2294375,19865,1482,"Tue, 16 Dec 2025 17:36:18 GMT"
72hK6FUmm8o,https://www.youtube.com/watch?v=72hK6FUmm8o,UgwY2oM-otSs8gQMAzl4AaABAg,@cancerly_6702,UCnao6jcd2aeCPAaLBZ7co4w,PLEASEE IM BEGGING YOU NETFLIX. THEY DONT MAKE THIS KIND OF SERIES ANYMORE. WE WANT SEASON 2,en,2025-08-19T09:33:33Z,2025-08-19 05:33:33,0,2,UgwY2oM-otSs8gQMAzl4AaABAg.AM-XlAAbR3_AM0iDLWPTlr,@stephyourgameup,UC3uZ_bgcLyzi82tgKM8I7Vw,Season 2 is happening they just announced,en,2025-08-19T20:32:53Z,2025-08-19 16:32:53,0,2294375,19865,1482,"Tue, 16 Dec 2025 17:36:18 GMT"
72hK6FUmm8o,https://www.youtube.com/watch?v=72hK6FUmm8o,UgwY2oM-otSs8gQMAzl4AaABAg,@cancerly_6702,UCnao6jcd2aeCPAaLBZ7co4w,PLEASEE IM BEGGING YOU NETFLIX. THEY DONT MAKE THIS KIND OF SERIES ANYMORE. WE WANT SEASON 2,en,2025-08-19T09:33:33Z,2025-08-19 05:33:33,0,2,UgwY2oM-otSs8gQMAzl4AaABAg.AM-XlAAbR3_AMtlMaVxFlx,@cancerly_6702,UCnao6jcd2aeCPAaLBZ7co4w,​@stephyourgameupomg thankss,en,2025-09-10T14:57:50Z,2025-09-10 10:57:50,0,2294375,19865,1482,"Tue, 16 Dec 2025 17:36:18 GMT"
72hK6FUmm8o,https://www.youtube.com/watch?v=72hK6FUmm8o,UgzQpVOXRqDfHt4wZ5R4AaABAg,@459raj,UC_0wRoGtZoKHoaMw5c2V8cA,"Series is just amazing....but the innumerable times of ""F"" word usage makes it super annoyingggggg.....every dialogue has a F word......yikessss",en,2025-08-04T05:37:22Z,2025-08-04 01:37:22,0,2,UgzQpVOXRqDfHt4wZ5R4AaABAg.ALOUoFrhsmzALxS5s_zmEB,@toomuchinformation,UC4EBtb7h2gYay_KgkCDr7Jg,It was the c word that was used all the time.,en,2025-08-18T04:46:22Z,2025-08-18 00:46:22,0,2294375,19865,1482,"Tue, 16 Dec 2025 17:36:18 GMT"
72hK6FUmm8o,https://www.youtube.com/watch?v=72hK6FUmm8o,UgzQpVOXRqDfHt4wZ5R4AaABAg,@459raj,UC_0wRoGtZoKHoaMw5c2V8cA,"Series is just amazing....but the innumerable times of ""F"" word usage makes it super annoyingggggg.....every dialogue has a F word......yikessss",en,2025-08-04T05:37:22Z,2025-08-04 01:37:22,0,2,UgzQpVOXRqDfHt4wZ5R4AaABAg.ALOUoFrhsmzAMNtelo7g8s,@CrowEnjoyer,UCf9dzN18Oct-MNim78XN6Mw,Me when the adult show with adult characters uses adult language,en,2025-08-28T20:35:25Z,2025-08-28 16:35:25,0,2294375,19865,1482,"Tue, 16 Dec 2025 17:36:18 GMT"
72hK6FUmm8o,https://www.youtube.com/watch?v=72hK6FUmm8o,UgwhGF6NqvPO_jFmgoF4AaABAg,@moh6994,UCt1wdTsLRlRdsIcBi5W2EHA,"Just finished this series. Normally I don't really enjoy detective movies or shows; I always feel the detective too overpowered, always knowing everything, and somehow always right in the end without explaining what they saw or thought.

This one is different. I LOVE IT. Every single character in this teams have their own important role, shared thoughts and explained what they found. Akram is really a lovable character. I love him immediately. Eventhought it starts a little bit slow, trust me, it's worth the wait. The intensity grows as more secrets are disclosed piece by piece.

REALLY HOPE NETFLIX WON'T CANCEL THIS ONE FOR ANY REASON. It has a lot of things to discover, even I want to know about Akram's past. I don't mind if Netflix wants to make a special episode just for Akram.",en,2025-07-28T14:14:56Z,2025-07-28 10:14:56,1,2,UgwhGF6NqvPO_jFmgoF4AaABAg.AL7OTpQEOzyAL7m1ZPc-gH,@Ridah20,UCti-ECbLWPBm1DQy2KaGuOw,It's been way too long and they haven't announced season 2 yet😔,en,2025-07-28T17:49:32Z,2025-07-28 13:49:32,0,2294375,19865,1482,"Tue, 16 Dec 2025 17:36:18 GMT"
72hK6FUmm8o,https://www.youtube.com/watch?v=72hK6FUmm8o,UgwhGF6NqvPO_jFmgoF4AaABAg,@moh6994,UCt1wdTsLRlRdsIcBi5W2EHA,"Just finished this series. Normally I don't really enjoy detective movies or shows; I always feel the detective too overpowered, always knowing everything, and somehow always right in the end without explaining what they saw or thought.

This one is different. I LOVE IT. Every single character in this teams have their own important role, shared thoughts and explained what they found. Akram is really a lovable character. I love him immediately. Eventhought it starts a little bit slow, trust me, it's worth the wait. The intensity grows as more secrets are disclosed piece by piece.

REALLY HOPE NETFLIX WON'T CANCEL THIS ONE FOR ANY REASON. It has a lot of things to discover, even I want to know about Akram's past. I don't mind if Netflix wants to make a special episode just for Akram.",en,2025-07-28T14:14:56Z,2025-07-28 10:14:56,1,2,UgwhGF6NqvPO_jFmgoF4AaABAg.AL7OTpQEOzyALHwx_VrFaJ,@moh6994,UCt1wdTsLRlRdsIcBi5W2EHA,​@Ridah20they got nominated for emmy. I hope thats mean they will considered for season 2..,en,2025-08-01T16:37:22Z,2025-08-01 12:37:22,0,2294375,19865,1482,"Tue, 16 Dec 2025 17:36:18 GMT"
72hK6FUmm8o,https://www.youtube.com/watch?v=72hK6FUmm8o,UgxihCJ9NWm4FqTBE7x4AaABAg,@RodrigoFosRomero,UCDP7bqwp80pTEeARzzBQZEQ,What's the name of the song at 1:47 ??,en,2025-07-04T13:56:19Z,2025-07-04 09:56:19,3,2,UgxihCJ9NWm4FqTBE7x4AaABAg.AK9ZGRqxg6MAKCUmoOtrLy,@BottledBlueOnYouTube,UCNiTMLTuiNelwbXXcJyXRDQ,kasabian club foot,mt,2025-07-05T17:14:54Z,2025-07-05 13:14:54,3,2294375,19865,1482,"Tue, 16 Dec 2025 17:36:18 GMT"
72hK6FUmm8o,https://www.youtube.com/watch?v=72hK6FUmm8o,UgxihCJ9NWm4FqTBE7x4AaABAg,@RodrigoFosRomero,UCDP7bqwp80pTEeARzzBQZEQ,What's the name of the song at 1:47 ??,en,2025-07-04T13:56:19Z,2025-07-04 09:56:19,3,2,UgxihCJ9NWm4FqTBE7x4AaABAg.AK9ZGRqxg6MAKERezPI1pl,@RodrigoFosRomero,UCDP7bqwp80pTEeARzzBQZEQ,@BottledBlueOnYouTubethanks!! 🙌🏼🙌🏼,zu,2025-07-06T11:26:06Z,2025-07-06 07:26:06,0,2294375,19865,1482,"Tue, 16 Dec 2025 17:36:18 GMT"
72hK6FUmm8o,https://www.youtube.com/watch?v=72hK6FUmm8o,UgxekpDa1RWjWOS61vR4AaABAg,@banhisarkar9563,UCWZjlWIuE9_y8nHiCy695iw,"Dear Netflix, for the love of god please bring back more seasons of this insanely good superbly acted well written actual real good detective thriller series! Please don’t abandon a good series like this for a change",en,2025-07-03T19:14:58Z,2025-07-03 15:14:58,701,10,UgxekpDa1RWjWOS61vR4AaABAg.AK7YwSenOIaAKgNrg4oyEN,@crankyankerz33,UCvxQdP9mapwpjfXKfwLtcsQ,Yeah it's a next level show and this trailer makes it look generic.,en,2025-07-17T17:10:51Z,2025-07-17 13:10:51,22,2294375,19865,1482,"Tue, 16 Dec 2025 17:36:18 GMT"
