video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
8-WY2aFBcwg,Goodbye | Squid Game | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-17T00:00:04Z,UgzKtlW3aM3oun6cwm14AaABAg.AQUDydu5zXPAQZglKX0oWW,UgzKtlW3aM3oun6cwm14AaABAg,@stanislashuguet4942,UCJ7n2R75sW2YZrUH5NWkP2A,🙄🙂,ja,2025-12-10T20:39:11Z,2025-12-10 15:39:11,1
8-WY2aFBcwg,Goodbye | Squid Game | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-17T00:00:04Z,UgwtliPa22ai1zjVaVd4AaABAg.AQQrpQx6OheAQRQnpicG-M,UgwtliPa22ai1zjVaVd4AaABAg,@keeratsinghsandhu2330,UCnhiVp_2Tl7iRXZVdah_TGQ,It's fake,jv,2025-12-07T15:37:03Z,2025-12-07 10:37:03,0
8-WY2aFBcwg,Goodbye | Squid Game | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-17T00:00:04Z,UgzRmVFEUzuTRgG6zep4AaABAg.AQETAOFiefAAQHOXFIqb3O,UgzRmVFEUzuTRgG6zep4AaABAg,@Klein_Mila_halt,UCgLEH2fhIL-WxpfifYEfhtg,YES. Squid Game Fandom never dies❤️‍🩹,NA,2025-12-03T18:04:46Z,2025-12-03 13:04:46,0
8-WY2aFBcwg,Goodbye | Squid Game | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-17T00:00:04Z,UgxzQSzs1W4yjF7xFGR4AaABAg.APzrwU9pu1YAQ-_Ezuqsim,UgxzQSzs1W4yjF7xFGR4AaABAg,@ANDREATHELETTERSHARK,UCqXLIhj-XL9YhFkX5cuGjGw,You Mean USA?,gl,2025-11-26T20:00:48Z,2025-11-26 15:00:48,0
8-WY2aFBcwg,Goodbye | Squid Game | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-17T00:00:04Z,UgxzQSzs1W4yjF7xFGR4AaABAg.APzrwU9pu1YAQLfXdpMnFM,UgxzQSzs1W4yjF7xFGR4AaABAg,@saman-re9gd,UCLaNZWbrJ8dCddr9z7PIu8g,"yeah they will make it.  next year 
you can check on hollywood website
this is USA version",en,2025-12-05T09:59:04Z,2025-12-05 04:59:04,0
8-WY2aFBcwg,Goodbye | Squid Game | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-17T00:00:04Z,UgzB1lR_y7_vHPc1jft4AaABAg.APpljjz2qNHAPpmBfLMAyk,UgzB1lR_y7_vHPc1jft4AaABAg,@samGtv1,UCNc62sa8KP3uXYAFRy7E04Q,"If this is true then i will watch it again pls i don’t want to be over pls i beg u Netflix 

If u love Netflix squid game pls this is the best vid i ever watched pls i really want this to come back 

Pls click this if u love squid game 😢🙏

👇🏻",en,2025-11-22T15:22:18Z,2025-11-22 10:22:18,1
8-WY2aFBcwg,Goodbye | Squid Game | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-17T00:00:04Z,UgzL-wx_F1iOXO7qUZx4AaABAg.AOkHMOrifZSAOkHNJmvbD1,UgzL-wx_F1iOXO7qUZx4AaABAg,@Cohenparfait-p7u,UCOSG80QIPqcRek6_chgNjiw,Kt ended so wuickly,en,2025-10-26T15:36:41Z,2025-10-26 11:36:41,0
8-WY2aFBcwg,Goodbye | Squid Game | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-17T00:00:04Z,Ugze3IYRUFB8-Fa9v-V4AaABAg.AOhf71GlzlBAOk5_W61705,Ugze3IYRUFB8-Fa9v-V4AaABAg,@Frog-j3mf6t,UCd_k0hpcvXKBx2FOW2Lz21Q,Shut up,NA,2025-10-26T13:53:37Z,2025-10-26 09:53:37,0
8-WY2aFBcwg,Goodbye | Squid Game | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-17T00:00:04Z,Ugze3IYRUFB8-Fa9v-V4AaABAg.AOhf71GlzlBAOk5t1Xi53a,Ugze3IYRUFB8-Fa9v-V4AaABAg,@teresitatekiko3504,UC3LiRgWAn5AnmHaiaansB0w,@Frog-j3mf6tbro the movie is cringe,NA,2025-10-26T13:56:17Z,2025-10-26 09:56:17,0
8-WY2aFBcwg,Goodbye | Squid Game | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-17T00:00:04Z,Ugze3IYRUFB8-Fa9v-V4AaABAg.AOhf71GlzlBAOk6B4m-ltn,Ugze3IYRUFB8-Fa9v-V4AaABAg,@Frog-j3mf6t,UCd_k0hpcvXKBx2FOW2Lz21Q,Fair enough,gd,2025-10-26T13:58:53Z,2025-10-26 09:58:53,0
8-WY2aFBcwg,Goodbye | Squid Game | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-17T00:00:04Z,UgxMUEzFrNsSnNyRvBx4AaABAg.AOR8J6586_jAPhEGPToAbP,UgxMUEzFrNsSnNyRvBx4AaABAg,@igorZetBe,UCVRenSHQ60uFL9ga1SFQVFw,This can not be,en,2025-11-19T07:43:12Z,2025-11-19 02:43:12,0
8-WY2aFBcwg,Goodbye | Squid Game | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-17T00:00:04Z,Ugz9FMiUoRiRzAITbNV4AaABAg.AO7Tt1j_6brAO91nG9NaJn,Ugz9FMiUoRiRzAITbNV4AaABAg,@LetyellowCOOK,UC4JUpkwcetgB2ztEwLG1ZqQ,It would net be the same,en,2025-10-11T19:09:24Z,2025-10-11 15:09:24,0
8-WY2aFBcwg,Goodbye | Squid Game | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-17T00:00:04Z,Ugz1TpbZI7nrPpnWfZR4AaABAg.AO5r31TjaOPAO6NjeAWqKt,Ugz1TpbZI7nrPpnWfZR4AaABAg,@augut86,UC1Xv7yDYBU4-wQU6K2lPR-w,There isn’t gonna be an American squid games,en,2025-10-10T18:23:26Z,2025-10-10 14:23:26,1
8-WY2aFBcwg,Goodbye | Squid Game | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-17T00:00:04Z,UgxFX3V1ozJZp2UKIVR4AaABAg.ANsz7OvyFGkAO6P5J6Bdh6,UgxFX3V1ozJZp2UKIVR4AaABAg,@augut86,UC1Xv7yDYBU4-wQU6K2lPR-w,So you want them to ruin the show because you don’t want it to end? I didn’t want the show to end either but what are they gonna do?,en,2025-10-10T18:35:16Z,2025-10-10 14:35:16,0
8-WY2aFBcwg,Goodbye | Squid Game | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-17T00:00:04Z,UgylkRxm_4BqguKp8NZ4AaABAg.ANkDcoYMhhNAO6PSMEyTg2,UgylkRxm_4BqguKp8NZ4AaABAg,@augut86,UC1Xv7yDYBU4-wQU6K2lPR-w,Holly shit bro do you have no life that you have to comment the same shit a thousand times? Go outside touch grass get some bitches good damn💀,en,2025-10-10T18:38:25Z,2025-10-10 14:38:25,0
8-WY2aFBcwg,Goodbye | Squid Game | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-17T00:00:04Z,UgyVZihl8H6QyKNLCo54AaABAg.ANWsa23B2bJAO6Pb9jHMlM,UgyVZihl8H6QyKNLCo54AaABAg,@augut86,UC1Xv7yDYBU4-wQU6K2lPR-w,“You say as they pull you into the white room”,en,2025-10-10T18:39:45Z,2025-10-10 14:39:45,0
8-WY2aFBcwg,Goodbye | Squid Game | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-17T00:00:04Z,Ugx_PYBJEN8mL1r4DBR4AaABAg.ANWixlzdzSwAO6PhCtKfcq,Ugx_PYBJEN8mL1r4DBR4AaABAg,@augut86,UC1Xv7yDYBU4-wQU6K2lPR-w,And do what? Make the baby play again? Like genuinely what would they do in a new season💀 the shows over bro,en,2025-10-10T18:40:34Z,2025-10-10 14:40:34,0
8-WY2aFBcwg,Goodbye | Squid Game | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-17T00:00:04Z,UgwJBtwQL20qtEvXV314AaABAg.ANVreifyAw0AO6PqT9MuRN,UgwJBtwQL20qtEvXV314AaABAg,@augut86,UC1Xv7yDYBU4-wQU6K2lPR-w,If you believe this your delulu bro…they ain’t making a American squid games the ending was just a way to show that the games are still happening just not in Korea,en,2025-10-10T18:41:50Z,2025-10-10 14:41:50,0
8-WY2aFBcwg,Goodbye | Squid Game | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-17T00:00:04Z,UgwJBtwQL20qtEvXV314AaABAg.ANVreifyAw0AOCck9Eok9o,UgwJBtwQL20qtEvXV314AaABAg,@frankycaliberz,UC2ZN_Dr49w_zj07rgxClngA,"@augut86it’s confirmed though, go look it up and come back and apologize bitch boy",en,2025-10-13T04:38:45Z,2025-10-13 00:38:45,0
8-WY2aFBcwg,Goodbye | Squid Game | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-17T00:00:04Z,UgxoLu46b7oFmTAG8HJ4AaABAg.ANSoiAkPflPANW1OmHJPwH,UgxoLu46b7oFmTAG8HJ4AaABAg,@StuMain-BrawlStars,UCk96-sg3tCSMjeoNhkTbx6Q,"No, since Gi-hun participated in the competition twice, there are 912 players in total. (Including the baby)",en,2025-09-25T20:57:04Z,2025-09-25 16:57:04,0
8-WY2aFBcwg,Goodbye | Squid Game | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-17T00:00:04Z,UgzE3T62Ugm_eGNhdel4AaABAg.ANO-fChq1NTAQ-_gKfed-M,UgzE3T62Ugm_eGNhdel4AaABAg,@ANDREATHELETTERSHARK,UCqXLIhj-XL9YhFkX5cuGjGw,Probably Yes Because An USA One Is Gonna Happen,en,2025-11-26T20:04:41Z,2025-11-26 15:04:41,0
8-WY2aFBcwg,Goodbye | Squid Game | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-17T00:00:04Z,UgwxvDEKbG0Qe58_oo14AaABAg.ANLNHx6QOUvANLPDEaOs9d,UgwxvDEKbG0Qe58_oo14AaABAg,@MariaHelenaLeão-y2h,UCdHrieJO1srtlROPulTdpSw,Bye bye squid game,af,2025-09-21T17:53:33Z,2025-09-21 13:53:33,1
8-WY2aFBcwg,Goodbye | Squid Game | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-17T00:00:04Z,UgxlM4DxkdiC9RDaP4x4AaABAg.ANED9_z7OpjANEe1abgSkS,UgxlM4DxkdiC9RDaP4x4AaABAg,@GamingWithCupheadd,UCuRyhrPb02WxIpAZn8mcLfA,No he doesn’t sybau,en,2025-09-19T02:57:06Z,2025-09-18 22:57:06,0
8-WY2aFBcwg,Goodbye | Squid Game | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-17T00:00:04Z,UgzWYWk5szfI39dl5iF4AaABAg.AN6LdFavFoJANhEea05wfV,UgzWYWk5szfI39dl5iF4AaABAg,@AngelCartagena-jp1cs,UCoTZQZ6_4mthPW8bBDML0iA,R😂😂😂😂😂😂😂😂😂😂 0:33 0:35 0:35 0:35 0:35 0:36 0:36 0:37 0:37 0:37 0:37,cy,2025-09-30T14:43:50Z,2025-09-30 10:43:50,0
8-WY2aFBcwg,Goodbye | Squid Game | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-17T00:00:04Z,UgztjGvo16fBK3yoVTV4AaABAg.AN5qf11RqRvAN5qrFLQ0on,UgztjGvo16fBK3yoVTV4AaABAg,@DelmyMejia-hb8iy,UCmAFJcMzHhGREwjvOxXtWIA,You Dong need comment if you Dont whant to,en,2025-09-15T16:55:59Z,2025-09-15 12:55:59,0
8-WY2aFBcwg,Goodbye | Squid Game | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-17T00:00:04Z,UgxMvUOE-YhtpaDVvoZ4AaABAg.AN5Utf_5fIwAN7SyHYRBmm,UgxMvUOE-YhtpaDVvoZ4AaABAg,@NOTANCOPYCATOFGUILTYANDEVIL,UCy97xY7u_cYmZqFBv2cOwAQ,Hwang mentioned s3 is the grand finale,en,2025-09-16T07:56:58Z,2025-09-16 03:56:58,0
