video_id,video_title,channel_id,channel_title,video_published_at,view_count,video_like_count,video_comment_count,comment_id,comment_parent_id,comment_author_display,comment_author_channel_id,comment_text,comment_lang,comment_published_utc,comment_published_local,comment_like_count,comment_reply_count
8cQZlovbS-o,Formula 1: Drive to Survive - Season 7 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-28T16:00:03Z,806026,22186,670,UgzFNLMYIsTxKCHB0nF4AaABAg,NA,@VaderzDiq,UCR8lohge_zASxdJ3PpBLjbA,"Netflix should have some ""prominent"" F1 YouTubers on the show, not only the mainstream pundits for contrasting takes. FOM will end up making everything boring and cringe.",en,2025-12-11T13:52:21Z,2025-12-11 08:52:21,0,0
8cQZlovbS-o,Formula 1: Drive to Survive - Season 7 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-28T16:00:03Z,806026,22186,670,UgzeqH4YE1VC4U4t7QR4AaABAg,NA,@JonathanStrome,UCCGTnF6likE9vJoQkzK9wZQ,How regretful they didn't press to put Raikkonen for an episode somewhere in the first seasons. Seeing him give zero-f*cks about the documentary for an entire hour would have been hilarious. Missed opportunity like so many others with that series. 😏,en,2025-11-30T23:30:35Z,2025-11-30 18:30:35,1,0
8cQZlovbS-o,Formula 1: Drive to Survive - Season 7 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-28T16:00:03Z,806026,22186,670,UgwKoSD94cTy1yhJdeB4AaABAg,NA,@filmsinrims,UCl6BBAILZCYaGov0r4SkgtQ,"""i could'nt give a f-"" lol",en,2025-11-27T11:16:52Z,2025-11-27 06:16:52,0,0
8cQZlovbS-o,Formula 1: Drive to Survive - Season 7 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-28T16:00:03Z,806026,22186,670,Ugw9WY66puLcDy81oZh4AaABAg,NA,@myJOJA,UC6SylZFekreBdYId8fn6aGQ,And still he cares enough to curse,en,2025-11-22T12:28:32Z,2025-11-22 07:28:32,0,0
8cQZlovbS-o,Formula 1: Drive to Survive - Season 7 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-28T16:00:03Z,806026,22186,670,UgwFuvt9dd5ZVOL7lod4AaABAg,NA,@myJOJA,UC6SylZFekreBdYId8fn6aGQ,"Not any of them are real characters to me, so I hope there are candid conversations",en,2025-11-22T12:27:43Z,2025-11-22 07:27:43,0,0
8cQZlovbS-o,Formula 1: Drive to Survive - Season 7 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-28T16:00:03Z,806026,22186,670,UgySs1i9_ZNJ9_BN_SJ4AaABAg,NA,@christianpriokusumo5319,UCxD8Fhgj1Bu5YkGlTiltW_Q,"What happened last year, 2024? Before Aiden Jackson, Callie Mayer, Sonny Hayes, and Joshua Pearce appeared in Formula 1, Max Verstappen won the Drivers' Championship and the McLaren F1 Team won the Constructors' Championship. Why?",en,2025-10-04T07:22:15Z,2025-10-04 03:22:15,1,0
8cQZlovbS-o,Formula 1: Drive to Survive - Season 7 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-28T16:00:03Z,806026,22186,670,Ugwunrtk2AxZQphBYhx4AaABAg,NA,@seosonicsimulator,UCThLn3BAFY8gYjR6hQIqYoQ,Ruined f1 lol,NA,2025-09-22T21:11:31Z,2025-09-22 17:11:31,0,0
8cQZlovbS-o,Formula 1: Drive to Survive - Season 7 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-28T16:00:03Z,806026,22186,670,UgzeDIZ7xUcGKwqn2CR4AaABAg,NA,@stephenmccollum1391,UCS6F6FRDDHaagOQy5Y-Guwg,Season 8 will be the craziest yet,NA,2025-09-02T23:55:45Z,2025-09-02 19:55:45,1,0
8cQZlovbS-o,Formula 1: Drive to Survive - Season 7 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-28T16:00:03Z,806026,22186,670,Ugx3ab21HE5iyiXzvD14AaABAg,NA,@AnakinSkywalker-dv3bl,UCtCPlTYiDDK2Tki0RuZ5pBQ,Charles Leclerc is so handsome ❤,en,2025-07-25T10:10:08Z,2025-07-25 06:10:08,1,0
8cQZlovbS-o,Formula 1: Drive to Survive - Season 7 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-28T16:00:03Z,806026,22186,670,UgznvQRkO9VGzUb3bWl4AaABAg,NA,@harshadrajput5553,UCrlji7RE-CoctADtbscoe8Q,nailed it,fil,2025-07-23T17:32:43Z,2025-07-23 13:32:43,0,0
8cQZlovbS-o,Formula 1: Drive to Survive - Season 7 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-28T16:00:03Z,806026,22186,670,Ugyjj3FDW4FrM4TYsPt4AaABAg,NA,@david-i8p5n,UCEnMD_ePzwGhStRdyBcyWHg,"El año pasado le echaron la culpa a OCON que no tenía rendimiento, después DOHAAN.. este 2025 la culpa es de COLAPINTO que tampoco está rindiendo.. la próxima a quien va a ser? Viejo soberbio ese Briatore por favor no puede manejar nada",es,2025-07-08T00:39:26Z,2025-07-07 20:39:26,0,0
8cQZlovbS-o,Formula 1: Drive to Survive - Season 7 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-28T16:00:03Z,806026,22186,670,UgzA3ZQVbodTSH3NuNF4AaABAg,NA,@c0dakw0lfgaang48,UC_ODVFadhW_-kc1Nd3VxoOA,"They spent the whole 2024 season talking about Lewis moving to Ferrari and the competition between Mercedes and Ferrari, while the actual competition happened between Redbull and McLaren for driver and constructer championship. And now even in 2025, Ferrari and Mercedes drivers are nowhere in the championship battle, its still McLaren and Redbull drivers competing for the driver championship. Lewis is not even in top 5 of driver standing this year.",en,2025-07-05T18:34:50Z,2025-07-05 14:34:50,0,0
8cQZlovbS-o,Formula 1: Drive to Survive - Season 7 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-28T16:00:03Z,806026,22186,670,UgyUhUoarXJ5Fat1IPR4AaABAg,NA,@dmass47,UCgKtUUvnxM1ebcZfzfUlAHw,1:25 music name?,NA,2025-06-30T19:44:15Z,2025-06-30 15:44:15,0,0
8cQZlovbS-o,Formula 1: Drive to Survive - Season 7 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-28T16:00:03Z,806026,22186,670,UgzcUpdp9WTG_4zxuW14AaABAg,NA,@gizzyguzzi,UCAjgRVJj51KEkWxZy2NnIeQ,this show.  ruined F1.  Watching a year later you see It's all crap.  Me Too lunatics tried to destroy lives.  Netflix creates controversy.,en,2025-06-16T03:35:44Z,2025-06-15 23:35:44,0,0
