video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
AzCAwdp1uIQ,KPop Demon Hunters | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T16:00:00Z,Ugz-T7qDNqHOZUTa0z94AaABAg.AQgS0jh0j4HAQga2kR33MT,Ugz-T7qDNqHOZUTa0z94AaABAg,@MatteoOnorati91,UCADPuW7AxPmFUWLBY5HKjUg,"@mathewdewsbury9456 Sorry to bother you, but could you go a bit deeper into what made it special for you?
I’ve watched the trailer and it didn’t really grab me or tell me much. Am I missing something?",en,2025-12-13T22:14:28Z,2025-12-13 17:14:28,0
AzCAwdp1uIQ,KPop Demon Hunters | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T16:00:00Z,Ugz-T7qDNqHOZUTa0z94AaABAg.AQgS0jh0j4HAQgbQEAstFn,Ugz-T7qDNqHOZUTa0z94AaABAg,@mathewdewsbury9456,UCciSDGAX-8-_oOnn7fgKPqA,​@MatteoOnorati91I saw the whole movie on Netflix.,NA,2025-12-13T22:26:24Z,2025-12-13 17:26:24,0
AzCAwdp1uIQ,KPop Demon Hunters | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T16:00:00Z,Ugz-T7qDNqHOZUTa0z94AaABAg.AQgS0jh0j4HAQgdzT9q-pt,Ugz-T7qDNqHOZUTa0z94AaABAg,@MatteoOnorati91,UCADPuW7AxPmFUWLBY5HKjUg,@mathewdewsbury9456 Thanks for the answer! So you’ve watched the whole movie on Netflix. What grabbed you? What am I missing?,en,2025-12-13T22:48:50Z,2025-12-13 17:48:50,0
AzCAwdp1uIQ,KPop Demon Hunters | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T16:00:00Z,Ugz-T7qDNqHOZUTa0z94AaABAg.AQgS0jh0j4HAQgfpBqI-ZQ,Ugz-T7qDNqHOZUTa0z94AaABAg,@mathewdewsbury9456,UCciSDGAX-8-_oOnn7fgKPqA,​@MatteoOnorati91It's that finale.,NA,2025-12-13T23:04:54Z,2025-12-13 18:04:54,0
AzCAwdp1uIQ,KPop Demon Hunters | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T16:00:00Z,Ugz-T7qDNqHOZUTa0z94AaABAg.AQgS0jh0j4HAQiAWAmhqvI,Ugz-T7qDNqHOZUTa0z94AaABAg,@MatteoOnorati91,UCADPuW7AxPmFUWLBY5HKjUg,@mathewdewsbury9456 Thanks for the explanation.,zu,2025-12-14T13:01:02Z,2025-12-14 08:01:02,0
AzCAwdp1uIQ,KPop Demon Hunters | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T16:00:00Z,UgyBhWLHVrMkP-WqhJB4AaABAg.AQLWa4BlsVSAQLWcWlBnfr,UgyBhWLHVrMkP-WqhJB4AaABAg,@BranderTindwa,UCxzWERnQj8yTdJsDOUJlynQ,❤❤❤❤❤😂,ja,2025-12-05T08:32:30Z,2025-12-05 03:32:30,0
AzCAwdp1uIQ,KPop Demon Hunters | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T16:00:00Z,UgyBhWLHVrMkP-WqhJB4AaABAg.AQLWa4BlsVSAQNhkDI62TM,UgyBhWLHVrMkP-WqhJB4AaABAg,@MatteoOnorati91,UCADPuW7AxPmFUWLBY5HKjUg,"​@BranderTindwa Sorry to bother you, but since you said you love it, could you tell me what you like about it?
I’ve watched the trailer and it didn’t really grab me or tell me much. Am I missing something?",en,2025-12-06T04:56:53Z,2025-12-05 23:56:53,0
AzCAwdp1uIQ,KPop Demon Hunters | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T16:00:00Z,UgwwsPEvZbPEZMhF2UJ4AaABAg.AQCoF-pRjD1AQFBE9h8Uob,UgwwsPEvZbPEZMhF2UJ4AaABAg,@AdorianDelmore,UC4CyDZbQCyFvFgQPm0QvlpQ,"or that each generation has its own taste in music, remember how people reacted when rock became a thing, each older generation will always dislike what the next one likes, it's been that way since the Greek philosopher Plato.",en,2025-12-02T21:30:05Z,2025-12-02 16:30:05,0
AzCAwdp1uIQ,KPop Demon Hunters | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T16:00:00Z,UgwwsPEvZbPEZMhF2UJ4AaABAg.AQCoF-pRjD1AQI9W82f0ck,UgwwsPEvZbPEZMhF2UJ4AaABAg,@tilo9190,UCG85mqR-PiBturypBSQ9iuQ,Cry more 😂 L,en,2025-12-04T01:12:47Z,2025-12-03 20:12:47,1
AzCAwdp1uIQ,KPop Demon Hunters | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T16:00:00Z,UgxOPtIv3QeHQB9u3Dd4AaABAg.AQ5-0SIRhoxAQ6C9IcmZ1C,UgxOPtIv3QeHQB9u3Dd4AaABAg,@JackHuckvale-t1n,UCZDzVGRnUZNWnnAaxjUh30w,Yes there is going to be a 2nd movie,en,2025-11-29T09:45:00Z,2025-11-29 04:45:00,0
