video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
CWT-jxE36Jc,ONE PIECE: Season 2 | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-17T12:30:01Z,UgxalesyUMnFTOC5ACx4AaABAg.AQOuDzwntPeAQiZMncPKqL,UgxalesyUMnFTOC5ACx4AaABAg,@Rocky_Lav_Show,UCyn9uA6F_5YzdGBciNS4rtA,March 10 2026,en,2025-12-14T16:38:12Z,2025-12-14 11:38:12,1
CWT-jxE36Jc,ONE PIECE: Season 2 | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-17T12:30:01Z,UgxalesyUMnFTOC5ACx4AaABAg.AQOuDzwntPeAQiZdJlKatE,UgxalesyUMnFTOC5ACx4AaABAg,@金魚鉢_21,UCuWRVd2pOiQMNBXvhioZZGQ,@Rocky_Lav_Show I can’t wait,en,2025-12-14T16:40:35Z,2025-12-14 11:40:35,0
CWT-jxE36Jc,ONE PIECE: Season 2 | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-17T12:30:01Z,Ugz5Dn4qsZ-mNg2nFcB4AaABAg.AQ53TCI6K2kAQGsNlA_C72,Ugz5Dn4qsZ-mNg2nFcB4AaABAg,@Makitosenpai,UC57nDjIPD--U9YnlxmgGgIg,Maybe they start going every year after season 3 they're alredy in production of s3 they be starting back to back production in future,en,2025-12-03T13:15:07Z,2025-12-03 08:15:07,0
CWT-jxE36Jc,ONE PIECE: Season 2 | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-17T12:30:01Z,UgwTY5TxOBMQtYwL1ix4AaABAg.APRaaq9OltlAQGsD0Dh0_N,UgwTY5TxOBMQtYwL1ix4AaABAg,@Makitosenpai,UC57nDjIPD--U9YnlxmgGgIg,Wait what,NA,2025-12-03T13:13:39Z,2025-12-03 08:13:39,0
CWT-jxE36Jc,ONE PIECE: Season 2 | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-17T12:30:01Z,UgxbgUYRjYq-_-gBVyp4AaABAg.AOkZfPwcMPfAPtFxAAJ_gZ,UgxbgUYRjYq-_-gBVyp4AaABAg,@GripperBoots,UCsPI798smxKW7v_D_zLZO_A,Yess would absolutely purchase a physical copy,en,2025-11-23T23:48:47Z,2025-11-23 18:48:47,0
CWT-jxE36Jc,ONE PIECE: Season 2 | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-17T12:30:01Z,Ugytl0JB4APIQUKbyux4AaABAg.AOHVkgQCaPsAOtYoFgKKHP,Ugytl0JB4APIQUKbyux4AaABAg,@Ty-ie2mi,UCP0fdgd9UK75NTAALcmnJvg,Bot.,jv,2025-10-30T06:02:12Z,2025-10-30 02:02:12,0
CWT-jxE36Jc,ONE PIECE: Season 2 | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-17T12:30:01Z,Ugx9gtFj0fU-eBXygk54AaABAg.ANmrslU_0X0AOtYsmc-vkd,Ugx9gtFj0fU-eBXygk54AaABAg,@Ty-ie2mi,UCP0fdgd9UK75NTAALcmnJvg,Ivankov.,ru-Latn,2025-10-30T06:02:49Z,2025-10-30 02:02:49,0
CWT-jxE36Jc,ONE PIECE: Season 2 | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-17T12:30:01Z,UgzZUUk2VxrGPQfIDch4AaABAg.AN_fTXVdzVwAN_faQpCv-c,UgzZUUk2VxrGPQfIDch4AaABAg,@MicheSykie-n8o3x,UC8Nt--sXjjyjOlt-zJXhX6g,"Is way better than dragons of Wonder hatch, Runion kenshin 3 the final with knights of zodiac and house of the owl.",en,2025-09-27T16:14:01Z,2025-09-27 12:14:01,1
CWT-jxE36Jc,ONE PIECE: Season 2 | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-17T12:30:01Z,UgyFw-FK-5I1RjD-YsV4AaABAg.ANV5paiPez0ANV61GsYtn_,UgyFw-FK-5I1RjD-YsV4AaABAg,@Mulanzinha_15,UCxwseY26YOWmPcY5HCMSkkw,😭 Estou muito triste 😔☹️ 😢 com isso 😭😭 por favor coloca de novo 🙏🏽😞😟😩😫😭,pt,2025-09-25T12:18:18Z,2025-09-25 08:18:18,1
CWT-jxE36Jc,ONE PIECE: Season 2 | Sneak Peek | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-17T12:30:01Z,UgwFYPfUEleKEDL1wGB4AaABAg.ANUevGim9yUANUpA_ziyJA,UgwFYPfUEleKEDL1wGB4AaABAg,@Ferventdisciple7,UCquMOwZrGDSEN6V9FGN1ABA,Asking for too much😮,en,2025-09-25T09:42:17Z,2025-09-25 05:42:17,1
