video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
CaWRDITtT1U,Alice in Borderland: Season 3 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T21:00:00Z,Ugy1pESVZcacEZOhmD54AaABAg.AOIoNJ-x-ovAOKr-ulI_eM,Ugy1pESVZcacEZOhmD54AaABAg,@獣の化身,UCsCLePmRJxTmU60iyrX8x8g,Lol,uk,2025-10-16T09:17:18Z,2025-10-16 05:17:18,0
CaWRDITtT1U,Alice in Borderland: Season 3 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T21:00:00Z,UgyvkzEyYv8t5G_54eZ4AaABAg.AOIKYJd1hrUAOQWLPSxZGd,UgyvkzEyYv8t5G_54eZ4AaABAg,@MadhurParodkar16,UCoSEH5KQ2_i0inHLitlwYEw,"You have shitty knowledge 
I am a Big Squid Game Fan
But Alice in Borderland is on another level 
I can tell that SG is not even close to AIB",en,2025-10-18T14:03:26Z,2025-10-18 10:03:26,2
CaWRDITtT1U,Alice in Borderland: Season 3 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T21:00:00Z,UgxGTUe2QOSbLILcO2x4AaABAg.AO67qOBdFcfAO6mGup3QPf,UgxGTUe2QOSbLILcO2x4AaABAg,@destiny99-z1y,UC5MVffkDYRBsWf-hxEfiCRA,2027 hope,NA,2025-10-10T22:06:34Z,2025-10-10 18:06:34,1
CaWRDITtT1U,Alice in Borderland: Season 3 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T21:00:00Z,Ugx0Q0J2p_iFc11J6eV4AaABAg.ANtb4GDWBGqANv7yOS9SCm,Ugx0Q0J2p_iFc11J6eV4AaABAg,@eljosue4465,UCS_7ZUdbQ2MJQ3OlhIiPpRw,Speak by yourself,en,2025-10-06T00:14:45Z,2025-10-05 20:14:45,0
CaWRDITtT1U,Alice in Borderland: Season 3 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T21:00:00Z,UgzuF1A5HOT5V3RE4ed4AaABAg.ANguv1HvPnKANi2zx1_x5j,UgzuF1A5HOT5V3RE4ed4AaABAg,@John5k7021,UC6-Sf9ENwkQL1deVk8d1vyw,Yess,ny,2025-09-30T22:21:08Z,2025-09-30 18:21:08,0
CaWRDITtT1U,Alice in Borderland: Season 3 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T21:00:00Z,UgwJUTm2fpse2iQEDWh4AaABAg.ANgRSLAVKmXAOSUwUehaOL,UgwJUTm2fpse2iQEDWh4AaABAg,@AhmadFaraz-su3vb,UCHMagkH2vWu6tU7SjOAyB3w,"In your dreams😂, because i watched the show. And it was totally boring",en,2025-10-19T08:29:39Z,2025-10-19 04:29:39,0
CaWRDITtT1U,Alice in Borderland: Season 3 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T21:00:00Z,UgzpWnllzIydFrEnLg54AaABAg.AN2KLaxWJd6ANOrkuxfR-L,UgzpWnllzIydFrEnLg54AaABAg,@LovedeepSingh-wh1th,UCHRRnkkbr3OuYjvGWE0vYQw,25 september,no,2025-09-23T02:09:25Z,2025-09-22 22:09:25,0
CaWRDITtT1U,Alice in Borderland: Season 3 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T21:00:00Z,Ugxd2XrR664jPkO7U6Z4AaABAg.AMCcKiFC3RNAMCkSnBBzdX,Ugxd2XrR664jPkO7U6Z4AaABAg,@Murica12913,UCwnBrZIF6qgRo8BxTdWFDSQ,"bruh, seeing that my movie has too few viewers, I have to use a quote from a more famous movie to say it, funny, 30m view vs 4,3m view , crying for that",en,2025-08-24T12:43:22Z,2025-08-24 08:43:22,0
CaWRDITtT1U,Alice in Borderland: Season 3 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T21:00:00Z,Ugy2fS7zRqCZBSVqdNF4AaABAg.AM9T_JimDf_AMB20knM_yW,Ugy2fS7zRqCZBSVqdNF4AaABAg,@merwyndsouza19,UCjdGXE9dL_dod0Q2Xjwfgug,Niragi*,uz,2025-08-23T20:47:05Z,2025-08-23 16:47:05,0
CaWRDITtT1U,Alice in Borderland: Season 3 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T21:00:00Z,UgwY4USUd6NSr97-8nV4AaABAg.AM98L-KJi__AMCkaj3iuEd,UgwY4USUd6NSr97-8nV4AaABAg,@Murica12913,UCwnBrZIF6qgRo8BxTdWFDSQ,"Yes , 30m view vs 4.3m view , crying for that",en,2025-08-24T12:44:35Z,2025-08-24 08:44:35,0
CaWRDITtT1U,Alice in Borderland: Season 3 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T21:00:00Z,Ugx66IYcCuDVt7EtndZ4AaABAg.AM8j4Fm_JybAM8j5bm1tsX,Ugx66IYcCuDVt7EtndZ4AaABAg,@fancineva6669,UCbC4Az8Dbx3zD5NTzCjnUEQ,funny,NA,2025-08-22T23:14:30Z,2025-08-22 19:14:30,0
CaWRDITtT1U,Alice in Borderland: Season 3 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T21:00:00Z,UgzrtnLWHdYvg-pPPBx4AaABAg.AM2vX2L-CCBAM53FG73Z7a,UgzrtnLWHdYvg-pPPBx4AaABAg,@Sh2089-o5f,UCKs1MRYGhc81XjjZnmjYNIw,So True . This is way better than squid game and wednesday,en,2025-08-21T13:02:21Z,2025-08-21 09:02:21,0
CaWRDITtT1U,Alice in Borderland: Season 3 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T21:00:00Z,UgzrtnLWHdYvg-pPPBx4AaABAg.AM2vX2L-CCBAMClLwxNt__,UgzrtnLWHdYvg-pPPBx4AaABAg,@conhirsghrwogi123,UCTMkfOCkPji5p-zm6vExssg,"@Sh2089-o5f Losing squid game 3 is losing, no need to explain much",en,2025-08-24T12:51:10Z,2025-08-24 08:51:10,0
CaWRDITtT1U,Alice in Borderland: Season 3 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T21:00:00Z,UgwoHRw4fh54m8fYZA54AaABAg.ALtZByyVHHFALue7RGlOUC,UgwoHRw4fh54m8fYZA54AaABAg,@radnel313,UCT996L9y6J9x2R1nC87ZSWQ,YAYAYAYAYAY IM SOSO EXCITED,NA,2025-08-17T02:42:27Z,2025-08-16 22:42:27,0
CaWRDITtT1U,Alice in Borderland: Season 3 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T21:00:00Z,Ugz6OMInmyiJcapfRjZ4AaABAg.ALr_bz6wKZqALs-CFPZthh,Ugz6OMInmyiJcapfRjZ4AaABAg,@GammonYuuta,UC8ruvBMo3x8kFxpDlM6EJXA,"I thought it was unlikely that he would be here, since the actor who plays Chishiya is currently struggling with his mental health. But let’s keep hoping.",en,2025-08-16T01:57:37Z,2025-08-15 21:57:37,0
CaWRDITtT1U,Alice in Borderland: Season 3 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T21:00:00Z,UgyAtFw-Y__PRew3p_Z4AaABAg.ALjuSkQuZfMALxIApIv1QP,UgyAtFw-Y__PRew3p_Z4AaABAg,@August100-k6l,UCGJC6fM_sr3E3cRG4DBXRpQ,She actually is pregnant in the manga but she also isn't supposed to be in the games again,en,2025-08-18T03:19:39Z,2025-08-17 23:19:39,1
CaWRDITtT1U,Alice in Borderland: Season 3 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T21:00:00Z,UgyAtFw-Y__PRew3p_Z4AaABAg.ALjuSkQuZfMAM8DBwwMwO0,UgyAtFw-Y__PRew3p_Z4AaABAg,@shockedFACE8,UCYPT8S5_Cc_D-i5iSjJZijA,Pilot twist ✈️,mt,2025-08-22T18:27:00Z,2025-08-22 14:27:00,1
CaWRDITtT1U,Alice in Borderland: Season 3 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T21:00:00Z,UgxernFhoxkM314vy3l4AaABAg.ALU0m9iRtqSALUPzLL9RuD,UgxernFhoxkM314vy3l4AaABAg,@kaleemahmed1722,UChgCbo_HRUNh_9-6k52fQuw,Sybau corn ball,gl,2025-08-06T12:50:38Z,2025-08-06 08:50:38,1
CaWRDITtT1U,Alice in Borderland: Season 3 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T21:00:00Z,UgwZvSSzD2E5-uhAl5x4AaABAg.ALSZyquIxfJALTz7BUl7Jb,UgwZvSSzD2E5-uhAl5x4AaABAg,@Sh2089-o5f,UCKs1MRYGhc81XjjZnmjYNIw,No,es,2025-08-06T08:47:11Z,2025-08-06 04:47:11,0
CaWRDITtT1U,Alice in Borderland: Season 3 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T21:00:00Z,UgwZvSSzD2E5-uhAl5x4AaABAg.ALSZyquIxfJALUuwL3uBBY,UgwZvSSzD2E5-uhAl5x4AaABAg,@Dostoyevsky-u1m,UCqZzO0sdxQz9RZL2uy-g4vw,@Sh2089-o5f then who is it,fy,2025-08-06T17:29:51Z,2025-08-06 13:29:51,0
CaWRDITtT1U,Alice in Borderland: Season 3 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-07T21:00:00Z,UgwZvSSzD2E5-uhAl5x4AaABAg.ALSZyquIxfJALVwjzjwGx8,UgwZvSSzD2E5-uhAl5x4AaABAg,@Sh2089-o5f,UCKs1MRYGhc81XjjZnmjYNIw,​@Dostoyevsky-u1mlast season they played the prison game with chishiya. Two jokers. One is Banda. And I don't know the name of other guy.,en,2025-08-07T03:04:53Z,2025-08-06 23:04:53,0
