video_id,video_url,comment_id,comment_author_display,comment_author_channel_id,comment_content,comment_lang,comment_time_utc,comment_time_local,comment_like_count,comment_reply_count,reply_id,reply_author_display,reply_author_channel_id,reply_content,reply_lang,reply_time_utc,reply_time_local,reply_like_count,view_count,like_count,comment_count,crawl_time
Cj6N5aK2qzI,https://www.youtube.com/watch?v=Cj6N5aK2qzI,UgxiMnAN_AjL8qFt7xZ4AaABAg,@davidross4102,UCmd2iDdM3m-HlezYtvi-3ZA,"Remember when all the tinfoil hat wearing whackadoos had a gazillion conspiracy theories and not a single one of them was the boyfriend? She ran away, she’s living in Argentina, it was a park ranger, a jealous ex boyfriend, a bear, a pack of wolves, whatever. Yep, those are the same people saying that the KGB took out Charlie Kirk. Pretty sad",en,2025-10-05T17:57:40Z,2025-10-05 13:57:40,0,1,UgxiMnAN_AjL8qFt7xZ4AaABAg.ANuSobbVoTQANucbjLVE7k,@pocaluneksmierci,UCM1_Vv7qTXhIrB2YArA1o4Q,Go take your meds you absolutely clown.,en,2025-10-05T19:32:02Z,2025-10-05 15:32:02,0,684821,7963,2604,"Tue, 16 Dec 2025 12:42:34 GMT"
Cj6N5aK2qzI,https://www.youtube.com/watch?v=Cj6N5aK2qzI,UgwMOFzBuEAqqiDNv6F4AaABAg,@EnriqueVargas-n8n,UCSJX7IWIHUb_YX_j_-MzpWQ,Just finished watching it. And man do i dispise black people. They always make it about race,en,2025-06-15T17:34:18Z,2025-06-15 13:34:18,0,1,UgwMOFzBuEAqqiDNv6F4AaABAg.AJP16SVANYEALDe3qnGUAD,@kadesiajuelle1316,UCAoQuPW3NdUzaTGryLI4Ceg,If her boyfriend was black she wouldnt be dead and that's facts. Those cops would never would of allowed her to leave,en,2025-07-31T00:35:23Z,2025-07-30 20:35:23,0,684821,7963,2604,"Tue, 16 Dec 2025 12:42:34 GMT"
Cj6N5aK2qzI,https://www.youtube.com/watch?v=Cj6N5aK2qzI,Ugzr2frhSSJ0dqrBQlZ4AaABAg,@QueenOfEverything69,UCjWlO1TkfIHWcY6knTm0aKQ,"Not only did he take her life and take her from her parents, HE STOLE HER MONEY AND SENT IT TO HIMSELF. THE MF DISRESPECT. THEIF MURDERED AND COWARD ‼️‼️",en,2025-06-08T18:37:18Z,2025-06-08 14:37:18,2,1,Ugzr2frhSSJ0dqrBQlZ4AaABAg.AJ76kgHZZ0zAJP-oTF7u25,@EnriqueVargas-n8n,UCSJX7IWIHUb_YX_j_-MzpWQ,Might as well spend it,en,2025-06-15T17:22:58Z,2025-06-15 13:22:58,0,684821,7963,2604,"Tue, 16 Dec 2025 12:42:34 GMT"
Cj6N5aK2qzI,https://www.youtube.com/watch?v=Cj6N5aK2qzI,UgxfkMtSXEZfkexqLE94AaABAg,@hellNoBaggins1,UCT74oW9F_F-JtBViNzWfOlg,"Towards the end the video it says nearly 50% of all women will be in a abusive relationship. With that logic 50% of all men are in abusive relationship. And it doesn’t state if the women are the abuser or not. Men are also abused, just cause a guy is stronger and can take a hit doesn’t mean it’s right; the psychological damage that restraint and fear of made false claims against them destroy them. I’m sorry to the parents of this beautiful girl but to Netflix stop side with Gender us men are also victims even victims of your media",en,2025-04-15T22:20:53Z,2025-04-15 18:20:53,2,2,UgxfkMtSXEZfkexqLE94AaABAg.AGxTQ6phw3BAHyDE0GXP_h,@emotionallynumb-p3u,UCfrFz1kLEmarv_yaeUIGOmg,"Yep, 1 out of 3 women have been in a DV relationship and 1 out 9 men. I think there's a lot more male DV victims, but men aren't supposed to be the weak one. I'm a female, and i was a DV victim for over 15 years. My maternal grandmother abused my grandpa for all their entire marriage. I didnt see her physically hurt him, but she emotionally abused him all the time. She abused her kids and grandkids. She was mean and I would shut up and stay out of her way. My grandpa was very quiet and reserved when I was kid. When she died, he was depressed for months. It took him several months to become his true self, and he became funny and outgoing. Luckily, he was able to live another 6 years without her until he died. He lived life to the fullest.😊 bought everything she wouldn't let him have, and he went on plenty of trips with his adult kids.
There's definitely male DV victims out there.",en,2025-05-11T01:50:04Z,2025-05-10 21:50:04,0,684821,7963,2604,"Tue, 16 Dec 2025 12:42:34 GMT"
Cj6N5aK2qzI,https://www.youtube.com/watch?v=Cj6N5aK2qzI,UgxfkMtSXEZfkexqLE94AaABAg,@hellNoBaggins1,UCT74oW9F_F-JtBViNzWfOlg,"Towards the end the video it says nearly 50% of all women will be in a abusive relationship. With that logic 50% of all men are in abusive relationship. And it doesn’t state if the women are the abuser or not. Men are also abused, just cause a guy is stronger and can take a hit doesn’t mean it’s right; the psychological damage that restraint and fear of made false claims against them destroy them. I’m sorry to the parents of this beautiful girl but to Netflix stop side with Gender us men are also victims even victims of your media",en,2025-04-15T22:20:53Z,2025-04-15 18:20:53,2,2,UgxfkMtSXEZfkexqLE94AaABAg.AGxTQ6phw3BAJ4_wKpYj9P,@cc_celeste,UCQJXHVLZwkvjfswj_RsxyJg,"I don’t think you understand how the statistics work 
But it is heavily targeted towards woman bc physically it’s almost impossible for women to defend themselves against a man 
It’s just the anatomy
I was fit and young and there was no way I could ever avoid the strangulations and punches I endured in my relationship 
My arms could not even protect my entire face or neck 
His hands were huge; one hand could lift my entire body by the neck
Most women end up dead so don’t take offense but understand the level of danger",en,2025-06-07T19:03:18Z,2025-06-07 15:03:18,0,684821,7963,2604,"Tue, 16 Dec 2025 12:42:34 GMT"
Cj6N5aK2qzI,https://www.youtube.com/watch?v=Cj6N5aK2qzI,Ugz_sfJFuWoqNgB0I7B4AaABAg,@chronicillz1879,UCwCCatEsfswjqiuqQ5vqGHg,prolly mouthed off to him one time too many so he shut her up and i dont blame him,en,2025-03-22T04:01:45Z,2025-03-22 00:01:45,0,2,Ugz_sfJFuWoqNgB0I7B4AaABAg.AFxhYh4-MA6AGipMlCovUF,@sugarhillkeith,UCxC8bQX6q0Cl5C79sBCfs-Q,You’re weird let it be your child,en,2025-04-10T05:52:48Z,2025-04-10 01:52:48,0,684821,7963,2604,"Tue, 16 Dec 2025 12:42:34 GMT"
Cj6N5aK2qzI,https://www.youtube.com/watch?v=Cj6N5aK2qzI,Ugz_sfJFuWoqNgB0I7B4AaABAg,@chronicillz1879,UCwCCatEsfswjqiuqQ5vqGHg,prolly mouthed off to him one time too many so he shut her up and i dont blame him,en,2025-03-22T04:01:45Z,2025-03-22 00:01:45,0,2,Ugz_sfJFuWoqNgB0I7B4AaABAg.AFxhYh4-MA6AGjQTXb01Br,@chronicillz1879,UCwCCatEsfswjqiuqQ5vqGHg,"@sugarhillkeithhey I’m just explaining why… always yappin away prolly wouldn’t shut up you know how those teens/early 20s are, don’t know their place, shut your trap and go make me food I say, she’s a great piece of tail tho so I wouldn’t do it of course just for the sake of keep getting head",en,2025-04-10T11:25:47Z,2025-04-10 07:25:47,0,684821,7963,2604,"Tue, 16 Dec 2025 12:42:34 GMT"
Cj6N5aK2qzI,https://www.youtube.com/watch?v=Cj6N5aK2qzI,UgykZTQoBYCVcuHuwBh4AaABAg,@BigEd-r4t,UCKzzcTIzDZ3WwaHfwIjH4EA,Poor kid and no respect for dude even after death whatever you took rhe cowards way out should of went to prison like a man he was man enough to hit her n unalive her do the time,en,2025-03-17T23:04:03Z,2025-03-17 19:04:03,0,1,UgykZTQoBYCVcuHuwBh4AaABAg.AFmsIoaUPHwAFmyDgCM3wD,@travishylton6976,UCkcKfq13z9-5dgbMOacJ4nQ,She choose that man,NA,2025-03-17T23:55:46Z,2025-03-17 19:55:46,0,684821,7963,2604,"Tue, 16 Dec 2025 12:42:34 GMT"
Cj6N5aK2qzI,https://www.youtube.com/watch?v=Cj6N5aK2qzI,Ugz27yCBCJgpJJew5sJ4AaABAg,@ajayjackson7727,UCG-9_qnwDm2-qpdJJJtC5sA,Both of them toxic,NA,2025-03-09T21:08:09Z,2025-03-09 17:08:09,6,1,Ugz27yCBCJgpJJew5sJ4AaABAg.AFT3fzMHgxuAK8NZQ5IN5-,@terranrepublic7023,UCrHYobfCh_XVNM0h5nE1zIw,"The most fair and balanced comment up here... both of them were dumbasses, which also revealed a much bigger problem in our society... what's up with kids these days... Oh I don't want to go to college after High School, Oh I want to start a channel and have a whole bunch of followers... FOR WHAT? Just to watch you drive a damn van? Because it's so rare that people can drive a vehicle these days (I don't think auto-driving cars are that prevalent yet)? Then the guy said she was low life for hanging out with Taco Bell workers... who were at least hard workers earning an honest paycheck, when he didn't even have a job, lol WTF, how entitled can these younger generations be? Just because they were young and pretty they thought the world should revolve around them. The funniest part was... when they were doing this cross country travel vlogging thing... they had to rely on their parents back home to order food for them online... from thousands of miles away! They didn't even have the financial means to sustain themselves for a road trip! And they wanted to be superstars out of nowhere and for no good reason (Well I guess they indeed are famous now... posthumously) ... Also did I say funny? I meant SAD. Just WOW after WOW, how ridiculous these kids live their lives and how they perceive the world, with no sense of responsibility or duty in society, but thought they deserved to enjoy all the fun and cheers and riches in life. No wonder this country is going down the drain, failure of education and parenting, it's a generational thing, no one is gonna save us now, even if Musk keeps on having a thousand kids won't change the trend of a whole country LOL",en,2025-07-04T02:54:48Z,2025-07-03 22:54:48,0,684821,7963,2604,"Tue, 16 Dec 2025 12:42:34 GMT"
Cj6N5aK2qzI,https://www.youtube.com/watch?v=Cj6N5aK2qzI,Ugz-Aq584mUNlSCERKJ4AaABAg,@harryharris1619,UCFxEIyDyxaRLbFVIbwBW82A,Brian's parents deserve to rot in hell (if there is one). There was no excuse whatsoever for their despicable behavior. They could have possibly saved Brian's life (worth saving?) if they had cooperated initially.  After watching the series there really is not a lot about Brian's life previous to meeting Gabrielle. So there is not much context into his state of mind or what his previous issues were. Mostly focused on Gabby.  Really this docu series leaves more questions than providing any answers. One thing seems certain Brian's mother was a real nut job.,en,2025-03-09T18:13:17Z,2025-03-09 14:13:17,0,2,Ugz-Aq584mUNlSCERKJ4AaABAg.AFSkfDaF0TBAFmyQrZXo0y,@travishylton6976,UCkcKfq13z9-5dgbMOacJ4nQ,Gabby caused her own death by dating him,en,2025-03-17T23:57:34Z,2025-03-17 19:57:34,0,684821,7963,2604,"Tue, 16 Dec 2025 12:42:34 GMT"
