video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
CplcmrxZMyo,TITAN: The OceanGate Submersible Disaster | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T13:30:00Z,UgxEcDTNQHmFQhg-7Ll4AaABAg.AL3304La4EeALOaQDgDdYT,UgxEcDTNQHmFQhg-7Ll4AaABAg,@coreysayles-br5jz,UCpl-sVL7J0gEgxy935wDGPA,That controller sucks ps3 😂😂,NA,2025-08-04T06:35:07Z,2025-08-04 02:35:07,0
CplcmrxZMyo,TITAN: The OceanGate Submersible Disaster | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T13:30:00Z,UgyrW53ct3rySQpxIA54AaABAg.AJrYF3PWlSxAKHYKxH52bD,UgyrW53ct3rySQpxIA54AaABAg,@DoratoFagiano,UCp_sRAWrdOG6SiRHmD4zeJw,"He was not an innovator, but a presumptuous, mad, who did not accept criticism. It did not work from the beginning and he continued until his own death and the death of others. Innovators do not get bogged down in what does not work. In addition it is right to destroy his inheritance, if it is presumption, folly and stubbornness.",en,2025-07-07T16:22:07Z,2025-07-07 12:22:07,0
CplcmrxZMyo,TITAN: The OceanGate Submersible Disaster | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T13:30:00Z,Ugxh6tmZRbpjzgH1DDB4AaABAg.AJWZ7NK9PPtAJY8hjSB6iu,Ugxh6tmZRbpjzgH1DDB4AaABAg,@KristinaBegović-r7i,UC6_F5GE0hWZ1DGhamz-bI-w,Stockton Rush 3/31/1962-6/18/2023,uz,2025-06-19T06:33:52Z,2025-06-19 02:33:52,0
CplcmrxZMyo,TITAN: The OceanGate Submersible Disaster | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T13:30:00Z,Ugxh6tmZRbpjzgH1DDB4AaABAg.AJWZ7NK9PPtAJdoJVLUDPd,Ugxh6tmZRbpjzgH1DDB4AaABAg,@Lilithotw,UC_NcA81bJB9wLR_mlXRkmXg,@KristinaBegović-r7i He was not an innocent life lost. This only happened because of his selfishness.,en,2025-06-21T20:41:36Z,2025-06-21 16:41:36,0
CplcmrxZMyo,TITAN: The OceanGate Submersible Disaster | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T13:30:00Z,Ugxh6tmZRbpjzgH1DDB4AaABAg.AJWZ7NK9PPtAJdriIniaVy,Ugxh6tmZRbpjzgH1DDB4AaABAg,@KristinaBegović-r7i,UC6_F5GE0hWZ1DGhamz-bI-w,"​​@Lilithotwok,but he died with them his mistake unfortunately",en,2025-06-21T21:11:20Z,2025-06-21 17:11:20,0
CplcmrxZMyo,TITAN: The OceanGate Submersible Disaster | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T13:30:00Z,Ugxh6tmZRbpjzgH1DDB4AaABAg.AJWZ7NK9PPtAJdx2M2F-xG,Ugxh6tmZRbpjzgH1DDB4AaABAg,@Lilithotw,UC_NcA81bJB9wLR_mlXRkmXg,"@KristinaBegović-r7i He died sure, he wasnt innocent tho. He dismissed experts opinions, he never got the sub certified and infact refused to, the sub was hardly tested, he dismissed the community, he used a material KNOWN to degrade with usage, firing staff who raised concerns. This wasnt a mistake. This was a completely predictable event that he refused to accept causing the preventable deaths of innocent people. He deserves nothing, he is not innocent. He would have been sued into oblivion had he lived.",en,2025-06-21T21:57:54Z,2025-06-21 17:57:54,0
CplcmrxZMyo,TITAN: The OceanGate Submersible Disaster | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T13:30:00Z,UgwB9KgSCmSTfZ8_5XB4AaABAg.AJQybUB-EJnAKQQem-cE6w,UgwB9KgSCmSTfZ8_5XB4AaABAg,@latteknowsbest6365,UCXFQY79SB8B9_XiDqCds57A,"SAME. I wanted them to talk about media reaction, and former employee thoughts on the day it happened, etc. Super disappointed",en,2025-07-11T03:08:13Z,2025-07-10 23:08:13,0
CplcmrxZMyo,TITAN: The OceanGate Submersible Disaster | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T13:30:00Z,UgwCsF6a0BO_bcfq7DJ4AaABAg.AJQnLw3UhJCAJQtQ-7s4DX,UgwCsF6a0BO_bcfq7DJ4AaABAg,@emmaphilo4049,UCdJLorp5BZspsunjeARZU9Q,"I thought it was very good. Only the focus was on the human craziness and dysfunction that lead to the tragic situation. 
We need a part two about the accident itself and the aftermath.",en,2025-06-16T10:56:49Z,2025-06-16 06:56:49,1
CplcmrxZMyo,TITAN: The OceanGate Submersible Disaster | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T13:30:00Z,UgwCsF6a0BO_bcfq7DJ4AaABAg.AJQnLw3UhJCAJQwZb7yani,UgwCsF6a0BO_bcfq7DJ4AaABAg,@leechotv2970,UCaKX7Y6OB-MGLIkITzsH8mw,​@emmaphilo4049the vessel exlpoded before the human brain could even comprahend no mention of that. The victims or aftermath,en,2025-06-16T11:24:20Z,2025-06-16 07:24:20,0
CplcmrxZMyo,TITAN: The OceanGate Submersible Disaster | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T13:30:00Z,UgwCsF6a0BO_bcfq7DJ4AaABAg.AJQnLw3UhJCAJWaYYyW0_X,UgwCsF6a0BO_bcfq7DJ4AaABAg,@grimfist79,UC09WGG-YWgzIYF01lpapfIQ,"​@leechotv2970  you missed the point, and btw  it did not explode.",en,2025-06-18T16:07:24Z,2025-06-18 12:07:24,0
