video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
Dqg3pzQH8Ew,FOREVER | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-10T15:00:07Z,UgwPsnulaINeYgb1ULp4AaABAg.AOx6xKBwW5mAPYDv1y9rEg,UgwPsnulaINeYgb1ULp4AaABAg,@Saigeee333,UCgx7ctLMmcUk0hPwP94t9CA,"They didn’t cancel it, S2 is being filmed",en,2025-11-15T10:27:44Z,2025-11-15 05:27:44,1
Dqg3pzQH8Ew,FOREVER | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-10T15:00:07Z,UgwPsnulaINeYgb1ULp4AaABAg.AOx6xKBwW5mAPYMGi3aUY6,UgwPsnulaINeYgb1ULp4AaABAg,@MusaAli444,UCW4hueqS_kthGMS3JEgH13A,IM TALKING ABOUT THE SHOW “Love Is”,en,2025-11-15T11:40:44Z,2025-11-15 06:40:44,0
Dqg3pzQH8Ew,FOREVER | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-10T15:00:07Z,UgwPsnulaINeYgb1ULp4AaABAg.AOx6xKBwW5mAPYTC4L556V,UgwPsnulaINeYgb1ULp4AaABAg,@Saigeee333,UCgx7ctLMmcUk0hPwP94t9CA,@MusaAli444I’m dumb my apologies 😅,NA,2025-11-15T12:41:16Z,2025-11-15 07:41:16,1
Dqg3pzQH8Ew,FOREVER | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-10T15:00:07Z,UgyU3cbmKmhs3xuiLs94AaABAg.AJHZTqqHI2RAPVxJvHGQ7K,UgyU3cbmKmhs3xuiLs94AaABAg,@camillemojon5768,UCLWkfjIfEzoA-V5VNWWFfyw,in my 40s too and felt exactly the same. Thank you for your comment,en,2025-11-14T13:15:30Z,2025-11-14 08:15:30,0
Dqg3pzQH8Ew,FOREVER | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-10T15:00:07Z,UgxMdlfUvWCZMbKbtlp4AaABAg.AJ3ze0nsjqaAJ4SzXSeS2Y,UgxMdlfUvWCZMbKbtlp4AaABAg,@Camm-g3x,UCRBkFCq4pH8_nWA7iXPT64Q,"I can promise you, “ blacks “ don’t care about whites opinions. Ever",en,2025-06-07T17:53:50Z,2025-06-07 13:53:50,5
Dqg3pzQH8Ew,FOREVER | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-10T15:00:07Z,UgxCgZWVNRoRsLVw-vt4AaABAg.AJ3zGANGwgIAJ4Sk_W4i18,UgxCgZWVNRoRsLVw-vt4AaABAg,@Camm-g3x,UCRBkFCq4pH8_nWA7iXPT64Q,it goes on in white homes to,en,2025-06-07T17:51:48Z,2025-06-07 13:51:48,3
Dqg3pzQH8Ew,FOREVER | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-10T15:00:07Z,UgyNONZnNl7SBI5wkqF4AaABAg.AIpg2EjOz7LAPcDgXDZiEP,UgyNONZnNl7SBI5wkqF4AaABAg,@dwestratchet7,UCOg7GYrXRbh7u9G1QHIeK8Q,Your moms house,en,2025-11-17T09:01:58Z,2025-11-17 04:01:58,1
Dqg3pzQH8Ew,FOREVER | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-10T15:00:07Z,UgyNONZnNl7SBI5wkqF4AaABAg.AIpg2EjOz7LAPd8U2rBP3C,UgyNONZnNl7SBI5wkqF4AaABAg,@ys84,UC1gH8E6BQKUTmm74pURBIbw,@dwestratchet7cool,NA,2025-11-17T17:35:40Z,2025-11-17 12:35:40,0
Dqg3pzQH8Ew,FOREVER | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-10T15:00:07Z,UgyhjaN7cE8K9wkZfGh4AaABAg.AImrvHpWOi0AIpecRRakPB,UgyhjaN7cE8K9wkZfGh4AaABAg,@daytodaywithnaith151,UCqFl1VkRjFB13wsTcoR8ELQ,10/10 series for me!!!!,en,2025-06-01T14:36:26Z,2025-06-01 10:36:26,0
Dqg3pzQH8Ew,FOREVER | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-10T15:00:07Z,UgyvELQsA3z-NAC76Td4AaABAg.AIm2lfD_pTOAJ5oZlbP8gO,UgyvELQsA3z-NAC76Td4AaABAg,@complexblackness,UCNk_-51dqPmD8kvR9suEkmw,Thank you! I been trying to find it.,en,2025-06-08T06:30:24Z,2025-06-08 02:30:24,2
Dqg3pzQH8Ew,FOREVER | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-10T15:00:07Z,UgyuDdfgGQV84wxNviN4AaABAg.AIe_-wWkSFSAImyG2jZO2H,UgyuDdfgGQV84wxNviN4AaABAg,@RiaStanley-q8w,UCFngYnPeiG_FSh3zOUT51PQ,Safe here by NinaMarie Bell,en,2025-05-31T13:30:17Z,2025-05-31 09:30:17,0
Dqg3pzQH8Ew,FOREVER | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-10T15:00:07Z,UgyduyzBzjnl_4EEg7B4AaABAg.AI_xIoBoqkgAImyRHZnCV5,UgyduyzBzjnl_4EEg7B4AaABAg,@RiaStanley-q8w,UCFngYnPeiG_FSh3zOUT51PQ,Safe here by Nina Marie Bell,en,2025-05-31T13:31:49Z,2025-05-31 09:31:49,0
Dqg3pzQH8Ew,FOREVER | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-10T15:00:07Z,UgytFoG4J2xTYc0lquR4AaABAg.AIP8hgPy5sTAITkxNkUxlo,UgytFoG4J2xTYc0lquR4AaABAg,@Sliferredondo,UCgtwNaybtJNEz8vFihi0i-A,The second season has already been announced.,gl,2025-05-23T17:09:11Z,2025-05-23 13:09:11,0
Dqg3pzQH8Ew,FOREVER | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-10T15:00:07Z,UgxgwdZBt1esv01SPwJ4AaABAg.AID66E_EvfwAJH_lI3gD9u,UgxgwdZBt1esv01SPwJ4AaABAg,@awatkins8429,UCFpFGXkL4rZA0nnodFQXwDA,"""I don’t understand why I got so emotional but this series made me feel something that I had forgotten.""

Same! I had no idea why as a grown, 40 something year-old  woman I was sooooo affected by this series. I cried for days. I have NEVER  been so triggered by a series or movie like this.",en,2025-06-12T20:11:55Z,2025-06-12 16:11:55,1
Dqg3pzQH8Ew,FOREVER | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-10T15:00:07Z,UgzBhiwRyqyMENavtpd4AaABAg.AICIujg9EoIAICTg-J7Xwd,UgzBhiwRyqyMENavtpd4AaABAg,@Posleylove,UCxDg7UEn0pexEiVwO5qc4lg,The only comment or review that really grabs attention and makes me want to watch the movie,en,2025-05-17T00:02:26Z,2025-05-16 20:02:26,6
Dqg3pzQH8Ew,FOREVER | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-10T15:00:07Z,UgzBhiwRyqyMENavtpd4AaABAg.AICIujg9EoIAJHZQVST9n0,UgzBhiwRyqyMENavtpd4AaABAg,@awatkins8429,UCFpFGXkL4rZA0nnodFQXwDA,"I have NEVER in my life felt so deeply about a TV series or movie and I am well into my 40's. I was so very moved by this. I cried for days afterward. It makes you examine your own life and if you have buried or suppressed things from your youth, those things WILL come to the surface.",en,2025-06-12T20:00:13Z,2025-06-12 16:00:13,1
Dqg3pzQH8Ew,FOREVER | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-10T15:00:07Z,UgzBhiwRyqyMENavtpd4AaABAg.AICIujg9EoIAJN0ophZxJg,UgzBhiwRyqyMENavtpd4AaABAg,@Amaurys17,UCpAzJbNxrdO3woELZsgg4nw,I agree with you 💯,en,2025-06-14T22:53:17Z,2025-06-14 18:53:17,1
Dqg3pzQH8Ew,FOREVER | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-10T15:00:07Z,UgzBhiwRyqyMENavtpd4AaABAg.AICIujg9EoIAJ_Dc1HQfii,UgzBhiwRyqyMENavtpd4AaABAg,@marciwilson92,UCramMYKSLdSnPyVXPF_pq0w,You summed it up beautifully! This was just awe-inspiring.,en,2025-06-20T01:55:15Z,2025-06-19 21:55:15,1
Dqg3pzQH8Ew,FOREVER | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-10T15:00:07Z,UgycFkuWk3mlnMg1QU54AaABAg.AI9cuU-mXZgAI9wcrDrahG,UgycFkuWk3mlnMg1QU54AaABAg,@thebest4donldy,UCCteu9h86KBzKEPRumoYoCA,Yess!!🙌🏾,ny,2025-05-16T00:26:26Z,2025-05-15 20:26:26,0
Dqg3pzQH8Ew,FOREVER | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-10T15:00:07Z,UgyeeOBfMH-q6et3x614AaABAg.AI4x6ZgaaR7AI4yj0Ai1eo,UgyeeOBfMH-q6et3x614AaABAg,@danny_devito_rulez,UC5LTDJoFWA8HqPCWLEUqL-g,it’s Safe Here by Ninamarie Bell,en,2025-05-14T02:08:33Z,2025-05-13 22:08:33,0
Dqg3pzQH8Ew,FOREVER | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-10T15:00:07Z,UgzjRCwQTCwAg9oNvO94AaABAg.AI4QMawBT75AI4mlLs7-AA,UgzjRCwQTCwAg9oNvO94AaABAg,@danny_devito_rulez,UC5LTDJoFWA8HqPCWLEUqL-g,it’s Safe Here by Ninamarie Bell,en,2025-05-14T00:24:01Z,2025-05-13 20:24:01,2
Dqg3pzQH8Ew,FOREVER | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-10T15:00:07Z,UgyTqczpPBZO4GYHbMh4AaABAg.AI3QuEvQJYWAI4cAMVDz0z,UgyTqczpPBZO4GYHbMh4AaABAg,@will_i_am_legendary,UCHRfiQXhhxziyjPXlQvl5PA,"Yes…all the music in this series was dope, but it wouldn’t have made much sense to put “Luther” on here being as this takes place in 2018-2019",en,2025-05-13T22:51:26Z,2025-05-13 18:51:26,0
Dqg3pzQH8Ew,FOREVER | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-10T15:00:07Z,UgyTqczpPBZO4GYHbMh4AaABAg.AI3QuEvQJYWAI5ZJZYLB2W,UgyTqczpPBZO4GYHbMh4AaABAg,@FriendsFrvr,UCAhrOSUyc7BnIUoCiVgbgXw,​@will_i_am_legendary you're right,en,2025-05-14T07:36:59Z,2025-05-14 03:36:59,0
