video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
ErWfGyLp5h8,The Great Flood | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-16T18:30:24Z,UgxJ8h4oZaEi7clD-Gl4AaABAg.APxwAJH_1yUAQ-UsLJWEim,UgxJ8h4oZaEi7clD-Gl4AaABAg,@redheart-z,UCLn0D8Gdr6lBA1weKhvRSfg,huh? it hasn't come out yet tho?,en,2025-11-26T19:13:53Z,2025-11-26 14:13:53,1
ErWfGyLp5h8,The Great Flood | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-16T18:30:24Z,UgzRvIqdmUTmWDh6gjl4AaABAg.APbqXBqrelaAQ-UzAedhFp,UgzRvIqdmUTmWDh6gjl4AaABAg,@redheart-z,UCLn0D8Gdr6lBA1weKhvRSfg,tf 💀 since when did they said this is based on a true story? did i miss a chapter,en,2025-11-26T19:14:49Z,2025-11-26 14:14:49,1
ErWfGyLp5h8,The Great Flood | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-16T18:30:24Z,UgzRvIqdmUTmWDh6gjl4AaABAg.APbqXBqrelaAQ-VX1cmdGB,UgzRvIqdmUTmWDh6gjl4AaABAg,@b00nz0r,UCCZ22hN1ScI3jU8yO_5XXGw,@redheart-z …………………. Speaking from a guy who was forced to learn the whole Bible… you don’t even know the core stories,en,2025-11-26T19:19:35Z,2025-11-26 14:19:35,0
ErWfGyLp5h8,The Great Flood | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-16T18:30:24Z,UgzRvIqdmUTmWDh6gjl4AaABAg.APbqXBqrelaAQ-WIKQ9MHW,UgzRvIqdmUTmWDh6gjl4AaABAg,@redheart-z,UCLn0D8Gdr6lBA1weKhvRSfg,​@b00nz0r tf are you talking about girl,en,2025-11-26T19:26:19Z,2025-11-26 14:26:19,1
ErWfGyLp5h8,The Great Flood | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-16T18:30:24Z,Ugz2GgOiOyn1wjYw7094AaABAg.APLriJ4DZKtAQ-V1eWjjfi,Ugz2GgOiOyn1wjYw7094AaABAg,@redheart-z,UCLn0D8Gdr6lBA1weKhvRSfg,huh,fil,2025-11-26T19:15:18Z,2025-11-26 14:15:18,0
ErWfGyLp5h8,The Great Flood | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-16T18:30:24Z,UgxQliGoQk1gjRw-xK54AaABAg.APJA2BDbfvhAQ-V33YM3NK,UgxQliGoQk1gjRw-xK54AaABAg,@redheart-z,UCLn0D8Gdr6lBA1weKhvRSfg,movie,lt,2025-11-26T19:15:29Z,2025-11-26 14:15:29,0
ErWfGyLp5h8,The Great Flood | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-16T18:30:24Z,UgwRzXK5V0_IeccBWHZ4AaABAg.APDGSvVC_y4AQ-V6nXheI2,UgwRzXK5V0_IeccBWHZ4AaABAg,@redheart-z,UCLn0D8Gdr6lBA1weKhvRSfg,interesting? girl 💀,no,2025-11-26T19:16:00Z,2025-11-26 14:16:00,1
ErWfGyLp5h8,The Great Flood | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-16T18:30:24Z,UgwRzXK5V0_IeccBWHZ4AaABAg.APDGSvVC_y4AQ-ZxkQtho6,UgwRzXK5V0_IeccBWHZ4AaABAg,@could_B_anyone,UCfAyM3q7eJ9i_79_SRAydjQ,​@kimdamdango yea like cinematically I want to see how they portray it and what they do in that scenario.,en,2025-11-26T19:58:19Z,2025-11-26 14:58:19,1
ErWfGyLp5h8,The Great Flood | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-16T18:30:24Z,UgwRzXK5V0_IeccBWHZ4AaABAg.APDGSvVC_y4AQ-xnS_nzcF,UgwRzXK5V0_IeccBWHZ4AaABAg,@redheart-z,UCLn0D8Gdr6lBA1weKhvRSfg,​@could_B_anyoneohhh i thought you want to see it irl 💀,en,2025-11-26T23:35:22Z,2025-11-26 18:35:22,0
ErWfGyLp5h8,The Great Flood | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-16T18:30:24Z,UgzQ-m-cVbH1c8dtptF4AaABAg.APADCYnWAl_AQ-V7T_RWEe,UgzQ-m-cVbH1c8dtptF4AaABAg,@redheart-z,UCLn0D8Gdr6lBA1weKhvRSfg,yes,en,2025-11-26T19:16:05Z,2025-11-26 14:16:05,0
