video_id,video_url,comment_id,comment_author_display,comment_author_channel_id,comment_content,comment_lang,comment_time_utc,comment_time_local,comment_like_count,comment_reply_count,reply_id,reply_author_display,reply_author_channel_id,reply_content,reply_lang,reply_time_utc,reply_time_local,reply_like_count,view_count,like_count,comment_count,crawl_time
FFzy3qlkIAM,https://www.youtube.com/watch?v=FFzy3qlkIAM,UgxoiBhTbbhG1l-Ue2Z4AaABAg,@jeremyfisher636,UCYP3uXspyS24_0FgOTCTE_g,I LOOKED UP BALLOON BOY I WANTED THE FNAF BALLOON BOY NOT THIS BUT I DID WATCH THID CAUSE I WAS BORED,en,2025-12-17T11:06:28Z,2025-12-17 06:06:28,0,1,UgxoiBhTbbhG1l-Ue2Z4AaABAg.AQpgmghY-YqAQpgoetYNuG,@jeremyfisher636,UCYP3uXspyS24_0FgOTCTE_g,this*,en,2025-12-17T11:06:44Z,2025-12-17 06:06:44,0,527763,4791,643,"Wed, 17 Dec 2025 14:21:23 GMT"
FFzy3qlkIAM,https://www.youtube.com/watch?v=FFzy3qlkIAM,Ugxk7ker9ic-5hKcxBd4AaABAg,@rabidwolf,UC7rsTVcEW9p9MA_YnVrRT4g,The kids are liars and bad ones at that just like their parents. Disgusting family and of course they get an anti police attorney whos only goal is to make the police look bad. Never saw so many people cry with not one tear falling.,en,2025-07-23T03:22:30Z,2025-07-22 23:22:30,1,1,Ugxk7ker9ic-5hKcxBd4AaABAg.AKuLprkkfFhAKvIZvPR49a,@bitw434,UCNqr8jv6NgkZtHDRb5cng-g,yes!!!!,en,2025-07-23T12:13:12Z,2025-07-23 08:13:12,0,527763,4791,643,"Wed, 17 Dec 2025 14:21:23 GMT"
FFzy3qlkIAM,https://www.youtube.com/watch?v=FFzy3qlkIAM,UgwM0A4OZWwQg0YKi5N4AaABAg,@Theakker3B,UCe-XT3FU8LhyEJZI24V986A,"Looks like you finally got your show, Richard.",haw,2025-07-22T15:01:32Z,2025-07-22 11:01:32,31,1,UgwM0A4OZWwQg0YKi5N4AaABAg.AKt11y96o7jAKvIbTvtle5,@bitw434,UCNqr8jv6NgkZtHDRb5cng-g,richard is on netflix!!!! goal is achieved,en,2025-07-23T12:13:33Z,2025-07-23 08:13:33,3,527763,4791,643,"Wed, 17 Dec 2025 14:21:23 GMT"
FFzy3qlkIAM,https://www.youtube.com/watch?v=FFzy3qlkIAM,UgzwKRdAqA6_5Qdrfjd4AaABAg,@msde625,UC3p2SCJK6mgPm61lS7s7Cbg,"Yet again, another whiny ass white male who can't handle adversity and does BS because he can't get his way. People like him could NEVER survive life if they weren't white. SMH",en,2025-07-22T14:04:58Z,2025-07-22 10:04:58,1,1,UgzwKRdAqA6_5Qdrfjd4AaABAg.AKsvZZNJuHhALE7qVYMsbA,@dalemmmm,UCveCKTalFGhJz2faK-Z10PQ,Isn’t he married to a Japanese woman?? WTF is wrong with you 😂,en,2025-07-31T05:04:18Z,2025-07-31 01:04:18,0,527763,4791,643,"Wed, 17 Dec 2025 14:21:23 GMT"
FFzy3qlkIAM,https://www.youtube.com/watch?v=FFzy3qlkIAM,UgxMfUyruJAub7k_zhN4AaABAg,@geofiggy,UCMn9YnWaK_FcC-3It1vW2mQ,Interesting how the cops didn't mention their incompetence when they searched the house three times,en,2025-07-21T22:51:04Z,2025-07-21 18:51:04,1,1,UgxMfUyruJAub7k_zhN4AaABAg.AKrHz04DKPaALSiy3Oi9jJ,@queenbee9874,UCzteOPKiqpHpzBschRtu8YQ,Who looks in an attic that needs a trapeze artist to get into? They hid that kid like a bank robber hiding out in a train tunnel,en,2025-08-05T21:06:45Z,2025-08-05 17:06:45,0,527763,4791,643,"Wed, 17 Dec 2025 14:21:23 GMT"
FFzy3qlkIAM,https://www.youtube.com/watch?v=FFzy3qlkIAM,Ugx9Z6pbiumF5nEa2Tx4AaABAg,@ellaelar7760,UChrQPJnqlGmn-mkGv6CaOgQ,"I’m watching the documentary and every time the mom or dad tell the story, they act like they’re about to cry. But you know perfectly well that nothing really happened to them, that it was all a mistake, yet they still put on a whole show. The way they dramatize everything feels so fake and acted. I’m halfway through the documentary and their current interview just seems completely fake to me.",en,2025-07-20T22:51:34Z,2025-07-20 18:51:34,7,1,Ugx9Z6pbiumF5nEa2Tx4AaABAg.AKoiEk1YGeKAL_EkHXMim-,@sloppyjoes7,UCMigVX82T2AJelWWO4vRDNg,"NOTHING HAPPENED TO THEM?
They went to jail! They were called liars and hoaxers, in national media! He almost had his wife deported and family destroyed!
Nothing happened? Are you insane?",en,2025-08-08T19:07:54Z,2025-08-08 15:07:54,1,527763,4791,643,"Wed, 17 Dec 2025 14:21:23 GMT"
FFzy3qlkIAM,https://www.youtube.com/watch?v=FFzy3qlkIAM,UgyzlPZ25pAn31aX0yh4AaABAg,@magellanstravels,UCtUkgbz9CQQ1HLCGePR10iw,The father is a scumbag con artist,en,2025-07-20T01:09:07Z,2025-07-19 21:09:07,2,1,UgyzlPZ25pAn31aX0yh4AaABAg.AKmOBLFSd26AKsGuhVT2wS,@rodrigoorozco9263,UCcIUEqH2VX-gSM9UliW5-pw,Yea something is weird about this family,en,2025-07-22T08:00:59Z,2025-07-22 04:00:59,0,527763,4791,643,"Wed, 17 Dec 2025 14:21:23 GMT"
FFzy3qlkIAM,https://www.youtube.com/watch?v=FFzy3qlkIAM,UgyhlaKQjSBTPdaB3Uh4AaABAg,@cbchang6200,UCFt1M3zEQxYT6SUSddXZTUQ,With no doubt this was a Hoax. The family called the News station while it was still in the air. What parent would call a News station if you thought your child's life was in danger. It was a complete Hoax by the family to get attention.,en,2025-07-19T00:29:06Z,2025-07-18 20:29:06,2,1,UgyhlaKQjSBTPdaB3Uh4AaABAg.AKjjoQL6Jy8ANGg9qVRS3k,@conniebobonnie12,UCwLPoEW0CESIX7Jk8qbBb8Q,"that is a lie, he called the news station LAST for one of their helicopters after 911 barely helped at all (you can find the full 911 call pretty easily its literally the operator asking the same shit over and over)",en,2025-09-19T21:54:11Z,2025-09-19 17:54:11,0,527763,4791,643,"Wed, 17 Dec 2025 14:21:23 GMT"
FFzy3qlkIAM,https://www.youtube.com/watch?v=FFzy3qlkIAM,UgzZOY-VQSZ16Tdmjs94AaABAg,@jahnavip1307,UCg1oyFULNeFVbAjEDQqVGAg,"The dad expression while talking to the camera for the documentary, where he often cuts the eye contact to the camera and telling that he didn't act about all this ....seems like he is hiding something. It's clear with his indirect eye contact to the camera while speaking about the incident.",en,2025-07-17T18:46:03Z,2025-07-17 14:46:03,2,1,UgzZOY-VQSZ16Tdmjs94AaABAg.AKgYkzYN-_KANGgTfAJLZQ,@conniebobonnie12,UCwLPoEW0CESIX7Jk8qbBb8Q,"i have indirect eye contact literally speaking to anyone, especially if its some sort of significant, traumatic event, so dont try to play the eye contact card. it really isnt as substantial as you think it is. not saying it isnt a hoax but to go off of something as simple as that is so lame.",en,2025-09-19T21:56:53Z,2025-09-19 17:56:53,0,527763,4791,643,"Wed, 17 Dec 2025 14:21:23 GMT"
FFzy3qlkIAM,https://www.youtube.com/watch?v=FFzy3qlkIAM,Ugy0ZONP8XmOnIF8j2p4AaABAg,@taylorm7777,UCmXRV1nWGFL-dx4M3AA_trw,"Its crazy how this doc ends by the dad gloating about his ""newest invention"" but was never elaborated. Hes just giddy to be on TV again and wanted to plan something for it HOPING they would ask him about it.",en,2025-07-17T06:48:33Z,2025-07-17 02:48:33,8,2,Ugy0ZONP8XmOnIF8j2p4AaABAg.AKfGdtLTzqlAKfoflU_2H4,@Koala-beer,UCfofTuFLeNDK0wsIDzPC1aQ,He seems bipolar ….,NA,2025-07-17T11:54:39Z,2025-07-17 07:54:39,1,527763,4791,643,"Wed, 17 Dec 2025 14:21:23 GMT"
