video_id,video_url,comment_id,comment_author_display,comment_author_channel_id,comment_content,comment_lang,comment_time_utc,comment_time_local,comment_like_count,comment_reply_count,reply_id,reply_author_display,reply_author_channel_id,reply_content,reply_lang,reply_time_utc,reply_time_local,reply_like_count,view_count,like_count,comment_count,crawl_time
FLiJiBTLdFM,https://www.youtube.com/watch?v=FLiJiBTLdFM,UgzhMdjIaTyjIPaJ4094AaABAg,@devilishdiva40,UCdaMoig64qESObjmuiSU21A,"Okay.. Dyon Brooks (aka Mojo Brookz) doing his thang!! We see you. Keep up the great work. Keep grinding, my brother 💯",NA,2025-05-15T01:50:23Z,2025-05-14 21:50:23,1,1,UgzhMdjIaTyjIPaJ4094AaABAg.AI7WRuIyB_6AIFraUFcWx_,@kimmyw010,UCXX6ufMotDsRRMj_1BiBk_w,From viral on Twitter to the big screen is crazy!!!,en,2025-05-18T07:37:52Z,2025-05-18 03:37:52,0,524325,8417,737,"Wed, 17 Dec 2025 13:14:27 GMT"
FLiJiBTLdFM,https://www.youtube.com/watch?v=FLiJiBTLdFM,Ugx3LD7tvEaXxQQ0wdF4AaABAg,@carljohnson1106,UC5OYGfhi-VA4-gMnH23qJAQ,"I know it's just me, but I think Tyler Perry lost this MAGIC, I he is helping a lot of black folks, but c'mon, I want the Acrimony, etc. Tyler Perry",en,2025-05-11T10:13:34Z,2025-05-11 06:13:34,0,1,Ugx3LD7tvEaXxQQ0wdF4AaABAg.AHz6qoTpbLgAHzuhgO34wo,@BJSimmons99,UC4J_vJ-OFJU5pc_di7Qaa1Q,Have you seen A Jazzman’s Blues and The Six Triple Eight yet?,en,2025-05-11T17:37:58Z,2025-05-11 13:37:58,0,524325,8417,737,"Wed, 17 Dec 2025 13:14:27 GMT"
FLiJiBTLdFM,https://www.youtube.com/watch?v=FLiJiBTLdFM,UgyE_3Quxs-6mTIYkbR4AaABAg,@blaqOne,UCChBbSlo-lppgw5QrKRsCgw,Ghetto Ghetto Ghetto why he always putting Black People in a Bad Light Bruh can you write anything else. Netflix clearly y'all gotta to better taking this man's Movie of Foolishness,en,2025-05-10T18:53:38Z,2025-05-10 14:53:38,0,1,UgyE_3Quxs-6mTIYkbR4AaABAg.AHxT_0sX-CsAHxfgkPwIh2,@BJSimmons99,UC4J_vJ-OFJU5pc_di7Qaa1Q,"TP has two period pieces titled, “A Jazzman’s Blues” about a forbidden love story in a Deep South and “The Six Triple Eight” about the black women postal battalion in WWII based on true events.

Both of those are way better films from him.",en,2025-05-10T20:48:17Z,2025-05-10 16:48:17,0,524325,8417,737,"Wed, 17 Dec 2025 13:14:27 GMT"
FLiJiBTLdFM,https://www.youtube.com/watch?v=FLiJiBTLdFM,UgyTLi3bGdh9r2pf1R54AaABAg,@freekellz88,UCx_e6qZVItw7J-mniQTvxwQ,Why does Tyler Perry still think smoking weed is shocking to people,en,2025-05-08T03:46:39Z,2025-05-07 23:46:39,1,1,UgyTLi3bGdh9r2pf1R54AaABAg.AHqhBFxJ_MpAHtHoRv-oxJ,@BJSimmons99,UC4J_vJ-OFJU5pc_di7Qaa1Q,🤷🏽‍♂️,ne,2025-05-09T03:53:55Z,2025-05-08 23:53:55,0,524325,8417,737,"Wed, 17 Dec 2025 13:14:27 GMT"
FLiJiBTLdFM,https://www.youtube.com/watch?v=FLiJiBTLdFM,UgydGv8xHTdcy2rl8eh4AaABAg,@carltheyoda2155,UC7u5wPUi6Nh3Sgu09eY-4Lg,It's good to see TC Carson!  It's been awhile.,en,2025-05-05T15:07:06Z,2025-05-05 11:07:06,1,1,UgydGv8xHTdcy2rl8eh4AaABAg.AHkBfVs94QZAHqhKN4MrBX,@freekellz88,UCx_e6qZVItw7J-mniQTvxwQ,My kratos,su,2025-05-08T03:47:53Z,2025-05-07 23:47:53,0,524325,8417,737,"Wed, 17 Dec 2025 13:14:27 GMT"
FLiJiBTLdFM,https://www.youtube.com/watch?v=FLiJiBTLdFM,Ugzf6Tl3wA2GTegcQRh4AaABAg,@Xcvpieces,UCHanf7Y1jTxtJqcmgTPn0dw,"Destroy our community yaaay
Way to go tyler Perry you stand for nothing 

You used God For fame and money and now destroying us with stereotypes instead of Godly Morals

but this has been goin on for yrs with you just hope you see

Die to this world because ppl are dying everyday
Eternity matters 
Do things for the kingdom of God
No longer a civilian in this world but a civilian in the city of God",en,2025-05-04T14:31:37Z,2025-05-04 10:31:37,0,3,Ugzf6Tl3wA2GTegcQRh4AaABAg.AHhYoiD1j4cAHhwdaObVtY,@BJSimmons99,UC4J_vJ-OFJU5pc_di7Qaa1Q,"Man, say what you will about the guy. I think he could care less. There’s been certain amount of black people harming one another for decades. Especially, a long way before he came along.

On top of that, The Trump Administration is already destroying this country enough.",en,2025-05-04T18:08:33Z,2025-05-04 14:08:33,1,524325,8417,737,"Wed, 17 Dec 2025 13:14:27 GMT"
FLiJiBTLdFM,https://www.youtube.com/watch?v=FLiJiBTLdFM,Ugzf6Tl3wA2GTegcQRh4AaABAg,@Xcvpieces,UCHanf7Y1jTxtJqcmgTPn0dw,"Destroy our community yaaay
Way to go tyler Perry you stand for nothing 

You used God For fame and money and now destroying us with stereotypes instead of Godly Morals

but this has been goin on for yrs with you just hope you see

Die to this world because ppl are dying everyday
Eternity matters 
Do things for the kingdom of God
No longer a civilian in this world but a civilian in the city of God",en,2025-05-04T14:31:37Z,2025-05-04 10:31:37,0,3,Ugzf6Tl3wA2GTegcQRh4AaABAg.AHhYoiD1j4cAHi3sKSYCAQ,@Xcvpieces,UCHanf7Y1jTxtJqcmgTPn0dw,"Take accountability for all in our own community trump dont control us

There ain't no massa here
A black man has his own production company 

That's power compared to the old

​@BJSimmons99",en,2025-05-04T19:20:28Z,2025-05-04 15:20:28,0,524325,8417,737,"Wed, 17 Dec 2025 13:14:27 GMT"
FLiJiBTLdFM,https://www.youtube.com/watch?v=FLiJiBTLdFM,Ugzf6Tl3wA2GTegcQRh4AaABAg,@Xcvpieces,UCHanf7Y1jTxtJqcmgTPn0dw,"Destroy our community yaaay
Way to go tyler Perry you stand for nothing 

You used God For fame and money and now destroying us with stereotypes instead of Godly Morals

but this has been goin on for yrs with you just hope you see

Die to this world because ppl are dying everyday
Eternity matters 
Do things for the kingdom of God
No longer a civilian in this world but a civilian in the city of God",en,2025-05-04T14:31:37Z,2025-05-04 10:31:37,0,3,Ugzf6Tl3wA2GTegcQRh4AaABAg.AHhYoiD1j4cAIHNkAT0JIn,@BJSimmons99,UC4J_vJ-OFJU5pc_di7Qaa1Q,"⁠@XcvpiecesHey listen, it is what it is. I said what I said. It’s the truth of what these Republicans are doing to wreck this country. Even stripping away black peoples rights as well. If I was you, I will be more concerned about that than worrying about TP. 

But I can agree with you on one thing: Taking accountability of our own actions and become better people in our community. I can give you that.

But overall, that’s the end of our conversation. Let’s have a day we deserve.",en,2025-05-18T21:46:47Z,2025-05-18 17:46:47,0,524325,8417,737,"Wed, 17 Dec 2025 13:14:27 GMT"
FLiJiBTLdFM,https://www.youtube.com/watch?v=FLiJiBTLdFM,UgzwUwAiIi-8V07bF0F4AaABAg,@ColdWerdz,UCyNS2IxMINwZkGpe7c5m10Q,He cant make a positive movie about a black man to save his life. Thank god for Ryan Coogler.,en,2025-05-03T23:06:14Z,2025-05-03 19:06:14,0,2,UgzwUwAiIi-8V07bF0F4AaABAg.AHftv1dyU_HAHg4mJoFAAh,@BJSimmons99,UC4J_vJ-OFJU5pc_di7Qaa1Q,"Well, he did do Daddy’s Little Girls with Idris Elba. I would love to see TP make more movies like that about black male positivity. But, he recently did a WWII biopic about the black women postal battalion titled, The Six Triple Eight.

Also, I forgot, he did do A Jazzman’s Blues as well. It has a main black male character who’s positive.",en,2025-05-04T00:49:55Z,2025-05-03 20:49:55,0,524325,8417,737,"Wed, 17 Dec 2025 13:14:27 GMT"
FLiJiBTLdFM,https://www.youtube.com/watch?v=FLiJiBTLdFM,UgzwUwAiIi-8V07bF0F4AaABAg,@ColdWerdz,UCyNS2IxMINwZkGpe7c5m10Q,He cant make a positive movie about a black man to save his life. Thank god for Ryan Coogler.,en,2025-05-03T23:06:14Z,2025-05-03 19:06:14,0,2,UgzwUwAiIi-8V07bF0F4AaABAg.AHftv1dyU_HAHg59ZfSKFg,@ColdWerdz,UCyNS2IxMINwZkGpe7c5m10Q,@ positive with a white woman. Jazzman ain’t about black love. Neither is Daddy’s little girls.,en,2025-05-04T00:53:13Z,2025-05-03 20:53:13,0,524325,8417,737,"Wed, 17 Dec 2025 13:14:27 GMT"
