video_id,video_title,channel_id,channel_title,video_published_at,view_count,video_like_count,video_comment_count,comment_id,comment_parent_id,comment_author_display,comment_author_channel_id,comment_text,comment_lang,comment_published_utc,comment_published_local,comment_like_count,comment_reply_count
G7LounlxPdA,Turning Point: The Vietnam War | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-17T12:00:00Z,721789,16874,2747,UgzSnJp5CfnhNilhgF94AaABAg,NA,@sebastianarmas4343,UCHe0WekfwQOj4JtqWO911ww,"Y ahora te enteras que muchos mandos que murieron se descubrió que muchos agujeros de bala les entraban x la espalda, dedícate a la historia real anda,que das ya mucha pena",es,2025-12-05T19:48:41Z,2025-12-05 14:48:41,0,0
G7LounlxPdA,Turning Point: The Vietnam War | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-17T12:00:00Z,721789,16874,2747,UgxppeyaDvn967zKY_d4AaABAg,NA,@georgekovacs4111,UCyePqHexg9DwnI_iR1seRoA,"Worstpiece of Judeocentric crap, old lies rekindled, pure propaganda horseshoe a la Hollywood communists",NA,2025-12-04T00:20:09Z,2025-12-03 19:20:09,0,0
G7LounlxPdA,Turning Point: The Vietnam War | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-17T12:00:00Z,721789,16874,2747,UgxMeaBNi7N8Qzh9MQZ4AaABAg,NA,@DuckButter123,UCCkKQo3n3iqu3mttWpkToPQ,What’s up next for turning point.  They do a great job on the documentaries! I’d like to see WW1,en,2025-12-01T04:15:58Z,2025-11-30 23:15:58,0,0
G7LounlxPdA,Turning Point: The Vietnam War | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-17T12:00:00Z,721789,16874,2747,UgwaKXwlaCcYNhsGLeN4AaABAg,NA,@Nietzman,UCBHXhp9vBFZzHNn2JvR5rEw,Does the actual documentary also only consists of stupid impact hit sound effects or is it a bit more nuanced as the Ken Burns documentary is?,en,2025-11-30T21:59:55Z,2025-11-30 16:59:55,0,0
G7LounlxPdA,Turning Point: The Vietnam War | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-17T12:00:00Z,721789,16874,2747,UgzkhD7-QPuXYlVHDeZ4AaABAg,NA,@KillerMoth3,UCbJbgDtT1ksZt71z0dVPiUA,"Ken Burns Vietnam: Shows the horrors of the war from the both sides soldiers perspective 

Netflix Vietnam War: Shows the horrors of what the puppet masters did who contributed to escalating and manipulating the war",en,2025-11-28T17:34:11Z,2025-11-28 12:34:11,0,0
G7LounlxPdA,Turning Point: The Vietnam War | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-17T12:00:00Z,721789,16874,2747,UgwFToKGD8S7CiXliM14AaABAg,NA,@gilliankeicher3999,UCjEpTUgJiiIpOLpDmULLqaw,"As for there drug addiction they made them addicts, on purpose the whole thing an the waste of life was really a waste 😢",en,2025-11-26T19:04:46Z,2025-11-26 14:04:46,0,0
G7LounlxPdA,Turning Point: The Vietnam War | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-17T12:00:00Z,721789,16874,2747,Ugx3FUJVz-ueXQzuIEp4AaABAg,NA,@mauricioandresjaramillosie6089,UCe5Ye4XJpTHJqGOxGoIrXaQ,"Querra decir ""La invasión de Estados Unidos a Vietnam"", y me alegro mucho de que su plan les saliera mal; pena por los soldados que se aprovechan de ellos su propio país los engañan.",es,2025-11-23T21:18:33Z,2025-11-23 16:18:33,0,0
G7LounlxPdA,Turning Point: The Vietnam War | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-17T12:00:00Z,721789,16874,2747,UgxeIH4QTeIAqTceOTx4AaABAg,NA,@parvdize3968,UCPMdSWSp-udCCNlVXtvC_qQ,those AI “remastered” old videos look so bad. stop it. it ruins,en,2025-11-23T13:44:41Z,2025-11-23 08:44:41,0,0
G7LounlxPdA,Turning Point: The Vietnam War | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-17T12:00:00Z,721789,16874,2747,Ugxv8A5t2p9SGtLgVMh4AaABAg,NA,@jeongterry5360,UCg7kf5bbev1d0zXVd6TmjEg,한국도 조심해야한다 나중에 저런 구정공세같은게 나올지 장담할수없다... 국내에 간첩도 너무 많고 국회의원중에 북한하고 친한사람이 너무 많다,ko,2025-11-14T17:16:33Z,2025-11-14 12:16:33,0,0
G7LounlxPdA,Turning Point: The Vietnam War | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-04-17T12:00:00Z,721789,16874,2747,UgwcstxYGJewFDJJ2Nl4AaABAg,NA,@hijadelaluna9912,UC5zzVuiWIXPXXQfqVnq2XoA,"It's frustrating to see people still clinging to that good-versus-evil mentality, when they lived through the war and learned absolutely nothing.

It was a country fighting for its own independence and sovereignty against American intervention",en,2025-11-14T10:08:27Z,2025-11-14 05:08:27,0,0
