video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
Gd44vTsTUhs,Night Always Comes | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-17T15:00:00Z,UgyE9eDEOAb26hmWQCd4AaABAg.ANkWcybmMLbAOg5bY0pdB3,UgyE9eDEOAb26hmWQCd4AaABAg,@TerryStewart724,UCju0UsKIvXtCJApKGSfIBhQ,That's Really NOICE 💯 🤘🏻🤜🏻,en,2025-10-25T00:36:56Z,2025-10-24 20:36:56,0
Gd44vTsTUhs,Night Always Comes | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-17T15:00:00Z,Ugyn0Db1cAgetnzwqKt4AaABAg.AMQ92yyUj-vAMkPa_tMaTa,Ugyn0Db1cAgetnzwqKt4AaABAg,@OskarTBrand,UCkSvwRFcb1QfFMtKD_FXX1g,because it is. That's how studios do it these days. Same with rotten tomatoes and all those other websites. All fake,en,2025-09-06T23:45:45Z,2025-09-06 19:45:45,2
Gd44vTsTUhs,Night Always Comes | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-17T15:00:00Z,Ugywwvc1gzEuc5PmExl4AaABAg.AML6TaH2_O-AN61TtFKEgy,Ugywwvc1gzEuc5PmExl4AaABAg,@trancos7641,UCpkiynDVTS6t_OXOZn3qz2w,Yepp,ky,2025-09-15T18:37:31Z,2025-09-15 14:37:31,0
Gd44vTsTUhs,Night Always Comes | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-17T15:00:00Z,UgxQj4ZTSseVki514Mt4AaABAg.AMGDwjlZHfrAMkPiXz0JRN,UgxQj4ZTSseVki514Mt4AaABAg,@OskarTBrand,UCkSvwRFcb1QfFMtKD_FXX1g,nobody did except for bots in the comments here,en,2025-09-06T23:46:50Z,2025-09-06 19:46:50,0
Gd44vTsTUhs,Night Always Comes | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-17T15:00:00Z,UgzELKjAg6NCgm9mdk14AaABAg.AMDLhgChSZCANBdMVjlQ_d,UgzELKjAg6NCgm9mdk14AaABAg,@BBalllegend1000,UC2NT3eZYCC7OpMArd24oBQA,She’s horrible too 😂 she robbed a bunch of people and almost killed a guy with her car…,en,2025-09-17T22:53:29Z,2025-09-17 18:53:29,0
Gd44vTsTUhs,Night Always Comes | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-17T15:00:00Z,UgwwiYCdEzSPp1xz3yV4AaABAg.AM4zStWMVySAM6AFs4wOU0,UgwwiYCdEzSPp1xz3yV4AaABAg,@anjitneupane7158,UCPZTs98TXZY2eU9Aa8xDm1g,Why do you say that? It’s a good movie,en,2025-08-21T23:22:51Z,2025-08-21 19:22:51,0
Gd44vTsTUhs,Night Always Comes | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-17T15:00:00Z,UgwwiYCdEzSPp1xz3yV4AaABAg.AM4zStWMVySAMDk6XkjKOT,UgwwiYCdEzSPp1xz3yV4AaABAg,@renny404,UC404PLW0gDh_jM3OY8vaY0A,"Right, I thought all the comments would be that. So shitty.",en,2025-08-24T21:59:34Z,2025-08-24 17:59:34,0
Gd44vTsTUhs,Night Always Comes | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-17T15:00:00Z,Ugyt490enjxTWa4RabJ4AaABAg.AM3udPIqyQtAM3ym8jxe_9,Ugyt490enjxTWa4RabJ4AaABAg,@Leprutz,UCEiboMi6uFbt3zysxUb_7sA,True. But she just thought of stealing it. She didn't think about the next steps. So in the end of you don't know anybody ypu cannot seöl that damn car. So she just took a dumb decision.,en,2025-08-21T02:55:19Z,2025-08-20 22:55:19,1
Gd44vTsTUhs,Night Always Comes | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-17T15:00:00Z,UgyxQWIMbQaEUFkHntd4AaABAg.AM3uSbgjybHAMPce2yVT9R,UgyxQWIMbQaEUFkHntd4AaABAg,@AlexG-pl3km,UCbrb3U6A32t5f6cRZFClGgg,A total waste of time.  If you're looking for good movies you might want to check out ..Stir of Echoes. ....Peppermint...Case 30.,en,2025-08-29T12:45:16Z,2025-08-29 08:45:16,0
Gd44vTsTUhs,Night Always Comes | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-17T15:00:00Z,UgzEUbuPhBhJuzmSdi94AaABAg.AM1mvVYzJllAM9UjGKvRyA,UgzEUbuPhBhJuzmSdi94AaABAg,@LakersParadise,UC7j0SabTwXbQjrx-WNnvqlw,LOL,uk,2025-08-23T06:19:29Z,2025-08-23 02:19:29,0
Gd44vTsTUhs,Night Always Comes | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-17T15:00:00Z,UgwN7KAixefD7kIjQsZ4AaABAg.AM0F9b1JaRVAM0geHWzNGZ,UgwN7KAixefD7kIjQsZ4AaABAg,@gaborfazekas7915,UCzKA3BjsZVzhZQw4cQuzjFQ,😂😂😂,ja,2025-08-19T20:19:14Z,2025-08-19 16:19:14,1
Gd44vTsTUhs,Night Always Comes | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-07-17T15:00:00Z,Ugxsz3N3y74wiMq-v4Z4AaABAg.ALzzXWy54QUAM1XVCYgIFm,Ugxsz3N3y74wiMq-v4Z4AaABAg,@Joey_fit,UCHXOdBoHej9ZbhGWdFEKplw,Lol exactly,NA,2025-08-20T04:09:43Z,2025-08-20 00:09:43,0
