video_id,video_title,channel_id,channel_title,video_published_at,view_count,video_like_count,video_comment_count,comment_id,comment_parent_id,comment_author_display,comment_author_channel_id,comment_text,comment_lang,comment_published_utc,comment_published_local,comment_like_count,comment_reply_count
HAQfDRvrU0s,HAVOC | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T16:00:01Z,5621798,95009,4908,UgxBu8qtGyjw-VNWipN4AaABAg,NA,@angus-5229,UC8JnrNYp6NrzIbB9mjfZdZA,Pedro porro Richardson from Tottenham,NA,2025-12-15T12:28:51Z,2025-12-15 07:28:51,1,0
HAQfDRvrU0s,HAVOC | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T16:00:01Z,5621798,95009,4908,Ugwl-hhtDHnL1ceG0Md4AaABAg,NA,@angus-5229,UC8JnrNYp6NrzIbB9mjfZdZA,Richardson Middleton  from Tottenham,no,2025-12-15T03:02:51Z,2025-12-14 22:02:51,1,0
HAQfDRvrU0s,HAVOC | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T16:00:01Z,5621798,95009,4908,UgyKJ-WMtJeVLVQWZNp4AaABAg,NA,@angus-5229,UC8JnrNYp6NrzIbB9mjfZdZA,Coleman Dewsbury hall branthwaite  from Everton,de,2025-12-03T03:07:18Z,2025-12-02 22:07:18,0,0
HAQfDRvrU0s,HAVOC | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T16:00:01Z,5621798,95009,4908,Ugx3eS1bjl9JIU4ky7h4AaABAg,NA,@angus-5229,UC8JnrNYp6NrzIbB9mjfZdZA,Sancho Elliott Mings Watkins from Aston villa,NA,2025-12-03T03:02:09Z,2025-12-02 22:02:09,0,0
HAQfDRvrU0s,HAVOC | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T16:00:01Z,5621798,95009,4908,UgySpOedyvJCQ1qb_D94AaABAg,NA,@bonifacekyalo9120,UCsih3wCX0yyTntygrpJg4tA,"Havoc reminds me of ..Romeo must die,cool fick",en,2025-11-30T00:47:24Z,2025-11-29 19:47:24,0,0
HAQfDRvrU0s,HAVOC | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T16:00:01Z,5621798,95009,4908,UgyGPIqQVNb8b0P0Ts94AaABAg,NA,@TheranRichardson,UCcxIZS_R9DCMvh5VB53dAPw,Gotta watch it 3 times to appreciate it lol everything is kinda thrown together… Forest Whitaker character could’ve been used better,en,2025-10-30T14:15:14Z,2025-10-30 10:15:14,0,0
HAQfDRvrU0s,HAVOC | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T16:00:01Z,5621798,95009,4908,UgyDvBhdvGFisC0NRLJ4AaABAg,NA,@robbie-z1c,UCm7iE8Yd6XQ9bFltXyTXTow,This movie was such a big let down.,en,2025-10-19T18:16:38Z,2025-10-19 14:16:38,0,0
HAQfDRvrU0s,HAVOC | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T16:00:01Z,5621798,95009,4908,UgyG85BuMMNQF57Jvk14AaABAg,NA,@WinterSpirit-u9c,UCa6h1KKK-337dJQEg6v0xPA,"From Director of The Raid.
SHUT UP & TAKE MY MONEY",en,2025-10-10T18:08:45Z,2025-10-10 14:08:45,0,0
HAQfDRvrU0s,HAVOC | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T16:00:01Z,5621798,95009,4908,UgwMcv5LG9hB-MQYpcR4AaABAg,NA,@Gypsyalchemy333,UC9DO9Z5NI7sneohiw_jnmNw,Hardy should be embarrassed. That was just awful awful AWFUL acting and a terrible movie,en,2025-09-22T20:24:27Z,2025-09-22 16:24:27,0,0
HAQfDRvrU0s,HAVOC | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-26T16:00:01Z,5621798,95009,4908,UgytkZ9yxJ_RI6lup1J4AaABAg,NA,@lewisandheidijeffersonenga9917,UC6ny3hxVdE4g33T3LuBm83w,This movie was excellent. From the cast to the action sequence as well. Pure action .,en,2025-09-16T10:49:10Z,2025-09-16 06:49:10,0,0
