video_id,video_url,comment_id,comment_author_display,comment_author_channel_id,comment_content,comment_lang,comment_time_utc,comment_time_local,comment_like_count,comment_reply_count,reply_id,reply_author_display,reply_author_channel_id,reply_content,reply_lang,reply_time_utc,reply_time_local,reply_like_count,view_count,like_count,comment_count,crawl_time
HAcHtHP4AoM,https://www.youtube.com/watch?v=HAcHtHP4AoM,Ugyvg6UkC4pJYtVNWdx4AaABAg,@user-weldjdns2,UC7J001Gtw_L9ty6niQ2lKFQ,"i really love this show, but i HATE ginny",en,2025-05-02T07:34:29Z,2025-05-02 03:34:29,1,1,Ugyvg6UkC4pJYtVNWdx4AaABAg.AHbeUgrJqvOAHc2HSrZE5N,@snigdhapilli2006,UCXM5K-89q2JHp3uLnZlW5ig,She might turn a corner,NA,2025-05-02T11:11:07Z,2025-05-02 07:11:07,0,1815810,37006,1301,"Tue, 16 Dec 2025 17:36:18 GMT"
HAcHtHP4AoM,https://www.youtube.com/watch?v=HAcHtHP4AoM,UgwOdCsnEfDyvTTwmfd4AaABAg,@sabrinahunter6459,UCyFlyS5DTkMdm08D0UM5fNg,Does anyone else want Georgia and Joe to get together or is that just me?,en,2025-04-30T06:48:23Z,2025-04-30 02:48:23,1,1,UgwOdCsnEfDyvTTwmfd4AaABAg.AHXQcIB-Rn4AHaN0Ma98sV,@asíuLanA,UCTpmBebiV1m2JbaWzEOuwXA,Almost everyone wants them to be endgame obviously,en,2025-05-01T19:33:48Z,2025-05-01 15:33:48,0,1815810,37006,1301,"Tue, 16 Dec 2025 17:36:18 GMT"
HAcHtHP4AoM,https://www.youtube.com/watch?v=HAcHtHP4AoM,UgyHiGO_ISMUUy8iBHd4AaABAg,@Missmarple1234,UCVpIEbRh3OBSZQBauYgYSdA,"The summer I turned pretty on prime, Ginny and Georgia on Netflix and OR3. The summer couldn’t possibly be any better! 💜",en,2025-04-25T21:57:10Z,2025-04-25 17:57:10,0,1,UgyHiGO_ISMUUy8iBHd4AaABAg.AHMAe6P3-VXAHMR5ej3o88,@cybill8816,UCQnm4bebelXeNP2G7-AhkMA,What's OR3,en,2025-04-26T00:20:53Z,2025-04-25 20:20:53,1,1815810,37006,1301,"Tue, 16 Dec 2025 17:36:18 GMT"
HAcHtHP4AoM,https://www.youtube.com/watch?v=HAcHtHP4AoM,UgwmTPuWBTTciiN5Gq54AaABAg,@BomboClat-x3j,UCImoj54YFpmZSvnyGpQW3Xg,Ginny gets a new bf 😨😨😨😨,en,2025-04-24T17:44:07Z,2025-04-24 13:44:07,0,1,UgwmTPuWBTTciiN5Gq54AaABAg.AHJ8treYuInAHKJ5vaNIQL,@dojasmokeweed3857,UCHyeVB5eN5h7pAZo5D6311Q,no lol thats marcus,en,2025-04-25T04:32:31Z,2025-04-25 00:32:31,0,1815810,37006,1301,"Tue, 16 Dec 2025 17:36:18 GMT"
HAcHtHP4AoM,https://www.youtube.com/watch?v=HAcHtHP4AoM,Ugynqs02N6W26Wo4i1V4AaABAg,@justagirl2288-u6c,UCUSXXfMJhUTnS6_nYgHLu2A,15 years later! we finally get season 3,NA,2025-04-23T23:03:32Z,2025-04-23 19:03:32,8,1,Ugynqs02N6W26Wo4i1V4AaABAg.AHH8eUPy5JuAIbKis25c-f,@sam_poetie8844,UCveYpJQacYhTkkgDiKpqQqQ,😩😩😩😩😩😩😩😩,ja,2025-05-27T01:04:27Z,2025-05-26 21:04:27,0,1815810,37006,1301,"Tue, 16 Dec 2025 17:36:18 GMT"
HAcHtHP4AoM,https://www.youtube.com/watch?v=HAcHtHP4AoM,UgwkwyhZt7KlqznqU_V4AaABAg,@kavyajoseph6005,UCnTKp6wup0RGRxn1leSk_sg,Who asked for this???,en,2025-04-23T07:49:57Z,2025-04-23 03:49:57,0,1,UgwkwyhZt7KlqznqU_V4AaABAg.AHFW6B9Oab3AHH-_LTBE3c,@VNexoV,UCNygH9TVrT8tOC53N5sa2_g,Me!,mi,2025-04-23T21:44:12Z,2025-04-23 17:44:12,0,1815810,37006,1301,"Tue, 16 Dec 2025 17:36:18 GMT"
HAcHtHP4AoM,https://www.youtube.com/watch?v=HAcHtHP4AoM,UgyFZOyW_2i8GEqTd0N4AaABAg,@CharlieBoy0901,UC96pFUHwaKg-Tbotx08lTgA,I really hope they focus on abby in this season too,en,2025-04-22T21:11:24Z,2025-04-22 17:11:24,18,2,UgyFZOyW_2i8GEqTd0N4AaABAg.AHEN1IhwqYXAHK2XNY5giJ,@anniewiggins718,UC0_cDK7b2nQyd4xcNTO4Q7A,YES and maybe some Pres character development?,en,2025-04-25T02:07:43Z,2025-04-24 22:07:43,1,1815810,37006,1301,"Tue, 16 Dec 2025 17:36:18 GMT"
HAcHtHP4AoM,https://www.youtube.com/watch?v=HAcHtHP4AoM,UgyFZOyW_2i8GEqTd0N4AaABAg,@CharlieBoy0901,UC96pFUHwaKg-Tbotx08lTgA,I really hope they focus on abby in this season too,en,2025-04-22T21:11:24Z,2025-04-22 17:11:24,18,2,UgyFZOyW_2i8GEqTd0N4AaABAg.AHEN1IhwqYXAHL8rdwiYSD,@CharlieBoy0901,UC96pFUHwaKg-Tbotx08lTgA,@ YES I don’t like press but I just want to see where they go,en,2025-04-25T12:22:18Z,2025-04-25 08:22:18,2,1815810,37006,1301,"Tue, 16 Dec 2025 17:36:18 GMT"
HAcHtHP4AoM,https://www.youtube.com/watch?v=HAcHtHP4AoM,UgzxMnwC8yOR4FNyQnR4AaABAg,@dooglive922,UCNAquMI-XuCBOYHV-JBTx-A,Terrible show,NA,2025-04-22T19:14:06Z,2025-04-22 15:14:06,0,1,UgzxMnwC8yOR4FNyQnR4AaABAg.AHE9b3Vpa1_AHH-coqGpvt,@VNexoV,UCNygH9TVrT8tOC53N5sa2_g,Then don't watch the trailer,en,2025-04-23T21:44:40Z,2025-04-23 17:44:40,0,1815810,37006,1301,"Tue, 16 Dec 2025 17:36:18 GMT"
HAcHtHP4AoM,https://www.youtube.com/watch?v=HAcHtHP4AoM,UgwK8sOt2tCsYYbJ1hN4AaABAg,@VictoriaA_09,UCpqVRnR-b9lpLd-8n2Xi3tw,"I watched the first 2 seasons last year, could someone please give me a recap?",en,2025-04-22T16:15:00Z,2025-04-22 12:15:00,0,2,UgwK8sOt2tCsYYbJ1hN4AaABAg.AHDq6QBGyAGAHF1sGbTc_H,@audrey-l5f,UCXc8GmxByAq9YdfV8WPw64g,"at the end of season 2, Georgia and Paul were getting married, despite her revealing her rocky past to him. Cordova, who had posed as Nick's boyfriend, was a private investigator who was investigating the death of Georgia's ex-husband Kenny. During Georgia and Paul's first dance, Georgia was arrested for the murder of Tom Fuller, and her son Austin had witnessed it, but whispered to himself, ""but I didn't tell anyone"". Also, around the time, Joe, the owner of blue farm, had been in love with Georgia, and Marcus and Ginny had recently broken up, although it seems that they both regret it.",en,2025-04-23T03:25:46Z,2025-04-22 23:25:46,1,1815810,37006,1301,"Tue, 16 Dec 2025 17:36:18 GMT"
