video_id,video_title,channel_id,channel_title,video_published_at,view_count,video_like_count,video_comment_count,comment_id,comment_parent_id,comment_author_display,comment_author_channel_id,comment_text,comment_lang,comment_published_utc,comment_published_local,comment_like_count,comment_reply_count
HF3NFXPcYRg,Troll 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-30T08:00:00Z,1103336,14642,1431,UgwcuCLXFWW3WrLBbsl4AaABAg,NA,@jamesbain6070,UCaQVS75rR_go2LutEitwBPA,Woke crap,NA,2025-12-14T21:34:31Z,2025-12-14 16:34:31,0,0
HF3NFXPcYRg,Troll 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-30T08:00:00Z,1103336,14642,1431,Ugxz60qjfDeO-t4cJKN4AaABAg,NA,@serdarkaraman2,UCHC8OhK7DAVQdjtbCu4mu3g,"A giant creature is attacking a city in the entire country of Norway, and they're only responding with two helicopters? How absurd! Later on, the entire army runs out of weapons? Two women are shooting at the giant, the soldiers are watching from afar :) A major becomes a pilot, another general, a colonel, nobody else is there. Classic story. The creature comes to life and wreaks havoc. Another creature appears, it's thought to be dead, then it reappears at the end of the film. Isn't the troll visible on the GPS satellite as it marches through the city? In the final battle, the soldiers are waiting for it like humans :) Why aren't there any jets firing? A huge giant invaded the city, didn't they run out of planes? There are so many illogical things. It's unbelievable. I didn't see any jets firing. I only saw two helicopters, that's all. No jets? It's huge Norway, but have they run out of planes? They said they ran out of ammunition at the end of the movie. What nonsense! If you see a giant at a party, do you take a picture or run away? There's so much nonsense here. Everyone's taking pictures. Saying how cute it is.",en,2025-12-14T18:58:07Z,2025-12-14 13:58:07,0,0
HF3NFXPcYRg,Troll 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-30T08:00:00Z,1103336,14642,1431,UgxPxncNH6m0Q8EI0AZ4AaABAg,NA,@Gkm-,UCON9o_ENNGJOxHv3p6DNrVQ,"The movie was hot garbage. Not that the first one was a masterpiece by any means, but it's still better than this mess of a film",en,2025-12-12T03:16:21Z,2025-12-11 22:16:21,1,0
HF3NFXPcYRg,Troll 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-30T08:00:00Z,1103336,14642,1431,Ugxke8sf3CRELFBsYIt4AaABAg,NA,@SkYadav-h6k,UC8htnIiSJO6UM4rqMnd4Ulg,"The movie was very good, I felt very sad when I saw it last..😢😢😢",NA,2025-12-11T22:39:16Z,2025-12-11 17:39:16,0,0
HF3NFXPcYRg,Troll 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-30T08:00:00Z,1103336,14642,1431,Ugw3D-vthvMoR6t5nCd4AaABAg,NA,@DangerousParent,UCIxm0pu0N64lMTgBDa8O30g,"What's-her-name tells Elliot in the bell tower, ""Everyone loves a good sequel,"" the operative word being ""Good.""",en,2025-12-10T02:40:35Z,2025-12-09 21:40:35,0,0
HF3NFXPcYRg,Troll 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-30T08:00:00Z,1103336,14642,1431,UgwI4JsFx8ZMMAG5Cct4AaABAg,NA,@BooBooMcgoo,UCvQNdCU9izBr34NoxVE5VQA,"There are two Muslim characters in this movie, Allah is mentioned twice in the movie….. they are trying to convert us all to Muslims. We need to be careful of the muslamic infidel",en,2025-12-08T18:13:19Z,2025-12-08 13:13:19,0,0
HF3NFXPcYRg,Troll 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-30T08:00:00Z,1103336,14642,1431,Ugz03qXqM3kS_6t5znl4AaABAg,NA,@LeluPereira-fd9hx,UCeb2Vvq2ZwtG-szCfNRUeMQ,Stupid movie not worth watching.. the first one was good... part 2 crap,en,2025-12-05T17:11:49Z,2025-12-05 12:11:49,0,0
HF3NFXPcYRg,Troll 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-30T08:00:00Z,1103336,14642,1431,Ugyy40Vydc4CLtXmJMx4AaABAg,NA,@sandmansimms5704,UCocQzvKTicCDog4B66qAxdA,Why the heck is it not in English smh.......,en,2025-12-04T05:07:21Z,2025-12-04 00:07:21,0,0
HF3NFXPcYRg,Troll 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-30T08:00:00Z,1103336,14642,1431,UgzYQAHh1xqAL8z-k3F4AaABAg,NA,@maja2209,UCx4KiVG7WkVM8P62RhZ6J2Q,"Lipa, szmira, tandeta. Reżyser nie miał swojego pomysłu i połaczył sceny ze znanych filmów. Szkoda mojego i Waszego czasu na tą chałę",pl,2025-12-02T23:29:27Z,2025-12-02 18:29:27,0,0
HF3NFXPcYRg,Troll 2 | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-30T08:00:00Z,1103336,14642,1431,Ugx4v61vevSrxCR7WmZ4AaABAg,NA,@DarthMiku6565,UC0jIofXxijjXEL_Yzg-LfBw,The movie is kinda ok,et,2025-12-02T13:59:29Z,2025-12-02 08:59:29,0,0
