video_id,video_title,channel_id,channel_title,video_published_at,view_count,video_like_count,video_comment_count,comment_id,comment_parent_id,comment_author_display,comment_author_channel_id,comment_text,comment_lang,comment_published_utc,comment_published_local,comment_like_count,comment_reply_count
I8GbcVkqZwQ,Jay Kelly | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-29T12:00:00Z,3887369,28939,1565,UgzzcJR1-uv1L4T8-c54AaABAg,NA,@Maikel1500,UCVd-k6BsM4zWG_ruGlqrxQQ,shit another nespresso commercial,en,2025-12-15T21:19:35Z,2025-12-15 16:19:35,0,0
I8GbcVkqZwQ,Jay Kelly | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-29T12:00:00Z,3887369,28939,1565,UgyZGGbCTdBM3EJgipB4AaABAg,NA,@AlbertTrinidad-k7y4x,UCAxQavviRg3MNNCc_BeIDwg,I foresee another Clooney flop.,en,2025-12-15T19:28:47Z,2025-12-15 14:28:47,0,0
I8GbcVkqZwQ,Jay Kelly | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-29T12:00:00Z,3887369,28939,1565,Ugy-bSWchWPTkElN5Xh4AaABAg,NA,@-es2bf,UCOsbWIBwpqXcjbRmkmrCnpw,"One of the worst movies I've ever watched 20% of.
Wannabe pseudo intellectualism combined with a thick american accent.
Can't get any worse than this.",en,2025-12-15T17:28:24Z,2025-12-15 12:28:24,2,0
I8GbcVkqZwQ,Jay Kelly | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-29T12:00:00Z,3887369,28939,1565,UgwRC2mUq4jTSqAZDxV4AaABAg,NA,@frempy4426,UC4Gx3aO53vtBshy7jULw0zA,This movie borrows so much from Bojack Horseman that they also borrowed the season three finale song for the trailer lol,en,2025-12-15T05:24:12Z,2025-12-15 00:24:12,0,0
I8GbcVkqZwQ,Jay Kelly | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-29T12:00:00Z,3887369,28939,1565,Ugy1kFvtMRQsviuz_QB4AaABAg,NA,@pnr2736,UCsEjs7pXGStVzrDiq8xjoUw,Yoo,jv,2025-12-15T03:13:05Z,2025-12-14 22:13:05,1,0
I8GbcVkqZwQ,Jay Kelly | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-29T12:00:00Z,3887369,28939,1565,UgzXqY2UnNkQoFvlKm54AaABAg,NA,@khann2159,UCSCvdKIyNKVPnGDwMREZx_A,"Just watched it with my mother. Amazing , flawless movie, just had a lot of fun watching it",en,2025-12-14T22:15:31Z,2025-12-14 17:15:31,0,0
I8GbcVkqZwQ,Jay Kelly | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-29T12:00:00Z,3887369,28939,1565,UgwJa9wmWqwSaiBwdnl4AaABAg,NA,@siobhan6489,UC0JJM1w2iTQJ9X8EZbm_bBA,"Just watcing this, halfway through, does anyone else find it boring? Im about to switch it off 🥱🥱",en,2025-12-14T20:16:49Z,2025-12-14 15:16:49,2,2
I8GbcVkqZwQ,Jay Kelly | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-29T12:00:00Z,3887369,28939,1565,Ugxil1_gjXM-oULkOv54AaABAg,NA,@onair6652,UCa-QetDNJGukMVFNMTRRZTA,Skip,bg-Latn,2025-12-14T16:33:45Z,2025-12-14 11:33:45,0,0
I8GbcVkqZwQ,Jay Kelly | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-29T12:00:00Z,3887369,28939,1565,Ugx-ycD6TcYfThLvXT14AaABAg,NA,@georgyporgy01,UC9eWl2bwtYD6hb1PkbdVEpQ,"I would never believe that so many movie stars (good movie stars ) can make such a bad movie.
Even my TV set fell to hibernation.
Not to tell that Adam's acting is like his under heavy medication....",en,2025-12-14T14:41:33Z,2025-12-14 09:41:33,1,0
I8GbcVkqZwQ,Jay Kelly | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-29T12:00:00Z,3887369,28939,1565,UgzZI62B2FaW8CfeHEx4AaABAg,NA,@Thecableguy7,UCmpJ1oOo1unG_7_LVLUBd0Q,George clooney is still a damn stud,NA,2025-12-14T09:09:12Z,2025-12-14 04:09:12,0,0
I8GbcVkqZwQ,Jay Kelly | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-29T12:00:00Z,3887369,28939,1565,Ugyyi4AIUYAp22vYGhl4AaABAg,NA,@TheFooleryFactory,UCanwjRumHlH2KUd16Bwbokg,"Dear G@d. Lol! The title's brilliant. Cast is impeccable. Now, What is my second cousin's Netflix password again?",NA,2025-12-14T05:13:22Z,2025-12-14 00:13:22,0,0
I8GbcVkqZwQ,Jay Kelly | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-29T12:00:00Z,3887369,28939,1565,UgwcO3lYXWbWYbHkO5x4AaABAg,NA,@whith-n7n,UC4bxCcd2RyU9DfOKQ3XUwtg,"Make jaywalking illegal again WTF! Now it's not the judges but the legislature, at least california i guess oh the diversity. Virginia, nevada, nyc, kansas city, denver, of course.",en,2025-12-14T03:26:03Z,2025-12-13 22:26:03,0,0
I8GbcVkqZwQ,Jay Kelly | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-29T12:00:00Z,3887369,28939,1565,UgzaWKb3o6dmMnf69Ot4AaABAg,NA,@conservativeneurologyb4999,UCH9wbutZgY1MinipxnIXyuQ,"Netflix yay2025....made my subscription worth it for sure!....and I love this film featuring Mr. George Clooney, ... and it was nice to also see Mr. Adam Sandler in a totally different role,- sans the baggy, frumpy track suits- and featured in this film looking quite spiffy wearing hard sole shoes and actual good fitting clothes yay2.",en,2025-12-13T15:46:35Z,2025-12-13 10:46:35,1,0
I8GbcVkqZwQ,Jay Kelly | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-29T12:00:00Z,3887369,28939,1565,UgyjmRCA68wWlnFjAqN4AaABAg,NA,@Lebowski333,UCF-h_Tjva0gWJMZFXo9gV8g,Boring. Pretentious. Clearly written by a girl or a girly guy,en,2025-12-13T07:43:15Z,2025-12-13 02:43:15,0,1
I8GbcVkqZwQ,Jay Kelly | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-29T12:00:00Z,3887369,28939,1565,Ugyf8_LE3tp1teARRIt4AaABAg,NA,@raicebannon1936,UCwny7-qGtzKUFwfm8vLFZ3Q,"It seems that the message is : me, me, me.  Would not spend money on it. Why can’t Hollywood produce an interesting script?",en,2025-12-12T22:06:58Z,2025-12-12 17:06:58,0,0
I8GbcVkqZwQ,Jay Kelly | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-29T12:00:00Z,3887369,28939,1565,UgxU6XcIB8UzsSTCH5N4AaABAg,NA,@my5cents4u,UCVCylZt9NdQsT8KPIy7cj9g,ZZZZzzzzzzzzzzz..........................!,el-Latn,2025-12-12T21:39:25Z,2025-12-12 16:39:25,0,0
I8GbcVkqZwQ,Jay Kelly | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-29T12:00:00Z,3887369,28939,1565,Ugy1-KsWNF8aWI4OHo54AaABAg,NA,@Youtubeguy7788,UCH79igv1SR3uLEhzbk5JdLQ,This movie was awful - couldn’t even finish it,en,2025-12-12T18:45:53Z,2025-12-12 13:45:53,2,0
I8GbcVkqZwQ,Jay Kelly | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-29T12:00:00Z,3887369,28939,1565,UgyYAr2WzgjgKOAkhwF4AaABAg,NA,@linkbizkit6865,UCIr4Ka-hGvFUMaZc2az78Uw,"Why did ""Gene Kelly"" pop up in my head the 1st time seeing this?",en,2025-12-12T17:00:34Z,2025-12-12 12:00:34,0,0
I8GbcVkqZwQ,Jay Kelly | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-29T12:00:00Z,3887369,28939,1565,Ugy9rpBNBaC9cIQQ_h94AaABAg,NA,@Ahmedeooo,UCRhiDdUbs5zgnLgZkRZAufA,The scene at the end was something we didn’t expect and it really makes you feel the same way everyone in the room was feeling,en,2025-12-12T16:36:33Z,2025-12-12 11:36:33,1,0
