video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
I9rnIxBjy4I,FOREVER | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-30T16:00:00Z,Ugxo25pVebgBehfleyp4AaABAg.AI2ABiJWfQ9AIAIFrI0TRD,Ugxo25pVebgBehfleyp4AaABAg,@c.rystallll,UC3SEwhqqFxexYzCpyOgruLw,swagger,en,2025-05-16T03:44:08Z,2025-05-15 23:44:08,1
I9rnIxBjy4I,FOREVER | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-30T16:00:00Z,UgwTU9Bi26-9i71lMLN4AaABAg.AHwkNQZwBPFAI3eR7SvJAU,UgwTU9Bi26-9i71lMLN4AaABAg,@MorganAlexis,UCBRej96UAW6o21KxFxgAEYw,The girl in this show isn’t mixed or racially ambiguous,en,2025-05-13T13:51:58Z,2025-05-13 09:51:58,4
I9rnIxBjy4I,FOREVER | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-30T16:00:00Z,UgymBnG0kjV3nCKEWAB4AaABAg.AGmUTNrlP2EAI1lXHQ6--I,UgymBnG0kjV3nCKEWAB4AaABAg,@SB_LBC,UC7_qPcg43YZgzle8zpuDuVw,lol who hurt u,mt,2025-05-12T20:15:29Z,2025-05-12 16:15:29,1
I9rnIxBjy4I,FOREVER | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-30T16:00:00Z,UgxuWKl_cfRf__TEBFR4AaABAg.AGOXkVKe_ROAGhKoaMxyJa,UgxuWKl_cfRf__TEBFR4AaABAg,@londonlocario6091,UCmexNicyYjFBbAZqsu5-iNg,"I googled it, May 8, 2025",mg,2025-04-09T15:57:53Z,2025-04-09 11:57:53,0
I9rnIxBjy4I,FOREVER | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-30T16:00:00Z,UgyhME1Exr7pn-ZnYuN4AaABAg.AGKBPul5s-iAGa1eRNKR7_,UgyhME1Exr7pn-ZnYuN4AaABAg,@patrickkumi,UCLGV4l-rwad2FPZcT-TSsqw,You people re so obsessed with gays. Get a job. 🙄,en,2025-04-06T19:55:47Z,2025-04-06 15:55:47,0
I9rnIxBjy4I,FOREVER | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-30T16:00:00Z,Ugzfpbl69m9yLJQn8eh4AaABAg.AGGal9zMNIxAGa1gYbo1kL,Ugzfpbl69m9yLJQn8eh4AaABAg,@patrickkumi,UCLGV4l-rwad2FPZcT-TSsqw,You people are so obsessed with gays. Get a JOB. 🙄,en,2025-04-06T19:56:04Z,2025-04-06 15:56:04,0
I9rnIxBjy4I,FOREVER | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-30T16:00:00Z,UgwO7OxmIDwCWPVGYTd4AaABAg.AF0SIehtnM8AF0brmuoWpX,UgwO7OxmIDwCWPVGYTd4AaABAg,@AbbyKefle,UCcfm0UXzt6oc5lSYW5S1_2A,!!!!!!!!!!,ja,2025-02-26T19:57:37Z,2025-02-26 14:57:37,1
I9rnIxBjy4I,FOREVER | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-30T16:00:00Z,UgwO7OxmIDwCWPVGYTd4AaABAg.AF0SIehtnM8AFVpH1Shuyx,UgwO7OxmIDwCWPVGYTd4AaABAg,@lightskintube2693,UCAy3W7Wwc8MgkSt5tJ5o40A,May 8,fil,2025-03-10T22:51:15Z,2025-03-10 18:51:15,1
I9rnIxBjy4I,FOREVER | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-30T16:00:00Z,UgwO7OxmIDwCWPVGYTd4AaABAg.AF0SIehtnM8AFVv7DfKHws,UgwO7OxmIDwCWPVGYTd4AaABAg,@behroozshahdaftar4209,UCblyD4yjVQO09Bz-2Yfa_iQ,@ Thank you. Looking forward.,NA,2025-03-10T23:42:21Z,2025-03-10 19:42:21,0
I9rnIxBjy4I,FOREVER | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-30T16:00:00Z,Ugxd-NEtsAOuYdy83wd4AaABAg.AEpjRA5-WJ-AFaggmvtShg,Ugxd-NEtsAOuYdy83wd4AaABAg,@k3369-1,UC72Ox-c-4HpLT3THWRyxmoQ,They live in the suburbs,en,2025-03-13T05:31:43Z,2025-03-13 01:31:43,0
