video_id,video_title,channel_id,channel_title,video_published_at,view_count,video_like_count,video_comment_count,comment_id,comment_parent_id,comment_author_display,comment_author_channel_id,comment_text,comment_lang,comment_published_utc,comment_published_local,comment_like_count,comment_reply_count
Ii29Gvno1Mo,Apocalypse in the Tropics | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-30T16:30:00Z,403830,9654,1247,UgxkCH5bonRPz2_p-cl4AaABAg,NA,@DRUIMAINICH,UCDtvSnzSgXv91JdJRzK9aAw,"There is nothing religious about this evangelical mafia that has taken over Brazil in the last 50 years. It is a plan long hatched by the CIA and the American government, supported by Freemasonry, to dominate Brazil through religious fanaticism of various Protestant sects. The objective is to make Brazil a nation totally subservient to the USA and to combat the Catholic Church, since a considerable part of the church is linked to leftist ideas. Absolute evil.",en,2025-12-14T18:58:33Z,2025-12-14 13:58:33,0,0
Ii29Gvno1Mo,Apocalypse in the Tropics | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-30T16:30:00Z,403830,9654,1247,UgzsjvTnP203CDGrzaF4AaABAg,NA,@kind1st,UC3_DQibciz4eoWiLkDDjzrw,Las Religiones Abrahamicas Son La Escoria de Nuestra Humanidad Comun.,es,2025-12-09T17:33:38Z,2025-12-09 12:33:38,0,0
Ii29Gvno1Mo,Apocalypse in the Tropics | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-30T16:30:00Z,403830,9654,1247,Ugwz3Qku-ZQNIqGvpsB4AaABAg,NA,@christianesmith6622,UCD05SqAoHgQNnm4WGS2NIIA,Extreme left wing Rubbish,en,2025-10-17T23:08:37Z,2025-10-17 19:08:37,1,0
Ii29Gvno1Mo,Apocalypse in the Tropics | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-30T16:30:00Z,403830,9654,1247,UgzvsUqzEPT4oDDQE794AaABAg,NA,@usbok8214,UCUXjE9GtBnnAhyQeslmLH2w,Communism is pure evil,NA,2025-10-14T07:53:09Z,2025-10-14 03:53:09,1,0
Ii29Gvno1Mo,Apocalypse in the Tropics | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-30T16:30:00Z,403830,9654,1247,UgwNMQps-0Lv-eQEiAl4AaABAg,NA,@albertoalmeida3424,UCfCgPUxQZyMxi2PNzTcpavQ,This doc is leftist propaganda.,NA,2025-10-09T16:19:27Z,2025-10-09 12:19:27,2,0
Ii29Gvno1Mo,Apocalypse in the Tropics | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-30T16:30:00Z,403830,9654,1247,UgwcnFr58Zm4lvuYbTN4AaABAg,NA,@erre-p6o,UCIxtjY2fOJ0StVlklt3EKoQ,"Social engineering, CIA buzzword democracy.  Elites are afraid of a united public in Brazil,",NA,2025-10-08T23:25:44Z,2025-10-08 19:25:44,1,0
Ii29Gvno1Mo,Apocalypse in the Tropics | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-30T16:30:00Z,403830,9654,1247,UgzF2YQEUD8GVhlHER14AaABAg,NA,@PG-tc6os,UCMy1xN8kZ8YaH58Sw2RyJug,The pastor is MF asshol# what piece of crap 😂😂😂,en,2025-10-01T20:53:41Z,2025-10-01 16:53:41,0,0
Ii29Gvno1Mo,Apocalypse in the Tropics | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-30T16:30:00Z,403830,9654,1247,Ugw65DYnECRFEuW8EGR4AaABAg,NA,@psj4689,UCdKL3LbBhJOtVR3gAA3zojw,"The mainstream South Korean people and government, who love democracy, wholeheartedly support the Lula government in Brazil.",en,2025-09-16T00:53:45Z,2025-09-15 20:53:45,1,0
Ii29Gvno1Mo,Apocalypse in the Tropics | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-30T16:30:00Z,403830,9654,1247,UgyTy_4aV1fVqDNph4p4AaABAg,NA,@xingmenneigong,UC_7JgRNJzEE8RGQ7jBThokA,"Between the Church, the State and the Banks, they OWN you",en,2025-09-14T06:10:45Z,2025-09-14 02:10:45,0,0
Ii29Gvno1Mo,Apocalypse in the Tropics | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-30T16:30:00Z,403830,9654,1247,Ugzmz4tWKiOHbPrvw_Z4AaABAg,NA,@mark_sugar42,UC27KDBAEZYO8_b5T6kiTkUw,Some people use religion to sway masses to follow them. We must resist those fake leaders.,en,2025-09-10T13:58:24Z,2025-09-10 09:58:24,0,0
