video_id,video_url,comment_id,comment_author_display,comment_author_channel_id,comment_content,comment_lang,comment_time_utc,comment_time_local,comment_like_count,comment_reply_count,reply_id,reply_author_display,reply_author_channel_id,reply_content,reply_lang,reply_time_utc,reply_time_local,reply_like_count,view_count,like_count,comment_count,crawl_time
LAM63Dj3XBQ,https://www.youtube.com/watch?v=LAM63Dj3XBQ,Ugw26oYIl2wG458mcF54AaABAg,@guillermomoreno1031,UCLde7PNzjKd3wIwH6IYMUwA,"It is a very good production, from the beginning to the end, I recommend it.",en,2025-10-19T18:15:17Z,2025-10-19 14:15:17,1,2,Ugw26oYIl2wG458mcF54AaABAg.AOTXxsFUVlTAOeOwL0WfuU,@MuhammadLisanaShideqin-s6m,UC2iePtKK9BgobZ-3-cbFwjQ,Bull-S***,no,2025-10-24T08:47:19Z,2025-10-24 04:47:19,0,644821,22064,2253,"Tue, 16 Dec 2025 12:42:34 GMT"
LAM63Dj3XBQ,https://www.youtube.com/watch?v=LAM63Dj3XBQ,Ugw26oYIl2wG458mcF54AaABAg,@guillermomoreno1031,UCLde7PNzjKd3wIwH6IYMUwA,"It is a very good production, from the beginning to the end, I recommend it.",en,2025-10-19T18:15:17Z,2025-10-19 14:15:17,1,2,Ugw26oYIl2wG458mcF54AaABAg.AOTXxsFUVlTAOkKWd8axC8,@jaxthedisintegrator8096,UCBoHe3gAHYHYNXYA_wpi3wg,"Same...
Trailer sucks so I wasn't interested and it turned out really good 🤩.
Season 2 already confirmed",en,2025-10-26T16:04:10Z,2025-10-26 12:04:10,0,644821,22064,2253,"Tue, 16 Dec 2025 12:42:34 GMT"
LAM63Dj3XBQ,https://www.youtube.com/watch?v=LAM63Dj3XBQ,Ugz4t9qioCp5r3T115J4AaABAg,@Ivuk7,UCfugUauB8C5yUhkoqLwF5Ng,"I played all games with Sam and I really liked this series. If you watched it too, please tell what you like and dislike. Best regards to all Splinter Cell fans from Poland ;)",en,2025-10-19T08:24:10Z,2025-10-19 04:24:10,0,1,Ugz4t9qioCp5r3T115J4AaABAg.AOSUJNtgNsQAOkL76LRLb8,@jaxthedisintegrator8096,UCBoHe3gAHYHYNXYA_wpi3wg,"What I loved...
The Dark tone, especially in the lasts episodes (no spoil).
Bad ass old Sam Fisher.
The young Splinter Cell agent student teacher relationship with Sam.

What I disliked...
Took time to get into it, mostly with the villains (to understand what kind of threat they were).

Not more info on Sam (Where's his daughter now ?).
Not necessary informations but still would have loved to see more.

Overall; very good 👍",en,2025-10-26T16:09:25Z,2025-10-26 12:09:25,0,644821,22064,2253,"Tue, 16 Dec 2025 12:42:34 GMT"
LAM63Dj3XBQ,https://www.youtube.com/watch?v=LAM63Dj3XBQ,UgzEWNSyhgCD-4ib9u14AaABAg,@alexduval1059,UCLsxc4F0yxLdiyrGmqA3xYA,"taking a franchies and ruining it vibes by adapting it for a wider audience and making it worst for that.. Alienating the actuals base fan clashing with nostalgia it's not loyal to the source. then attracting a new audience that don't really care about the authenticity and then wonder why the kids that grow up playing splinter cell on the first Xbox don't like the series netflix make, it's because it wasn't made for them. that's the pattern some recognize about netflix and disney alike.",en,2025-10-17T08:52:09Z,2025-10-17 04:52:09,0,1,UgzEWNSyhgCD-4ib9u14AaABAg.AONNvbEsuqnAOePABwPKCb,@MuhammadLisanaShideqin-s6m,UC2iePtKK9BgobZ-3-cbFwjQ,"Nah they wont learn, who says woke can read. Or learn.
The Jaguar Ads 'Accident' is a big sign and proof. And yet... here we are... another victim.",en,2025-10-24T08:49:21Z,2025-10-24 04:49:21,0,644821,22064,2253,"Tue, 16 Dec 2025 12:42:34 GMT"
LAM63Dj3XBQ,https://www.youtube.com/watch?v=LAM63Dj3XBQ,Ugwfez19CbQZuz1pnIJ4AaABAg,@darksouls1023,UCZVg0cvV5HthptoqL5exIog,i watched 15 seconds of the show and it absolutely blows,en,2025-10-16T12:29:06Z,2025-10-16 08:29:06,1,1,Ugwfez19CbQZuz1pnIJ4AaABAg.AOLBxfM0xzMAONjUdrfkjU,@jaxthedisintegrator8096,UCBoHe3gAHYHYNXYA_wpi3wg,"No spoilers but I was surprised at the ending 😧.
Reminded me of the tough decisions I had to make in Double Agent 😌.",en,2025-10-17T12:09:19Z,2025-10-17 08:09:19,0,644821,22064,2253,"Tue, 16 Dec 2025 12:42:34 GMT"
LAM63Dj3XBQ,https://www.youtube.com/watch?v=LAM63Dj3XBQ,UgyOtI0BN2Zk75VF0BN4AaABAg,@showingYOUtheworld,UCO_zaFp0pLLDNX6k5Lj9YfQ,"I started watching Splinter Cell and as soon as I saw the main character - 
a woman and black 
I stopped watching ! Honestly, feminist black propaganda is too much for me 👎👎👎",en,2025-10-15T18:03:18Z,2025-10-15 14:03:18,4,2,UgyOtI0BN2Zk75VF0BN4AaABAg.AOJDPT7pOF1AOTpKw5qGWM,@jackbauer5455,UClCuKfF2OxaD0Gu2KPc8lqQ,What are you on about the main character is stillSam Fisher.,en,2025-10-19T20:55:51Z,2025-10-19 16:55:51,0,644821,22064,2253,"Tue, 16 Dec 2025 12:42:34 GMT"
LAM63Dj3XBQ,https://www.youtube.com/watch?v=LAM63Dj3XBQ,UgyOtI0BN2Zk75VF0BN4AaABAg,@showingYOUtheworld,UCO_zaFp0pLLDNX6k5Lj9YfQ,"I started watching Splinter Cell and as soon as I saw the main character - 
a woman and black 
I stopped watching ! Honestly, feminist black propaganda is too much for me 👎👎👎",en,2025-10-15T18:03:18Z,2025-10-15 14:03:18,4,2,UgyOtI0BN2Zk75VF0BN4AaABAg.AOJDPT7pOF1AOkLPYOMrjt,@jaxthedisintegrator8096,UCBoHe3gAHYHYNXYA_wpi3wg,"​@jackbauer5455Anti woke people are Allergic to women and people of color so...
Even if she's not the main character, just the sight of her make them Crazy",en,2025-10-26T16:11:56Z,2025-10-26 12:11:56,0,644821,22064,2253,"Tue, 16 Dec 2025 12:42:34 GMT"
LAM63Dj3XBQ,https://www.youtube.com/watch?v=LAM63Dj3XBQ,UgyNMHedUvQbAbgJrx14AaABAg,@henz300,UCgr6Chn0u69DDMoZRuBL3Vw,Why cartoon? Why?😭😭😭 We need live action movie wtf,en,2025-10-15T07:18:58Z,2025-10-15 03:18:58,0,1,UgyNMHedUvQbAbgJrx14AaABAg.AOI3fK_iNvvAONjcj4a9Zn,@jaxthedisintegrator8096,UCBoHe3gAHYHYNXYA_wpi3wg,"Tbh I don't see someone playing Sam without me complaining Lol.
So I'm okay with that 😂",en,2025-10-17T12:10:33Z,2025-10-17 08:10:33,0,644821,22064,2253,"Tue, 16 Dec 2025 12:42:34 GMT"
LAM63Dj3XBQ,https://www.youtube.com/watch?v=LAM63Dj3XBQ,UgwvOHFS2rI15W6jwPJ4AaABAg,@marcwelch203,UCcFJLl_uLkdunDOzYZm-2rg,"Should be called 

Splinter Cell-out: Don'twatch",en,2025-10-14T16:06:38Z,2025-10-14 12:06:38,11,1,UgwvOHFS2rI15W6jwPJ4AaABAg.AOGRGHStHL5AQkxoKYGCL-,@bloodwarrior314,UC8273aCeu07tzBrR8mHggcw,"""our little comedian"" 🥀",en,2025-12-15T14:59:02Z,2025-12-15 09:59:02,0,644821,22064,2253,"Tue, 16 Dec 2025 12:42:34 GMT"
LAM63Dj3XBQ,https://www.youtube.com/watch?v=LAM63Dj3XBQ,UgxO2Dd_TQANhwtLRd14AaABAg,@n20sqrl,UCEp4BB_0-FhUCRucn0taeKg,"""I'll have a male protagonist from an old series gets replaced. By a woman. Who is dark skinned""

Squidward: ""Daring today, aren't we?""",en,2025-09-26T18:34:54Z,2025-09-26 14:34:54,1,3,UgxO2Dd_TQANhwtLRd14AaABAg.ANYLvM_-ON_ANYM7-BV1Iy,@n20sqrl,UCEp4BB_0-FhUCRucn0taeKg,And make her a lesbian girlboss.,lb,2025-09-26T18:36:37Z,2025-09-26 14:36:37,1,644821,22064,2253,"Tue, 16 Dec 2025 12:42:34 GMT"
LAM63Dj3XBQ,https://www.youtube.com/watch?v=LAM63Dj3XBQ,UgxO2Dd_TQANhwtLRd14AaABAg,@n20sqrl,UCEp4BB_0-FhUCRucn0taeKg,"""I'll have a male protagonist from an old series gets replaced. By a woman. Who is dark skinned""

Squidward: ""Daring today, aren't we?""",en,2025-09-26T18:34:54Z,2025-09-26 14:34:54,1,3,UgxO2Dd_TQANhwtLRd14AaABAg.ANYLvM_-ON_ANYM7mPkY0-,@n20sqrl,UCEp4BB_0-FhUCRucn0taeKg,"And make all the white men fools, villains, or subordinate to women.",en,2025-09-26T18:36:44Z,2025-09-26 14:36:44,1,644821,22064,2253,"Tue, 16 Dec 2025 12:42:34 GMT"
LAM63Dj3XBQ,https://www.youtube.com/watch?v=LAM63Dj3XBQ,UgxO2Dd_TQANhwtLRd14AaABAg,@n20sqrl,UCEp4BB_0-FhUCRucn0taeKg,"""I'll have a male protagonist from an old series gets replaced. By a woman. Who is dark skinned""

Squidward: ""Daring today, aren't we?""",en,2025-09-26T18:34:54Z,2025-09-26 14:34:54,1,3,UgxO2Dd_TQANhwtLRd14AaABAg.ANYLvM_-ON_ANi5Rzt7K9v,@Oriental-lg9pb,UCvvHbGDER_5nSop2KuTHnxQ,"@n20sqrl  only minorities can be portrayed as fools and villains, am i rite",en,2025-09-30T22:42:35Z,2025-09-30 18:42:35,0,644821,22064,2253,"Tue, 16 Dec 2025 12:42:34 GMT"
LAM63Dj3XBQ,https://www.youtube.com/watch?v=LAM63Dj3XBQ,Ugx8Npu3u4dbojIaJbx4AaABAg,@crustman5982,UCh3JrcUPdtn6-n63hIkq8Zw,"At this point they have to be doing this purpose right? There’s two options here.

1 it’s genuine incompetence and maybe nepotism.

2 it’s active malicious intent to ruin things people like.

Maybe Michael Ironsides saw the script and bowed out lol",en,2025-09-23T00:58:30Z,2025-09-22 20:58:30,4,1,Ugx8Npu3u4dbojIaJbx4AaABAg.ANOjdV5ph5sAPvCQcNGMer,@SunsetAssassin,UCRUlABiQvxoUsjDnSr9tWvw,It's always number 2 with some people in these projects falling under number 1.,en,2025-11-24T17:56:29Z,2025-11-24 12:56:29,2,644821,22064,2253,"Tue, 16 Dec 2025 12:42:34 GMT"
LAM63Dj3XBQ,https://www.youtube.com/watch?v=LAM63Dj3XBQ,UgzsA3Qz3uAQmIlYdbF4AaABAg,@erude13,UCB5INrBUO6GErp9nRJqcRWw,Pattern recognition engaged.,en,2025-09-21T19:29:16Z,2025-09-21 15:29:16,115,4,UgzsA3Qz3uAQmIlYdbF4AaABAg.ANL_AGGsn4kANZjQObJGds,@notabryan3937,UC7Le0188NAFy0SwaxQoB1Ig,What pattern,NA,2025-09-27T07:28:13Z,2025-09-27 03:28:13,2,644821,22064,2253,"Tue, 16 Dec 2025 12:42:34 GMT"
LAM63Dj3XBQ,https://www.youtube.com/watch?v=LAM63Dj3XBQ,UgzsA3Qz3uAQmIlYdbF4AaABAg,@erude13,UCB5INrBUO6GErp9nRJqcRWw,Pattern recognition engaged.,en,2025-09-21T19:29:16Z,2025-09-21 15:29:16,115,4,UgzsA3Qz3uAQmIlYdbF4AaABAg.ANL_AGGsn4kAOHZt66em5l,@twentytwo138,UCiBjufaZUICZnS70xN75a9g,@notabryan3937 Ruining the vibe with hip hop,en,2025-10-15T02:41:13Z,2025-10-14 22:41:13,3,644821,22064,2253,"Tue, 16 Dec 2025 12:42:34 GMT"
LAM63Dj3XBQ,https://www.youtube.com/watch?v=LAM63Dj3XBQ,UgzsA3Qz3uAQmIlYdbF4AaABAg,@erude13,UCB5INrBUO6GErp9nRJqcRWw,Pattern recognition engaged.,en,2025-09-21T19:29:16Z,2025-09-21 15:29:16,115,4,UgzsA3Qz3uAQmIlYdbF4AaABAg.ANL_AGGsn4kAONNnU_Ucwz,@alexduval1059,UCLsxc4F0yxLdiyrGmqA3xYA,"@notabryan3937 taking a franchies and ruining it vibes by adapting it for a wider audience and making it worst for that.. Alienating the actuals base fan clashing with nostalgia it's not loyal to the source. then attracting a new audience that don't really care about the authenticity and then wonder why the kids that grow up playing splinter cell on the first Xbox don't like the series netflix make, it's because it wasn't made for them. that's the pattern some recognize about netflix and disney alike.",en,2025-10-17T08:51:03Z,2025-10-17 04:51:03,7,644821,22064,2253,"Tue, 16 Dec 2025 12:42:34 GMT"
LAM63Dj3XBQ,https://www.youtube.com/watch?v=LAM63Dj3XBQ,UgzsA3Qz3uAQmIlYdbF4AaABAg,@erude13,UCB5INrBUO6GErp9nRJqcRWw,Pattern recognition engaged.,en,2025-09-21T19:29:16Z,2025-09-21 15:29:16,115,4,UgzsA3Qz3uAQmIlYdbF4AaABAg.ANL_AGGsn4kAONcjwCFFbM,@jaxthedisintegrator8096,UCBoHe3gAHYHYNXYA_wpi3wg,"​@notabryan3937They hate women and minorities, especially black people and LGBTQ people.
And as the trailer features a black woman (a combo of what they hate) they look for a reason to hate it without watching it 🤷‍♂️...
Those comments like that are mostly from the USA, they are in a deep crisis right now.",en,2025-10-17T11:10:22Z,2025-10-17 07:10:22,0,644821,22064,2253,"Tue, 16 Dec 2025 12:42:34 GMT"
LAM63Dj3XBQ,https://www.youtube.com/watch?v=LAM63Dj3XBQ,UgxH_UfTKXORlBUEMBd4AaABAg,@soluna2252,UCpaH68VnO1lx9TwuaYJh89w,DEI HAS INFILTRADED THE BASE,en,2025-09-21T19:24:50Z,2025-09-21 15:24:50,66,1,UgxH_UfTKXORlBUEMBd4AaABAg.ANLZelCylZTAOTBuSFsNkX,@joshuahigbie667,UCNUKv2jptRlQR0GI6fDUvVQ,We’ll keep a close eye on her inside our fourth echelon! Seeings how our branches are back to don’t ask don’t tell policies 😉,en,2025-10-19T15:02:35Z,2025-10-19 11:02:35,0,644821,22064,2253,"Tue, 16 Dec 2025 12:42:34 GMT"
LAM63Dj3XBQ,https://www.youtube.com/watch?v=LAM63Dj3XBQ,UgwmfKpLsMOMLaBILBl4AaABAg,@DerekDumas,UChu6XzP6GEwXqa8mEWclm6Q,"So happy I canceled Netflix. Creator of the show said quote the show is cannon to the game. And that they are ""Ripping the spine out of the source material"".",en,2025-09-19T18:18:17Z,2025-09-19 14:18:17,101,4,UgwmfKpLsMOMLaBILBl4AaABAg.ANGIScO9AwTANGJOmiOomG,@DerekDumas,UChu6XzP6GEwXqa8mEWclm6Q,Splinter Cell was created in UbiSoft's golden age. they are now in their rusting and breaking down edge. The one where they destroy everything everyone likes and tells us we have to like it. Ubisoft is a post mortem company.,en,2025-09-19T18:26:30Z,2025-09-19 14:26:30,14,644821,22064,2253,"Tue, 16 Dec 2025 12:42:34 GMT"
LAM63Dj3XBQ,https://www.youtube.com/watch?v=LAM63Dj3XBQ,UgwmfKpLsMOMLaBILBl4AaABAg,@DerekDumas,UChu6XzP6GEwXqa8mEWclm6Q,"So happy I canceled Netflix. Creator of the show said quote the show is cannon to the game. And that they are ""Ripping the spine out of the source material"".",en,2025-09-19T18:18:17Z,2025-09-19 14:18:17,101,4,UgwmfKpLsMOMLaBILBl4AaABAg.ANGIScO9AwTANQ6FaSPLZq,@o-wolf,UCitL25rEydb-COI3N-u7OPg,You don't sound very smart,en,2025-09-23T13:44:04Z,2025-09-23 09:44:04,3,644821,22064,2253,"Tue, 16 Dec 2025 12:42:34 GMT"
LAM63Dj3XBQ,https://www.youtube.com/watch?v=LAM63Dj3XBQ,UgwmfKpLsMOMLaBILBl4AaABAg,@DerekDumas,UChu6XzP6GEwXqa8mEWclm6Q,"So happy I canceled Netflix. Creator of the show said quote the show is cannon to the game. And that they are ""Ripping the spine out of the source material"".",en,2025-09-19T18:18:17Z,2025-09-19 14:18:17,101,4,UgwmfKpLsMOMLaBILBl4AaABAg.ANGIScO9AwTANVzVXulTDh,@jackh7977,UCxueB5ERVF4Mypm7i-NP-uw,​@o-wolf lol and you're probably gay.,en,2025-09-25T20:31:46Z,2025-09-25 16:31:46,1,644821,22064,2253,"Tue, 16 Dec 2025 12:42:34 GMT"
LAM63Dj3XBQ,https://www.youtube.com/watch?v=LAM63Dj3XBQ,UgwmfKpLsMOMLaBILBl4AaABAg,@DerekDumas,UChu6XzP6GEwXqa8mEWclm6Q,"So happy I canceled Netflix. Creator of the show said quote the show is cannon to the game. And that they are ""Ripping the spine out of the source material"".",en,2025-09-19T18:18:17Z,2025-09-19 14:18:17,101,4,UgwmfKpLsMOMLaBILBl4AaABAg.ANGIScO9AwTANf9sHnjMkw,@jasonkirby5542,UCIc27fgBAG5zO0ncFEcfrgw,You gonna miss a great one!! Can’t wait to see this!!,en,2025-09-29T19:23:32Z,2025-09-29 15:23:32,2,644821,22064,2253,"Tue, 16 Dec 2025 12:42:34 GMT"
LAM63Dj3XBQ,https://www.youtube.com/watch?v=LAM63Dj3XBQ,UgxKm9VwlIKYve5Ifrt4AaABAg,@armstrd11,UC16oGgXwLlOEPGsmpElW75w,"Looks like they are setting him up to pass the torch... if so, not interested.",en,2025-09-18T22:05:09Z,2025-09-18 18:05:09,38,7,UgxKm9VwlIKYve5Ifrt4AaABAg.ANE7cM-63E6ANQowcAGL20,@GeneralG1810,UCInQRgsaxF_LvoWkjaU2ODA,"It wouldn't be as big as problem if it was another guy, but you just know it's going to be the black girlboss",en,2025-09-23T20:23:17Z,2025-09-23 16:23:17,11,644821,22064,2253,"Tue, 16 Dec 2025 12:42:34 GMT"
LAM63Dj3XBQ,https://www.youtube.com/watch?v=LAM63Dj3XBQ,UgxKm9VwlIKYve5Ifrt4AaABAg,@armstrd11,UC16oGgXwLlOEPGsmpElW75w,"Looks like they are setting him up to pass the torch... if so, not interested.",en,2025-09-18T22:05:09Z,2025-09-18 18:05:09,38,7,UgxKm9VwlIKYve5Ifrt4AaABAg.ANE7cM-63E6ANR-RFEswuR,@armstrd11,UC16oGgXwLlOEPGsmpElW75w,@GeneralG1810 Yep that is what I expect as well... and I'm kind of over the girlboss trope.,en,2025-09-23T22:03:43Z,2025-09-23 18:03:43,5,644821,22064,2253,"Tue, 16 Dec 2025 12:42:34 GMT"
LAM63Dj3XBQ,https://www.youtube.com/watch?v=LAM63Dj3XBQ,UgxKm9VwlIKYve5Ifrt4AaABAg,@armstrd11,UC16oGgXwLlOEPGsmpElW75w,"Looks like they are setting him up to pass the torch... if so, not interested.",en,2025-09-18T22:05:09Z,2025-09-18 18:05:09,38,7,UgxKm9VwlIKYve5Ifrt4AaABAg.ANE7cM-63E6ANRjnSlmRuu,@GeneralG1810,UCInQRgsaxF_LvoWkjaU2ODA,"​@armstrd11 is ok when it's done right Buffy, Ripley, Sarah Connor, etc.
But these days, they're always ridiculous Mary Sue's",en,2025-09-24T04:57:35Z,2025-09-24 00:57:35,6,644821,22064,2253,"Tue, 16 Dec 2025 12:42:34 GMT"
LAM63Dj3XBQ,https://www.youtube.com/watch?v=LAM63Dj3XBQ,UgxKm9VwlIKYve5Ifrt4AaABAg,@armstrd11,UC16oGgXwLlOEPGsmpElW75w,"Looks like they are setting him up to pass the torch... if so, not interested.",en,2025-09-18T22:05:09Z,2025-09-18 18:05:09,38,7,UgxKm9VwlIKYve5Ifrt4AaABAg.ANE7cM-63E6ANSlQu6M0Ao,@armstrd11,UC16oGgXwLlOEPGsmpElW75w,"@GeneralG1810 Agreed the Long Kiss Goodnight is still one of my favorite movies. I think the problem is it's simply overdone now. I find it funny that writers these days represent ""strong"" women by giving them ""toxic masculinity"" traits. 🤣",en,2025-09-24T14:31:05Z,2025-09-24 10:31:05,6,644821,22064,2253,"Tue, 16 Dec 2025 12:42:34 GMT"
