video_id,video_url,comment_id,comment_author_display,comment_author_channel_id,comment_content,comment_lang,comment_time_utc,comment_time_local,comment_like_count,comment_reply_count,reply_id,reply_author_display,reply_author_channel_id,reply_content,reply_lang,reply_time_utc,reply_time_local,reply_like_count,view_count,like_count,comment_count,crawl_time
MV2nYw6gL_w,https://www.youtube.com/watch?v=MV2nYw6gL_w,Ugw_hGFow2XjO7loVVd4AaABAg,@JenniferPChung,UCiO8JC7vuF0tDeFaI-A2lLw,I dunno who did the casting but omg they are SOOOOO good together. Also. I'm so glad Cam. is back! Both of them are SOOOO naturally charismatic.,en,2025-05-24T23:11:16Z,2025-05-24 19:11:16,12,1,Ugw_hGFow2XjO7loVVd4AaABAg.AIWzB99jWkmAJHGc3kYO_4,@JamieFoxx-v1w,UCDJ5M0pHzakGaPiy3i05Jng,"‎God bless,I hope you're a fan of mine, I say thank you for your support and how long have you been supporting me by watching my movies?",en,2025-06-12T17:15:54Z,2025-06-12 13:15:54,0,2456256,19140,1369,"Tue, 16 Dec 2025 17:36:18 GMT"
MV2nYw6gL_w,https://www.youtube.com/watch?v=MV2nYw6gL_w,UgyTVZYdwLC9kMpO_St4AaABAg,@7fink7,UCr0RbmxeQ7Ae6zbiHIKVlTQ,"I see producers are just taking us all for stupid...if Chechens, Bulgarians and Belarusians would speak in Polish....
Just watch for action, switch off your brain 😅",en,2025-03-09T20:49:56Z,2025-03-09 16:49:56,1,1,UgyTVZYdwLC9kMpO_St4AaABAg.AFT1aaFQZl4AFZGGQu2uJo,@serene1275,UC09iP9WX8jesqK-IZSeB56g,🤣🤣,ja,2025-03-12T06:53:34Z,2025-03-12 02:53:34,0,2456256,19140,1369,"Tue, 16 Dec 2025 17:36:18 GMT"
MV2nYw6gL_w,https://www.youtube.com/watch?v=MV2nYw6gL_w,UgwPUZ46W3VJI1i1GgR4AaABAg,@PhamThiLien2025,UChubHoCshhC1kDHLB-nMSpA,1:03 | 🎶 Take a look in the mirror,en,2025-02-21T17:36:25Z,2025-02-21 12:36:25,0,1,UgwPUZ46W3VJI1i1GgR4AaABAg.AEoUjFZckGVAJHIM-6U3-i,@JamieFoxx-v1w,UCDJ5M0pHzakGaPiy3i05Jng,"God bless,I hope you're a fan of mine, I say thank you for your support and how long have you been supporting mGode by watching my movies?",en,2025-06-12T17:31:03Z,2025-06-12 13:31:03,0,2456256,19140,1369,"Tue, 16 Dec 2025 17:36:18 GMT"
MV2nYw6gL_w,https://www.youtube.com/watch?v=MV2nYw6gL_w,UgwPYDLXRy3D8tQvqMR4AaABAg,@Spenone584,UCsQBkgKj3-j1xFZjnwFTZxA,Well im 10 min into the movie and its straight trash at this point. It almost 2AM maybe I just give up this crap. Cameron stick to comedy!!,en,2025-02-16T06:49:47Z,2025-02-16 01:49:47,0,1,UgwPYDLXRy3D8tQvqMR4AaABAg.AEaSkklOIrlAFZGbhnDvsA,@serene1275,UC09iP9WX8jesqK-IZSeB56g,It was a good movie and a comedy/action.,en,2025-03-12T06:56:36Z,2025-03-12 02:56:36,0,2456256,19140,1369,"Tue, 16 Dec 2025 17:36:18 GMT"
MV2nYw6gL_w,https://www.youtube.com/watch?v=MV2nYw6gL_w,UgwzvfteK0VcVRb1c-d4AaABAg,@ChrissyJohn-b3c,UCTclC5pQmdoBSLO-JwRJO5w,"Awesome movie. Just watched it. It was great to see Jamie & Cameron
Back in Action, on the screen.
Great duo",en,2025-02-12T03:45:50Z,2025-02-11 22:45:50,2,1,UgwzvfteK0VcVRb1c-d4AaABAg.AEQpWvPcSO9AJHGn0SEGgY,@JamieFoxx-v1w,UCDJ5M0pHzakGaPiy3i05Jng,"‎God bless,I hope you're a fan of mine, I say thank you for your support and how long have you been supporting me by watching my movies?",en,2025-06-12T17:17:24Z,2025-06-12 13:17:24,0,2456256,19140,1369,"Tue, 16 Dec 2025 17:36:18 GMT"
MV2nYw6gL_w,https://www.youtube.com/watch?v=MV2nYw6gL_w,UgwQTaDCylNW-EbvVm14AaABAg,@garydavies8307,UCs1NbnBBHuvdcjjjK-7hrlg,One of the worst films I have seen in a long while.,en,2025-02-05T21:58:48Z,2025-02-05 16:58:48,0,1,UgwQTaDCylNW-EbvVm14AaABAg.AEAl1v9lJLOAEMEXyzaitu,@mataanali9310,UCAw6o3Ie48YawBvma0ouYWg,"But why
It seems good to for me",en,2025-02-10T08:56:58Z,2025-02-10 03:56:58,0,2456256,19140,1369,"Tue, 16 Dec 2025 17:36:18 GMT"
MV2nYw6gL_w,https://www.youtube.com/watch?v=MV2nYw6gL_w,UgwWIuYSkKJSNUqdSCx4AaABAg,@joeblack8915,UCme9H8iDPjfTiGO1ADJAf0A,"The usual sneering, stereotypical attitude towards Britain and the British, with disparaging talk of 'Jolly old England', bad food, not hugging because of repressed feelings', upper-class buffoons living in country estates, etc,  you get the picture - which is all utter crap by the way.  Oh, and apparently the Thames Barrier stops the Atlantic Ocean from flooding London, according to this nonsense  Really? Well, perhaps they'd like to explain that impossibility, given that the Thames flows into the North Sea, and is nowhere near the Atlantic. If you're American, I'll try to explain the childishness of such stereotypical views that Hollyweird puts forward regarding my country. They are akin to me turning up in the U.S. and expecting everyone to be wearing a 10-gallon hat, wearing a couple of six-shooters, shouting 'yee aww, howdy pardner!' Now wouldn't you find that somewhat pathetic?  It's mildly entertaining - emphasis on mildly - but it gets tiresome after a while, with Foxx and Diaz beating up hoards of baddies with ease, time after time.  If there's a follow-up, I won't be watching it. 🥱",en,2025-02-02T11:44:11Z,2025-02-02 06:44:11,0,1,UgwWIuYSkKJSNUqdSCx4AaABAg.AE1wJkq2MEUAER-7vT2aaK,@rohanfirminger9182,UCwCRVLWBOM9xS7IugXEl5pw,"Geeeeez - I read it as being deliberately over the top kind of sending itself up and not taking itself too seriously.  But I’m originally from Australia, lol, where you get the best (and worst lol) of both worlds (US and UK). Honestly I don’t think it was trying to be a bond movie or A FIsh Called Wanda.  It was more understated in the humor (humour 😅 - see what living in the states does to spelling) department, so it was meant to be a lighthearted feel good movie with a bit of “whiz bang”, and some silliness.  I mean come on, Jamie Demetriou was supposed to be awkward lovable and bumbling. 

It wasn’t trying to be a blockbuster or in depth, and it clearly borrowed bits from a variety of well known films. Honestly sometimes there are times for an action lighthearted romp with a bit of silliness.  One person’s meat …. But each to their own. 

My wife and I definitely laughed and enjoyed it in that regard. Sorry you felt such angst about the deliberate silly stereotypes. Maybe they were taking themselves less seriously than others lol. 😅",en,2025-02-12T05:18:32Z,2025-02-12 00:18:32,0,2456256,19140,1369,"Tue, 16 Dec 2025 17:36:18 GMT"
MV2nYw6gL_w,https://www.youtube.com/watch?v=MV2nYw6gL_w,UgxVhdWpAKTAy90uN7B4AaABAg,@jeffreywilliams8499,UCJCAb6vRpQvwnvYgomqxLPA,I'm surprise people remember Soulja Boy Song  - Turn my swag on. I haven't heard from him since he was a teenager and so was i in my teenage years in 2007,en,2025-01-30T17:33:09Z,2025-01-30 12:33:09,1,1,UgxVhdWpAKTAy90uN7B4AaABAg.ADvps-TGvNvADwAAcpYIqJ,@jeffreywilliams8499,UCJCAb6vRpQvwnvYgomqxLPA,Soulja Boy tell em,NA,2025-01-30T20:39:20Z,2025-01-30 15:39:20,0,2456256,19140,1369,"Tue, 16 Dec 2025 17:36:18 GMT"
MV2nYw6gL_w,https://www.youtube.com/watch?v=MV2nYw6gL_w,UgyNGCcdyqjUSeQKcnt4AaABAg,@santhoshkumars885,UCyaFFJSQBIpYFBwSS836fIQ,"😢My life has been lonely—no One relationships, no love, no partner, no girlfriend. I am still pure single because of my short height and lack of wealth. No girl likes me or wants to marry me. This has brought a lot of pain into my life.",en,2025-01-29T13:21:48Z,2025-01-29 08:21:48,2,3,UgyNGCcdyqjUSeQKcnt4AaABAg.ADsoJCzy38FADtot4UIH6o,@qm5me,UC5mzaz7DT85rnToS1Ti8Wsg,"If your mindset is to find that one special person to fulfill your life you'll be stuck like that till you die, find something else to fall in love with or to be passionate about like sports, combat sports, painting anything positive besides a love interest with another person, let that come to u",en,2025-01-29T22:46:05Z,2025-01-29 17:46:05,1,2456256,19140,1369,"Tue, 16 Dec 2025 17:36:18 GMT"
MV2nYw6gL_w,https://www.youtube.com/watch?v=MV2nYw6gL_w,UgyNGCcdyqjUSeQKcnt4AaABAg,@santhoshkumars885,UCyaFFJSQBIpYFBwSS836fIQ,"😢My life has been lonely—no One relationships, no love, no partner, no girlfriend. I am still pure single because of my short height and lack of wealth. No girl likes me or wants to marry me. This has brought a lot of pain into my life.",en,2025-01-29T13:21:48Z,2025-01-29 08:21:48,2,3,UgyNGCcdyqjUSeQKcnt4AaABAg.ADsoJCzy38FADtoy7F9JT6,@qm5me,UC5mzaz7DT85rnToS1Ti8Wsg,Idk if you're a bot spamming this comment in other videos but just take my advice and use it 😊❤,en,2025-01-29T22:46:46Z,2025-01-29 17:46:46,0,2456256,19140,1369,"Tue, 16 Dec 2025 17:36:18 GMT"
