video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
MV2nYw6gL_w,"Back in Action | Jamie Foxx, Cameron Diaz | Official Trailer | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-14T13:00:01Z,Ugw_hGFow2XjO7loVVd4AaABAg.AIWzB99jWkmAJHGc3kYO_4,Ugw_hGFow2XjO7loVVd4AaABAg,@JamieFoxx-v1w,UCDJ5M0pHzakGaPiy3i05Jng,"‎God bless,I hope you're a fan of mine, I say thank you for your support and how long have you been supporting me by watching my movies?",en,2025-06-12T17:15:54Z,2025-06-12 13:15:54,0
MV2nYw6gL_w,"Back in Action | Jamie Foxx, Cameron Diaz | Official Trailer | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-14T13:00:01Z,UgyTVZYdwLC9kMpO_St4AaABAg.AFT1aaFQZl4AFZGGQu2uJo,UgyTVZYdwLC9kMpO_St4AaABAg,@serene1275,UC09iP9WX8jesqK-IZSeB56g,🤣🤣,ja,2025-03-12T06:53:34Z,2025-03-12 02:53:34,0
MV2nYw6gL_w,"Back in Action | Jamie Foxx, Cameron Diaz | Official Trailer | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-14T13:00:01Z,UgwPUZ46W3VJI1i1GgR4AaABAg.AEoUjFZckGVAJHIM-6U3-i,UgwPUZ46W3VJI1i1GgR4AaABAg,@JamieFoxx-v1w,UCDJ5M0pHzakGaPiy3i05Jng,"God bless,I hope you're a fan of mine, I say thank you for your support and how long have you been supporting mGode by watching my movies?",en,2025-06-12T17:31:03Z,2025-06-12 13:31:03,0
MV2nYw6gL_w,"Back in Action | Jamie Foxx, Cameron Diaz | Official Trailer | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-14T13:00:01Z,UgwPYDLXRy3D8tQvqMR4AaABAg.AEaSkklOIrlAFZGbhnDvsA,UgwPYDLXRy3D8tQvqMR4AaABAg,@serene1275,UC09iP9WX8jesqK-IZSeB56g,It was a good movie and a comedy/action.,en,2025-03-12T06:56:36Z,2025-03-12 02:56:36,0
MV2nYw6gL_w,"Back in Action | Jamie Foxx, Cameron Diaz | Official Trailer | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-14T13:00:01Z,UgwzvfteK0VcVRb1c-d4AaABAg.AEQpWvPcSO9AJHGn0SEGgY,UgwzvfteK0VcVRb1c-d4AaABAg,@JamieFoxx-v1w,UCDJ5M0pHzakGaPiy3i05Jng,"‎God bless,I hope you're a fan of mine, I say thank you for your support and how long have you been supporting me by watching my movies?",en,2025-06-12T17:17:24Z,2025-06-12 13:17:24,0
MV2nYw6gL_w,"Back in Action | Jamie Foxx, Cameron Diaz | Official Trailer | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-14T13:00:01Z,UgwQTaDCylNW-EbvVm14AaABAg.AEAl1v9lJLOAEMEXyzaitu,UgwQTaDCylNW-EbvVm14AaABAg,@mataanali9310,UCAw6o3Ie48YawBvma0ouYWg,"But why
It seems good to for me",en,2025-02-10T08:56:58Z,2025-02-10 03:56:58,0
MV2nYw6gL_w,"Back in Action | Jamie Foxx, Cameron Diaz | Official Trailer | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-14T13:00:01Z,UgwWIuYSkKJSNUqdSCx4AaABAg.AE1wJkq2MEUAER-7vT2aaK,UgwWIuYSkKJSNUqdSCx4AaABAg,@rohanfirminger9182,UCwCRVLWBOM9xS7IugXEl5pw,"Geeeeez - I read it as being deliberately over the top kind of sending itself up and not taking itself too seriously.  But I’m originally from Australia, lol, where you get the best (and worst lol) of both worlds (US and UK). Honestly I don’t think it was trying to be a bond movie or A FIsh Called Wanda.  It was more understated in the humor (humour 😅 - see what living in the states does to spelling) department, so it was meant to be a lighthearted feel good movie with a bit of “whiz bang”, and some silliness.  I mean come on, Jamie Demetriou was supposed to be awkward lovable and bumbling. 

It wasn’t trying to be a blockbuster or in depth, and it clearly borrowed bits from a variety of well known films. Honestly sometimes there are times for an action lighthearted romp with a bit of silliness.  One person’s meat …. But each to their own. 

My wife and I definitely laughed and enjoyed it in that regard. Sorry you felt such angst about the deliberate silly stereotypes. Maybe they were taking themselves less seriously than others lol. 😅",en,2025-02-12T05:18:32Z,2025-02-12 00:18:32,0
MV2nYw6gL_w,"Back in Action | Jamie Foxx, Cameron Diaz | Official Trailer | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-14T13:00:01Z,UgxVhdWpAKTAy90uN7B4AaABAg.ADvps-TGvNvADwAAcpYIqJ,UgxVhdWpAKTAy90uN7B4AaABAg,@jeffreywilliams8499,UCJCAb6vRpQvwnvYgomqxLPA,Soulja Boy tell em,NA,2025-01-30T20:39:20Z,2025-01-30 15:39:20,0
MV2nYw6gL_w,"Back in Action | Jamie Foxx, Cameron Diaz | Official Trailer | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-14T13:00:01Z,UgyNGCcdyqjUSeQKcnt4AaABAg.ADsoJCzy38FADtot4UIH6o,UgyNGCcdyqjUSeQKcnt4AaABAg,@qm5me,UC5mzaz7DT85rnToS1Ti8Wsg,"If your mindset is to find that one special person to fulfill your life you'll be stuck like that till you die, find something else to fall in love with or to be passionate about like sports, combat sports, painting anything positive besides a love interest with another person, let that come to u",en,2025-01-29T22:46:05Z,2025-01-29 17:46:05,1
MV2nYw6gL_w,"Back in Action | Jamie Foxx, Cameron Diaz | Official Trailer | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-14T13:00:01Z,UgyNGCcdyqjUSeQKcnt4AaABAg.ADsoJCzy38FADtoy7F9JT6,UgyNGCcdyqjUSeQKcnt4AaABAg,@qm5me,UC5mzaz7DT85rnToS1Ti8Wsg,Idk if you're a bot spamming this comment in other videos but just take my advice and use it 😊❤,en,2025-01-29T22:46:46Z,2025-01-29 17:46:46,0
