video_id,video_title,channel_id,channel_title,video_published_at,view_count,video_like_count,video_comment_count,comment_id,comment_parent_id,comment_author_display,comment_author_channel_id,comment_text,comment_lang,comment_published_utc,comment_published_local,comment_like_count,comment_reply_count
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,378535,27417,1357,Ugx5JSFE17tdeQMQ5CV4AaABAg,NA,@deandreallen9431,UCdlf9Vq-npKWoMoE6BFYBSw,"❤️ download the best and I love you.And we're gonna get that cross from like five million dollars , I want that you give it to me , my name is roma , ellen sender , take today , but you can't call me today and just give me address 4966 right by thanos",en,2025-12-16T01:32:57Z,2025-12-15 20:32:57,0,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,378535,27417,1357,UgzBlRft-WHh2l1IGzt4AaABAg,NA,@Kajal-v9u3k,UCxwE57QDmVmImov6_99aQWQ,Samayra❤🎉😮,NA,2025-11-01T18:55:56Z,2025-11-01 14:55:56,1,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,378535,27417,1357,Ugz8kZvw9NymRXxGuGJ4AaABAg,NA,@Aleyna_c11w,UCwO447aAzu8gDo46OLD3Oag,"Tanos 230🫰 
Sukut Geymi sevenler
👇
👇",de,2025-09-28T07:03:09Z,2025-09-28 03:03:09,1,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,378535,27417,1357,UgyZWi7flC-RsRaFzVh4AaABAg,NA,@IRex235.17,UCom7KMxkG_qAV_PnAo8tW8w,I just watch the whole season and I hope to see you again,en,2025-09-14T21:10:46Z,2025-09-14 17:10:46,0,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,378535,27417,1357,UgyipPtFIB-5yWAAnyZ4AaABAg,NA,@sabineschubert7093,UCumrsFsieadlVvbgCdVOHNA,Please Baby come Back to Bigbangnwe all Wish that Thing ... WE all Miss you and you and your Brothers gave mema teason to be Happy so please Comeback next year thank you for everything ❤🙁💛💛💛💛💛💛💛,en,2025-09-03T17:26:15Z,2025-09-03 13:26:15,0,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,378535,27417,1357,UgyZN8o-6_7QZU1FkyV4AaABAg,NA,@Channel-Horror,UCCShjBF78Qv_jaXhT8-POrg,❤,ja,2025-08-30T11:48:39Z,2025-08-30 07:48:39,0,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,378535,27417,1357,Ugw7sbw58SwpsDNWQMF4AaABAg,NA,@jaycex800,UCzKIyFC_tLQLhFOaeqzKjnQ,I considered jumping off the Han River Bridge after seeing that Thanos wasn’t in season 3 😭,en,2025-08-23T12:42:54Z,2025-08-23 08:42:54,0,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,378535,27417,1357,UgxrFWcv0c7RKwY7Pgt4AaABAg,NA,@cristinavirlan361,UCUv7G9SrrCtebm-dg5UgrDg,Pwh6 te fddf.           Euhegege,NA,2025-08-17T16:25:40Z,2025-08-17 12:25:40,0,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,378535,27417,1357,UgxdbOqGOIDNsoANf1t4AaABAg,NA,@احلامسعدي,UCb4QPTm1T6vmlm6ErJXKqrQ,هل يمكنك يا ثانوس مراسلتي❤😢❤❤❤,NA,2025-08-13T23:37:45Z,2025-08-13 19:37:45,0,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,378535,27417,1357,UgyekCKo5BiyaaYvzsN4AaABAg,NA,@NotJaysaraus,UCel8TYTDjUJQvqCHmZUccsg,TANOS WORLDDD,NA,2025-08-10T13:33:54Z,2025-08-10 09:33:54,0,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,378535,27417,1357,UgyclfsBWx-61qvcUvp4AaABAg,NA,@StevenMilne-c2u,UCi_FUYP10hDzScwDqNaV9tg,"If Spider-Man in Zoe off of K-pop Demon hunters if they met, they would be best friends, so you should make a video with us. I am in the same movie.😊",en,2025-08-09T19:35:16Z,2025-08-09 15:35:16,0,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,378535,27417,1357,UgypRlthF5TkYRi-9tV4AaABAg,NA,@DjaASAS,UCo1u42dzFXuUjv7F0fYIC2A,TOP from BigBang is here!,en,2025-08-09T14:41:06Z,2025-08-09 10:41:06,0,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,378535,27417,1357,UgzHTOfyFVzGD4o_bFR4AaABAg,NA,@AotMmusic,UCMwrLfsYtnuSaq5FTryiE2Q,FOR EVERYONE TO SEE THIS COMMENT INCLUDING YOU NETFLIX I AM MAKING A PREDICTION THAT GI-HUN'S DAUGHTER GA-YEONG WILL BE A PLAYER IN SQUID GAME AMERICA,en,2025-08-07T19:06:18Z,2025-08-07 15:06:18,0,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,378535,27417,1357,Ugz1xGrssRQzvy2oIz54AaABAg,NA,@marcelotasso3892,UC45rDtSbMqQEq2dFlATYG5Q,❤,ja,2025-08-04T21:31:35Z,2025-08-04 17:31:35,0,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,378535,27417,1357,Ugy3yInekL5q-F4mSLp4AaABAg,NA,@dos_rosa_oficialedits,UCykMvkVTbF_0HIWQqCUXPQQ,My marido 💜💚💜💚,NA,2025-08-03T23:51:04Z,2025-08-03 19:51:04,0,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,378535,27417,1357,UgwpgLYFetQXKVJqDCh4AaABAg,NA,@dariominelli2940,UC1EGDDCt1T5CNcZXrsT7mvA,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,ja,2025-08-03T18:51:07Z,2025-08-03 14:51:07,0,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,378535,27417,1357,UgwxD0y9kQ1j63Mbr8p4AaABAg,NA,@ÖmerMinecraft-1h2g,UC8CPV1a2L8R8KRFwesDUhLA,❤️,ne,2025-08-02T16:11:51Z,2025-08-02 12:11:51,0,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,378535,27417,1357,UgzGvYxFPCifrrTvqUJ4AaABAg,NA,@custard380,UCBG_auDN6WJR04XOo4Z_5mw,AWWWWWW HES SO CUTEIEEEEE,fy,2025-07-29T05:14:13Z,2025-07-29 01:14:13,0,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,378535,27417,1357,UgysWgBJp0OzCSQoRZJ4AaABAg,NA,@sehergorgulu4184,UCakYPsQD09IPcis3GKh65Zg,Thanos abi seni çok seviyorum ❤,NA,2025-07-28T12:06:16Z,2025-07-28 08:06:16,0,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,378535,27417,1357,UgzQMPzKn2D9gcfDj7R4AaABAg,NA,@JuanAndresRamírezRegalado,UCSMS0AZMxxcPFCrOXuO4O0A,❤️,ne,2025-07-26T23:23:42Z,2025-07-26 19:23:42,0,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,378535,27417,1357,UgzW5n-GRSWKH5aCpX14AaABAg,NA,@KingZichy,UC-uS72zoEvm8QuuZIuyQLoA,See ya thanos😊,NA,2025-07-19T06:36:52Z,2025-07-19 02:36:52,0,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,378535,27417,1357,UgzVdXZxbHlb1988R2B4AaABAg,NA,@AyyaRaya-b9q,UCyiPJY2oJMe-CF-7CNdpWfg,❤️,ne,2025-07-18T02:38:29Z,2025-07-17 22:38:29,1,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,378535,27417,1357,UgwLi8wcTYGL2aCPIuR4AaABAg,NA,@DaviDiIorio,UCJLjpdFyQP9JJe-yuqLexbg,E ele voltou na imaginação,pt,2025-07-15T13:36:39Z,2025-07-15 09:36:39,0,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,378535,27417,1357,UgxrnP4MJEpsT1MaCFV4AaABAg,NA,@galactictribe9901,UCHo6VJV00T3sz7lXfL-H0tg,❤❤❤❤❤,ja,2025-07-11T18:41:02Z,2025-07-11 14:41:02,0,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,378535,27417,1357,UgwV82fIlPP4THLqaJV4AaABAg,NA,@War_animations-WWII,UCPYOr5Rq_Fq2wWu59xTPRGg,welcome to thanos tanos world,NA,2025-07-10T06:42:03Z,2025-07-10 02:42:03,0,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,378535,27417,1357,UgxAjupXP4ztBildQJJ4AaABAg,NA,@sx_1z,UCZloRp3wqD_pyW7uefR7Mjg,‏I uploaded the video to my gallery and I always sing it and sing it now this song has become my favourite 😓🍡🍮🍥🍧🍰 I love the squid game and I love Thanos or T.O.P,en,2025-07-10T03:37:14Z,2025-07-09 23:37:14,0,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,378535,27417,1357,UgzSkD82KtZO_9pqQyV4AaABAg,NA,@sx_1z,UCZloRp3wqD_pyW7uefR7Mjg,Omg I love him T.O.P my hero😓💋💋💋🍰,ig,2025-07-10T03:36:25Z,2025-07-09 23:36:25,0,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,378535,27417,1357,UgxJ0YiVUtpTLH7-XUN4AaABAg,NA,@GabrielRamirez-qj4wy,UCyoTZAoH_qrI5CMcK-XyLRQ,Thanos!!,NA,2025-07-10T02:11:24Z,2025-07-09 22:11:24,0,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,378535,27417,1357,UgwU9LvhCzcE8vYBVs14AaABAg,NA,@RafaeljesusCarrillovarona,UCsMuvKhM57COQf_jpw0ELcw,😳😳😳😳😳😳😳👉🏻🫦,ja,2025-07-09T21:02:13Z,2025-07-09 17:02:13,0,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,378535,27417,1357,UgzYSdnv2sWxrVA0YHN4AaABAg,NA,@EfaHjkj,UC4NDhCoNgDxD6e-z9axyVWQ,❤,ja,2025-07-07T10:00:10Z,2025-07-07 06:00:10,0,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,378535,27417,1357,UgziE67BB0xnRguwz3d4AaABAg,NA,@TaliciaSantos-v3m,UCflcg-SbbQ16gbeLET9XiCQ,❤❤我係你嘅粉絲,zh,2025-07-06T16:51:57Z,2025-07-06 12:51:57,1,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,378535,27417,1357,UgwWBNxdoPVOrlnk0lh4AaABAg,NA,@CarmenGonzalezReyna,UCJ0Xf5YWrkYCm-z8HTMuExw,Teo me choi gus a mi adias,NA,2025-07-04T21:43:52Z,2025-07-04 17:43:52,0,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,378535,27417,1357,Ugz8NHB03326YRNmtMR4AaABAg,NA,@justyourfanornot4162,UCRHfpimmI7x53DHieCeGQiQ,❤❤❤,ja,2025-07-03T11:28:44Z,2025-07-03 07:28:44,0,0
