video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,Ugxu2u-fV85T3-Wc0F94AaABAg.AFifLhPccdQAFjlr4dF9Z8,Ugxu2u-fV85T3-Wc0F94AaABAg,@rainyzadie,UCZPztGNtBC5E2PbMsItaSgg,kid,et,2025-03-16T18:09:58Z,2025-03-16 14:09:58,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,UgwUURvkHF2U20kq77x4AaABAg.AEZlo60Bh2WAEZm8MLmbcN,UgwUURvkHF2U20kq77x4AaABAg,@CiaBuckley,UCEaH5KDOLVzL_XbRBnkUPjA,Yea great game,NA,2025-02-15T15:09:26Z,2025-02-15 10:09:26,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,UgwUURvkHF2U20kq77x4AaABAg.AEZlo60Bh2WAE_MGcqM1QP,UgwUURvkHF2U20kq77x4AaABAg,@gerardbuckley8844,UC_Xv1sxRx8ACrwvclDKvKTA,Yea great game,NA,2025-02-15T20:33:52Z,2025-02-15 15:33:52,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,Ugw7VZsKF78bPnvuvIJ4AaABAg.AEEivmM5cuXAEEy55iDfSe,Ugw7VZsKF78bPnvuvIJ4AaABAg,@자누구,UCWa62tI4ksHGBHp8C--AIBA,No,es,2025-02-07T13:09:47Z,2025-02-07 08:09:47,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,UgzTANlRFbxOQuIhNvV4AaABAg.AEBPrQpjMxCAEC6YbIpjSE,UgzTANlRFbxOQuIhNvV4AaABAg,@MichaelIviaSiega,UCn4sJ02YFF7QeBJQDZmd-LQ,Why you hate my favourite character,en,2025-02-06T10:34:44Z,2025-02-06 05:34:44,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,UgwRYDWqx1B9XLmLFJx4AaABAg.AE77DZc5uWGAE7LVGf6G5M,UgwRYDWqx1B9XLmLFJx4AaABAg,@zeynepisss-x7p,UCWjDmqbGQf6KE_NpQSKepgQ,Heleşükür bir türk buldum❤,tr,2025-02-04T14:09:10Z,2025-02-04 09:09:10,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,UgwDQ9wu5Wr8wnsqmW14AaABAg.ADmYkPZQ0w6ADnrMTYeq0y,UgwDQ9wu5Wr8wnsqmW14AaABAg,@mirfanfirmansyah9094,UC4_stEfdQHUSnnGcK1sQoEA,masih grogi bro tapi gpp lah,NA,2025-01-27T15:12:15Z,2025-01-27 10:12:15,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,UgwVLXDRoyGhCks2N8d4AaABAg.ADlfC5u_Ke4ADnpn9DYjV7,UgwVLXDRoyGhCks2N8d4AaABAg,@mirfanfirmansyah9094,UC4_stEfdQHUSnnGcK1sQoEA,let's embrace him anytime south koreans don't deserve him,NA,2025-01-27T14:58:34Z,2025-01-27 09:58:34,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,Ugw4eaPXTX-aYTra4rx4AaABAg.ADleor8CpVDADmLhtiJebZ,Ugw4eaPXTX-aYTra4rx4AaABAg,@hooria_14,UCLJj0TYbUIHjxNLp6XmPV6Q,Exactly!!!!,xh,2025-01-27T01:07:43Z,2025-01-26 20:07:43,0
OQNBpxJTdnc,Welcome to the Thanos world #TOP #Thanos #SquidGame,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-01-24T17:00:27Z,UgwZm9pd93gzRxTectZ4AaABAg.ADl2wo-FH8HADl2yzRhKog,UgwZm9pd93gzRxTectZ4AaABAg,@Kai_b7lox,UCHbQzKVR-Ah1ZK7fa3ZKT_A,Nice fox speech Thanos❤,NA,2025-01-26T13:04:47Z,2025-01-26 08:04:47,1
