video_id,video_url,comment_id,comment_author_display,comment_author_channel_id,comment_content,comment_lang,comment_time_utc,comment_time_local,comment_like_count,comment_reply_count,reply_id,reply_author_display,reply_author_channel_id,reply_content,reply_lang,reply_time_utc,reply_time_local,reply_like_count,view_count,like_count,comment_count,crawl_time
PYzqa1CDTik,https://www.youtube.com/watch?v=PYzqa1CDTik,UgxU83V6FkMnZz_fwZF4AaABAg,@wuhaaaaa,UCPwSpjjBrqhXVPRMEt9Vc7A,Why only 1 sword?,en,2025-04-19T14:55:09Z,2025-04-19 10:55:09,0,1,UgxU83V6FkMnZz_fwZF4AaABAg.AH5y_zV_InhAIasJZRScQ9,@StarLord-lg2hw,UCJjd_LeW2R-UVEsTGrDndzw,"because the second sword is attached to Roach, according to canon Geralt carried only one sword on his back",en,2025-05-26T20:47:27Z,2025-05-26 16:47:27,1,1156964,40198,2271,"Tue, 16 Dec 2025 12:42:34 GMT"
PYzqa1CDTik,https://www.youtube.com/watch?v=PYzqa1CDTik,UgwDbv1c5vSNQRkbE6t4AaABAg,@ZombieCorp999,UCNfsYCUp5AcsUjYjBivjnFg,"Mary Sue garbage. Barely hidden narrative of everything female empowerful, reverse all the roles cuckoldry. Lame and gay. Perfect for you. Thumbs up. 4 stars.",en,2025-04-18T03:22:39Z,2025-04-17 23:22:39,2,1,UgwDbv1c5vSNQRkbE6t4AaABAg.AH29Y48xBLYAHug2FcOkMu,@I-kd3cz,UCyIfAz2wxejM3d9XYB35ofw,you guys love being hateful gays,en,2025-05-09T16:53:38Z,2025-05-09 12:53:38,0,1156964,40198,2271,"Tue, 16 Dec 2025 12:42:34 GMT"
PYzqa1CDTik,https://www.youtube.com/watch?v=PYzqa1CDTik,UgxgFoBnQyNB4vLJZ0R4AaABAg,@joedatius,UCOSkj2EXjWhUJWHIumKmcRA,just watched it. absolute trash,en,2025-03-24T17:03:25Z,2025-03-24 13:03:25,1,1,UgxgFoBnQyNB4vLJZ0R4AaABAg.AG3Fa_XwhjIAGOQ9wHi7wO,@darksesh8247,UC3kX2PRcdDggWsZ7D5Az93g,So the books better or no? Like missing details from the books by any chance?,en,2025-04-01T22:19:48Z,2025-04-01 18:19:48,1,1156964,40198,2271,"Tue, 16 Dec 2025 12:42:34 GMT"
PYzqa1CDTik,https://www.youtube.com/watch?v=PYzqa1CDTik,Ugy0MCgo_lXY6qJQmit4AaABAg,@dexter12x70,UCnfpnWBrG1JA6qb4g12xYRg,"The book is not about the war between the sirens ,good lord !
ITS revolved about geralt and essi,with the fishy being the side story.
And to think netflix coudnt have butched this.",en,2025-03-14T00:39:56Z,2025-03-13 20:39:56,0,3,Ugy0MCgo_lXY6qJQmit4AaABAg.AFck5cZ897aAGOQIAx4eL3,@darksesh8247,UC3kX2PRcdDggWsZ7D5Az93g,So you're saying the manga version is better? And left out some details out from the manga?!,en,2025-04-01T22:20:56Z,2025-04-01 18:20:56,0,1156964,40198,2271,"Tue, 16 Dec 2025 12:42:34 GMT"
PYzqa1CDTik,https://www.youtube.com/watch?v=PYzqa1CDTik,Ugy0MCgo_lXY6qJQmit4AaABAg,@dexter12x70,UCnfpnWBrG1JA6qb4g12xYRg,"The book is not about the war between the sirens ,good lord !
ITS revolved about geralt and essi,with the fishy being the side story.
And to think netflix coudnt have butched this.",en,2025-03-14T00:39:56Z,2025-03-13 20:39:56,0,3,Ugy0MCgo_lXY6qJQmit4AaABAg.AFck5cZ897aAGP0QT5uUmG,@dexter12x70,UCnfpnWBrG1JA6qb4g12xYRg,"@darksesh8247  not the manga, the actual book from andrez, its entirety different.",en,2025-04-02T03:54:07Z,2025-04-01 23:54:07,0,1156964,40198,2271,"Tue, 16 Dec 2025 12:42:34 GMT"
PYzqa1CDTik,https://www.youtube.com/watch?v=PYzqa1CDTik,Ugy0MCgo_lXY6qJQmit4AaABAg,@dexter12x70,UCnfpnWBrG1JA6qb4g12xYRg,"The book is not about the war between the sirens ,good lord !
ITS revolved about geralt and essi,with the fishy being the side story.
And to think netflix coudnt have butched this.",en,2025-03-14T00:39:56Z,2025-03-13 20:39:56,0,3,Ugy0MCgo_lXY6qJQmit4AaABAg.AFck5cZ897aAGP6PEmmRri,@darksesh8247,UC3kX2PRcdDggWsZ7D5Az93g,@dexter12x70 I was just joking about the anime being bad and manga is better meme to reference the original books . But since you mentioned it Is there really actually manga version of the witcher series?,en,2025-04-02T04:46:23Z,2025-04-02 00:46:23,0,1156964,40198,2271,"Tue, 16 Dec 2025 12:42:34 GMT"
PYzqa1CDTik,https://www.youtube.com/watch?v=PYzqa1CDTik,UgyHnbV4ApgwhQzrKeR4AaABAg,@rishubhgandhi925,UCMNP4WGViV6sOB7JVV9a3Hg,bro since when did witcher story fall into little mermaid story tf,en,2025-03-12T05:28:39Z,2025-03-12 01:28:39,0,1,UgyHnbV4ApgwhQzrKeR4AaABAg.AFZ6YY_IR7rAGOQPMxRNQd,@darksesh8247,UC3kX2PRcdDggWsZ7D5Az93g,Yeah this didn't feel like a Witcher lore story we are used to. The manga was better.,en,2025-04-01T22:21:55Z,2025-04-01 18:21:55,0,1156964,40198,2271,"Tue, 16 Dec 2025 12:42:34 GMT"
PYzqa1CDTik,https://www.youtube.com/watch?v=PYzqa1CDTik,Ugw1BLOj_bC5GNMDoe54AaABAg,@PotatoWedge12,UCkC4rEayDXcVRuhENsxhGMA,"This is night and day from the live action one. No more woke garbage, the scenes are actually about what Witcher fans find interesting. Im surprised Hissrich produced this too, she mustve bern hands off with this project cause its good.",en,2025-02-17T09:33:22Z,2025-02-17 04:33:22,1,2,Ugw1BLOj_bC5GNMDoe54AaABAg.AEdKGflMXbBAEdQs64GsCY,@bbqrainbow,UCD4vZGuqOZtz-D3CCx6iIzw,"Yes, everything is woke and it’s scary. 🙄",en,2025-02-17T10:31:02Z,2025-02-17 05:31:02,0,1156964,40198,2271,"Tue, 16 Dec 2025 12:42:34 GMT"
PYzqa1CDTik,https://www.youtube.com/watch?v=PYzqa1CDTik,Ugw1BLOj_bC5GNMDoe54AaABAg,@PotatoWedge12,UCkC4rEayDXcVRuhENsxhGMA,"This is night and day from the live action one. No more woke garbage, the scenes are actually about what Witcher fans find interesting. Im surprised Hissrich produced this too, she mustve bern hands off with this project cause its good.",en,2025-02-17T09:33:22Z,2025-02-17 04:33:22,1,2,Ugw1BLOj_bC5GNMDoe54AaABAg.AEdKGflMXbBAEdVePcbmN1,@PotatoWedge12,UCkC4rEayDXcVRuhENsxhGMA,@bbqrainbow  Scary? I said it was garbage,NA,2025-02-17T11:12:51Z,2025-02-17 06:12:51,0,1156964,40198,2271,"Tue, 16 Dec 2025 12:42:34 GMT"
PYzqa1CDTik,https://www.youtube.com/watch?v=PYzqa1CDTik,Ugxsw8nZfwSydW-jmW94AaABAg,@acelionix8773,UCYCofPE4SLajNQO7NubQdCA,"Better than little mermaid live-action, fun watched.",en,2025-02-17T05:50:46Z,2025-02-17 00:50:46,1,1,Ugxsw8nZfwSydW-jmW94AaABAg.AEcvnOamOiZAEcwEnMP5cX,@GHOST-zy3ji,UCXMrO_GvIFCEkto8KIjg4nw,So true,sv,2025-02-17T05:54:39Z,2025-02-17 00:54:39,0,1156964,40198,2271,"Tue, 16 Dec 2025 12:42:34 GMT"
