video_id,video_url,comment_id,comment_author_display,comment_author_channel_id,comment_content,comment_lang,comment_time_utc,comment_time_local,comment_like_count,comment_reply_count,reply_id,reply_author_display,reply_author_channel_id,reply_content,reply_lang,reply_time_utc,reply_time_local,reply_like_count,view_count,like_count,comment_count,crawl_time
QPdn1JZENCM,https://www.youtube.com/watch?v=QPdn1JZENCM,Ugy_GO21lDruD-x-7CB4AaABAg,@rizwaanshaikh9453,UCU5vXaEj24eaqPmuCnaseSg,Who sees abhudya,ig,2025-09-30T14:29:34Z,2025-09-30 10:29:34,0,1,Ugy_GO21lDruD-x-7CB4AaABAg.ANhD0z_9JmAANz6n-4P452,@RANVEER-96,UC02GM9djpQVPPCPUMTwTCOw,I came here just to see Abhyudaya and Mythpat,fil,2025-10-07T13:21:25Z,2025-10-07 09:21:25,0,2268116,38253,791,"Wed, 17 Dec 2025 13:14:27 GMT"
QPdn1JZENCM,https://www.youtube.com/watch?v=QPdn1JZENCM,Ugy28SBtiINzcfgRN4N4AaABAg,@DD-oi1ur,UCdAX_6oCdnmymZCog_nIa6g,"최고미남 공유는 어디가냐?2는 공유연기만 돋보임. 나머진 필요없음. 2부터 뉴배우들 볼거없네 미남미녀 배우들어디가고 왜 캐스팅이 점점 산으로 가냐 ? 바텀은 마약여러번,군빤스런까지 해는데 왜나와나?ㅉㅉ공유 이정재 위하준 이후에  2,3는 볼사람이 없음 공유가 2에서 멱살잡고 올린거지 죽여버려서 3는 딴사람만 나오네;; 임시완 이진욱이 그나마 나은데 이진욱은 별거없고.",ko,2025-08-26T19:56:20Z,2025-08-26 15:56:20,0,1,Ugy28SBtiINzcfgRN4N4AaABAg.AMIfagUE8VEAQNfp4M0f-H,@caroledwards6962,UC0ptDDSoI1i_9xrJoBuOl6g,Half the stuff u said make no sense and your just sounding like a hater,NA,2025-12-06T04:40:05Z,2025-12-05 23:40:05,0,2268116,38253,791,"Wed, 17 Dec 2025 13:14:27 GMT"
QPdn1JZENCM,https://www.youtube.com/watch?v=QPdn1JZENCM,Ugwh_bTHIEVidoIMlu94AaABAg,@JimintheITboy,UCh1yaiCV5DCqmHl50oTW2XA,53:33 YIM SIWAN Mentioned 😭😭,NA,2025-07-18T08:58:01Z,2025-07-18 04:58:01,1,2,Ugwh_bTHIEVidoIMlu94AaABAg.AKi4FyKYZsmAKi6trbo7JM,@JimintheITboy,UCh1yaiCV5DCqmHl50oTW2XA,1:10:04 yess he's fan favorite,fy,2025-07-18T09:21:05Z,2025-07-18 05:21:05,0,2268116,38253,791,"Wed, 17 Dec 2025 13:14:27 GMT"
QPdn1JZENCM,https://www.youtube.com/watch?v=QPdn1JZENCM,Ugwh_bTHIEVidoIMlu94AaABAg,@JimintheITboy,UCh1yaiCV5DCqmHl50oTW2XA,53:33 YIM SIWAN Mentioned 😭😭,NA,2025-07-18T08:58:01Z,2025-07-18 04:58:01,1,2,Ugwh_bTHIEVidoIMlu94AaABAg.AKi4FyKYZsmAKiDaKsRBmT,@JimintheITboy,UCh1yaiCV5DCqmHl50oTW2XA,1:52:06 siwan is so cute omg,NA,2025-07-18T10:19:35Z,2025-07-18 06:19:35,0,2268116,38253,791,"Wed, 17 Dec 2025 13:14:27 GMT"
QPdn1JZENCM,https://www.youtube.com/watch?v=QPdn1JZENCM,UgwBVAMi3lfU_Ygg1VF4AaABAg,@MohdTLC,UCsM1ANHOWVKFpmgy-Js5Rsw,1:08:17 Indian YouTuber,NA,2025-07-16T14:40:04Z,2025-07-16 10:40:04,5,1,UgwBVAMi3lfU_Ygg1VF4AaABAg.AKdXoQan91LAKxiGOc0kyw,@HypeVisi00n,UCstGsuXszlwDJCuwX1vE1CQ,Mythpat,mg,2025-07-24T10:44:57Z,2025-07-24 06:44:57,0,2268116,38253,791,"Wed, 17 Dec 2025 13:14:27 GMT"
QPdn1JZENCM,https://www.youtube.com/watch?v=QPdn1JZENCM,UgxvsP8iQfeLuUJiFWt4AaABAg,@doolsetnetttttt,UCDV3PVhaQ35h2KiHdzuWJ3g,Sang Woo and Ali hugging made me cry...they r so cutee,en,2025-07-11T18:29:14Z,2025-07-11 14:29:14,0,1,UgxvsP8iQfeLuUJiFWt4AaABAg.AKS43R4wWhuALI1BxY-hek,@asíuLanA,UCTpmBebiV1m2JbaWzEOuwXA,What minute?if you remember,en,2025-08-01T17:23:10Z,2025-08-01 13:23:10,0,2268116,38253,791,"Wed, 17 Dec 2025 13:14:27 GMT"
QPdn1JZENCM,https://www.youtube.com/watch?v=QPdn1JZENCM,UgzQFXITmwP2kyvXJ2R4AaABAg,@schrodinger0808,UCVFseGuqNwXlb3GPofDGs3Q,man i will miss squid game forever,en,2025-06-30T04:39:58Z,2025-06-30 00:39:58,0,1,UgzQFXITmwP2kyvXJ2R4AaABAg.AJzGQCcjwJYAJzGxm0OqxK,@Someonetookmytoast-124,UCjYi3IoZGI4SJfjjqA0YZ3g,"Same, it was the best and at the same time the worst show possible",en,2025-06-30T04:44:41Z,2025-06-30 00:44:41,0,2268116,38253,791,"Wed, 17 Dec 2025 13:14:27 GMT"
QPdn1JZENCM,https://www.youtube.com/watch?v=QPdn1JZENCM,Ugz2P-zW5AFkQioGkgJ4AaABAg,@Momo25yk,UCJwtaC63PowiIdeWhEnxnZQ,Why'd you have to let all the good characters die💔😭,en,2025-06-29T18:25:53Z,2025-06-29 14:25:53,1,1,Ugz2P-zW5AFkQioGkgJ4AaABAg.AJyA8PDtxODAKS02WpynyX,@urlocalweirdobri,UCls1v3I2t-BQOB3oLGK3n9A,Idk,ar,2025-07-11T17:54:09Z,2025-07-11 13:54:09,0,2268116,38253,791,"Wed, 17 Dec 2025 13:14:27 GMT"
QPdn1JZENCM,https://www.youtube.com/watch?v=QPdn1JZENCM,UgwDda8e3E-5mtDKHCt4AaABAg,@BlueScaryRbxx,UCBstWuNZq4fn1n4A1FBbT9A,Is it true that there were drugs in Thanos' cross?,en,2025-06-29T17:28:43Z,2025-06-29 13:28:43,1,1,UgwDda8e3E-5mtDKHCt4AaABAg.AJy3amymnw4AJy83I7mX1L,@rinkewl,UCYcRhbZCCIGJ2u0upkdggew,"Nobody would allow that, those were just candies or something like that",en,2025-06-29T18:07:42Z,2025-06-29 14:07:42,1,2268116,38253,791,"Wed, 17 Dec 2025 13:14:27 GMT"
QPdn1JZENCM,https://www.youtube.com/watch?v=QPdn1JZENCM,UgzToIwI6rp0Uls6FlR4AaABAg,@pixie_stay_28,UCRfPSlpoz_owhX1aJD1GLsw,"52:24 who else noticed Slayy Point nd mythpath....!!! 😂😂
Btw loved the parade :) 
Can't believe squid game ended....!! 
Loved the whole series...!!
Love from India🇮🇳❤️",en,2025-06-29T12:58:11Z,2025-06-29 08:58:11,23,4,UgzToIwI6rp0Uls6FlR4AaABAg.AJx_dKrJWMSAK41wZDLp6W,@pardesiyadav981,UCrYYX9c74PeHY9wezq_Iajw,Me,mi,2025-07-02T10:28:54Z,2025-07-02 06:28:54,1,2268116,38253,791,"Wed, 17 Dec 2025 13:14:27 GMT"
QPdn1JZENCM,https://www.youtube.com/watch?v=QPdn1JZENCM,UgzToIwI6rp0Uls6FlR4AaABAg,@pixie_stay_28,UCRfPSlpoz_owhX1aJD1GLsw,"52:24 who else noticed Slayy Point nd mythpath....!!! 😂😂
Btw loved the parade :) 
Can't believe squid game ended....!! 
Loved the whole series...!!
Love from India🇮🇳❤️",en,2025-06-29T12:58:11Z,2025-06-29 08:58:11,23,4,UgzToIwI6rp0Uls6FlR4AaABAg.AJx_dKrJWMSAK7lUrZGmPS,@pakhiyadav5899,UCdhNM0uY5dJvWrK8xm4jQ1w,Same 😂😂,NA,2025-07-03T21:13:23Z,2025-07-03 17:13:23,1,2268116,38253,791,"Wed, 17 Dec 2025 13:14:27 GMT"
QPdn1JZENCM,https://www.youtube.com/watch?v=QPdn1JZENCM,UgzToIwI6rp0Uls6FlR4AaABAg,@pixie_stay_28,UCRfPSlpoz_owhX1aJD1GLsw,"52:24 who else noticed Slayy Point nd mythpath....!!! 😂😂
Btw loved the parade :) 
Can't believe squid game ended....!! 
Loved the whole series...!!
Love from India🇮🇳❤️",en,2025-06-29T12:58:11Z,2025-06-29 08:58:11,23,4,UgzToIwI6rp0Uls6FlR4AaABAg.AJx_dKrJWMSAK7lgqoFAJV,@pakhiyadav5899,UCdhNM0uY5dJvWrK8xm4jQ1w,"Everyone watching this for the squid game artists meanwhile us finding mythpat and slaypoint in the crowd back 
Mythpat araam se dikh raha hai itni lambi height hai bande ki uske piche abhyudaya dikh raha hai lollll",NA,2025-07-03T21:15:10Z,2025-07-03 17:15:10,5,2268116,38253,791,"Wed, 17 Dec 2025 13:14:27 GMT"
QPdn1JZENCM,https://www.youtube.com/watch?v=QPdn1JZENCM,UgzToIwI6rp0Uls6FlR4AaABAg,@pixie_stay_28,UCRfPSlpoz_owhX1aJD1GLsw,"52:24 who else noticed Slayy Point nd mythpath....!!! 😂😂
Btw loved the parade :) 
Can't believe squid game ended....!! 
Loved the whole series...!!
Love from India🇮🇳❤️",en,2025-06-29T12:58:11Z,2025-06-29 08:58:11,23,4,UgzToIwI6rp0Uls6FlR4AaABAg.AJx_dKrJWMSAKdlAkih3ze,@niharika1574,UC__Qztd_NTzlUtEr1TikIkw,Same 😂😂😂,NA,2025-07-16T16:45:35Z,2025-07-16 12:45:35,2,2268116,38253,791,"Wed, 17 Dec 2025 13:14:27 GMT"
QPdn1JZENCM,https://www.youtube.com/watch?v=QPdn1JZENCM,Ugyn3Ez1pqTr9z-vmO54AaABAg,@eIosoI,UCLkdVUDn1SBm1qUOuBSiIxw,1:25:05 LETS GO LESBIANS,fr,2025-06-29T10:00:12Z,2025-06-29 06:00:12,3,1,Ugyn3Ez1pqTr9z-vmO54AaABAg.AJxGGh52lYOAK59qsCKRw5,@elmundodeakane9261,UCLN0_EFo5Zv87r4fFw2Jq-w,JAJAJAJA,uk,2025-07-02T20:57:16Z,2025-07-02 16:57:16,1,2268116,38253,791,"Wed, 17 Dec 2025 13:14:27 GMT"
QPdn1JZENCM,https://www.youtube.com/watch?v=QPdn1JZENCM,UgznRN6vCWXxYDRDbvd4AaABAg,@NGTSEENMoe,UC0vZQ8ytNkfbm7zMquI2chQ,"Thanks to Netflix,Director AKA Hwang Dong-hyuk and all the cast members This is gonna be my most memorable movie in my life this is incredibly the BEST Squid Game movie I've had ever watched I wish i could meet Lee Byung Hun and Lee Jung Jae someday even though I'm far away from Seoul 😭 I LOVE YOU GUYSS",en,2025-06-29T09:23:42Z,2025-06-29 05:23:42,28,1,UgznRN6vCWXxYDRDbvd4AaABAg.AJxC5UuWVXgAJxXNQWQhCt,@nusratjabin3819,UCeA3125FvHRAu7BnM7bxP9Q,Same😭😭😭,NA,2025-06-29T12:29:40Z,2025-06-29 08:29:40,1,2268116,38253,791,"Wed, 17 Dec 2025 13:14:27 GMT"
