video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
QqDDuVe9dw8,Wolf King | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-20T16:00:00Z,UgwkvV7mHuVCiAsQj494AaABAg.AMKfE8FjO6zAMM_4OTC8zj,UgwkvV7mHuVCiAsQj494AaABAg,@25thbaam17,UCEItJsNoFGg9XPJo1-nUPPw,"Cetais bien ?
J'hésite a regarder mais je me demande si c'est pas trop enfantin",fr,2025-08-28T08:16:20Z,2025-08-28 04:16:20,0
QqDDuVe9dw8,Wolf King | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-20T16:00:00Z,UgyAyY9VMad4-PQ90I14AaABAg.ALhnRvOIJ1nAMM_LZ6lBqk,UgyAyY9VMad4-PQ90I14AaABAg,@25thbaam17,UCEItJsNoFGg9XPJo1-nUPPw,Is the show good for adults too ? I love animations but thé comments say the mc is badly written or its a little too childish,en,2025-08-28T08:18:40Z,2025-08-28 04:18:40,0
QqDDuVe9dw8,Wolf King | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-20T16:00:00Z,Ugw--6ohW-DV8LnzyrN4AaABAg.ALS6G_RomIUAM2Twt2a0CD,Ugw--6ohW-DV8LnzyrN4AaABAg,@Purplegelatinmations,UCJZJMCLe2BNiR2kydU3ppew,Watch the trailer,en,2025-08-20T12:57:55Z,2025-08-20 08:57:55,0
QqDDuVe9dw8,Wolf King | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-20T16:00:00Z,Ugy1cr4CvZp7voEFM3N4AaABAg.ALBUeF-jQyMALWtgqWigwQ,Ugy1cr4CvZp7voEFM3N4AaABAg,@dragoncake8141,UCf1WfV1i_VLLqHdULzsCOEw,Show is exciting,en,2025-08-07T11:57:29Z,2025-08-07 07:57:29,1
QqDDuVe9dw8,Wolf King | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-20T16:00:00Z,Ugw8tmJ55laNI_atfPd4AaABAg.AIUChbtMJjGAKEXOPdoSX3,Ugw8tmJ55laNI_atfPd4AaABAg,@Arkensius1157,UCu6uZC5KrJUTz6iI_O5l-tQ,"Drew's birth father is King Wergar, the Gray Wolf",NA,2025-07-06T12:16:07Z,2025-07-06 08:16:07,1
QqDDuVe9dw8,Wolf King | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-20T16:00:00Z,Ugw8tmJ55laNI_atfPd4AaABAg.AIUChbtMJjGAKF815424ke,Ugw8tmJ55laNI_atfPd4AaABAg,@ThePrincessziah1,UCDMdThBYdecru8uyHSqgqEw,​@Arkensius1157Thank you,NA,2025-07-06T17:53:43Z,2025-07-06 13:53:43,0
QqDDuVe9dw8,Wolf King | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-20T16:00:00Z,UgwQvMteS8aybm27C1R4AaABAg.AISzI3fOGcPAJ1dXS5-dvS,UgwQvMteS8aybm27C1R4AaABAg,@aannkkiitt,UCJCuu9nUgmzAHdbXem62_mQ,Yes its like using low refresh rate screen. Choppy graphics.,en,2025-06-06T15:37:00Z,2025-06-06 11:37:00,1
QqDDuVe9dw8,Wolf King | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-20T16:00:00Z,UgxamCF8LVuSwXhdqD94AaABAg.AHpS4-lpBp5AHpSHK03SzY,UgxamCF8LVuSwXhdqD94AaABAg,@singlePRRANJAL_47,UC0RLYXe6JT3wGna1HN5dTvg,Is that what u call a generation gap? A generation that can fall to the lowest of lows to widen that generation gap and change the trend😂😅,en,2025-05-07T16:08:25Z,2025-05-07 12:08:25,0
QqDDuVe9dw8,Wolf King | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-20T16:00:00Z,UgyZQ9ETrRl042pTsYp4AaABAg.AGceJjHyKw6AHBJSO17RV7,UgyZQ9ETrRl042pTsYp4AaABAg,@Sarappreciates,UCfDktjVZhV4763SgQEdq-Rg,"Yes, I was also reminded of King Joffrey from Game of Thrones every time the lion prince had a scene. Small critique here, but I also cringed every time the writers used the word ""poison"" to refer to snake venom. For a show about animal abilities, the writing shows little knowledge of those animals. Nevertheless, I was entertained. I didn't love it, but it's not the worst I've seen, and I was able to have fun watching.",en,2025-04-21T16:42:26Z,2025-04-21 12:42:26,1
QqDDuVe9dw8,Wolf King | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-20T16:00:00Z,Ugy8_4NwWb7TvKuBaBV4AaABAg.AGZgB2xlDLSAHBK6S9uJzk,Ugy8_4NwWb7TvKuBaBV4AaABAg,@Sarappreciates,UCfDktjVZhV4763SgQEdq-Rg,"IMO, it's alright. As a fan of the fantasy genre and animation, I'll likely watch a 2nd season if they produce it, but I won't be heartbroken if they don't. It's a little bit Game of Thrones but with shapeshifters.",en,2025-04-21T16:48:10Z,2025-04-21 12:48:10,0
QqDDuVe9dw8,Wolf King | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-20T16:00:00Z,Ugy8_4NwWb7TvKuBaBV4AaABAg.AGZgB2xlDLSAHGi7XjW8V4,Ugy8_4NwWb7TvKuBaBV4AaABAg,@kittygirl0872,UCqgaBMjvqt_ydzutfTl0uOg,Depends if you're okay with fast pacing,en,2025-04-23T19:02:58Z,2025-04-23 15:02:58,0
QqDDuVe9dw8,Wolf King | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-20T16:00:00Z,UgziBymepifaX6mqDLZ4AaABAg.AGOOx4GgRewAH7BCU2GYsj,UgziBymepifaX6mqDLZ4AaABAg,@carlosandradejr.3294,UCnw5ekT6rmXY2rxsV-2rL0Q,"PLOT:
Lathan, Son Of King Leocadius, A Legendary Knight, A Royal Prince and now A One True King has the power of Werelion. On this day, he gathers his friends and allies who protect their homes. He'll take his place as the one true King of Pridetropolis.

In order to restore the peace of the world of Werelords.

And stop the foes of the 10 Realm.

King Leocadius united the Lion Pride together against the evil threats to the Kingdom of Lyssia.",en,2025-04-20T02:13:23Z,2025-04-19 22:13:23,1
QqDDuVe9dw8,Wolf King | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-20T16:00:00Z,UgxmRW9DAYOGpTPwnrR4AaABAg.AGNEmqCmuIcAHGjLxQsvwK,UgxmRW9DAYOGpTPwnrR4AaABAg,@kittygirl0872,UCqgaBMjvqt_ydzutfTl0uOg,"It was really fast paced to the point where the characters d34ths and rivalry didn't really feel earned, sad, or tragic 
Spoiler alert down below:
Drew's brother hating him didn't feel sad because it all happend so fast, personally I think a characters d34th is more impactful when they're *tomato saucing* it make them feel more like a person than a doll. My favorite character is Gretchen.

I don't know anything about the books",en,2025-04-23T19:13:41Z,2025-04-23 15:13:41,0
QqDDuVe9dw8,Wolf King | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-20T16:00:00Z,UgzQMu1y6T8MVyBYuW14AaABAg.AG7tLhCDjFHAGfP7bdNr3O,UgzQMu1y6T8MVyBYuW14AaABAg,@leoultimaupgraded9914,UCeGVYPrFe9yf81BF-Hak5lw,animation choice it seems,NA,2025-04-08T21:57:05Z,2025-04-08 17:57:05,0
QqDDuVe9dw8,Wolf King | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-20T16:00:00Z,Ugyh5U36z20vBTUOmIB4AaABAg.AG5llPqdWYqAG5msn1VXhd,Ugyh5U36z20vBTUOmIB4AaABAg,@Pixelplayy135,UCOHuvTg5gl4_-nJ_YP5FFyQ,Watch it it’s good 😂,fy,2025-03-25T16:41:29Z,2025-03-25 12:41:29,1
