video_id,video_url,comment_id,comment_author_display,comment_author_channel_id,comment_content,comment_lang,comment_time_utc,comment_time_local,comment_like_count,comment_reply_count,reply_id,reply_author_display,reply_author_channel_id,reply_content,reply_lang,reply_time_utc,reply_time_local,reply_like_count,view_count,like_count,comment_count,crawl_time
T6rW7GyPgbA,https://www.youtube.com/watch?v=T6rW7GyPgbA,UgxtM4cYzg_3K15Hiu94AaABAg,@saksakmomigi,UCL-g932H_dRdXA_SyOF5kzw,"●BATTLEROYAL(japan)2000
●HUNGERGAME(America)2012
●SQUIDGAME(korea)2021",NA,2025-11-24T03:36:51Z,2025-11-23 22:36:51,8,1,UgxtM4cYzg_3K15Hiu94AaABAg.APtf2XvPdYyAQcdvYtsjcS,@retrorevivalsuperturbo9428,UCP4pTKUY1lWY6h536fooOWQ,There were two battle royal movies I believe but the first was the best.,en,2025-12-12T09:31:20Z,2025-12-12 04:31:20,0,1087952,30802,2033,"Tue, 16 Dec 2025 14:42:36 GMT"
T6rW7GyPgbA,https://www.youtube.com/watch?v=T6rW7GyPgbA,Ugy6zOuJN53RLiIhfnJ4AaABAg,@LabRat78,UCLcIMn0_fyKhYbyVHns90Tg,"Frustrated from this, you have to wait for another year or years for the continuation. Wait of time..",en,2025-11-21T15:26:59Z,2025-11-21 10:26:59,0,1,Ugy6zOuJN53RLiIhfnJ4AaABAg.APnCw4h2b2BAPsB_O-_KHX,@yongjet5579,UCO5NfYLoyeuoY5ppR9MZrUQ,I know. its so good its torturing to wait for S2!,en,2025-11-23T13:51:21Z,2025-11-23 08:51:21,1,1087952,30802,2033,"Tue, 16 Dec 2025 14:42:36 GMT"
T6rW7GyPgbA,https://www.youtube.com/watch?v=T6rW7GyPgbA,Ugzf2W-N3vjEuDvgC6B4AaABAg,@nunomoreira2171,UCLvgkQLZc5Hafxr8wTA483Q,Imagine if the sword fight scenes were done with lightsabers.,en,2025-11-20T18:20:41Z,2025-11-20 13:20:41,1,1,Ugzf2W-N3vjEuDvgC6B4AaABAg.APkx0LuXufAAPsBwN0iq3-,@yongjet5579,UCO5NfYLoyeuoY5ppR9MZrUQ,the katana is already perfect for the scene,NA,2025-11-23T13:54:29Z,2025-11-23 08:54:29,0,1087952,30802,2033,"Tue, 16 Dec 2025 14:42:36 GMT"
T6rW7GyPgbA,https://www.youtube.com/watch?v=T6rW7GyPgbA,UgytMVa10bdHTRm5Ukx4AaABAg,@chialee3459,UCtk-lnIiFbc8TfIIxGfUzFw,Just binged it. It was action all the way. Best samurai series so far.,en,2025-11-15T04:27:03Z,2025-11-14 23:27:03,19,2,UgytMVa10bdHTRm5Ukx4AaABAg.APX_dGbPUb-APfRXmEIGBj,@Alirezabazmara-b1d,UCtvi9-zruHhFyZ3PDgVbkHw,Wo😮😮😮😮🤟✌️💀☠️,ht,2025-11-18T15:00:41Z,2025-11-18 10:00:41,1,1087952,30802,2033,"Tue, 16 Dec 2025 14:42:36 GMT"
T6rW7GyPgbA,https://www.youtube.com/watch?v=T6rW7GyPgbA,UgytMVa10bdHTRm5Ukx4AaABAg,@chialee3459,UCtk-lnIiFbc8TfIIxGfUzFw,Just binged it. It was action all the way. Best samurai series so far.,en,2025-11-15T04:27:03Z,2025-11-14 23:27:03,19,2,UgytMVa10bdHTRm5Ukx4AaABAg.APX_dGbPUb-AQ7llQu5iwc,@dandansfu,UCqiWRbnO0bFVMSDuyoPlBLg,yeah it is so good... so strange its not being talked about more... or watched,en,2025-11-30T00:24:09Z,2025-11-29 19:24:09,0,1087952,30802,2033,"Tue, 16 Dec 2025 14:42:36 GMT"
T6rW7GyPgbA,https://www.youtube.com/watch?v=T6rW7GyPgbA,UgyjkdJjRUDsuvH362N4AaABAg,@Przykry90,UCGCfVDB6OeP4oo1C-Yqv4BA,No black samurai? I'm disappointed.,NA,2025-11-13T21:52:14Z,2025-11-13 16:52:14,0,6,UgyjkdJjRUDsuvH362N4AaABAg.APUIej9_dkEAPUkE_lh38A,@dtann,UCwroTa8k4-luZ7ahJUAWtpg,They'll find a way to make a trans samurai win,en,2025-11-14T02:01:57Z,2025-11-13 21:01:57,0,1087952,30802,2033,"Tue, 16 Dec 2025 14:42:36 GMT"
T6rW7GyPgbA,https://www.youtube.com/watch?v=T6rW7GyPgbA,UgyjkdJjRUDsuvH362N4AaABAg,@Przykry90,UCGCfVDB6OeP4oo1C-Yqv4BA,No black samurai? I'm disappointed.,NA,2025-11-13T21:52:14Z,2025-11-13 16:52:14,0,6,UgyjkdJjRUDsuvH362N4AaABAg.APUIej9_dkEAPVbQbtCIro,@bentot4296,UCzSgZ1AOBwKz6aKWeBOp8-w,Yasuke is fiction,NA,2025-11-14T10:04:10Z,2025-11-14 05:04:10,2,1087952,30802,2033,"Tue, 16 Dec 2025 14:42:36 GMT"
T6rW7GyPgbA,https://www.youtube.com/watch?v=T6rW7GyPgbA,UgyjkdJjRUDsuvH362N4AaABAg,@Przykry90,UCGCfVDB6OeP4oo1C-Yqv4BA,No black samurai? I'm disappointed.,NA,2025-11-13T21:52:14Z,2025-11-13 16:52:14,0,6,UgyjkdJjRUDsuvH362N4AaABAg.APUIej9_dkEAPWMmzP5cK-,@Mertiiiip-r6g,UCNOmUdNdEWd5SBrpctJGPsQ,"Mfs will call others snowflakes then bring up ""controversies"" from like 3 months ago",en,2025-11-14T17:06:48Z,2025-11-14 12:06:48,1,1087952,30802,2033,"Tue, 16 Dec 2025 14:42:36 GMT"
T6rW7GyPgbA,https://www.youtube.com/watch?v=T6rW7GyPgbA,UgyjkdJjRUDsuvH362N4AaABAg,@Przykry90,UCGCfVDB6OeP4oo1C-Yqv4BA,No black samurai? I'm disappointed.,NA,2025-11-13T21:52:14Z,2025-11-13 16:52:14,0,6,UgyjkdJjRUDsuvH362N4AaABAg.APUIej9_dkEAPWVZSTRH_j,@dtann,UCwroTa8k4-luZ7ahJUAWtpg,"​@Mertiiiip-r6gits called a joke, something you probably wouldn't understand because it involves the truth.",en,2025-11-14T18:23:27Z,2025-11-14 13:23:27,0,1087952,30802,2033,"Tue, 16 Dec 2025 14:42:36 GMT"
T6rW7GyPgbA,https://www.youtube.com/watch?v=T6rW7GyPgbA,UgyjkdJjRUDsuvH362N4AaABAg,@Przykry90,UCGCfVDB6OeP4oo1C-Yqv4BA,No black samurai? I'm disappointed.,NA,2025-11-13T21:52:14Z,2025-11-13 16:52:14,0,6,UgyjkdJjRUDsuvH362N4AaABAg.APUIej9_dkEAPaPzNDbFK8,@みゃーいみゃみゃみゃ,UCXfIYm2vGuSMiEly9zYTVBA,弥助は侍ではなく侍のペットだった,ja,2025-11-16T16:10:54Z,2025-11-16 11:10:54,0,1087952,30802,2033,"Tue, 16 Dec 2025 14:42:36 GMT"
