video_id,video_url,comment_id,comment_author_display,comment_author_channel_id,comment_content,comment_lang,comment_time_utc,comment_time_local,comment_like_count,comment_reply_count,reply_id,reply_author_display,reply_author_channel_id,reply_content,reply_lang,reply_time_utc,reply_time_local,reply_like_count,view_count,like_count,comment_count,crawl_time
Ue_QJDkoTyw,https://www.youtube.com/watch?v=Ue_QJDkoTyw,Ugw_CnTdcu50VnE5ik94AaABAg,@mosaics2024,UC1G99FKJOcMbaXtvReiBDrA,"I just watched it. It doesn't feel like a movie at all, but rather like a TV show with no breaks between episodes. It's fine. There's not much to say about it because it's so slight, if it were to take shape and form, it would be a tissue blowing away on the first breeze.",en,2025-09-03T04:58:13Z,2025-09-03 00:58:13,1,1,Ugw_CnTdcu50VnE5ik94AaABAg.AMafAjQAPyRAMayC2aSqXo,@sylvester-jb3lj,UCwPB84D9yR8mkhdwR8BhU0w,you're very kind and diplomatic  !! - its dreadful !!!!!!!!!!!,en,2025-09-03T07:44:25Z,2025-09-03 03:44:25,0,1468137,24299,1110,"Tue, 16 Dec 2025 19:27:40 GMT"
Ue_QJDkoTyw,https://www.youtube.com/watch?v=Ue_QJDkoTyw,UgyxYstZFTD8lyCZjmV4AaABAg,@ferretfriend5458,UCE9VjAwqB54lmC-9eTPFP2A,"Oh dear me, what a disappointment 😢 was great fantastic caste, but storyline kinda fuzzy and not enjoyable 😢😢😢",en,2025-08-29T14:45:07Z,2025-08-29 10:45:07,1,2,UgyxYstZFTD8lyCZjmV4AaABAg.AMPqMtlfTPZAMayKBvg_8Z,@sylvester-jb3lj,UCwPB84D9yR8mkhdwR8BhU0w,since when has an English OAP care home been the size of a stately home ?,en,2025-09-03T07:45:32Z,2025-09-03 03:45:32,0,1468137,24299,1110,"Tue, 16 Dec 2025 19:27:40 GMT"
Ue_QJDkoTyw,https://www.youtube.com/watch?v=Ue_QJDkoTyw,UgyxYstZFTD8lyCZjmV4AaABAg,@ferretfriend5458,UCE9VjAwqB54lmC-9eTPFP2A,"Oh dear me, what a disappointment 😢 was great fantastic caste, but storyline kinda fuzzy and not enjoyable 😢😢😢",en,2025-08-29T14:45:07Z,2025-08-29 10:45:07,1,2,UgyxYstZFTD8lyCZjmV4AaABAg.AMPqMtlfTPZAMb2La4HxVG,@ferretfriend5458,UCE9VjAwqB54lmC-9eTPFP2A,"​@sylvester-jb3ljI know right? Lol gives people the wrong idea, I used to work in UK care homes, and trust me they ain't like that 😂 I would rather die on the side of the road than go into one, and I do mean this.",en,2025-09-03T08:29:25Z,2025-09-03 04:29:25,0,1468137,24299,1110,"Tue, 16 Dec 2025 19:27:40 GMT"
Ue_QJDkoTyw,https://www.youtube.com/watch?v=Ue_QJDkoTyw,UgyNwCpoiQseZ3ZEU5h4AaABAg,@Voeluspa45,UCNuyAtextI0Nz2dlPs5zvQw,This goes on for far too long. It starts out fine but gets more boring every minute.,en,2025-08-29T08:55:23Z,2025-08-29 04:55:23,1,1,UgyNwCpoiQseZ3ZEU5h4AaABAg.AMPDLQ6dFj8AMayNUMADOi,@sylvester-jb3lj,UCwPB84D9yR8mkhdwR8BhU0w,after 30 mins lost total interest.,NA,2025-09-03T07:45:59Z,2025-09-03 03:45:59,1,1468137,24299,1110,"Tue, 16 Dec 2025 19:27:40 GMT"
Ue_QJDkoTyw,https://www.youtube.com/watch?v=Ue_QJDkoTyw,Ugw3hmzRStc2d3opRj94AaABAg,@PalesaBrown,UCWPn4pvdDhumgdNRLf2yh3A,Bogdan doesn't look Polish.,NA,2025-08-28T15:00:45Z,2025-08-28 11:00:45,0,1,Ugw3hmzRStc2d3opRj94AaABAg.AMNIMbkYc69AMSY5LOmZCw,@davidbeard90,UCPYWDKPnbkMg-vjWawwLfNw,"Lol, this is England and here no one is allowed to look traditionally European.",en,2025-08-30T15:54:25Z,2025-08-30 11:54:25,0,1468137,24299,1110,"Tue, 16 Dec 2025 19:27:40 GMT"
Ue_QJDkoTyw,https://www.youtube.com/watch?v=Ue_QJDkoTyw,UgwJLdj1HBnF8leccxl4AaABAg,@captainscarlet-t3x,UCQWJCb02f_Wdh7qwLY5neTw,Coopers Chase is now Downton Abbey?,en,2025-08-09T14:50:48Z,2025-08-09 10:50:48,0,3,UgwJLdj1HBnF8leccxl4AaABAg.ALbM71uaJrGAMazJ9hK--1,@sylvester-jb3lj,UCwPB84D9yR8mkhdwR8BhU0w,"yes, a low level red brick OAP home became Brideshead !",en,2025-09-03T07:54:08Z,2025-09-03 03:54:08,1,1468137,24299,1110,"Tue, 16 Dec 2025 19:27:40 GMT"
Ue_QJDkoTyw,https://www.youtube.com/watch?v=Ue_QJDkoTyw,UgwJLdj1HBnF8leccxl4AaABAg,@captainscarlet-t3x,UCQWJCb02f_Wdh7qwLY5neTw,Coopers Chase is now Downton Abbey?,en,2025-08-09T14:50:48Z,2025-08-09 10:50:48,0,3,UgwJLdj1HBnF8leccxl4AaABAg.ALbM71uaJrGAMazrtD9Xan,@captainscarlet-t3x,UCQWJCb02f_Wdh7qwLY5neTw,"@sylvester-jb3ljWell, I thought the entire thing was a load of rubbish. From the script, the screenplay, the sets, the location, Brosnan’s accent etc…Loved the books.",en,2025-09-03T07:59:01Z,2025-09-03 03:59:01,0,1468137,24299,1110,"Tue, 16 Dec 2025 19:27:40 GMT"
Ue_QJDkoTyw,https://www.youtube.com/watch?v=Ue_QJDkoTyw,UgwJLdj1HBnF8leccxl4AaABAg,@captainscarlet-t3x,UCQWJCb02f_Wdh7qwLY5neTw,Coopers Chase is now Downton Abbey?,en,2025-08-09T14:50:48Z,2025-08-09 10:50:48,0,3,UgwJLdj1HBnF8leccxl4AaABAg.ALbM71uaJrGAMb-Kku8mPO,@sylvester-jb3lj,UCwPB84D9yR8mkhdwR8BhU0w,"@captainscarlet-t3x just love a picture of a body shown to a nurse, and she deducts the deceased would have survived if she got to hospital...hey nurse, questions perhaps you should have asked, how many storey's did she fall, which vital organs did the knife puncture, did she fracture her skull on landing, break her neck or back on landing...NOPE, i can see as a nurse she would have survived...damn she puts Quincy to shame !",en,2025-09-03T08:03:05Z,2025-09-03 04:03:05,1,1468137,24299,1110,"Tue, 16 Dec 2025 19:27:40 GMT"
Ue_QJDkoTyw,https://www.youtube.com/watch?v=Ue_QJDkoTyw,Ugx4mdh0SKb0O0DJjpl4AaABAg,@a12123o,UCWPjaVWIgDkSuptOQQsIg3w,can’t believe they cast a zionist 🤢,en,2025-06-29T18:40:48Z,2025-06-29 14:40:48,0,2,Ugx4mdh0SKb0O0DJjpl4AaABAg.AJyBqgrR19uAKBZe-CSry5,@joejs4613,UCjb_N-JABflW5-MKcHGW0Zw,You cast them on their acting ability,en,2025-07-05T08:38:08Z,2025-07-05 04:38:08,0,1468137,24299,1110,"Tue, 16 Dec 2025 19:27:40 GMT"
Ue_QJDkoTyw,https://www.youtube.com/watch?v=Ue_QJDkoTyw,Ugx4mdh0SKb0O0DJjpl4AaABAg,@a12123o,UCWPjaVWIgDkSuptOQQsIg3w,can’t believe they cast a zionist 🤢,en,2025-06-29T18:40:48Z,2025-06-29 14:40:48,0,2,Ugx4mdh0SKb0O0DJjpl4AaABAg.AJyBqgrR19uAKBa7lkb3Rc,@a12123o,UCWPjaVWIgDkSuptOQQsIg3w,@joejs4613still a zionist 🤢,NA,2025-07-05T08:51:05Z,2025-07-05 04:51:05,0,1468137,24299,1110,"Tue, 16 Dec 2025 19:27:40 GMT"
