video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
Ue_QJDkoTyw,The Thursday Murder Club | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-29T14:15:05Z,Ugw_CnTdcu50VnE5ik94AaABAg.AMafAjQAPyRAMayC2aSqXo,Ugw_CnTdcu50VnE5ik94AaABAg,@sylvester-jb3lj,UCwPB84D9yR8mkhdwR8BhU0w,you're very kind and diplomatic  !! - its dreadful !!!!!!!!!!!,en,2025-09-03T07:44:25Z,2025-09-03 03:44:25,0
Ue_QJDkoTyw,The Thursday Murder Club | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-29T14:15:05Z,UgyxYstZFTD8lyCZjmV4AaABAg.AMPqMtlfTPZAMayKBvg_8Z,UgyxYstZFTD8lyCZjmV4AaABAg,@sylvester-jb3lj,UCwPB84D9yR8mkhdwR8BhU0w,since when has an English OAP care home been the size of a stately home ?,en,2025-09-03T07:45:32Z,2025-09-03 03:45:32,0
Ue_QJDkoTyw,The Thursday Murder Club | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-29T14:15:05Z,UgyxYstZFTD8lyCZjmV4AaABAg.AMPqMtlfTPZAMb2La4HxVG,UgyxYstZFTD8lyCZjmV4AaABAg,@ferretfriend5458,UCE9VjAwqB54lmC-9eTPFP2A,"​@sylvester-jb3ljI know right? Lol gives people the wrong idea, I used to work in UK care homes, and trust me they ain't like that 😂 I would rather die on the side of the road than go into one, and I do mean this.",en,2025-09-03T08:29:25Z,2025-09-03 04:29:25,0
Ue_QJDkoTyw,The Thursday Murder Club | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-29T14:15:05Z,UgyNwCpoiQseZ3ZEU5h4AaABAg.AMPDLQ6dFj8AMayNUMADOi,UgyNwCpoiQseZ3ZEU5h4AaABAg,@sylvester-jb3lj,UCwPB84D9yR8mkhdwR8BhU0w,after 30 mins lost total interest.,NA,2025-09-03T07:45:59Z,2025-09-03 03:45:59,1
Ue_QJDkoTyw,The Thursday Murder Club | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-29T14:15:05Z,Ugw3hmzRStc2d3opRj94AaABAg.AMNIMbkYc69AMSY5LOmZCw,Ugw3hmzRStc2d3opRj94AaABAg,@davidbeard90,UCPYWDKPnbkMg-vjWawwLfNw,"Lol, this is England and here no one is allowed to look traditionally European.",en,2025-08-30T15:54:25Z,2025-08-30 11:54:25,0
Ue_QJDkoTyw,The Thursday Murder Club | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-29T14:15:05Z,UgwJLdj1HBnF8leccxl4AaABAg.ALbM71uaJrGAMazJ9hK--1,UgwJLdj1HBnF8leccxl4AaABAg,@sylvester-jb3lj,UCwPB84D9yR8mkhdwR8BhU0w,"yes, a low level red brick OAP home became Brideshead !",en,2025-09-03T07:54:08Z,2025-09-03 03:54:08,1
Ue_QJDkoTyw,The Thursday Murder Club | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-29T14:15:05Z,UgwJLdj1HBnF8leccxl4AaABAg.ALbM71uaJrGAMazrtD9Xan,UgwJLdj1HBnF8leccxl4AaABAg,@captainscarlet-t3x,UCQWJCb02f_Wdh7qwLY5neTw,"@sylvester-jb3ljWell, I thought the entire thing was a load of rubbish. From the script, the screenplay, the sets, the location, Brosnan’s accent etc…Loved the books.",en,2025-09-03T07:59:01Z,2025-09-03 03:59:01,0
Ue_QJDkoTyw,The Thursday Murder Club | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-29T14:15:05Z,UgwJLdj1HBnF8leccxl4AaABAg.ALbM71uaJrGAMb-Kku8mPO,UgwJLdj1HBnF8leccxl4AaABAg,@sylvester-jb3lj,UCwPB84D9yR8mkhdwR8BhU0w,"@captainscarlet-t3x just love a picture of a body shown to a nurse, and she deducts the deceased would have survived if she got to hospital...hey nurse, questions perhaps you should have asked, how many storey's did she fall, which vital organs did the knife puncture, did she fracture her skull on landing, break her neck or back on landing...NOPE, i can see as a nurse she would have survived...damn she puts Quincy to shame !",en,2025-09-03T08:03:05Z,2025-09-03 04:03:05,1
Ue_QJDkoTyw,The Thursday Murder Club | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-29T14:15:05Z,Ugx4mdh0SKb0O0DJjpl4AaABAg.AJyBqgrR19uAKBZe-CSry5,Ugx4mdh0SKb0O0DJjpl4AaABAg,@joejs4613,UCjb_N-JABflW5-MKcHGW0Zw,You cast them on their acting ability,en,2025-07-05T08:38:08Z,2025-07-05 04:38:08,0
Ue_QJDkoTyw,The Thursday Murder Club | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-29T14:15:05Z,Ugx4mdh0SKb0O0DJjpl4AaABAg.AJyBqgrR19uAKBa7lkb3Rc,Ugx4mdh0SKb0O0DJjpl4AaABAg,@a12123o,UCWPjaVWIgDkSuptOQQsIg3w,@joejs4613still a zionist 🤢,NA,2025-07-05T08:51:05Z,2025-07-05 04:51:05,0
Ue_QJDkoTyw,The Thursday Murder Club | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-29T14:15:05Z,UgxIsx9RVES3g9hPCLp4AaABAg.AJ-diMe7XgyAJKh4LhZ3mR,UgxIsx9RVES3g9hPCLp4AaABAg,@gaelliott61,UC4nUotfztD6TS9fqg_huM9A,The series is so well-written and I love the humor.,en,2025-06-14T01:13:33Z,2025-06-13 21:13:33,8
Ue_QJDkoTyw,The Thursday Murder Club | Official Teaser | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-29T14:15:05Z,UgxIsx9RVES3g9hPCLp4AaABAg.AJ-diMe7XgyAJR7jbr-gZ5,UgxIsx9RVES3g9hPCLp4AaABAg,@susanstephens6826,UCrn-JlPrtk_l1Lr0skjW-sw,Bogdan is one of my favorites!,af,2025-06-16T13:10:42Z,2025-06-16 09:10:42,13
