video_id,video_title,channel_id,channel_title,video_published_at,view_count,video_like_count,video_comment_count,comment_id,comment_parent_id,comment_author_display,comment_author_channel_id,comment_text,comment_lang,comment_published_utc,comment_published_local,comment_like_count,comment_reply_count
VMJckZFOli4,Tires: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T14:00:00Z,693220,13519,941,Ugyst6b-lzi3hR3Uh-p4AaABAg,NA,@MrMadvillan,UCOi7rBFx1pHy6RaMZXGjyJQ,"Podcast, the tv show",en,2025-12-16T00:07:56Z,2025-12-15 19:07:56,0,0
VMJckZFOli4,Tires: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T14:00:00Z,693220,13519,941,UgztBlwusdn06o2Qaax4AaABAg,NA,@tpstrat14,UCYDzbLDIBaPC9MBDziaECrw,John Lovitz and various other hilarious  actual actors? Not just him and his buddies doing poorly delivered skits that could be gold with real acting ? Alright I'm in. Take my money Netflix.... Again,en,2025-11-18T17:38:27Z,2025-11-18 12:38:27,0,0
VMJckZFOli4,Tires: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T14:00:00Z,693220,13519,941,UgxMy58Ydc-k-Nbij5R4AaABAg,NA,@Zahiimchen,UC8m3oZSLB2w-S7wNTvWB4Rg,Just finished season 2. Season 1 was hilarious. I was expecting the same for season 2 but it was better. Didn't expect heart from a show like this. All the characters grow on you. Can't wait for season 3.,en,2025-11-03T18:28:29Z,2025-11-03 13:28:29,0,0
VMJckZFOli4,Tires: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T14:00:00Z,693220,13519,941,UgyoG1yxoMunWrrnmKZ4AaABAg,NA,@trashacct1198,UCRfkSeYIe-YlnV9fZzCw6zw,"I watched a bit of season 1. I hope they made Shane's character less annoying. I don't want to watch a show about every guy at every crappy job I had that made me uncomfortable b/c he was a sociopath who found it funny. But from how many times I had to deal with people like Shane in Tires, there's probably millions of people watching this show. They did it, they made a show for sociopath co-worker. Amazing.",en,2025-11-01T01:40:20Z,2025-10-31 21:40:20,0,0
VMJckZFOli4,Tires: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T14:00:00Z,693220,13519,941,UgzW0IahGPB2hKPytfB4AaABAg,NA,@JT-fd3tf,UCZI4VFlTvWBUa_6kU8M2MJg,"Ok, y'all need to train one of the actors to mount & balance a tire. The show is called TIRES, & I haven't seen a single tire going on or off a rim. The machines will look good & be interesting on video.",en,2025-10-24T03:27:57Z,2025-10-23 23:27:57,0,0
VMJckZFOli4,Tires: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T14:00:00Z,693220,13519,941,UgwglVb6xfCl3Vm_XE94AaABAg,NA,@davidrobertson5881,UC7pCeehbBHNCGvkEstBYNSA,Hilarious show but the language is too much. That is the reason I stopped watching. Do all liberals talk that way all the time ?,en,2025-10-07T03:38:04Z,2025-10-06 23:38:04,0,1
VMJckZFOli4,Tires: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T14:00:00Z,693220,13519,941,UgyETcSZdH_u1KP9GDR4AaABAg,NA,@Shadynasty.1,UCDqtqEoVDi6QCPyj4C5iHWw,norman bates came a long way,NA,2025-10-06T16:34:49Z,2025-10-06 12:34:49,0,0
VMJckZFOli4,Tires: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T14:00:00Z,693220,13519,941,Ugyvgow4HFFY8OT4IRF4AaABAg,NA,@jackwellington3773,UC4dZThm4LGEACQ6JmIvnPBw,Please make season 3!!!!! 🙏 It's such a funny ass show and I don't want it to end! 😢,en,2025-09-14T23:38:11Z,2025-09-14 19:38:11,3,0
VMJckZFOli4,Tires: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T14:00:00Z,693220,13519,941,UgxmCf6mWQhxhSz2Vnd4AaABAg,NA,@MadGitty,UCidGklGtApMpb_h8nTfUfPw,Season 1 was not great,fy,2025-08-31T22:00:10Z,2025-08-31 18:00:10,0,0
VMJckZFOli4,Tires: Season 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-05-22T14:00:00Z,693220,13519,941,UgyUyvHUYrEY6fg0u754AaABAg,NA,@gonzido2,UCE3sWPibivEOnziAR8P0g2A,This was terrible.,en,2025-08-29T15:17:55Z,2025-08-29 11:17:55,0,0
