video_id,video_title,channel_id,channel_title,video_published_at,view_count,video_like_count,video_comment_count,comment_id,comment_parent_id,comment_author_display,comment_author_channel_id,comment_text,comment_lang,comment_published_utc,comment_published_local,comment_like_count,comment_reply_count
XjS3CIJ8zFc,"My Father, the BTK Killer | Official Trailer | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-22T16:00:00Z,544246,5535,703,UgyVVkbbicY3_KNvlC94AaABAg,NA,@Highbudz420,UCoFyLaFydufVtZCjkB96wXw,So Dexter but with SA,en,2025-12-12T00:15:15Z,2025-12-11 19:15:15,0,0
XjS3CIJ8zFc,"My Father, the BTK Killer | Official Trailer | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-22T16:00:00Z,544246,5535,703,Ugwdb89bNvx6pTFx4P54AaABAg,NA,@ficationsare6552,UC8UuG_E_zw6fgcZbJeazRSA,"His daughter seems to consistently display a janus-headed philosophy, she hates being his daughter because when people know she's his daughter, they treat her bad. So she chooses to tell millions of strangers by proclaiming it via streaming documentary. This suggests that there's something very desirable about making such a proclamation. It's like saying you hate spaghetti WHILE you're eating spaghetti. Maybe you dont like spaghetti...but you feel better because it fills your tummy.",en,2025-12-11T05:19:13Z,2025-12-11 00:19:13,0,0
XjS3CIJ8zFc,"My Father, the BTK Killer | Official Trailer | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-22T16:00:00Z,544246,5535,703,UgyCOop8l8dno6_1Nkl4AaABAg,NA,@SaintVodou,UClWvE1Is9DJl0-2iZHrekXg,"At the end of the court proceedings Rader thanked everyone, like he was getting an Oscar. No remorse, just “Thanks for making this moment possible.” Fry in hell, Dennis.",en,2025-12-05T22:45:39Z,2025-12-05 17:45:39,0,0
XjS3CIJ8zFc,"My Father, the BTK Killer | Official Trailer | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-22T16:00:00Z,544246,5535,703,UgxmP1dzS9Fpe9BNivt4AaABAg,NA,@watercolourferns,UCqpKGfjVNnIsVrwNltk5xKw,"Ppl asking if she donated the money from her book to the victims, do you ask the same from other ppl that have written books about him or just her because she’s related to him…?
And there’s a woman who shouted at her that she didn’t have to live with this everyday… yes she has. She carries that trauma with her, that woman can move and that’s that. Kerri will carry the trauma no matter where she goes.",en,2025-11-28T18:25:50Z,2025-11-28 13:25:50,0,0
XjS3CIJ8zFc,"My Father, the BTK Killer | Official Trailer | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-22T16:00:00Z,544246,5535,703,UgwOTz2vThzGdG_qAx94AaABAg,NA,@DonaldTheBoss-m5m,UCQlrzhkxYBHjtEZKVdyD5Uw,"So annoying they cancel TV shows right in the middle of them, they should be a law against that. Or at least put it to a vote mind hunter s3 please",en,2025-11-25T16:07:03Z,2025-11-25 11:07:03,0,0
XjS3CIJ8zFc,"My Father, the BTK Killer | Official Trailer | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-22T16:00:00Z,544246,5535,703,Ugzei1_k00qMtLLEJ2p4AaABAg,NA,@jooliagoolia9959,UCrtuXab7is1jxsxZBupOojA,"I'm impressed with this documentary.

Kerri works hard on behalf of other families going thru what happened to her family and she doesn't always get paid.

Soo grateful for the information she's brought.

It cost her a lot to do so emotionally.",en,2025-11-23T21:49:56Z,2025-11-23 16:49:56,0,0
XjS3CIJ8zFc,"My Father, the BTK Killer | Official Trailer | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-22T16:00:00Z,544246,5535,703,Ugz2OsEuJuiuVaQrk3F4AaABAg,NA,@JustAThought155,UChCm5ChD8qGtEu_AnNBodcA,"Watching it now on Netflix. I was always intrigued by this case. Kerri Rawson is a warrior in my mind. Talk about confronting a storm, head on! Powerful! 

In my opinion, when I learned a few years ago how Kerri had fear when she was in her bedroom, I INSTANTLY felt Kerri was blessed by God with a discerning perception AS A CHILD. This is because of the fact that she expressed fear, which is a child’s emotion, that a predator was residing IN HER HOME!!! That perception could easily be called DISCERNMENT! 

And, even now, as Kerri confronts the LAYERS of deception, grief, and emotional distress associated with learning the truth of a hidden murderer, publicly, Kerri is encountering unsuspected condemning hurtful angry responses from people who are comfortable with bashing her while hiding under their false veil of living “normal” lives. Kerri, hurt people hurt people. PERIOD. 

Heck, every criminal will attempt to make an honest person feel as if THEY are the criminal. Even in this case, sadly, when Mr. Rader was apprehended, Rader accused the FBI and the leading lieutenant of being liars because of the floppy disk! Like…seriously???

Please dismiss and disregard ANY person hurling accusations at you. We live in a sick and distorted world, for when you do right, the majority will yell “Crucify! Crucify!” 

Peace to you, Kerri Rawson! You are helping more people than you have eyes to see! Focus your attention on the Lord and let him use you in ways you would or could never ever suspect.❤",en,2025-11-14T20:59:51Z,2025-11-14 15:59:51,2,0
XjS3CIJ8zFc,"My Father, the BTK Killer | Official Trailer | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-22T16:00:00Z,544246,5535,703,UgxCTHBadhEDg02B6f54AaABAg,NA,@silviamidoritakara1585,UConQAPKtZebTqFfW0QHZv5g,Assisti é bom esse documentário,pt,2025-11-13T18:53:19Z,2025-11-13 13:53:19,0,0
XjS3CIJ8zFc,"My Father, the BTK Killer | Official Trailer | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-22T16:00:00Z,544246,5535,703,UgzEoPrzgdS59gvks2h4AaABAg,NA,@christiancastro5746,UCmQ0zhBjmkvM2uso_CSiwxQ,Anyone who thinks the daughter is equally suffering as the victims are just brainless people. She also is cashing in on her dad’s deeds . She needs to donate it all to the victims,en,2025-11-13T15:38:42Z,2025-11-13 10:38:42,2,0
XjS3CIJ8zFc,"My Father, the BTK Killer | Official Trailer | Netflix",UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-09-22T16:00:00Z,544246,5535,703,UgyK6qHG19EJzJUTL_Z4AaABAg,NA,@meryemgrini8200,UCYX7Fs2QYzJM4xnQWlC6EJA,"He wanted his name to always be on TV, and his daughter gives him that pleasure. I think she's in cahoots with him and she's getting extra money. Like father, like daughter.",en,2025-11-12T16:51:57Z,2025-11-12 11:51:57,0,0
