video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
XmAzl4UdBTY,Squid Game | Season 2 Recap | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-21T23:00:01Z,UgyNEi0Sn4nnXN6muCN4AaABAg.AK-EC95zGAvAK-FBRuxmVA,UgyNEi0Sn4nnXN6muCN4AaABAg,@ocelotboygaming4133,UC-O2vF6cnAvlEDhrZlFP_fw,For S2 ourmain is talking to his friend Edward I say 1 month or 2 months later about the games Edward says he should go back and investigate inside the games but he is not to sure that they are real so ourmain character goes back into the games and wakes up in a player room where the guards in black wearing vip Ocelot masks telling them about the next game the next game is the floor is lava which players will have to play parkour and escape to the next game which will be Capture the Flag the game will Start with choosing teams Red team and Blue team the each get swords to fight with and arrows to shoot of in the distance for distraction also shields to protect them from the other players once the game is our and the winning team Captures the flag a firework will shoot off to telling them they won S2 is gonna be short so nothing much but I'll promise this your gonna love S3,en,2025-06-30T13:48:28Z,2025-06-30 09:48:28,0
XmAzl4UdBTY,Squid Game | Season 2 Recap | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-21T23:00:01Z,UgyNEi0Sn4nnXN6muCN4AaABAg.AK-EC95zGAvAK-IIabC9_B,UgyNEi0Sn4nnXN6muCN4AaABAg,@ocelotboygaming4133,UC-O2vF6cnAvlEDhrZlFP_fw,S3 It starts off after the 2nd game where the players feel uneasy one of the players ask why are you doing this and how do you think people won't notice we're missing and why kidnap us if your only gonna get in trouble and that's where we see the frontman in a black golden suit with a glowing red belt looking up at the prize money to tell them to keep going because your so far a few minutes later we're in the bathroom with 2 players questioning themselves and the games why the came here when ourmain character sees a vent and looks through it about the next game which people will have to swim across the next game is called Sharks and Fishes 5 players will swim across each round while the other players Akk the Sharks will have to stop them from swimming across the area this game will have a beach seen so keep in mind of it after the game ourmain character looks ferrous when he sees his old friend Edward there he tells him to stick together as a team to not get hurt so when the next game begins they have an advantage  the next game is colored tiles each tile is a different color one green one yellow one blue and finally one red if the frontman calls on the color your standing on you will be eliminated there will be 4 rounds of this each round taking a risk weather you die or not a few hours later in the kitchen where we see our guards cooking up a meal for our players a nice meal for breakfast or dinner the guards take off their mask and tell a supervisor of a player over seeing a game and to keep an eye on him when the guards finally get done making the dinner one player trys to fight back against the guards to only get hurt and get beat with the gun but to only get badly injured and not die when the next game starts it will be in groups of 2 in this game you must find clues and a key to escape the room yep that's right players welcome to escape rooms all players freak out knowing they can't escape in time within the 10min time clock also there are knifes incase they want to escape alone with our their partner when the timer is up thar room will be eliminated if not made it out in time each room has a different theme to make it more challenging for the player  to find the key after that game their will be a sitting area where they will be talking about the next game which is hide and seek the seeker will go up to a high platform to count while the other people hide if your found a player will call out Seeker point and a guard will eliminate you after that game we will move on to the final game the final 10 players remains you guesses it last to leave the circle where players will go through many heartfelt challenges and even greed just to get them out of their each player will have to push each other out of the circle when ourmain character and Edward knew the time was up and betrayal Edwars sacrifices himself just for his friend the main character to get out of their alive it will be so heartwarming and depressing for our watchers finally before Edward dies he tells his friend a little secret about he had called an army to take down the games and where we find our self's in a rebellion the army breaks down doors shooting guards misles fire gunshots can be heard the supervisor trys to escape but to only get trapped and beat inside his karma to die finally ourmain character makes it up to the final stairs where it all began in the frontman room he tells him to end the games for his own good but the frontman tells him a story and says people Will never change they will always be the greedy people they are today and never but yet help themselves to some greed to find others dead but our main character says about the sacrifice that others take to safe their friends where ourmain character finals goes into a fight with the frontman and ending it all killing him by shooting him in the head the end and the ending goes back home at a funeral for Edward and a good life ahead for ourmain character alway remembering his friends brave sacrifice the end,en,2025-06-30T14:15:39Z,2025-06-30 10:15:39,0
XmAzl4UdBTY,Squid Game | Season 2 Recap | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-21T23:00:01Z,UgyNEi0Sn4nnXN6muCN4AaABAg.AK-EC95zGAvAKZhWzuth4s,UgyNEi0Sn4nnXN6muCN4AaABAg,@ocelotboygaming4133,UC-O2vF6cnAvlEDhrZlFP_fw,2nd Ending So after his friend Edward died so that he can win he gets so mad with himself he starts thinking about life and how it can get better noone has won the games twice before not even in Korea the Vip Guest says it was a heart warming experience ourmain character talks to the guy behind this he tells him it was great of you to come back to entertain our vip guest but you got to learn something ain't noone ever won twice before ourmain character furious and in vein tells him how can he do this to people and that's where we leave off for S4 In season 4 we leave off with the main character he's depressed about his friends lost and desires to put a final end to the game,en,2025-07-14T17:37:28Z,2025-07-14 13:37:28,0
XmAzl4UdBTY,Squid Game | Season 2 Recap | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-21T23:00:01Z,UgyNEi0Sn4nnXN6muCN4AaABAg.AK-EC95zGAvALT7SU_Jjpj,UgyNEi0Sn4nnXN6muCN4AaABAg,@ocelotboygaming4133,UC-O2vF6cnAvlEDhrZlFP_fw,In S4 The games we will have will be Dodge ball with a since of nostalgia but deadly game Blue vs Red team which ever team loses will not make it to the next game Which the next game is a game called Rush Rush is kinda like Minge Capture the Flag and Hide And Seek all in one each team will be assigned in different colors there will be 3 rounds which ever team fails to get the at least one of the flags will be eliminated leaving to the 3rd game Pirates & Marines a game similar to Battle Ship each team will be able to try and hit the other teams ships to sink the last ship standing wins also they will be givin swords to know when to fire! The next game having a school theme will be called Field Day requesting popular games from our childhood Now we're gonna bring back a game from S1 but more intense the button game but this time more different and difficult harder then useual On to the finals the next game is kinda like Jump rope but this is where we meet the vips in Monkey Bars each player must get across while holding on as long a possible without falling to their doom after the game they will have a dinner now S4 will have Two endings a rebel or to the final game where we met a end to our main character within a sacrifice and the final game was King of the Hill played much like as Squid Game The End,en,2025-08-06T00:49:29Z,2025-08-05 20:49:29,0
XmAzl4UdBTY,Squid Game | Season 2 Recap | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-21T23:00:01Z,UgyNEi0Sn4nnXN6muCN4AaABAg.AK-EC95zGAvALT8X1niliT,UgyNEi0Sn4nnXN6muCN4AaABAg,@ocelotboygaming4133,UC-O2vF6cnAvlEDhrZlFP_fw,"And our main characters names are Jayden Kross, Edward and finally Rika building up the Oceo Games The End",en,2025-08-06T00:58:51Z,2025-08-05 20:58:51,0
XmAzl4UdBTY,Squid Game | Season 2 Recap | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-21T23:00:01Z,UgyNEi0Sn4nnXN6muCN4AaABAg.AK-EC95zGAvAMYfPC6QpFy,UgyNEi0Sn4nnXN6muCN4AaABAg,@ocelotboygaming4133,UC-O2vF6cnAvlEDhrZlFP_fw,A secret game man hunt,da,2025-09-02T01:02:28Z,2025-09-01 21:02:28,0
XmAzl4UdBTY,Squid Game | Season 2 Recap | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-21T23:00:01Z,Ugyn0IVrMwY-MfrkY5Z4AaABAg.AJvSsvpznubAJvUkqmHcrB,Ugyn0IVrMwY-MfrkY5Z4AaABAg,@MR.sanataniDesbhakt,UCJU-lkx9ghfLkVjt568QQAg,Yes vote for season 4 😢😢,en,2025-06-28T17:28:18Z,2025-06-28 13:28:18,1
XmAzl4UdBTY,Squid Game | Season 2 Recap | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-21T23:00:01Z,Ugwy--KMpymo2VtXKmd4AaABAg.AJv2xxFZzlwAJvV2Qyxp7A,Ugwy--KMpymo2VtXKmd4AaABAg,@MR.sanataniDesbhakt,UCJU-lkx9ghfLkVjt568QQAg,I want,mg,2025-06-28T17:30:50Z,2025-06-28 13:30:50,1
XmAzl4UdBTY,Squid Game | Season 2 Recap | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-21T23:00:01Z,Ugx5LSsZmeHYuAsjZdt4AaABAg.AJtxJH90adjAJuZ5vNt5Ky,Ugx5LSsZmeHYuAsjZdt4AaABAg,@lmao_xd02,UCeXCpqvGgz2SajgfmXyPqkw,Nd now after watching s03 yakk ..it was so bad,en,2025-06-28T08:47:01Z,2025-06-28 04:47:01,0
XmAzl4UdBTY,Squid Game | Season 2 Recap | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-21T23:00:01Z,UgxLmTqfSKSm42TU9Oh4AaABAg.AJtWLxMKKO7AJtbSx3Lajl,UgxLmTqfSKSm42TU9Oh4AaABAg,@सुकुम्बासी,UCpIUYPs1dctCirlU1ytQiMw,same here,NA,2025-06-27T23:57:09Z,2025-06-27 19:57:09,2
