video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
YKzRPFvky9Y,Happy Gilmore 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T01:22:08Z,UgywwkBoo0lVyNEX8MF4AaABAg.AMRIEXp7sl3AMdpgv7Z-tt,UgywwkBoo0lVyNEX8MF4AaABAg,@Roughneck8,UC5FqTUO9Hi6iEwO0jRILJFg,"It's pilot, the original.",NA,2025-09-04T10:27:51Z,2025-09-04 06:27:51,0
YKzRPFvky9Y,Happy Gilmore 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T01:22:08Z,UgwuBBwrJ_bgpsboZzB4AaABAg.ALwksSGNbCnALwx9hSvKro,UgwuBBwrJ_bgpsboZzB4AaABAg,@numbnutt84,UCKNFbnRxhpDFSLC73uWkITQ,have you seen the movie yet?,en,2025-08-18T00:07:16Z,2025-08-17 20:07:16,0
YKzRPFvky9Y,Happy Gilmore 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T01:22:08Z,UgwuBBwrJ_bgpsboZzB4AaABAg.ALwksSGNbCnALx-cMtX0qh,UgwuBBwrJ_bgpsboZzB4AaABAg,@Carmine_Lupertazzi,UCGNdhv-FO82aPltzaNCFtnw,"​@numbnutt84  no, I can't. The trailer made my eyes bleed beyond repair.",en,2025-08-18T00:37:32Z,2025-08-17 20:37:32,0
YKzRPFvky9Y,Happy Gilmore 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T01:22:08Z,UgwuBBwrJ_bgpsboZzB4AaABAg.ALwksSGNbCnAM-hq0dUNH0,UgwuBBwrJ_bgpsboZzB4AaABAg,@numbnutt84,UCKNFbnRxhpDFSLC73uWkITQ,"@Carmine_Lupertazzi oh. well, the movie was decent. despite the trailer it was still hilarious. i think you should give it a try, you may like it.",en,2025-08-19T11:10:20Z,2025-08-19 07:10:20,0
YKzRPFvky9Y,Happy Gilmore 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T01:22:08Z,UgwuBBwrJ_bgpsboZzB4AaABAg.ALwksSGNbCnAM-xfMNRNc6,UgwuBBwrJ_bgpsboZzB4AaABAg,@Carmine_Lupertazzi,UCGNdhv-FO82aPltzaNCFtnw,"​@numbnutt84 so you agree, the trailer was shit. And the trailer is meant to sell the movie.",en,2025-08-19T13:28:41Z,2025-08-19 09:28:41,0
YKzRPFvky9Y,Happy Gilmore 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T01:22:08Z,UgwuBBwrJ_bgpsboZzB4AaABAg.ALwksSGNbCnAM0wyi9j1WR,UgwuBBwrJ_bgpsboZzB4AaABAg,@numbnutt84,UCKNFbnRxhpDFSLC73uWkITQ,@Carmine_Lupertazzi the trailer was NOT up to standards so i agree. but the movie itself was amazing.,en,2025-08-19T22:41:50Z,2025-08-19 18:41:50,0
YKzRPFvky9Y,Happy Gilmore 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T01:22:08Z,UgwuBBwrJ_bgpsboZzB4AaABAg.ALwksSGNbCnAM1-vALSqUV,UgwuBBwrJ_bgpsboZzB4AaABAg,@Carmine_Lupertazzi,UCGNdhv-FO82aPltzaNCFtnw,"​@numbnutt84 ok. Seen as though you've admitted that, I'll watch it. But I'm not hopeful.",en,2025-08-19T23:16:18Z,2025-08-19 19:16:18,0
YKzRPFvky9Y,Happy Gilmore 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T01:22:08Z,UgxmjOZhjfi381ECLfV4AaABAg.ALqS8qYCLpVALxOVFCYqG-,UgxmjOZhjfi381ECLfV4AaABAg,@POUSTIN1A,UCoNNyf_CLMO-luosKJOjSsw,"That’s dumb, he’s only in it for maybe three minutes",en,2025-08-18T04:14:52Z,2025-08-18 00:14:52,1
YKzRPFvky9Y,Happy Gilmore 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T01:22:08Z,Ugxza2YCnnUjFZbStVF4AaABAg.ALjDOuTi-87ALpMAvGA44Z,Ugxza2YCnnUjFZbStVF4AaABAg,@Jumbolub,UCV_uNFdXQtEmPtht22oHACQ,They ain’t your friends.,en,2025-08-15T01:20:42Z,2025-08-14 21:20:42,0
YKzRPFvky9Y,Happy Gilmore 2 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-06-01T01:22:08Z,UgznET4Kjo4RIeEyCIt4AaABAg.ALedBYoaZNeAMKXj3QPnw1,UgznET4Kjo4RIeEyCIt4AaABAg,@essenceidentity,UCr7nyNWcjWIQNM-M5b5_Bdg,Its about a weed strain you there 🤫,en,2025-08-27T13:17:19Z,2025-08-27 09:17:19,0
