video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
YwoA7NvaacI,CHAOS: The Manson Murders | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-21T17:00:00Z,Ugwe6CkDMcPX_43-w7l4AaABAg.AFthU-Dfv_yAFtkN3CBLE8,Ugwe6CkDMcPX_43-w7l4AaABAg,@IvorLongshaft,UCC-OYoVy6M9n9oh594eJEcw,"@LLandS18 @LLandS18 when did I say I believed anything? You're making assumptions. You haven't read the book. I KNOW you haven't. At best, you watched this terrible documentary. It doesn't do the book justice at all. It's made for a particular audience on netflix, it's made to look like a wacky conspiracy. The things O'Neill uncovered are factual. They are based on actual evidence. When he lacks evidence he highlights it 

Knowing someone that was a victim of the program does not mean you know more. Are you saying all the files of the entire program are given to great nephews of victims? You're full of it. 

Read the book. If reading is too difficult, the audio book is on YouTube.",en,2025-03-20T15:09:24Z,2025-03-20 11:09:24,0
YwoA7NvaacI,CHAOS: The Manson Murders | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-21T17:00:00Z,UgzbXVB9FsXlCasFbE54AaABAg.AFYeJyt2IRoAFdABK4r7jh,UgzbXVB9FsXlCasFbE54AaABAg,@bluecollarlit,UCMqqxH6iRImnHM2qIXi_N3A,"Agree.
The maggots....",en,2025-03-14T04:36:39Z,2025-03-14 00:36:39,1
YwoA7NvaacI,CHAOS: The Manson Murders | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-21T17:00:00Z,Ugw3sxlqq84moOb4swh4AaABAg.AFTWM9LwfQpAFTi5CKFrNu,Ugw3sxlqq84moOb4swh4AaABAg,@anthonyh6992,UCjoG3p6micHtHTnJ2OlPG_A,The book has so much more info. The documentary focused only on one thing.,en,2025-03-10T03:10:00Z,2025-03-09 23:10:00,3
YwoA7NvaacI,CHAOS: The Manson Murders | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-21T17:00:00Z,Ugw3sxlqq84moOb4swh4AaABAg.AFTWM9LwfQpAFTnTdrbDcT,Ugw3sxlqq84moOb4swh4AaABAg,@angelcitystudio,UCu0W7tqt5aSJgticFuME-2Q,"@anthonyh6992 Tex Watson's book lays out everything and leaves no questions unanswered. He hasn't given interviews in years and he does not even try to be released. He did not make himself out to be a victim, he just told the truth, brutal and honest. And everyone in the family has agreed that the truth is in his book. ""Will You Die For Me"" free pdf download.",en,2025-03-10T03:57:01Z,2025-03-09 23:57:01,0
YwoA7NvaacI,CHAOS: The Manson Murders | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-21T17:00:00Z,Ugw3sxlqq84moOb4swh4AaABAg.AFTWM9LwfQpAFVBZUQ8Ho6,Ugw3sxlqq84moOb4swh4AaABAg,@angelcitystudio,UCu0W7tqt5aSJgticFuME-2Q,"@mannygrossman yes but still.... I am sick of conspiracy theories that cause nothing but brain rot. People have no critical thinking skills in this country anymore. They automatically reject facts just make up their own nonsense and act like that is just as good as the truth. And the truth has been told over and over and over again about Manson. There is no room for conspiracies or questions. The entire family has said the same thing 10000 times. Charlie DID believe in that race war. And he did call it Helter Skelter. It was not the reason for the murders, but who the hell cares? Bugliosi needed a conviction and I am glad he got it.  Charlie was guilty. The real reason for the murderers was that he wanted to start a war between the Straight Satans MC who he was enamored with, and the Black Panthers to throw the Bernard Crowe case into chaos. He was terrified of the Black Panthers retaliation and against him. This is all prison culture, misdirection, gangland BS.... The kind of crap you would see on an episode of Sons Of Anarchy.",en,2025-03-10T16:55:31Z,2025-03-10 12:55:31,0
YwoA7NvaacI,CHAOS: The Manson Murders | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-21T17:00:00Z,Ugx-SLEiT153nkGS3Fx4AaABAg.AFTRMFamXZjAFTi9KD4pmS,Ugx-SLEiT153nkGS3Fx4AaABAg,@anthonyh6992,UCjoG3p6micHtHTnJ2OlPG_A,I hear you. Listen to Tom’s podcast interviews. They are riveting.,en,2025-03-10T03:10:33Z,2025-03-09 23:10:33,1
YwoA7NvaacI,CHAOS: The Manson Murders | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-21T17:00:00Z,Ugx-SLEiT153nkGS3Fx4AaABAg.AFTRMFamXZjAFTiG0ltCc_,Ugx-SLEiT153nkGS3Fx4AaABAg,@anthonyh6992,UCjoG3p6micHtHTnJ2OlPG_A,Errol was supposed to make this documentary years ago but he said it wouldn’t be a series documentary and Tom said no. Years later Tom and Errol signed a deal with Netflix and Errol f’d it up.,en,2025-03-10T03:11:28Z,2025-03-09 23:11:28,1
YwoA7NvaacI,CHAOS: The Manson Murders | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-21T17:00:00Z,UgyiX0M3h-hkBlDAPwh4AaABAg.AFSP9o222WCAFSe93HS1Yi,UgyiX0M3h-hkBlDAPwh4AaABAg,@tonylemans,UCM21-rh2MdGOhqr2pIFXRaA,"After I learned O'Neill's story about Sebring's wires is untrue, I can't help but question the veracity of O'Neill's other theories and allegations",en,2025-03-09T17:16:20Z,2025-03-09 13:16:20,1
YwoA7NvaacI,CHAOS: The Manson Murders | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-21T17:00:00Z,Ugx_aUzPvdENOc2QD6J4AaABAg.AFSHAccnl67AFSHX6XFK8p,Ugx_aUzPvdENOc2QD6J4AaABAg,@Sol-Cutta,UChly-TxQEt3ZLR3JMqu8Vzw,Leave a reply for where to contact me for a more detailed assessment on the nature of the effects of stimulant drugs vs psychoactive substances.,en,2025-03-09T13:49:54Z,2025-03-09 09:49:54,1
YwoA7NvaacI,CHAOS: The Manson Murders | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-02-21T17:00:00Z,UgzVRvbvlvk-4zQIbGx4AaABAg.AFSEHR3sXlKAFT5yUJcKh7,UgzVRvbvlvk-4zQIbGx4AaABAg,@anthonyh6992,UCjoG3p6micHtHTnJ2OlPG_A,Yes or listen to Tom’s interviews. Way better than this.,en,2025-03-09T21:28:09Z,2025-03-09 17:28:09,3
