video_id,video_title,channel_id,channel_title,video_published_at,reply_id,reply_parent_comment_id,reply_author_display,reply_author_channel_id,reply_text,reply_lang,reply_published_utc,reply_published_local,reply_like_count
ZSfAsfU7Nu0,The Truth About Jussie Smollett? | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-14T16:00:00Z,UgyL5hiO4SHYmCGtkAt4AaABAg.AP21SWaPI7SAQ0k_po1g_E,UgyL5hiO4SHYmCGtkAt4AaABAg,@redrose3694,UCo_ke7CpRZT1MF_5vCaZVdA,In the Video where he’s getting inside the elevator he has his hoodie on and there’s snow all over the back of his hoodie,en,2025-11-27T06:59:09Z,2025-11-27 01:59:09,0
ZSfAsfU7Nu0,The Truth About Jussie Smollett? | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-14T16:00:00Z,UgyL5hiO4SHYmCGtkAt4AaABAg.AP21SWaPI7SAQ1I-IQfiSj,UgyL5hiO4SHYmCGtkAt4AaABAg,@kingkawala767,UCYIS9sBvpJtaiUkqdupF-pg,​@redrose3694that's not true,NA,2025-11-27T11:59:52Z,2025-11-27 06:59:52,0
ZSfAsfU7Nu0,The Truth About Jussie Smollett? | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-14T16:00:00Z,UgypqBrmWFQth6dSZ_p4AaABAg.AMtvGB1_EM9AN4KoU4anKv,UgypqBrmWFQth6dSZ_p4AaABAg,@VicInNocal,UC1tswtHs72TzWcFXMAx5nVg,Just now? What a normie you are. You mean them going woke over BLM 5 years ago wasnt enough?,en,2025-09-15T02:48:00Z,2025-09-14 22:48:00,0
ZSfAsfU7Nu0,The Truth About Jussie Smollett? | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-14T16:00:00Z,UgwzsZy9K94UhxOlHTd4AaABAg.AMovvyxcsFNAMqMU4p0dgj,UgwzsZy9K94UhxOlHTd4AaABAg,@CDKV,UCtd-ZUSM7wmDY_1faO71xxw,Bahahahahaha!,mg,2025-09-09T07:13:57Z,2025-09-09 03:13:57,1
ZSfAsfU7Nu0,The Truth About Jussie Smollett? | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-14T16:00:00Z,UgwzsZy9K94UhxOlHTd4AaABAg.AMovvyxcsFNANLbt47qr2L,UgwzsZy9K94UhxOlHTd4AaABAg,@barbarageric7604,UCY2C2mZQdCun8OabRC5JBiA,"And they bought mask,just for fun😅",en,2025-09-21T19:53:00Z,2025-09-21 15:53:00,1
ZSfAsfU7Nu0,The Truth About Jussie Smollett? | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-14T16:00:00Z,UgwDJUC-YgJbfCyGcL54AaABAg.AMnV_UCOIE-AMnvf_H_FA_,UgwDJUC-YgJbfCyGcL54AaABAg,@monkeyrise856,UC4r1f_EhYzCjKs4M5eZTj0A,"gratz, you got brainwashed. 🤡",NA,2025-09-08T08:32:30Z,2025-09-08 04:32:30,3
ZSfAsfU7Nu0,The Truth About Jussie Smollett? | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-14T16:00:00Z,UgwDJUC-YgJbfCyGcL54AaABAg.AMnV_UCOIE-AMqM_GeZUsp,UgwDJUC-YgJbfCyGcL54AaABAg,@CDKV,UCtd-ZUSM7wmDY_1faO71xxw,That’s hilarious.,en,2025-09-09T07:14:47Z,2025-09-09 03:14:47,2
ZSfAsfU7Nu0,The Truth About Jussie Smollett? | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-14T16:00:00Z,UgwC7ik3R0Cmp8DveFZ4AaABAg.AMmJBK9OmzrAMqMrA4_Iok,UgwC7ik3R0Cmp8DveFZ4AaABAg,@CDKV,UCtd-ZUSM7wmDY_1faO71xxw,How are you not embarrassed for being this unintelligent?,en,2025-09-09T07:17:14Z,2025-09-09 03:17:14,2
ZSfAsfU7Nu0,The Truth About Jussie Smollett? | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-14T16:00:00Z,Ugw6wuvdVbdmgCIDSmt4AaABAg.AMi9z-FPnZGAMqNDpTVBmi,Ugw6wuvdVbdmgCIDSmt4AaABAg,@CDKV,UCtd-ZUSM7wmDY_1faO71xxw,Anyone who believes he’s  innocent is easily brainwashed.,en,2025-09-09T07:20:28Z,2025-09-09 03:20:28,0
ZSfAsfU7Nu0,The Truth About Jussie Smollett? | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,2025-08-14T16:00:00Z,Ugxd2ImTrlqMWozzCFF4AaABAg.AMfQn8zbmOUAMhqNyZFvAJ,Ugxd2ImTrlqMWozzCFF4AaABAg,@larrybaygaming,UCGmROK8Pf5FX04qX-q30yyQ,You might want to sit down before i tell you who is in charge of funding the projects with this theme…,en,2025-09-05T23:50:50Z,2025-09-05 19:50:50,0
